clustered_id,clustered
eab0ff0314af76111ba6cd1dea1e1f71b0b49a45,hummus
e83f8da7f8625def7cfc2961b85e40b283be1ae8,producer of hummus
0184628897818527ff8610ee5e277c042d54bd78,magnetic platens
b5da318747baea08381c0f76f43061621540c5f8,platens
9a80ab32d91c6944c20bd3ebf3e86f715e7b5151,germany calculations for compressor group charts
7c44d1b1a76776b0998e757d4a093bde9e8209a4,germany calculations for nods
d5c69d047908660c5b1360d5f22c3a87d410ded6,data logger
e029962abf3d76f83e3c80e11db5699136e09854,data logger recorders
09a0a8f04a35ebf55fc3be8f381980ecfc43660c,research & development studies agriculture sector
db4bf621d1dcbd371ee373f8ff372f01bf322abf,research & development studies zootechnical sector
6bab272c853cb069734fafa15a581919b6d71274,sale of lodges
7f4899e6a757686865a1c18b20cffb991d56c88e,advertising communication consulting
edc0774037ef577e7747263860465538927e98a0,internet communications consulting
08a43061f1841c2f1957c3655d3a2ef71cc06188,cad/cam manufacturing
6a11f2ddba11b250e6f228558c7d51f732edb91f,cad/cam programming
4dfadc9bbd46ea2e308ba2503f307e50ba2d1f15,cad/cam service
f0fc427b4f403c29467c33ef453e15c1ce07e567,air-tightness control device
1ae4e63083c06f57018384c8e62ed2b51627771b,control devices
83eb873ec0e8744aad3a1d4b64afd9233825dac4,hand-held control devices
38149d9a03cccb7f54cbed00b7feba2caf50e33a,information technology - supplies
96c32c0210f52336f56d30401c9b9caefc27a740,office information technology
4b374186f582392076e214d4c57db0420eb05f5f,corona antigen test
b1053d1b27453482d7074080fba316632c3a3a97,floor display stands
f4e4ffe52e906defccbad3ecf347137d3dfa9f4f,wooden display stand
9db75ebf3e66c524c02acbf2f16ee7561709be9d,bronze light fixtures
263538bd29a282fa9ac898a3674020670ba475a3,"light fixtures, decorative"
13e507607a326509eadce65035b0e165c3168dcb,equity research reports
8e97be5c4c0b4fd3796bcd1bd370e2b73a569624,industry research
09570610c6964ff176217502f5b0227427541529,bands for technical use
054efd6918f87b387fa43177a5be6f5a8dc5e131,belts for technical use
cec4efe78f93dba4b40f1405696758832dbe2da0,fabric for technical use
a9a108e6eeec8af8a9364d7647c29e660b94484a,fabrics for food use
d28e56e895689cc5f99c95c242d664a026705bbd,oil for food use
9b75be8afe629966e2c193a6a10d32ae7eec1752,disinfection for pleasure craft
04a0b080fb9b28971e351f4ace165559c725ce65,pleasure craft furnishings
a6aef1c4f84f0ced6620fb9a537ad1cf6cff534c,melt-blown
5c1e6f48afc3d73f55828bf98778f44da169101b,melt-blown non-wovens
eaeb6fe05c1dd081bfe5e3259879f8909249fed4,furniture for stereo systems
ccb79da98c444d4458cfe1884fc362606cfb3341,audio-visual distribution
24137ed938553289aa7a10486dc43d4eef512771,audio-visual production
f57182506f42f3098794753ba7338504b70fd10f,fill level monitoring
bd77ac374f4be9afe9902c76f7b008fe3608b3aa,fill level monitoring devices
483fb430986abb78e3c271f95f96c24bbfd542d6,"""l"" drive-in nuts"
dd5695fa2597e201d5aa5fe6e319595b3cbc482f,"""l"" weld nuts"
5417dd57bec2887beef6aa33425f5e04e72f93fb,slot nut
4d211fb8fbb1b0c3a3d2abd151bd8c03543f6c2d,slotting
714fefb7f3881b1e0c16a3b2ff20becf46d84842,band saw blade
860e1649b136b11c925ee0c18d1b427f00c5b8d9,band saw machines
fbb992742785eedc1085f1ed87599f0474624688,bimetal saw bands
66a8b598c54bf9c1a19284082fd3bbe1e7845440,carbide saw bands
b1a931c503f5a500c4f838775d8a043da1eb09dc,log band saw
3c55763e2caf0583fc26b10f5802bb38dedd7aa1,mitre saw machines
0b86ca1f6b034b509acaa4247140112b4fabb8b7,sealer saw blade
3fed8112483da3ea0ec59ecb55154f94995b83c4,conference hall furniture
888c88d314f6b51cb8c3baf128ac970c49e2cc48,furniture entrance hall
d313460ec9041a6e912f8dacd792116cc6a32011,"soap products, professional"
c71e643d1720b83846a8ae13a3a911893865e67e,"washing product, professional"
321df6bde03cab9ff0467e774fbf111cdea60feb,furniture for hi-fi television
62e43f924db383a092a059afb8cf9653598a3772,furniture for hi-fi video
5919e81d751cd7b0224781ee642520ba3942aaef,italian pasta in barcelona
45dcd87b4be4c458ab972c04237fda0090c8a631,italian products in barcelona
d619989728b27689df9882d1e0dfa9e03cdbb154,antique jewellery restoration
05826ebd413a98b91fee0bcd22789c100cad3d55,restoration of antique motorcycles
47f38c576a0f26b86ddf35759b2f27f63b23b950,filters made from polytetrafluoroethylene (ptfe)
eb7ffbbe942fd94edeeb4f420bb18ee95bda1e38,polytetrafluoroethylene (ptfe) films
d27a99db87fa6b8c3d81e8416ffa6181f24a05ef,polytetrafluoroethylene (ptfe) tubes
3648c11e377d52f0dc0255a190f243174f3b1ec9,sealants made of polytetrafluoroethylene (ptfe)
3157b058a811cd1eec843214821cb96d52cdb111,din
01c3369726e16cd0efe6bd1d9ddc8fd9b8d81c95,din 1052
e736ba27a4f2b9ba1fd223596c4c7145feb9f86b,din 2093
f238fc2d9882718a49e199cdd749c9d119ab4a5f,din 315
97d82898ae8519eb1f1b373b44a4a8d16716510a,din 316
4552db4544ad883b9aee4984082baf0df4892192,din 912
8fcaf616453c21e2a110f8c22637799894066204,disc spring din 2093
a9efdefe6683fad2296e4cd40ef8366473f1b57e,anti-ageing products
6d381a2c4795425c0a7a5290df4151aa1ee9ef1b,anti-fatigue mats
8cebf8077f4f37fc827ca0b03f159af0b9c11ed5,anti-inflammatory products
99e981f4afd2d9840a221ab32878bdc6038511bf,anti-slip mat
c73501173cfd03f320c2cdb6d6603931eb5516f2,anti-slip panels
8157d27a05630d9889588b7a2c49acc6f8a207b4,anti-slip products
03d6566ca1fafbb6e8d4e6503b987f78423b0ebe,cognac
00d3ff430074eb41f79743e833fc0358ccbf2ce9,cognac visit
f6802924fbcfc43e9a5a1d9410e70a5cdd2e1fbd,olive-growing supplies
90de07aa3d5894597c08dd806024c229df5e073d,supplies for tobacco growing
27ffb828c1d5a5857286a73f369bd3dad2f3a388,natural vanilla flavouring
5ee6b30673fc5a3db255917477ac1f8ce5ef4163,vanilla pod flavouring
2333de8b0a60405d32e15baa51bfcca71ffbeed9,concrete insulating materials
073b8fa1f4311b012a6febdc25ab263fd58f38ad,cork insulating materials
6a22cf7a1ead79cac4a83a2257e517850b604490,fibre insulating materials
b38b332e32ed8bdcb5003d2395f49fb005ca3840,colour free preservative free drink
9d6d085de40b0bdffc624b12bf6dc7c45bdf88b5,preservative free honey
6dfc2b0c184d7c1945b81432eef1c22d34ff5d4d,preservative free prune
0c6e4fc0b488b3339abfe655ccbd4b771705594f,cargo transport
b29c90d68f6145dcaa5670c6d0f07792a1ebe14b,air cargo pallets
8e818165c12dd34293204101c25ce316a24d73d4,cargo transport with tankertrucks
4d2c2edcb2fb4f5c8d385ab87e6ef06e3c2025be,transport of cargo on pallets
038436e443fcb70a0e8c1f09b3ba104f9b8ebc49,tools for disabled persons
757947cdd7eb51599ccae42c76fa8d1f6039fc34,transport of disabled persons
7ed45e90b68809c83797c341fde19d297ef0ec96,dbk exclusive gmbh
d26a371bd00150f00d7efac7ad580c8f9cda1d6e,exklusiv gmbh
495524e46babcd297bd56d6c0e040a007fb9a7c7,custom-made perforated plates
24df4bbcb32d53163607cc29dea76a0950cce1f0,perforated plate filter
047e979d618420abfc689fac67caf1dc8be68686,martial arts - garments
8c8be9c2f742d7f807d237275d189f101a3e23cf,martial arts equipment
f06dfc9e96a4c3f143d5d96bc89afb7ba271a638,mav export gmbh
b4194a483c28342b5880344c786a6c22a3bfa497,plm export gmbh
50e691cb9e0f57a25e9c0e7b607bf7ee1021920e,control technology for engine test benches
6b897cf8b70608015587e3190f6894f9dedc3f89,measuring technology for engine test benches
7cf6e1eda076a8a7f9b0f68e41783ce8913e217d,buying surplus aircraft passenger seats
4beb42f217953ae7cae7b610a5882451d147397d,selling surplus aircraft passenger seats
783773840d550f01d002a78722d636aa41bb2113,plaster sprayers for the building trade
e6d121c9ea7a2b7d2d4790330d6d87b5669a8629,sprayers for the building trade
e684ac980910cc380db83ad90e97fcaaf00e94ff,anti-wear
f71ab36f71f7a9c9118038da813c5a73d48ce9db,anti-wear equipment
e59cfbc509232a78dcdd6a29cbb7abe7173415ec,air flow meter
fcfd783c4d30111d905b5ebc344eb42459beecfc,flow meter
d5863e1f156570b6630607be3d68337614fb4492,flow meters for gaseous media
4d31c1942323a7641a34e8bc0cf929814484dc8c,mass flow meter
13c3ec02a7babad01ac35294afefbdd3a5e085fd,flow measurement technology
d5d1d2e2c39bd0f34c2597c9659270f420c9b851,measurement technology
55f09d1182e99d120b949dd647d1a94382246450,production measurement technology
767327d64af24e908de6481cc8c782ca10252e2e,architectural studies for lake works
68f9fb641355177254e075c671b09201edca1749,architectural studies for river works
2a3582af39b34c53b6eea7997315683be10b79f2,architectural studies for sea works
e45e4dccc55bebf1b5d223f0c70282a5f99b401a,equipment for river work
1ab20ff810ebead48aa33fa6547c051ad466eceb,lake work
d1acdec8149a6bfa5b9afa1f8cdbd94234563e47,machinery for river work
11892be796ce86cb88ae92071fd86f0fad8930c7,river work
d67971d0548e8938494abc02ff7392d629b077dc,equipment for marine work
152106d764cbafb029b90b464bfc9f46b8db4985,machinery for marine work
eb2d01bce4908846e78c984a3a085141ac498d6e,marine work
920eee2e28607afdc8ba7e999f65216ca26167a0,low voltage industrial electrical systems
23cf4235457ce091231ba25ebc02b302af14f457,medium voltage industrial electrical systems
c53866a2534cce0722f236189fdada54f867b483,deep-frozen organic condiments
f5845b1f11cbe91b9c817ab0f95e9f3e29c9496b,deep-frozen organic herbs
7b5cc8d652d60d4f91cfc3cc220b6c8c431c0125,"organic preparations, deep-frozen"
10b2a7c893215242771511bdb52a279e1bc3469d,alcoholic aperitifs
d13241c919ff306ad5f0af67ec9465fda621d60a,aperitifs
4cf6cbca7fbf04b239002165525b29cd9538809c,"aperitifs, non-alcoholic"
c8c1716cf28668d12f347284a6a300fd2942f2b5,hydraulic test instruments
c799475e9b03bc65c7ddcecf2c3c513fa5353927,static test instruments
654e71ad75f9f53ffd519667e679b606c8e91b04,tensile test instruments
889f6aa2c513e4333fbc5a53c090817e5f813755,test instruments
b254c1f3b2a28e48273557ed9e9df5b387f70541,test instruments for building land
1db19b78004f75be1dcbbee22e4e87c375e446eb,test instruments for enamels
67c10db6a5a73ebd0c1d4286d81399643bb23867,test instruments for paints
6688998b0679c64c0a89b29a50a136db475e8aa2,test instruments for varnishes
cf4d7bf71c69e7dc05225e25e2ff46895af46a3e,thermal test instrument
2befa80406d62ee4469648268d7f6ee0b2f769e6,aluminum high pressure die casting
84e03ee076143274c442be54ea585756a2463ae4,high-pressure zinc die-casting
1b195c8f1df123769dac86897f57c65ba10718c1,fire prevention
37b39bd5052768c9f36f89f82d810ec2d22a3931,fire prevention equipment
af0a88a76588cdd481ab8a6864e8806112ca3cc8,fire prevention systems
adad8b7b8ad28975db778614c004a2eb573a4f6d,fire prevention treatments
2332c7be6cb096c2cf6d6d3b489e024a9640e90c,passive fire prevention
6811d4774a3cea686f6d612f7e156c4902bcef94,ceramic indoor flooring for industrial buildings
1842fc40e5724b3b7fc87f0d8b40a25c010ab807,industrial flooring
5150c4dc34769956e53026b76cadb28c0da84c50,industrial indoor flooring
b12276df95a32210c1be05b254ae9794a2aa116d,mosaic indoor flooring for industrial buildings
9d075cea9ed6ec9105461060d8e2f8a01db0cac2,rubber flooring - industrial
02b39785d8f444fe9e03fa59418886a73ab88278,additive concentrates for the plastics industry
085819493920412aca7558716456957c611a4640,additives for the plastics industry
8f8873370ad70608bdf6b5effc7382ef98131b15,leaf springs made from glass-fibre-reinforced plastic (grp)
5ef458d10f6fe0a67f6d10a42a2513ec41f26f2a,vehicle components made from glass fibre-reinforced plastic (grp)
268838b18e06f8a38a162f6622671e456c848542,"precision parts, water jet cut"
d4e7b535359279b193ccce41d66283ee5973b325,spare parts for water jet cutting systems
5e2bc16f10ad0a9b2eaacde9f67f99c7f1c64b00,high-pressure cleaners
b012258a350d778401c2ab8da531791778e74937,high-pressure jet cleaners
a6faf324a7824a82815f49fe01752960fa64046b,high-pressure road cleaners
d9180b12eacec9f8ee5901a319fe99568c8ac54d,special high-pressure drying systems
5ac39f8a26516663cf2ecfc59131892f350e52b1,special high-pressure washing systems
2ab973c5f1a7b3c28f2c0f46b489be54d7865ef7,machinery manufactured for making polish nalesniki pancakes
3a3d54204673142a92f96ff9eb58539356ef4f56,pancake-making machinery
1a68fe7374c81e6f92abef7e4b37477552159a7d,adaptable parts for public works machinery
da6ec4c60e0f2412566e0f1c4b68ca457134563e,original spare parts for public works machinery
2466301a7c5ae6047a962e2df6c07c1456a30dc8,spare parts for daewoo public works machinery
cf522b3f5487976ce14b611a368f71d278907a08,spare parts for public works machinery that can be adapted to kubota equipment
ae2230d90cbd3230659bb4713cf97d99b76d30b9,export of supermarket products
4819eaa9a740f6572e87f32b8068c348bdeb3780,import export supermarket products africa
79e7271281f652f3ad0f4a1a7fea6bb63f270511,products for supermarket in africa
c847ea1c3d2d5666eafa671cffb4316b6c845eca,anti static eliminator
6b999d091088b987e5395941018ebe973c5cc1ff,static eliminators
74d8281d511a50a6cf249c5ca0ddbabdb37e504b,anti-corrosive
2d99f6bd789b99f8b5c833e62cd9068a32cd815d,anti-corrosive treatment
cf1ae58bda8e0182ad78b0b81b17413ab38196d3,environmental air monitoring
67f9935875fc8bb9e81d99133e5df8d266d3ac78,environmental monitoring
1af54242f74fae9c70103d843cd2da078e3d060a,environmental monitoring laboratories
38e720bad5037233fb7d37f70758c36ac048ffc1,environmental water monitoring
9a0aa5357b45c135013af3ef09481ea8dd85ad8c,car park fall prevention systems
14083d3979a99aa9d4f20a68daae21b80ced58f2,fall prevention systems
f591f6e1679b9f3babc8f29f2ccfd50101ad4bb5,biotechnological research for the food sector
bfd8f6e6fbed35c0852efb31600ab6c59a102c92,food sector research
f9debc6f65798805fc4a4c557a7e942bf2c126e1,industrial spraying
143c1af56a917cf2faa2ee78659a7407d64cba3a,autogenous welding
b08e1045e5b153eca0ce849501d29a47653b3487,autogenous welding machines
