products_id,products_and_services,clustered_id
164399edbf8e880dc2e856f50d51e720bd0a8abe,"fish, frozen and deep-frozen",a18df3877d3f9598d7c8fbae0adc2cad4acf37c6
b0d3c55743b1b858ec2843c8870116bb8af543fd,drilling and test boring - equipment,49659f8efe8d9a92455f0d378783469558ae7df1
b14c038972e6a52bfbf3ffbe77def57a62c5b9cf,well-management services,b14c038972e6a52bfbf3ffbe77def57a62c5b9cf
abadc2542b4b5c1ecfe41c22afb2347b1d9b65af,electronic data processing - software,35596a3df5495e2dc5d18cff45c58cadda91040c
60c58ad2ef34d96fae028f1039fab03dec9eb9a2,communication,60c58ad2ef34d96fae028f1039fab03dec9eb9a2
d0d1990bef6f8b079eca51882f41290774decf44,public relations agencies,d0d1990bef6f8b079eca51882f41290774decf44
d379f2ced32e7806893e4232fdbd0f9544146ae8,steels and metals - forming and cutting,2fa40299ce89696cf293717b65ef3ffd88914b16
20d8631bd54d2c718a32a8cf80bc910b0eab0648,steels and metals - machining,371c1d293c4af1c626cd10ac95b34b4492dd744d
6b91c2ca1f831dcafcc4c2a889b52f7e43d7e8d0,steels and metals - surface treatment and coating,fe263d7853a4de4e5c3e5bdd119c6ef2e874ba07
60f41e1221ace9420db85d4107fab3109a1eba58,"hand tools, non-power",60f41e1221ace9420db85d4107fab3109a1eba58
3437f6e23dd6dd939e30657a2aeffd8e2f89d7e9,portable power tools,3437f6e23dd6dd939e30657a2aeffd8e2f89d7e9
d5233a96a250ab119db7cdf6d94442b604e225be,"indoor and greenhouse plants, floristry",a70e516f5b921cbc4f28339cd45cb807399a8c76
0f3dd9f2eddddd9b3d46d56dcbf57409342f12f4,nurseries,02495a77275d3ac6a325652a43603f042528559b
0d6c83362fc84be935ad2ad2fbabd0208a3114fe,plastics - industrial products,0d6c83362fc84be935ad2ad2fbabd0208a3114fe
9a4f8475c8f2d0ceca9c7f5f945a6c3b91368217,furnishings - accessories and decorative objects,9babb162ea57bb97f913d63472202874abab670b
3b12ea31d5458a64b384de7f8efa70350eea0e3c,stationery,3b12ea31d5458a64b384de7f8efa70350eea0e3c
cd190a9cbbfec4de6bae736b55221641ef606924,architects - consultants,cd190a9cbbfec4de6bae736b55221641ef606924
e076792bee168c3fabbd09b2c3e8a7f0b3443ecb,"locks, bolts and keys",cfb20987c652f96645cbe938c75975711c90b160
db65bea44e905902ada8e14515fac95cde682fd5,protection and security services,e3dbcc9d10dff225227c443fc997f1e60cd3f42d
459887ad3eeaaeeba46c179bd8a2e0f60d8836ae,buses and coaches,32c70cebf110eedb8637b5e875a6c94f1ef6e8c5
571ff47c5bb8b8edbec94d3140e25d328d23afe9,travel and tourism,f7956b2763e6ff1741381e063233bb4d3c512568
dd43cd18c56b34dea7383204a1fb2850c16f2071,travel agencies,5cc328cbc63286094845b80fc45839872815c58f
fa3440b9219e863ed92cc6b7b67f82c70f29f33c,tour operators,64c3a0af13d863c945942f7cae3fcd1862890f11
f942c4f5e9a4848ff4c0d2c687a003adec074bff,coaches - international travel,c63c8ec7f6e2308874076f269e863af55d2cc22e
cddc17e7f295d9ce669fb1553e2df78bfa8146cd,painting - contractors,cddc17e7f295d9ce669fb1553e2df78bfa8146cd
adc0c1b245d5f767aadaa6df9a51c3c102cbb3fd,"stones, roofing",d9d9be51cdadcff584afb49cb325f1347648def7
57dcbc55e73b5c88c5056bf18c7f06280179ecb4,civil roofing,57dcbc55e73b5c88c5056bf18c7f06280179ecb4
62c43b601707f213a33697c0e8ed29e9b1d54ee7,electricity - works,62c43b601707f213a33697c0e8ed29e9b1d54ee7
dad992b0de6fef87739e86ef4791bb018f775d0d,staff and stucco,6876a4119b1fa3087ada51d6ec9f5cb297262d00
4d68f7e0d811d4fd42eb26d4ad5e04a6df7fad00,stoneware tiles,4d68f7e0d811d4fd42eb26d4ad5e04a6df7fad00
7b57f0f7995a0e1db8977486779be38d491aff2d,"hardware, building construction",608cb271bb7fb52c99a1a8e003e0f80f57fb41e1
