company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
interkom spa;agriculture_livestock;agriculture_import_export;;distributor;via gian lorenzo bernini, 20 | 80129 napoli - italy;napoli - italy;80129;italy;coffee and tea | wholesale coffee | cascara | coffee | coffee trading | raw coffee beans | green coffee | roasted coffee in beans | robusta coffee | selected coffee blends;founded in naples in 1977, interkom successfully markets unprocessed coffee from different countries. a specialist in the import and export of coffee, interkom select the best offers on the international green coffee bean market and monitors the product step by step from the producer country to delivery to its customers' warehouses. interkom, whose head office is in naples, is also established in ho chi minh city, vietnam.;;;registered office – parent company;True;1977.0;https://www.interkom.it/, https://www.interkom.it/conventional-coffee/, https://www.interkom.it/our-specialty-coffees-e-commerce/;;interkom-spa_seac000374315-001
lo casto s.r.l.;agriculture_livestock;agriculture_import_export;;agent/ representative;piazzale salvador allende 2 | 40064 ozzano dell'emilia - italy;ozzano dell'emilia - italy;40064;italy;food - import-export | agriculture - import-export | fresh fruits and vegetables | fresh fruit and vegetable importer exporter and wholesaler | lo casto;~lo casto works from bologna, italy and trades on the international fruit and vegetable market. it has been importing and exporting fresh fruit and vegetables for over 30 years. the company lo casto s.r.l. was founded in 2006.this firm has a notable experience in international trade and the commerce of fruit and vegetables, mostly in europe, building efficient, transparent and synergistic relationships between suppliers and clients. on one hand, we put customers in contact with a network of qualified suppliers, to the extent of offering them the best product, from vegetables to citrus fruit, summer fruit to the exotic ones; on the other hanf, we provide suppliers with the varied and affluent portfolio of customers, with which they begin to build solid and lasting work programs. the range of products offered is wide. we mainly offer cauliflower, pepper, tomato, orange, lemon, nectarines, peach and mango. spain, marocco, france and italy are the countries of origin of our products. we are characterized by a light organization, based on well-defined roles, flexible and highly professionalized. the current needs of operators in fruit and vegetables require a constant effort to find high-quality, high-performance solutions. this is why we are constantly updating our profrssional resources.~;1.0;10.0;registered office – parent company;False;2006.0;http://www.locasto.it/;;lo-casto-srl_00000004018290-295941001
persepoli srl;agriculture_livestock;agriculture_import_export;;manufacturer/ producer;piazza mentana 8, milano | 20123 milan - italy;milan - italy;20123;italy;agriculture - import-export | saffron | persian blue salt | organic saffron bio | rossoro;we hereby introduce ourselves as persepoli srl a company that deals with the direct supply of saffron harvested from agricultural fields in iran with several years of experience in production and export and packaging. we are proud to monitor all the procedures from the initial stage of planting, harvesting and processing until final step of packing which are carried out by our updated and proficient staff. our professional team are testing quality in certified and well-equipped laboratories to check chemical and microbiological measures in order to approach the most advanced international standards for a superior product. from 2018 our company obtained the organic certificate for the supply of organic saffron. our saffron is produced from some designated lands under a tracking code which is not allowed to be mixed up with other similar products without any identification. in addition we can supply "persian blue salt" which is most special salt in the world. it would be a pleasure for us to start a collaboration with your company. we are available to send you a sample of our products and, if necessary, to have a meeting. for any clarification we are available at our telephone or email. best regards, arman e.manesh persepolis srl piazza mentana 8, 20123, milan www.rossoro.org tel. 02 72021234 fax 02 89097811 cell: +39 3663163300;1.0;10.0;registered office;False;1984.0;http://rossoro.org/;;persepoli-srl_00000005398370-726294001
prime brasil caffè;agriculture_livestock;agriculture_import_export;;distributor;via tomas alva edison, 5 | 67051 avezzano - italy;avezzano - italy;67051;italy;agriculture - import-export | green coffee;we are a brazilian family business , with bases built in agribusiness and committed to to bring to the world what our lands can offer in a unique way, their best. since 1971 , we think ahead, always focused in what we do and so, we contribute, in a way effective, to feed the world and provide for all a better future. ​ our products are present in the main consumer markets, either through our direct operations or through our business partners. in the market for 30 years , our group is honored to remain familiar, but therefore based on a extremely professional management. our legacy is a relevant factor that we preserve today and we are convinced that it will be carried forward, as we have the third generation involved in the activities and motivated to shape agribusiness.;11.0;50.0;;False;;https://www.primebrasilcaffe.it;;prime-brasil-caffe_00000005469784-843299001
ehisexotics;agriculture_livestock;agriculture_import_export;;manufacturer/ producer;via santa gonda 36 prato | 59100 prato - italy;prato - italy;59100;italy;agriculture - import-export | charcoal;ehisexotics is a full-service exporting with a straightforward and unique distribution service. for close to a decade, we have been supplying some of the biggest names in the charcoal industry across the globe. behinde the big names and brands of charcoal you know in poland, turkey, portugal and italy. ehisexotics is made up of a group of highly skilled proffessional wo pays a lot of attention to quality in the 10+ year of experience our staff keep our product looking excellent for every category of export. ehisexotics is fully licensed by the government of nigeria where our production facility is situated and our offshore office in italy;1.0;10.0;;False;;;;ehisexotics_00000005289599-601464001
la colombina srl;agriculture_livestock;agriculture_import_export;;manufacturer/ producer;via roma, 83 | 84010 san marzano sul sarno - italy;san marzano sul sarno - italy;84010;italy;agriculture - import-export | peas | cauliflowers;la colombina is a farming business located in san marzano on the sarno in the marshes region, an excellent area for farm produce, where it produces, transforms and distributes fruit and vegetables. the colombino family devotes passion and professionalism to its harvests, guaranteeing a excellent quality standard. if you're looking for the best on the market, you're in the right place.;;;registered office – parent company;False;;;;la-colombina-srl_seac006760206-001
agroforniture srl;agriculture_livestock;agriculture_import_export;;wholesaler;via principe umberto, 161 | 95040 mazzarrone - italy;mazzarrone - italy;95040;italy;agriculture - import-export | fruit | vineyard | grapes | grape harvesting and grading;founded in 2008, agroforniture srl by the picarella brothers produces and sells igp grapes and table grapes. we respect product traceability standards, as well as european environmental preservation standards and those relating to the regular use of agricultural treatments, respecting maximum permitted residual values and strictly applying the haccp standard, so as to prevent any risk of contaminating the product.;;;registered office – parent company;False;2008.0;;;agroforniture-srl_seac003024306-001
agricola ci.da. srl;agriculture_livestock;agriculture_import_export;;wholesaler;contrada sant'andrea piccolo | 74120 taranto - italy;taranto - italy;74120;italy;agriculture - import-export | cauliflower and romanesco producer | cauliflower supplier | romanesco producer | table grapes producer;we specialize in the production and commercialization of different varieties of table grapes (e.g. vittoria, black magic, italia, red globe, crimson, flame, regal, palieri, autumn royal, autumn giant, sugraone), as well as cauliflowers and romanesco broccoli destined to large distribution in several european countries ensuring the highest quality.;101.0;200.0;;False;;http://www.agricolacida.it;;agricola-cida-srl_00000004687280-486425001
azienda agricola cuore verde;agriculture_livestock;agriculture_import_export;;distributor;ctr. conca d'oro | 96018 pachino - italy;pachino - italy;96018;italy;agriculture - import-export | crop services | foodstuffs export | fruit export | fruit distributors;azienda agricola cuore verde produces, pre-packs, markets and distributes wholesale vegetables. wholesale fruit and vegetables: fruit and vegetable growing, vegetable packing centre, vegetable pre-packing centre, distribution of vegetables and that's not all! qualified staff and years of experience guarantee the freshness and authenticity of our produce.;;;registered office – parent company;False;;;;azienda-agricola-cuore-verde_seac006073826-001
monophases srl;agriculture_livestock;agriculture_import_export;;wholesaler;via alois kuperion 28 | 39012 merano - italy;merano - italy;39012;italy;agriculture - import-export | hemp | b2b services;we are a green tech startup aiming to develop sustainable circular economy solutions for emerging raw materials or technological solutions which do not have a standard model of trade or utilisation on the market.;1.0;10.0;;False;2019.0;https://monophases.com/;;monophases-srl_00000005404760-737538001
step group italy global;agriculture_livestock;agriculture_import_export;;wholesaler;via fosse ardeatine 5/a | 04019 terracina - italy;terracina - italy;4019;italy;agriculture - import-export | basmati rice | italian kiwi | extravergine olive oil;we export italian kiwi and basmati rice from italy and extravergine olive oil only of best and selected quality. italian kiwi that we have is of only export quality . basmati rice imported from india of best quality and long grain rice.;1.0;10.0;;False;;http://www.oliveitalo.it;;step-group-italy-global_00000005281456-594934001
solution plus s.r.l.s;agriculture_livestock;agriculture_import_export;;wholesaler;via fratelli fontanot 21 | 34074 monfalcone - italy;monfalcone - italy;34074;italy;agriculture - import-export;we are an import and export agency from monfalcone. we supply food and agricolture product , biodegradabile product and fine clothing . we also provide service include website design , business card design and other business related consultancy .;1.0;10.0;;False;;https://www.solutionplus.it;;solution-plus-srls_00000005445271-783976001
societá pesciatina d'orticoltura ss;agriculture_livestock;agriculture_import_export;;manufacturer/ producer;via marconi 53 | 51012 pescia pistoua - italy;pescia pistoua - italy;51012;italy;agriculture - import-export | nurseries | nursery | olive trees;olive tree nursery, olive tree italian mediterranean variety olive tree grafted, olive tree auto rooted , 300.ooo plants for year in 60 different variety -- export in europe end out europe;;;;False;1927.0;http://www.spoolivi.it;;societa-pesciatina-dorticoltura-ss_ita321317-33782001
tred technology srl;agriculture_livestock;agriculture_import_export;;manufacturer/ producer;via giorgio perlasca 37 | 86025 ripalimosani - italy;ripalimosani - italy;86025;italy;agriculture - import-export | sieved tomatos | drying plant | systems and equipment for dairy products;the company tred technology srl, is a manufacturer/ producer, which operates in the agriculture - import-export industry. it also operates in the sieved tomatos, drying plant, and systems and equipment for dairy products industries. it is based in ripalimosani, italy.;;;;False;;https://www.tredtechnology.com;;tred-technology-srl_00000005484968-001
eliantus corporation srl;agriculture_livestock;agriculture_import_export;;wholesaler;via di quintino sella, 20 | 00187 roma - italy;roma - italy;187;italy;agriculture - import-export | wines | fuel | property sale and purchase | financial brokerage;the company eliantus corporation srl, is a wholesaler, founded in 2022, which operates in the agriculture - import-export industry. it also operates in the wines, fuel, property sale and purchase, and financial brokerage industries. it is based in roma, italy.;1.0;10.0;registered office;False;2022.0;https://www.eliantuscorporation.com;;eliantus-corporation-srl_00000004635776-444077001
frutta in coop.;agriculture_livestock;agriculture_import_export;;wholesaler;via sammartino n.49 | 90141 palermo - italy;palermo - italy;90141;italy;fruit | agriculture - import-export | agricultural production | sales services;the company frutta in coop., is a wholesaler, founded in 1980, which operates in the fruit industry. it also operates in the agriculture - import-export, agricultural production, and sales services industries. it is based in palermo, italy.;201.0;500.0;registered office;False;1980.0;http://fruttain.com/index.html;;frutta-in-coop_00000005514303-001
olio don cosimo;agriculture_livestock;agriculture_import_export;;manufacturer/ producer;c/da croce | 90012 caccamo - italy;caccamo - italy;90012;italy;olive oil | agriculture - import-export | extra virgin olive oil | extra virgin organic olive oil;the company olio don cosimo, is a manufacturer/ producer, founded in 1891, which operates in the olive oil industry. it also operates in the agriculture - import-export, extra virgin olive oil, and extra virgin organic olive oil industries. it is based in caccamo, italy.;1.0;10.0;registered office – parent company - subsidiary;False;1891.0;http://doncosimo.it;;olio-don-cosimo_00000004531604-334839001
azienda agricola careri giuseppe;agriculture_livestock;agriculture_import_export;;manufacturer/ producer;via cesare battisti, 11 | 89026 san ferdinando - italy;san ferdinando - italy;89026;italy;agriculture - import-export | kiwi fruit | fruit & vegetables | citrus trees | fruit and vegetable trade;the company azienda agricola careri giuseppe, is a manufacturer/ producer, founded in 1973, which operates in the agriculture - import-export industry. it also operates in the kiwi fruit, fruit & vegetables, citrus trees, and fruit and vegetable trade industries. it is based in san ferdinando, italy.;51.0;100.0;registered office – parent company;False;1973.0;;;azienda-agricola-careri-giuseppe_00000005385800-728607001
liberty fiskions;agriculture_livestock;agriculture_import_export;;wholesaler;via tosco romagnola, 731 | 56021 cascina - italy;cascina - italy;56021;italy;hemp - plants | agriculture - import-export | import/export service | hemp | cosmetics;the company liberty fiskions, is a wholesaler, founded in 2017, which operates in the hemp - plants industry. it also operates in the agriculture - import-export, import/export service, hemp, and cosmetics industries. it is based in cascina, italy.;1.0;10.0;registered office – parent company;False;2017.0;https://www.liberty-fiskions.com;;liberty-fiskions_00000005508803-001
coltiviamo lumache;agriculture_livestock;agriculture_import_export;;wholesaler;via roma 56 | 71045 orta nova - italy;orta nova - italy;71045;italy;agriculture - import-export | sale of local products;the company coltiviamo lumache, is a wholesaler, which operates in the agriculture - import-export industry. it also operates in the sale of local products industries. it is based in orta nova, italy.;201.0;500.0;;False;;http://www.coltiviamolumache.it;;coltiviamo-lumache_00000004629580-437417001
royal global group srls;agriculture_livestock;agriculture_import_export;;distributor;traversa ii di strada tavernola 5 | 80053 castellammare di stabia - italy;castellammare di stabia - italy;80053;italy;agriculture - import-export;the company royal global group srls, is a distributor, which operates in the agriculture - import-export industry. it is based in castellammare di stabia, italy.;1.0;10.0;;False;;https://www.royalcbdqueen.com;;royal-global-group-srls_00000005505992-001
santoro funghi srl;agriculture_livestock;agriculture_import_export;;wholesaler;via ariana km 8,6 | 00031 artena - italy;artena - italy;31;italy;agriculture - import-export | porcino mushroom (edible boletus) | golden agaric | young cocks | black truffles;the company santoro funghi srl, is a wholesaler, which operates in the agriculture - import-export industry. it also operates in the porcino mushroom (edible boletus), golden agaric, young cocks, and black truffles industries. it is based in artena, italy.;11.0;50.0;;False;;http://www.santorofunghi.it;;santoro-funghi-srl_00000004636994-445975001
aranceshop;agriculture_livestock;agriculture_import_export;;retailer;via domenico tempio 4 | 95048 scordia - italy;scordia - italy;95048;italy;agriculture - import-export;the company aranceshop, is a retailer, which operates in the agriculture - import-export industry. it is based in scordia, italy.;1.0;10.0;;False;;http://aranceshop.com/;;aranceshop_00000005305985-612641001
azienda agricola campobasso marco;agriculture_livestock;agriculture_import_export;;manufacturer/ producer;via toniolo, 38 | 74019 palagiano - italy;palagiano - italy;74019;italy;agriculture - import-export | organic farming | oranges | tangerines | organic citrus fruits;the company azienda agricola campobasso marco, is a manufacturer/ producer, founded in 1981, which operates in the agriculture - import-export industry. it also operates in the organic farming, oranges, tangerines, and organic citrus fruits industries. it is based in palagiano, italy.;;;registered office – parent company;False;1981.0;http://www.tenutadilagodanice.it;;azienda-agricola-campobasso-marco_00000005239215-001
azienda agricola altamura;agriculture_livestock;agriculture_import_export;;manufacturer/ producer;via lago carezza | 84098 pontecagnano faiano - italy;pontecagnano faiano - italy;84098;italy;agriculture - import-export | salads | rocket salad | spinach;the company azienda agricola altamura, is a manufacturer/ producer, which operates in the agriculture - import-export industry. it also operates in the salads, rocket salad, and spinach industries. it is based in pontecagnano faiano, italy.;;;registered office – parent company;False;;http://www.aziendaaltamura.com/;;azienda-agricola-altamura_00000005239214-001
la chiocciola messapica di l.c.;agriculture_livestock;agriculture_import_export;;manufacturer/ producer;c.da campofreddo | 74024 manduria - italy;manduria - italy;74024;italy;agriculture - import-export | snail breeding | cochlea | snails | animal breeding;the company la chiocciola messapica di l.c., is a manufacturer/ producer, which operates in the agriculture - import-export industry. it also operates in the snail breeding, cochlea, snails, and animal breeding industries. it is based in manduria, italy.;;;;False;;https://www.facebook.com/lachiocciolamessapica/;;la-chiocciola-messapica-di-lc_00000005380008-694652001
supreme di didonna michele e figli srl;agriculture_livestock;agriculture_import_export;;retailer;c.da incoronata nc | 70016 noicattaro - italy;noicattaro - italy;70016;italy;agriculture - import-export | fruit and vegetable trade | fruit export | table grapes;the company supreme di didonna michele e figli srl, is a retailer, which operates in the agriculture - import-export industry. it also operates in the fruit and vegetable trade, fruit export, and table grapes industries. it is based in noicattaro, italy.;51.0;100.0;registered office;False;;http://www.didonnasrl.it;;supreme-di-didonna-michele-e-figli-srl_00000004540134-337807001
cubeda piante;agriculture_livestock;agriculture_import_export;;wholesaler;via cimitero s.lucia sn | 95025 aci s.antonio - italy;aci s.antonio - italy;95025;italy;citrus fruits | agriculture - import-export | perennial plants | producer of palms | ornamental shrubs;the company cubeda piante, is a wholesaler, which operates in the citrus fruits industry. it also operates in the agriculture - import-export, perennial plants, producer of palms, and ornamental shrubs industries. it is based in aci s.antonio, italy.;;;;False;;https://www.vivaicubedapiante.it;;cubeda-piante_00000005487257-001
