company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
prosol s.p.a.;agriculture_livestock;animals_livestock;;manufacturer/ producer;via carso 99 | 24040 madone - italy;madone - italy;24040;italy;food supplements | nucleotides | natural flavours | inactive yeast | active feed yeast;prosol shapes innovative solutions for a wide range of nutritional products. since the beginning of its activity, in 1974, prosol has been governed by its core values: innovation and biotechnology research in each of its business area. prosol manufactures nutritional ingredients for infant formula, food and animal nutrition supplements, to improve immune response, performance and enhance food taste while respecting natural processes. thanks to its in-house developed technology, prosol production is totally sustainable, without the use of organic chemical solvents. prosol is one of the three major world producer of ribonucleic acid (rna) from yeast through organic solvents free process and one of the very few in europe. prosol projects, studies and develops the following concepts: - ribonucleic acids (rnas) and nucleotides for infant formula, dietary supplements, ffoods and animal nutrition. - the last year research resulted in three new brands targeted to contribute to critical breeding phases in different animal species: i-care, swinemod, petmod - petmod-artro, petmod-intestinal, petmod-leimun: a brand new line of pet complementary feeds based on nucleotides, specifically seized on specific nutritional needs - ribodiet: recent studies confirmed to be beneficial as support in the most common neurodegenerative diseases - active saccharomyces cerevisiae yeast additives for animal nutrition. prosol is iso9001, iso14001, gmp+, ifs, ohsas 18001 certified.;11.0;50.0;registered office – parent company;False;1974.0;http://www.prosol-spa.it;;prosol-spa_00000004572581-404376001
union bio s.r.l.;agriculture_livestock;animals_livestock;;manufacturer/ producer;via grandi achille 87 c | 52100 arezzo - italy;arezzo - italy;52100;italy;animals & livestock | insect repellents | animal care products | natural product;the company union bio s.r.l., is a manufacturer/ producer, founded in 2000, which operates in the animals & livestock industry. it also operates in the insect repellents, animal care products, and natural product industries. it is based in arezzo, italy.;;;registered office – parent company;False;2000.0;http://www.unionbio.it;;union-bio-srl_seac000490057-001
itagri;agriculture_livestock;animals_livestock;;manufacturer/ producer;via silvio pellico 15 | 26030 solarolo rainerio - italy;solarolo rainerio - italy;26030;italy;animals & livestock;the company itagri, is a manufacturer/ producer, which operates in the animals & livestock industry. it is based in solarolo rainerio, italy.;1.0;10.0;registered office;False;;http://www.itagri.it;;itagri_00000005256172-571188001
ferrzootecnia di ferraroni fabio;agriculture_livestock;animals_livestock;;manufacturer/ producer;via belgio 16 | 37135 verona - italy;verona - italy;37135;italy;drinking troughs | animals & livestock | infrared lamps | abbeveratoi antispreco | infrared ray thermometers;the company ferrzootecnia di ferraroni fabio, is a manufacturer/ producer, which operates in the drinking troughs industry. it also operates in the animals & livestock, infrared lamps, abbeveratoi antispreco, and infrared ray thermometers industries. it is based in verona, italy.;;;;False;;https://www.ferrzootecnia.it;;ferrzootecnia-di-ferraroni-fabio_00000005520568-001
rao farmaceutici srl;agriculture_livestock;animals_livestock;;;;;;italy;;;;;;False;;;;rao-farmaceutici-srl_00000005473734-001
pm trade srls;agriculture_livestock;animals_livestock;;wholesaler;ss89 km. 172,300- lotto a71 | 71043 manfredonia - italy;manfredonia - italy;71043;italy;animals & livestock;the company pm trade srls, is a wholesaler, which operates in the animals & livestock industry. it is based in manfredonia, italy.;;;;False;;;;pm-trade-srls_00000005278033-591698001
veneroni s.r.l.;agriculture_livestock;animals_livestock;;manufacturer/ producer;8 via della resistenza | 26020 formigara - italy;formigara - italy;26020;italy;irrigation and sprinkling systems | animals & livestock | livestock raising - machinery and equipment;the company veneroni s.r.l., is a manufacturer/ producer, founded in 1957, which operates in the irrigation and sprinkling systems industry. it also operates in the animals & livestock, and livestock raising - machinery and equipment industries. it is based in formigara, italy.;11.0;50.0;registered office;False;1957.0;http://www.veneroni.it;;veneroni-srl_seac000045840-001
mundis s.n.c. di galiotto giuliano e c;agriculture_livestock;animals_livestock;;retailer;25/j via vittime 11 settembre 2001 | 41049 sassuolo - italy;sassuolo - italy;41049;italy;livestock raising - machinery and equipment | animals & livestock | branding equipment;the company mundis s.n.c. di galiotto giuliano e c, is a retailer, founded in 1999, which operates in the livestock raising - machinery and equipment industry. it also operates in the animals & livestock, and branding equipment industries. it is based in sassuolo, italy.;;;registered office;False;1999.0;http://www.mundis.it;;mundis-snc-di-galiotto-giuliano-e-c_seac000752676-001
e.d.g. di lerda fratelli s.n.c.;agriculture_livestock;animals_livestock;;manufacturer/ producer;45/b via castelletto | 12022 busca - italy;busca - italy;12022;italy;sun protection, interior and exterior | feeds for animal farming | animals & livestock;the company e.d.g. di lerda fratelli s.n.c., is a manufacturer/ producer, founded in 1979, which operates in the sun protection, interior and exterior industry. it also operates in the feeds for animal farming, and animals & livestock industries. it is based in busca, italy.;;;registered office;False;1979.0;http://www.paginebianche.it/edgmanufattiincemento-busca;;edg-di-lerda-fratelli-snc_seac000163930-001
lubing system s.r.l.;agriculture_livestock;animals_livestock;;manufacturer/ producer;33 via polo marco | 35011 campodarsego - italy;campodarsego - italy;35011;italy;livestock raising - machinery and equipment | animals & livestock | branding equipment;the company lubing system s.r.l., is a manufacturer/ producer, founded in 1995, which operates in the livestock raising - machinery and equipment industry. it also operates in the animals & livestock, and branding equipment industries. it is based in campodarsego, italy.;11.0;50.0;registered office;False;1995.0;http://www.lubing.it;;lubing-system-srl_seac000044732-001
iabichella s.p.a.;agriculture_livestock;animals_livestock;;manufacturer/ producer;contrada s. giacomo | 97100 ragusa - italy;ragusa - italy;97100;italy;feeds for animal farming | animals & livestock | premix for livestock and poultry;the company iabichella s.p.a., is a manufacturer/ producer, founded in 1992, which operates in the feeds for animal farming industry. it also operates in the animals & livestock, and premix for livestock and poultry industries. it is based in ragusa, italy.;11.0;50.0;registered office;False;1992.0;http://www.iabichella.it;;iabichella-spa_seac000225760-001
