company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
coop melissa;agriculture_livestock;beekeeping_and_silk_culture;;manufacturer/ producer;via san lorenzo 1 | 03030 castelliri - italy;castelliri - italy;3030;italy;beekeeping - machinery and equipment | beekeeping and silk culture | honey | beehives | bee smokers | beehives | stainless steel containers for honey | bee products | production and processing of honey | smelters;cooperativa melissa is a company that handles: beekeeping clothes, beehives, beekeeping equipment, honey cosmetics, dosers, wax foundation sheets, settling tanks, pollen, beekeeping products, wax melters, varroa treatments, bee smokers, bee candies, beekeeping gloves, masks, bee medicines, beehive products, beehive frames, bee food, centrifuges, stainless steel honey containers, honey extractors.;;;registered office – parent company;True;1986.0;https://www.apicoltura.com/it/, https://www.melissa.it/;;coop-melissa_seac000455862-001
apis - materiale apistico;agriculture_livestock;beekeeping_and_silk_culture;;retailer;via don giovanni minzoni 81 | 28050 pombia - italy;pombia - italy;28050;italy;beekeeping and silk culture | beekeeping - machinery and equipment | queen bee rearing | hive hardware | beehives | bee smokers | products for beehives | beehive feeders | honey mixers | stainless steel containers for honey;apis is a company that is specialised in supplying beekeeping products and equipment. we offer a wide beekeeping product and equipment range and provide support for more or less expert beekeepers. on sale you can find clothing, accessories, hives, wax foundation sheets, laboratory equipment, honey containers, varroa treatments and much more. our warehouse is stocked with all that you need, both in regard to products as well as to beekiping equipment.;1.0;10.0;registered office – parent company;True;;https://www.apisoleggio.it/shop/;;apis-materiale-apistico_seac011503514-001
apicoltura fiorilandya;agriculture_livestock;beekeeping_and_silk_culture;;retailer;via fosso dei leoni, 21 | 80049 somma vesuviana - italy;somma vesuviana - italy;80049;italy;beekeeping and silk culture;the company apicoltura fiorilandya, is a retailer, which operates in the beekeeping and silk culture industry. it is based in somma vesuviana, italy.;51.0;100.0;;False;;http://fiorilandya.altervista.org;;apicoltura-fiorilandya_00000004702423-499551001
mondo ape srls;agriculture_livestock;beekeeping_and_silk_culture;;retailer;via serri 1/5 | 42030 viano - italy;viano - italy;42030;italy;beekeeping and silk culture | beekeeping;the company mondo ape srls, is a retailer, founded in 2014, which operates in the beekeeping and silk culture industry. it also operates in the beekeeping industries. it is based in viano, italy.;1.0;10.0;registered office – parent company;False;2014.0;http://www.mondoape.it;;mondo-ape-srls_00000004608075-420198001
mulino del frate az. agricola;agriculture_livestock;beekeeping_and_silk_culture;;manufacturer/ producer;via la torre 17 roncobilaccio | 40035 castiglione dei pepoli - italy;castiglione dei pepoli - italy;40035;italy;beekeeping and silk culture;the company mulino del frate az. agricola, is a manufacturer/ producer, which operates in the beekeeping and silk culture industry. it is based in castiglione dei pepoli, italy.;1.0;10.0;;False;;http://shop.mulinodelfrate.it;;mulino-del-frate-az-agricola_00000005359481-658226001
apicoltura laterza;agriculture_livestock;beekeeping_and_silk_culture;;manufacturer/ producer;via san francesco 26/g | 74011 castellaneta - italy;castellaneta - italy;74011;italy;beekeeping and silk culture | beekeeping | honey and derivatives | queen bee rearing | production of swarms;the company apicoltura laterza, is a manufacturer/ producer, which operates in the beekeeping and silk culture industry. it also operates in the beekeeping, honey and derivatives, queen bee rearing, and production of swarms industries. it is based in castellaneta, italy.;101.0;200.0;;False;;https://www.apicolturalaterza.it/it/;;apicoltura-laterza_00000005237106-732419001
gapchemicalitalia srl;agriculture_livestock;beekeeping_and_silk_culture;;manufacturer/ producer;via nazario sauro 4 | 40121 bologna - italy;bologna - italy;40121;italy;beekeeping and silk culture | organic fertilizers | organic manures;the company gapchemicalitalia srl, is a manufacturer/ producer, which operates in the beekeeping and silk culture industry. it also operates in the organic fertilizers, and organic manures industries. it is based in bologna, italy.;1.0;10.0;;False;;https://www.gapfertilizzanti.com;;gapchemicalitalia-srl_00000005377359-690645001
stale materiale apistico;agriculture_livestock;beekeeping_and_silk_culture;;retailer;località bianchi, 5 | 10062 luserna san giovanni - italy;luserna san giovanni - italy;10062;italy;beekeeping and silk culture;the company stale materiale apistico, is a retailer, which operates in the beekeeping and silk culture industry. it is based in luserna san giovanni, italy.;1.0;10.0;;False;;http://www.stale.it;;stale-materiale-apistico_00000005305309-611181001
apicoltura bonetti;agriculture_livestock;beekeeping_and_silk_culture;;retailer;cascina valsorda superiore | 24050 torre pallavicina - italy;torre pallavicina - italy;24050;italy;beekeeping and silk culture | beekeeping | honey | royal jelly;the company apicoltura bonetti, is a retailer, which operates in the beekeeping and silk culture industry. it also operates in the beekeeping, honey, and royal jelly industries. it is based in torre pallavicina, italy.;1.0;10.0;;False;;http://www.aziendabonetti.it;;apicoltura-bonetti_00000004607889-419897001
apicoltura biologica rippa;agriculture_livestock;beekeeping_and_silk_culture;;manufacturer/ producer;strada comunale del principe 13 | 80145 napoli - italy;napoli - italy;80145;italy;beekeeping and silk culture;the company apicoltura biologica rippa, is a manufacturer/ producer, which operates in the beekeeping and silk culture industry. it is based in napoli, italy.;1.0;10.0;;False;;http://www.rippapicoltura.it;;apicoltura-biologica-rippa_00000005030319-551228001
