company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
antonino caudullo srl;agriculture_livestock;dried_fruits;;manufacturer/ producer;viale regina margherita 132 | 95034 bronte - italy;bronte - italy;95034.0;italy;dried fruits | fruit export | items for ice cream parlours | dried fruit | pistachio flakes | almond processing | semi-finished products | shelled almonds | shelled almonds | pistachios;the finest local produce in all its forms: pistachios in the shell, shelled or peeled, flakes, flour or paste. outstanding raw materials obtained using procedures that deliver total transparency in terms of the product's processing, quality and origin. family caudullo has been processing and trading nuts since the fifties 50. especially the pistachios that are produced in the bronte area.;;;registered office – parent company;True;;http://www.antoninocaudullo.com;;antonino-caudullo-srl_seac000932606-001
befer fruit srl;agriculture_livestock;dried_fruits;;wholesaler;via canali, 16 | 40127 bologna - italy;bologna - italy;40127.0;italy;vegetables, edible roots and tubers | fruit | import of fruit | import of vegetables | fruit importers | fruit and vegetable wholesaler | wholesale of fruit | fruit & vegetables | wholesale of vegetables | dried fruit;import and export of fruit and vegetables befer fruit srl in bologna has, since 1980, been working as a fruit and vegetable wholesaler whose head office is situated at the bologna agri-business centre, the caab, and has over 30 years' experience in this sector. every day, great care and attention is paid to the produce purchased directly from the place of production to ensure maximum freshness and quality. befer fruit supplies wholesalers, small and medium-scale distribution outlets throughout italy. also, import of stocks from abroad possible by special order.;;;registered office – parent company;True;1980.0;http://www.beferfruitbologna.eu;;befer-fruit-srl_seac002399613-001
la casareccia;agriculture_livestock;dried_fruits;;distributor;via stabia, 438 | 80057 sant'antonio abate - italy;sant'antonio abate - italy;80057.0;italy;tinned foods | vegetables, preserved | dried fruits | canned pulses | canned vegetables | canned tomatoes | canning industry supplies | vegetables | trifolati mushrooms | packaged lentils;la casareccia, with registered office in via stabia, sant'antonio abate (na), italy, is a company that preserves food, from tomatoes to legumes, vegetables selected and packaged with the utmost care. the company meets the required uni en iso 9001 – accredia – cermet – brc food certification standards.;;;registered office;True;;https://lacasareccia.it/;;la-casareccia_seac001805421-001
agri cereal mandorle;agriculture_livestock;dried_fruits;;wholesaler;contrada mariano snc | 93016 riesi - italy;riesi - italy;93016.0;italy;fruits, dried | almond processing | wholesale almonds | agri cereal mandorle | almonds | almonds from sicily | dried fruit | supply of almonds | shelled almonds | sale of almonds;the almond used by bakers and confectioners to make nougat, biscuits, marzipan, almond milk, ice-creams and granitas. an unquestioned pastry item that has countless applications for all sweet and savoury food solutions. agri cereal mandorle is one of the best known companies in sicily in regards to trading and processing high quality standard and organic almonds. this thanks to the innovative technological equipment it uses.;;;registered office;True;1974.0;http://www.agricerealmandorle.com;;agri-cereal-mandorle_seac004661449-001
gi e gi di v. giuffrida;agriculture_livestock;dried_fruits;;wholesaler;via tripoli 85 | 95040 camporotondo etneo - italy;camporotondo etneo - italy;95040.0;italy;dried fruits | packed pistachios | dried mushrooms | packed pine nuts | spices | cherries | tinned capers | legumes;the company gi e gi di vincenzo giuffrida is specialised in trading spices, dried mushrooms, natural flavourings, beans, nuts, candied fruit, capers. ever since it started, the company has been typically a craft-type business. the production cycle is based on the best types of dried mushrooms, natural flavourings, beans, nuts, candied fruit that are carefully selected every day according to their quality and origin.;1.0;10.0;registered office – parent company;True;;https://www.giegispezie.it/;;gi-e-gi-di-v-giuffrida_seac000911383-001
oltresole srl;agriculture_livestock;dried_fruits;;distributor;via carlo zotti 20 | 47122 forlì - italy;forlì - italy;47122.0;italy;food - import-export | organic farming | dried fruit | toasted dry fruits | supplies for restaurants;the company oltresole srl, is a distributor, which operates in the food - import-export industry. it also operates in the organic farming, dried fruit, toasted dry fruits, and supplies for restaurants industries. it is based in forlì, italy.;1.0;10.0;registered office;True;;https://www.oltresole.com/;;oltresole-srl_seac010022521-001
ekoterra food srl;agriculture_livestock;dried_fruits;;multi-category;turin | 10153 turin - italy;turin - italy;10153.0;italy;freeze-dried fruit | organic tomato paste | organic fruit vegetable powder | organic semi dried tomato | fruit juice concentrates;since 2002, ekoterra food ingredients offers all-natural and organic food ingredients from turkey, italy and other eu countries for the best quality and price target. based in turin, italy we work b2b in bulk, either directly from producer delivery to buyer, or import in eu and distribute within eu. we directly represent producers who work with fruits and vegetables grown in contracted farms or on their own lands. we shorten the supply chain with elevated quality and best possible price.our focus is to serve companies with transparent, traceable and certified quality guarantees with best logistic solutions. we supply air-dried, freeze-dried fruit pieces, fruit powders(apple, banana, peach, kiwi, watermelon, goji berry, pomegranate, apricot, figs, sultana, mandarin, melon, orange, pear, persimmon, plum, raspberry, sour cherry), vegetable pieces, vegetable powders(tomato, spinach, beetroot, carrots, black carrots), herbs and spices (oregano, thyme, cumin, anise, fennel, rosemary, sage), conventional and organic fruit juice from concentrates and nfc(apple, apricot, pomegranate, carrot, sour cherry, lemon, orange, peach, pear, black carrot, red beet), nfc fruit juices, sun dried apricots, figs, hazelnuts(kernels, meals and pastes), pistachios, lentils, chickpeas, superfood ingredients, plant based proteins and tomato pastes. we are constantly expanding our organic ingredient offerings that are offered directly from organic growers and manufacturers in turkey, italy and eu.;1.0;10.0;registered office;False;2002.0;https://www.ekoterrafood.com;;ekoterra-food-srl_00000005431616-770174001
bio nocciola;agriculture_livestock;dried_fruits;;manufacturer/ producer;zona industriale strada massarella loc. capannelle snc | 01030 carbognano - italy;carbognano - italy;1030.0;italy;dried fruits | hazelnuts | hazelnut grain paste flour | packaged hazelnuts | whole and shelled hazelnuts;our heart beats only for a product and today we position ourselves in the first places in the world market for the quality and excellence of our hazelnuts and its semi-finished products. we sell hazelnuts mainly sourced locally (lazio) but also from several other italian regions and around the world such as turkey georgia azerbaijan. our hazelnuts products are: natural whole kernels, roasted kernels, roasted grain, roasted flour and 100% hazelnut paste. our product is aimed mainly to the food industry, confectionery and small artisan businesses for fresh consumption. we can provide a product that is tailored to our clients requests. our strength finds its roots in our history, in the experience accumulated over six decades. experience that goes from cultivation to process a jewel of our lands, the hazelnut.;11.0;50.0;registered office;False;1999.0;http://www.bionocciola.it;;bio-nocciola_00000005305503-611720001
spitaleri s.r.l.;agriculture_livestock;dried_fruits;;manufacturer/ producer;c/da sciarotta | 95034 bronte - italy;bronte - italy;95034.0;italy;dried fruits | crushed pistachios | packed pistachios | semi-finished products for ice cream bars | packaged hazelnuts;~presenti nel territorio di bronte, famoso per il suo pistacchio verde di bronte dop, la spitaleri s.r.l. ha iniziato la sua attività con la sgusciatura dell'oro verde, con annessa lavorazione e commercializzazione di pistacchio, mandorle e nocciole locale. dopo anni di attenta selezione importiamo le migliori varietà estere di frutta secca nel pieno rispetto dei nostri standard qualitativi, garantendo prodotti con prezzi e qualità vantaggiose. di recente la creazione del marchio exedis nato dall'idea di offrire ai nostri clienti un prodotto ricercato e di qualità. ci ispiriamo al principio che chiunque prepari una pietanza sappia scegliere i migliori ingredienti per far gustare con piacere ciò che si mangia; per questo il marchio si rivolge principalmente ad addetti del settore, che sanno manipolare con cura le materie prime creando il piatto finito, sia esso dolce che salato. riforniamo pasticcerie, gelaterie, aziende che operano nella trasformazione, nella ristorazione, ed operatori all'ingrosso del settore, garantendo un servizio personalizzato e un prodotto di altissima qualità.~;1.0;10.0;registered office – parent company - subsidiary;False;2012.0;https://www.pistacchioenonsolo.it/;;spitaleri-srl_seac003012537-844784001
uniesport srl;agriculture_livestock;dried_fruits;;wholesaler;via fratelli cervi 33 | 01038 soriano nel cimino - italy;soriano nel cimino - italy;1038.0;italy;dried fruits | hazelnuts | almonds | almond paste | toasted hazelnuts;uniesport company is the direct producer of hazelnuts tonda gentile romana and derivatives like roasted hazelnuts, diced roasted hazelnuts, powder of roasted hazelnuts and hazelnut pasta, both conventional and organic products. we also export different types of dried fruits as well as different types of semi-finished products: almond paste, pistachio paste, pine nuts paste, tiger nuts paste, walnut paste, the same thing for grain and flour. we began in the sixties in viterbo province, almost 60km from rome in the district of soriano nel cimino, an area extensively used for hazelnut production. in this renowned region we own more than 100 hectares of hazelnut trees. in the year 1996 we entered into a partnership with cooperative ecolazio, which brings together more than 200 of the area’s farmers. all the raw ingredients harvested by the cooperative’s farmers are processed on an exclusive basis by uniesport, the cooperative’s trusted, preferred partner. in order to satisfy the demands of the confectionary industry, our company has grown to cover an area of approximately 9000m2, incorporating various buildings and plants in order to provide our finished products. our most well-known product is the “hazelnut tonda gentile romana”, which we have proudly produced for over 20 years. in order to offer our customers the widest possible selection of products, we also collaborate with the best producers of italian almonds, walnuts of sorrento, pine nuts and pistachios.;11.0;50.0;;False;1965.0;https://www.uniesport.it;;uniesport-srl_00000005466322-838336001
