company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
idreco s.p.a.;agriculture_livestock;fruits_vegetables;beetroot;manufacturer/ producer;15 via nenni pietro | 27058 voghera - italy;voghera - italy;27058;italy;engineering - industrial contractors | plants and equipment for the production of beet sugar | water clarification plants and equipment;the company idreco s.p.a., is a manufacturer/ producer, founded in 1976, which operates in the engineering - industrial contractors industry. it also operates in the plants and equipment for the production of beet sugar, and water clarification plants and equipment industries. it is based in voghera, italy.;11.0;50.0;registered office;False;1976.0;http://www.idreco.com;;idreco-spa_seac005038624-001
brazzoli marco;agriculture_livestock;fruits_vegetables;beetroot;;7 via garibaldi | 26010 capergnanica - italy;capergnanica - italy;26010;italy;bedding plants, bulbs and seeds | grass seeds | sugar-beet seeds;the company brazzoli marco, founded in 1991, which operates in the bedding plants, bulbs and seeds industry. it also operates in the grass seeds, and sugar-beet seeds industries. it is based in capergnanica, italy.;;;registered office;False;1991.0;;;brazzoli-marco_seac003822639-001
hortus sementi s.r.l.;agriculture_livestock;fruits_vegetables;beetroot;wholesaler;1818 via emilia | 47020 longiano - italy;longiano - italy;47020;italy;bedding plants, bulbs and seeds | grass seeds | sugar-beet seeds;the company hortus sementi s.r.l., is a wholesaler, founded in 1993, which operates in the bedding plants, bulbs and seeds industry. it also operates in the grass seeds, and sugar-beet seeds industries. it is based in longiano, italy.;11.0;50.0;registered office;False;1993.0;;;hortus-sementi-srl_seac002425925-001
c.a.m.p.i. (s.r.l.);agriculture_livestock;fruits_vegetables;beetroot;service provider;15 via diamantina | 44122 ferrara - italy;ferrara - italy;44122;italy;erection and dismantling of industrial plants | systems and equipment for washing and cleaning fruit and vegetables | plants and equipment for the production of beet sugar;the company c.a.m.p.i. (s.r.l.), is a service provider, founded in 1987, which operates in the erection and dismantling of industrial plants industry. it also operates in the systems and equipment for washing and cleaning fruit and vegetables, and plants and equipment for the production of beet sugar industries. it is based in ferrara, italy.;11.0;50.0;registered office;False;1987.0;http://www.campisrl.it;;campi-srl_seac000265550-001
passanti s.r.l.;agriculture_livestock;fruits_vegetables;beetroot;subcontractor;10 via s. gervasio | 48012 bagnacavallo - italy;bagnacavallo - italy;48012;italy;mechanical engineering - custom work | plants and equipment for the production of beet sugar | metal milling;the company passanti s.r.l., is a subcontractor, founded in 1953, which operates in the mechanical engineering - custom work industry. it also operates in the plants and equipment for the production of beet sugar, and metal milling industries. it is based in bagnacavallo, italy.;;;registered office;False;1953.0;http://www.passanti-costr-mecc.it;;passanti-srl_seac001210846-001
ekoterra food srl;agriculture_livestock;fruits_vegetables;beetroot;multi-category;turin | 10153 turin - italy;turin - italy;10153;italy;freeze-dried fruit | organic tomato paste | organic fruit vegetable powder | organic semi dried tomato | fruit juice concentrates;since 2002, ekoterra food ingredients offers all-natural and organic food ingredients from turkey, italy and other eu countries for the best quality and price target. based in turin, italy we work b2b in bulk, either directly from producer delivery to buyer, or import in eu and distribute within eu. we directly represent producers who work with fruits and vegetables grown in contracted farms or on their own lands. we shorten the supply chain with elevated quality and best possible price.our focus is to serve companies with transparent, traceable and certified quality guarantees with best logistic solutions. we supply air-dried, freeze-dried fruit pieces, fruit powders(apple, banana, peach, kiwi, watermelon, goji berry, pomegranate, apricot, figs, sultana, mandarin, melon, orange, pear, persimmon, plum, raspberry, sour cherry), vegetable pieces, vegetable powders(tomato, spinach, beetroot, carrots, black carrots), herbs and spices (oregano, thyme, cumin, anise, fennel, rosemary, sage), conventional and organic fruit juice from concentrates and nfc(apple, apricot, pomegranate, carrot, sour cherry, lemon, orange, peach, pear, black carrot, red beet), nfc fruit juices, sun dried apricots, figs, hazelnuts(kernels, meals and pastes), pistachios, lentils, chickpeas, superfood ingredients, plant based proteins and tomato pastes. we are constantly expanding our organic ingredient offerings that are offered directly from organic growers and manufacturers in turkey, italy and eu.;1.0;10.0;registered office;False;2002.0;https://www.ekoterrafood.com;;ekoterra-food-srl_00000005431616-770174001
frutta italia v. montalbò s.r.l.;agriculture_livestock;fruits_vegetables;beetroot;wholesaler;via conversano km 2 | 70044 polignano a mare - italy;polignano a mare - italy;70044;italy;fruits and vegetables - import-export;the italian fruit v. montalbo srl is headquartered in picturesque puglia polignano a mare, a beautiful city on the adriatic sea in the south-east of bari, rich in history, culture and charm. for more than 50 years in the field of trade and large-scale distribution of fruit and vegetables, the company owned by the family montalbo won a prominent place at the regional and national attention thanks to the innovation of production cycles, treatment product quality, prevention and prophylaxis in the workplace. a position achieved through the reliability, passion and close collaboration with the most important and the best apulian farmers crops, and it is this that allows the fruit to propose montalbo italian trade fruits and vegetables of the highest quality. scarola, prezzemoli, lolli, dill, celery, carrots, beets, lettuce, cauliflower, broccoli, onions, cabbage, potatoes, watermelons, melons, grapes and cherries are the pride of the polignanese that collects directly in the countryside.;101.0;200.0;;False;;http://www.fruttaitaliamontalbo.it;;frutta-italia-v-montalbo-srl_00000004597391-413481001
apros;agriculture_livestock;fruits_vegetables;beetroot;;via faentina, 106 | 48123 ravenna - italy;ravenna - italy;48123;italy;agricultural systems and equipment | agriculture - machines & equipment | supplies for agriculture | supplies for silviculture | farming machinery & tools;~since 1972 apros società agricola cooperativa operates in the seed sector producing seeds, sampling them and checking their quality, as well as selling them and providing consulting services on how to use them to farms who require them; the company also promotes agricultural research and development and is active in the sugar beet and sugar industry.~;;;registered office – parent company;False;1972.0;http://www.apros-ra.com;;apros_seac000049031-001
golden meat srl;agriculture_livestock;fruits_vegetables;beetroot;agent/ representative;via garibaldi giuseppe 29 | 25015 desenzano del garda - italy;desenzano del garda - italy;25015;italy;import-export - agents | meats, frozen and deep-frozen | meats | beef | fresh beef | meats | fresh pork | meat processing | marketing of fresh meat | marketing of frozen meat;for over thirty years, golden meat srl has been marketing and selling fresh and frozen beef, both italian and foreign, as well as all meat by-products and a wide range of frozen beef and veal products such as liver, heart, kidney, feet, tongue, tail and trimmings. the italian meat is sourced from trusted farms that are part of its supply chain and the foreign meat from the best french and spanish farms. our customers consist exclusively of wholesalers and the retail trade.;;;registered office – parent company;True;;;;golden-meat-srl_seac010332409-001
scarlino carni;agriculture_livestock;fruits_vegetables;beetroot;wholesaler;via miggiano, | 73056 taurisano - italy;taurisano - italy;73056;italy;pork | meats | pork | beef | veal;the company scarlino carni, is a wholesaler, which operates in the pork industry. it also operates in the meats, beef, and veal industries. it is based in taurisano, italy.;51.0;100.0;registered office – parent company;True;;https://www.scarlinocarni.com/;;scarlino-carni_seac000148429-001
