company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
ettaroetico;agriculture_livestock;pigs;;manufacturer/ producer;via cascina nuova n. 90 | 20011 corbetta - italy;corbetta - italy;20011.0;italy;pigs;the company ettaroetico, is a manufacturer/ producer, which operates in the pigs industry. it is based in corbetta, italy.;1.0;10.0;;False;;http://www.ettaroetico.com;;ettaroetico_00000004707160-626160001
antelupi s.r.l.;agriculture_livestock;pigs;;wholesaler;via pozzo perla | 98051 barcellona pozzo di gotto - italy;barcellona pozzo di gotto - italy;98051.0;italy;cattle | sheep and goats | pigs;the company antelupi s.r.l., is a wholesaler, which operates in the cattle industry. it also operates in the sheep and goats, and pigs industries. it is based in barcellona pozzo di gotto, italy.;;;registered office;False;;http://www.antelupisrl.com;;antelupi-srl_seac000194456-001
ariete fattoria latte sano s.p.a.;agriculture_livestock;pigs;;;165 via della muratella | 00148 roma - italy;roma - italy;148.0;italy;sheep and goats | pigs | horses and donkeys;the company ariete fattoria latte sano s.p.a., founded in 1961, which operates in the sheep and goats industry. it also operates in the pigs, and horses and donkeys industries. it is based in roma, italy.;;;registered office;False;1961.0;https://www.lattesano.it/;;ariete-fattoria-latte-sano-spa_seac000198463-001
rago laura;agriculture_livestock;pigs;;;cnt cugno di noce | 75014 grassano - italy;grassano - italy;75014.0;italy;cattle | sheep and goats | pigs;the company rago laura, which operates in the cattle industry. it also operates in the sheep and goats, and pigs industries. it is based in grassano, italy.;;;registered office;False;;http://www.paginebianche.it/caseificiolaurarago-grassano;;rago-laura_seac009357318-001
pitruzzella domenico;agriculture_livestock;pigs;;;40 via morello nunzio | 90144 palermo - italy;palermo - italy;90144.0;italy;legal counselling | sheep and goats | pigs;the company pitruzzella domenico, founded in 2001, which operates in the legal counselling industry. it also operates in the sheep and goats, and pigs industries. it is based in palermo, italy.;;;;False;2001.0;http://www.avvocatopitruzzella.it/;;pitruzzella-domenico_seac007103774-001
koster s.r.l.;agriculture_livestock;pigs;;wholesaler;tenuta devesio | 28060 san nazzaro sesia - italy;san nazzaro sesia - italy;28060.0;italy;cattle | sheep and goats | pigs;the company koster s.r.l., is a wholesaler, founded in 2002, which operates in the cattle industry. it also operates in the sheep and goats, and pigs industries. it is based in san nazzaro sesia, italy.;51.0;100.0;registered office;False;2002.0;http://www.paginebianche.it/koster-sannazzarosesia;;koster-srl_seac005015423-001
difesa nuova;agriculture_livestock;pigs;;retailer;località carrozzo | 84055 felitto - italy;felitto - italy;84055.0;italy;pigs | animal breeding | wild boar specialties;the company difesa nuova, is a retailer, founded in 2004, which operates in the pigs industry. it also operates in the animal breeding, and wild boar specialties industries. it is based in felitto, italy.;1.0;10.0;secondary office;False;2004.0;http://www.allevacinghiali.sitiwebs.com;;difesa-nuova_00000003703257-107870001
giordani natale;agriculture_livestock;pigs;;manufacturer/ producer;27/2 via asinari | 40010 bentivoglio - italy;bentivoglio - italy;40010.0;italy;cattle | sheep and goats | pigs;the company giordani natale, is a manufacturer/ producer, founded in 1990, which operates in the cattle industry. it also operates in the sheep and goats, and pigs industries. it is based in bentivoglio, italy.;;;registered office;False;1990.0;http://www.bentivogliominismart.it/;;giordani-natale_seac000048643-001
azienda agricola polato fiorenzo fabiano e c. s.a.s.;agriculture_livestock;pigs;;;75 via s. marco | 30010 campagna lupia - italy;campagna lupia - italy;30010.0;italy;cattle | sheep and goats | pigs;the company azienda agricola polato fiorenzo fabiano e c. s.a.s., founded in 1977, which operates in the cattle industry. it also operates in the sheep and goats, and pigs industries. it is based in campagna lupia, italy.;11.0;50.0;registered office;False;1977.0;https://www.aziendaagricolapolato.it/;;azienda-agricola-polato-fiorenzo-fabiano-e-c-sas_seac001503914-001
südtiroler viehvermarktungskonsortium gen. und landw. ges.;agriculture_livestock;pigs;;;38 via galvani | 39100 bolzano - italy;bolzano - italy;39100.0;italy;cattle | sheep and goats | pigs;the company südtiroler viehvermarktungskonsortium gen. und landw. ges., founded in 1983, which operates in the cattle industry. it also operates in the sheep and goats, and pigs industries. it is based in bolzano, italy.;;;registered office;False;1983.0;http://www.kovieh.com/;;sudtiroler-viehvermarktungskonsortium-gen-und-landw-ges_seac000165098-001
florida s.r.l.;agriculture_livestock;pigs;;;6 via dell' industria | 26020 cappella cantone - italy;cappella cantone - italy;26020.0;italy;poultry, rabbits and game - farming | sheep and goats | pigs;the company florida s.r.l., which operates in the poultry, rabbits and game - farming industry. it also operates in the sheep and goats, and pigs industries. it is based in cappella cantone, italy.;;;;False;;http://www.paginebianche.it/florida-cappellacantone;;florida-srl_seac006621158-001
turato silvano;agriculture_livestock;pigs;;;51 via molini | 35010 villafranca padovana - italy;villafranca padovana - italy;35010.0;italy;cattle | sheep and goats | pigs;the company turato silvano, founded in 1993, which operates in the cattle industry. it also operates in the sheep and goats, and pigs industries. it is based in villafranca padovana, italy.;11.0;50.0;registered office;False;1993.0;http://www.paginebianche.it/caseificioturatosilvano-villafrancapadovana;;turato-silvano_seac007476269-001
motto maurizio;agriculture_livestock;pigs;;;21 via babiasso | 10070 front - italy;front - italy;10070.0;italy;cattle | sheep and goats | pigs;the company motto maurizio, founded in 2001, which operates in the cattle industry. it also operates in the sheep and goats, and pigs industries. it is based in front, italy.;11.0;50.0;;False;2001.0;http://www.prodotti-a-km-zero.it;;motto-maurizio_seac001066001-001
alma s.r.l.;agriculture_livestock;pigs;;;17/a strada olza | 46040 piubega - italy;piubega - italy;46040.0;italy;cattle | sheep and goats | pigs;the company alma s.r.l., which operates in the cattle industry. it also operates in the sheep and goats, and pigs industries. it is based in piubega, italy.;11.0;50.0;registered office;False;;http://www.almacarni.it;;alma-srl_seac005192585-001
2 mal? s.r.l.;agriculture_livestock;pigs;;;via per vaprio | 28040 mezzomerico - italy;mezzomerico - italy;28040.0;italy;cattle | sheep and goats | pigs;the company 2 mal? s.r.l., which operates in the cattle industry. it also operates in the sheep and goats, and pigs industries. it is based in mezzomerico, italy.;;;;False;;;;2-mal-srl_seac010633410-001
