company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
tecnobell srl;agriculture_livestock;plants_fertilizers;chemical_fertilizers;manufacturer/ producer;via dell' industria 83/a | 84092 bellizzi - italy;bellizzi - italy;84092.0;italy;fertilizers and soil conditioners | fertilizer | organic fertiliser | organic manures | chemical fertiliser | chemical fertilizers | special fertilisers | liquid fertilizer | bio-promoters | trace mineral fertilizers;tecnobell is the outcome of the lengthy experience of people that have spent their life trying to understand the farming world's requirements and developing products with a low environmental footprint, respecting nature and human health. owing to a constant research and development activity, the company's mission is to help all the farming phenological phases with special nutrition so that the consumer can have healthier and cleaner food. tecnobell specialises in the creation of environmentally-friendly products. the most innovative laboratory equipment and high-purity raw mineral and vegetable ingredients, combined with expertise acquired over time. the result is special products that become precise tools in the hands of those who have to find the right production balance between quantity and quality, in keeping with sustainable growth that can respond effectively to the growing global demand for food.;1.0;10.0;registered office – parent company;True;;https://www.tecnobell.eu/;;tecnobell-srl_seac006915754-002
farma export;agriculture_livestock;plants_fertilizers;chemical_fertilizers;wholesaler;via manfredonia snc | 71042 cerignola - italy;cerignola - italy;71042.0;italy;organic farming | crop services | agriculture - machines & equipment | agricultural systems and equipment | organic fertilizers | natural fertilizers | organic manures | organic fertilizers | chemical fertilizers | insecticides for agriculture;farma export is a company located in via manfredonia a cerignola (fg) and was founded by mr. pietro compierchio in 2013. here, for years it has produced, traded and distributed plant protection chemicals for farming use. owing to its constant research, the company can assure the best production performance and a high product quality only by using biological substances that can improve any kind of cultivation and ground.;11.0;50.0;registered office – parent company;True;2013.0;http://www.farmaexport.it, https://www.facebook.com/farmaexport, https://www.instagram.com/farmaexport/;;farma-export_seac006065512-001
pavoni & c. spa;agriculture_livestock;plants_fertilizers;chemical_fertilizers;manufacturer/ producer;sp25i, km. 3.500 | 95040 ramacca - italy;ramacca - italy;95040.0;italy;chemical fertilizers | chemical fertilizers | organic fertilizers | liquid fertilizer | solid fertilizers;the company's primary business is the distribution of agrochemicals, and it was ici plant protection's sicily representative for 39 years. the limited company was formed during the 1970s when it opened its first factory producing specialised fertilizers. pavoni & c spa was responsible for the introduction into sicily of products such as potassium nitrate, urea phosphate and magnesium nitrate and for the widespread use of npk soluble fertilizers for fertigation and leaf spraying.;11.0;50.0;registered office – parent company;False;1875.0;http://www.pavonispa.it;;pavoni-c-spa_seac000028648-001
de caro francesco;agriculture_livestock;plants_fertilizers;chemical_fertilizers;distributor;via palma,490 | 92027 licata - italy;licata - italy;92027.0;italy;agricultural systems and equipment | chemical fertilizers;the company de caro francesco, is a distributor, which operates in the agricultural systems and equipment industry. it also operates in the chemical fertilizers industries. it is based in licata, italy.;11.0;50.0;;False;;https://www.decarofrancesco.it/;;de-caro-francesco_seac005216851-625736001
willmas srl;agriculture_livestock;plants_fertilizers;chemical_fertilizers;manufacturer/ producer;via cesare battisti n 48 | 21043 castiglione olona - italy;castiglione olona - italy;21043.0;italy;chemical fertilizers;the company willmas srl, is a manufacturer/ producer, founded in 2012, which operates in the chemical fertilizers industry. it is based in castiglione olona, italy.;1.0;10.0;;False;2012.0;http://www.willmas.com;;willmas-srl_00000005285576-598664001
3 bernadi group production sarl;agriculture_livestock;plants_fertilizers;chemical_fertilizers;wholesaler;via comuna 16/a | 35042 este - italy;este - italy;35042.0;italy;chemical fertilizers | soil conditioners and fertilizers | special fertilizers | organic fertilizers | fertiliser-water irrigation;the company 3 bernadi group production sarl, is a wholesaler, which operates in the chemical fertilizers industry. it also operates in the soil conditioners and fertilizers, special fertilizers, organic fertilizers, and fertiliser-water irrigation industries. it is based in este, italy.;1.0;10.0;;False;;;;3-bernadi-group-production-sarl_00000005235803-554533001
gapchemicalitalia;agriculture_livestock;plants_fertilizers;chemical_fertilizers;manufacturer/ producer;via nazario sauro 4 | 40121 bologna - italy;bologna - italy;40121.0;italy;chemical fertilizers;the company gapchemicalitalia, is a manufacturer/ producer, which operates in the chemical fertilizers industry. it is based in bologna, italy.;1.0;10.0;;False;;http://www.facebook.com/gapchemical.italia;;gapchemicalitalia_00000005333140-630837001
agricereal di paci carmelo & c sas;agriculture_livestock;plants_fertilizers;chemical_fertilizers;wholesaler;via francesco crispi, 144 | 92100 agrigento - italy;agrigento - italy;92100.0;italy;cereals and grains | almonds | crushed pistachios | plant and equipment for the preparation of animal feeds | chemical fertilizers;the company agricereal di paci carmelo & c sas, is a wholesaler, which operates in the cereals and grains industry. it also operates in the almonds, crushed pistachios, plant and equipment for the preparation of animal feeds, and chemical fertilizers industries. it is based in agrigento, italy.;1.0;10.0;;False;;http://agricerealdipacicarmelo.jimdo.com/;;agricereal-di-paci-carmelo-c-sas_00000004627112-435339001
comagricola s.r.l.;agriculture_livestock;plants_fertilizers;chemical_fertilizers;wholesaler;via caproni ing. gianni | 24036 ponte san pietro - italy;ponte san pietro - italy;24036.0;italy;bedding plants, bulbs and seeds | grass seeds | chemical fertilizers;the company comagricola s.r.l., is a wholesaler, founded in 1987, which operates in the bedding plants, bulbs and seeds industry. it also operates in the grass seeds, and chemical fertilizers industries. it is based in ponte san pietro, italy.;;;registered office;False;1987.0;;;comagricola-srl_seac001486428-001
g.g.i. italia s.r.l.;agriculture_livestock;plants_fertilizers;chemical_fertilizers;wholesaler;2/c via prada | 24069 cenate sotto - italy;cenate sotto - italy;24069.0;italy;feeds for animal farming | animals & livestock | chemical fertilizers;the company g.g.i. italia s.r.l., is a wholesaler, founded in 2004, which operates in the feeds for animal farming industry. it also operates in the animals & livestock, and chemical fertilizers industries. it is based in cenate sotto, italy.;;;registered office;False;2004.0;http://www.ggi-italia.it;;ggi-italia-srl_seac002762419-001
