company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
cirigliano alfredo di antonio e carlo cirigliano snc.;agriculture_livestock;poultry_rabbits_and_game_farming;;manufacturer/ producer;41, v. ferriere | 84062 olevano sul tusciano - italy;olevano sul tusciano - italy;84062;italy;poultry, rabbits and game - farming | turkey | guinea fowl | ducks | capons;our mission is to provide our clients with healthy traditional breeds of excellent quality. our company has always focused on animal welfare, paying special attention to hygiene and health at every stage. our company veterinarian is permanently on-site, monitoring and preventing a range of common bird pathologies, checking that obligatory vaccinations are properly performed and that all our products are subject to constant health checks.;1.0;10.0;registered office – parent company;False;;http://www.aziendaagricolacirigliano.it/;;cirigliano-alfredo-di-antonio-e-carlo-cirigliano-snc_seac002507285-002
franco srl;agriculture_livestock;poultry_rabbits_and_game_farming;;manufacturer/ producer;via nazionale 80 | 12010 cervasca - italy;cervasca - italy;12010;italy;poultry, rabbits and game - farming | agricultural systems and equipment | livestock raising - machinery and equipment;the company franco srl, is a manufacturer/ producer, founded in 1962, which operates in the poultry, rabbits and game - farming industry. it also operates in the agricultural systems and equipment, and livestock raising - machinery and equipment industries. it is based in cervasca, italy.;11.0;50.0;registered office – parent company;False;1962.0;http://francosrl.com/;;franco-srl_00000004009508-283924001
coop. agricola mediterranea a r.l.;agriculture_livestock;poultry_rabbits_and_game_farming;;manufacturer/ producer;via quadro n.1 fraz. casalcassinese | 03040 acquafondata - italy;acquafondata - italy;3040;italy;poultry, rabbits and game - farming | pheasant | quails;the company coop. agricola mediterranea a r.l., is a manufacturer/ producer, which operates in the poultry, rabbits and game - farming industry. it also operates in the pheasant, and quails industries. it is based in acquafondata, italy.;1.0;10.0;;False;;https://agricolamediterranea.ecwid.com/;;coop-agricola-mediterranea-a-rl_00000004663151-464357001
punto agri;agriculture_livestock;poultry_rabbits_and_game_farming;;multi-category;via campo, 66 bis | 84088 siano - italy;siano - italy;84088;italy;poultry, rabbits and game - farming | mushrooms | drinking troughs | diy items | poultry incubators and brooders;the company punto agri, is a multi-category, which operates in the poultry, rabbits and game - farming industry. it also operates in the mushrooms, drinking troughs, diy items, and poultry incubators and brooders industries. it is based in siano, italy.;;;;False;;http://www.puntoagri.it;;punto-agri_00000004654088-456703001
europoll srl;agriculture_livestock;poultry_rabbits_and_game_farming;;manufacturer/ producer;via divisione cuneese 6 | 12023 caraglio - italy;caraglio - italy;12023;italy;poultry, rabbits and game - farming | capons | guinea fowl meat | poultry | cockerel meat;the company europoll srl, is a manufacturer/ producer, which operates in the poultry, rabbits and game - farming industry. it also operates in the capons, guinea fowl meat, poultry, and cockerel meat industries. it is based in caraglio, italy.;;;;False;;https://www.europoll.it;;europoll-srl_00000005479758-001
posta del falco;agriculture_livestock;poultry_rabbits_and_game_farming;;service provider;s.s.89 klm 174,800 | 71043 manfredonia - italy;manfredonia - italy;71043;italy;poultry, rabbits and game - farming | venues for shows and events | guided tours;the company posta del falco, is a service provider, which operates in the poultry, rabbits and game - farming industry. it also operates in the venues for shows and events, and guided tours industries. it is based in manfredonia, italy.;51.0;100.0;;False;;http://www.postadelfalco.it;;posta-del-falco_00000004685065-485319001
azzurra carni s.r.l.;agriculture_livestock;poultry_rabbits_and_game_farming;;wholesaler;33 via divisione cuneense | 12023 caraglio - italy;caraglio - italy;12023;italy;poultry, rabbits and game - farming | meat | meats;the company azzurra carni s.r.l., is a wholesaler, which operates in the poultry, rabbits and game - farming industry. it also operates in the meat, and meats industries. it is based in caraglio, italy.;;;registered office;False;;https://www.azzurracarni.it/;;azzurra-carni-srl_seac005812918-001
food international s.r.l.;agriculture_livestock;poultry_rabbits_and_game_farming;;wholesaler;2 via calvi fratelli | 24040 bonate sotto - italy;bonate sotto - italy;24040;italy;poultry, rabbits and game - farming | meat | meats;the company food international s.r.l., is a wholesaler, founded in 1998, which operates in the poultry, rabbits and game - farming industry. it also operates in the meat, and meats industries. it is based in bonate sotto, italy.;11.0;50.0;registered office;False;1998.0;https://www.ingrossopollamebergamo.com/;;food-international-srl_seac002578061-001
maino incubatrici s.r.l.;agriculture_livestock;poultry_rabbits_and_game_farming;;;42 via roma | 22070 oltrona di san mamette - italy;oltrona di san mamette - italy;22070;italy;poultry, rabbits and game - farming | plants and equipment for packaging eggs | poultry;the company maino incubatrici s.r.l., founded in 1985, which operates in the poultry, rabbits and game - farming industry. it also operates in the plants and equipment for packaging eggs, and poultry industries. it is based in oltrona di san mamette, italy.;;;registered office;False;1985.0;http://www.maino.eu;;maino-incubatrici-srl_seac002018456-001
florida s.r.l.;agriculture_livestock;poultry_rabbits_and_game_farming;;;6 via dell' industria | 26020 cappella cantone - italy;cappella cantone - italy;26020;italy;poultry, rabbits and game - farming | sheep and goats | pigs;the company florida s.r.l., which operates in the poultry, rabbits and game - farming industry. it also operates in the sheep and goats, and pigs industries. it is based in cappella cantone, italy.;;;;False;;http://www.paginebianche.it/florida-cappellacantone;;florida-srl_seac006621158-001
