company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
allevamento le motte;agriculture_livestock;sheep_and_goats;;manufacturer/ producer;via motte di sotto, 26 | 47021 bagno di romagna - italy;bagno di romagna - italy;47021.0;italy;sheep and goats | breeding sheep;genetic improvement and selection of friesian sheep. we are producing high performance heads for breeding activity. high productivity, healthness, scrapie resistance, maedi-visna virus free.;1.0;10.0;;False;;;;allevamento-le-motte_00000005381270-696930001
antelupi s.r.l.;agriculture_livestock;sheep_and_goats;;wholesaler;via pozzo perla | 98051 barcellona pozzo di gotto - italy;barcellona pozzo di gotto - italy;98051.0;italy;cattle | sheep and goats | pigs;the company antelupi s.r.l., is a wholesaler, which operates in the cattle industry. it also operates in the sheep and goats, and pigs industries. it is based in barcellona pozzo di gotto, italy.;;;registered office;False;;http://www.antelupisrl.com;;antelupi-srl_seac000194456-001
verde irpinia group foraggi s.c.p.l.;agriculture_livestock;sheep_and_goats;;retailer;contrada margine, 6 | 83040 av - italy;av - italy;83040.0;italy;sheep and goats | straw and hay;the company verde irpinia group foraggi s.c.p.l., is a retailer, which operates in the sheep and goats industry. it also operates in the straw and hay industries. it is based in av, italy.;501.0;inf;;False;;;;verde-irpinia-group-foraggi-scpl_00000005349787-644947001
casearia crotonese chiellino;agriculture_livestock;sheep_and_goats;;wholesaler;via nazario sauro 5 | 88842 cutro - italy;cutro - italy;88842.0;italy;sheep and goats | cheeses and dairy products | sheep's cheese | wholesale cheeses;the company casearia crotonese chiellino, is a wholesaler, which operates in the sheep and goats industry. it also operates in the cheeses and dairy products, sheep's cheese, and wholesale cheeses industries. it is based in cutro, italy.;1.0;10.0;registered office – parent company;False;;;;casearia-crotonese-chiellino_00000005384892-701750001
vito pacella;agriculture_livestock;sheep_and_goats;;retailer;san sebastiano 47 | 85050 balvano - italy;balvano - italy;85050.0;italy;sheep and goats;the company vito pacella, is a retailer, which operates in the sheep and goats industry. it is based in balvano, italy.;;;;False;;http://pacellaovini.altervista.org/joomla/;;vito-pacella_00000005290601-602201001
sh.srl;agriculture_livestock;sheep_and_goats;;wholesaler;grimald | 83027 serin - italy;serin - italy;83027.0;italy;sheep and goats;the company sh.srl, is a wholesaler, which operates in the sheep and goats industry. it is based in serin, italy.;501.0;inf;;False;;;;shsrl_00000005285950-598906001
allevamento veneto ovini;agriculture_livestock;sheep_and_goats;;manufacturer/ producer;via porcaro,1 anguillara veneta pd | 35022 anguillara veneta - italy;anguillara veneta - italy;35022.0;italy;sheep and goats | lambs;the company allevamento veneto ovini, is a manufacturer/ producer, which operates in the sheep and goats industry. it also operates in the lambs industries. it is based in anguillara veneta, italy.;1.0;10.0;;False;;http://www.veneto-ovini.com;;allevamento-veneto-ovini_00000003875029-170619001
pitruzzella domenico;agriculture_livestock;sheep_and_goats;;;40 via morello nunzio | 90144 palermo - italy;palermo - italy;90144.0;italy;legal counselling | sheep and goats | pigs;the company pitruzzella domenico, founded in 2001, which operates in the legal counselling industry. it also operates in the sheep and goats, and pigs industries. it is based in palermo, italy.;;;;False;2001.0;http://www.avvocatopitruzzella.it/;;pitruzzella-domenico_seac007103774-001
ariete fattoria latte sano s.p.a.;agriculture_livestock;sheep_and_goats;;;165 via della muratella | 00148 roma - italy;roma - italy;148.0;italy;sheep and goats | pigs | horses and donkeys;the company ariete fattoria latte sano s.p.a., founded in 1961, which operates in the sheep and goats industry. it also operates in the pigs, and horses and donkeys industries. it is based in roma, italy.;;;registered office;False;1961.0;https://www.lattesano.it/;;ariete-fattoria-latte-sano-spa_seac000198463-001
koster s.r.l.;agriculture_livestock;sheep_and_goats;;wholesaler;tenuta devesio | 28060 san nazzaro sesia - italy;san nazzaro sesia - italy;28060.0;italy;cattle | sheep and goats | pigs;the company koster s.r.l., is a wholesaler, founded in 2002, which operates in the cattle industry. it also operates in the sheep and goats, and pigs industries. it is based in san nazzaro sesia, italy.;51.0;100.0;registered office;False;2002.0;http://www.paginebianche.it/koster-sannazzarosesia;;koster-srl_seac005015423-001
