company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
pennellificio gava s.r.l.;construction_public_works;ceilings;;manufacturer/ producer;via roma 75 | 31020 san vendemiano - italy;san vendemiano - italy;31020.0;italy;paint brushes and rollers | paint brushes | varnishing rollers | make-up brushes | painting rollers | brushes for artists | roller accessories | do-it-yourself items | ceilings | accessories for decorators;pennellificio gava has been producing high quality brushes in san vendemiano (tv) since 1946. attention to detail is paramount and the customer's full satisfaction always comes first. a wide range of products is available and this assures that the customers can always find the most suitable product for their needs. it produces brushes for fine arts, oil and watercolour painting, brushes and rollers for decorating, painting and varnishing, as well as products for special jobs.;1.0;10.0;registered office;True;;http://www.gava.it;;pennellificio-gava-srl_seac000041149-001
sadeor s.r.l.;construction_public_works;ceilings;;;via della gesiola, 14 | 21039 valganna - italy;valganna - italy;21039.0;italy;ceilings | mason | armoured doors | plasterboard | plasterboard false ceilings;the company sadeor s.r.l., which operates in the ceilings industry. it also operates in the mason, armoured doors, plasterboard, and plasterboard false ceilings industries. it is based in valganna, italy.;;;registered office – parent company;False;;http://www.sadeor.it;;sadeor-srl_seac000759116-001
bsc controsoffitti di baeli damiano;construction_public_works;ceilings;;service provider;via valcorrente, 29 | 95032 belpasso - italy;belpasso - italy;95032.0;italy;ceilings | ceilings, modular cladding | thermoinsulating partitions | soundproofing | soundproof panels;the company bsc controsoffitti di baeli damiano, is a service provider, which operates in the ceilings industry. it also operates in the ceilings, modular cladding, thermoinsulating partitions, soundproofing, and soundproof panels industries. it is based in belpasso, italy.;;;registered office – parent company;False;;http://www.bsccontrosoffitti.it;;bsc-controsoffitti-di-baeli-damiano_seac004878685-001
isotermo;construction_public_works;ceilings;;;via g. buranello, 44r | 16149 genova (ge) - italy;genova (ge) - italy;16149.0;italy;ceilings | ceilings, insulated | sound insulation materials | sound-absorbing materials | sound absorbing panelling;the company isotermo, founded in 1976, which operates in the ceilings industry. it also operates in the ceilings, insulated, sound insulation materials, sound-absorbing materials, and sound absorbing panelling industries. it is based in genova (ge), italy.;;;;False;1976.0;http://www.isotermo.it;;isotermo_ita319465-00101
parteco s.r.l.;construction_public_works;ceilings;;service provider;65/67 via negrelli luigi | 20851 lissone - italy;lissone - italy;20851.0;italy;partitions | doors, house | ceilings;the company parteco s.r.l., is a service provider, founded in 1973, which operates in the partitions industry. it also operates in the doors, house, and ceilings industries. it is based in lissone, italy.;11.0;50.0;registered office;False;1973.0;http://www.parteco.it;;parteco-srl_seac000178198-001
cek s.r.l.;construction_public_works;ceilings;;service provider;21/a viale del lavoro | 37066 sommacampagna - italy;sommacampagna - italy;37066.0;italy;removals and relocation - international | trade fairs and exhibitions - stand fittings | ceilings;the company cek s.r.l., is a service provider, which operates in the removals and relocation - international industry. it also operates in the trade fairs and exhibitions - stand fittings, and ceilings industries. it is based in sommacampagna, italy.;11.0;50.0;registered office;False;;http://www.traslochicappellettielio.it;;cek-srl_seac005819532-001
menghi gianni;construction_public_works;ceilings;;;9 localita' gagliannuovo | 62027 san severino marche - italy;san severino marche - italy;62027.0;italy;ovens, kilns, furnaces and hearths, industrial | ceilings | fireplaces and stoves, ornamental and accessories;the company menghi gianni, founded in 2005, which operates in the ovens, kilns, furnaces and hearths, industrial industry. it also operates in the ceilings, and fireplaces and stoves, ornamental and accessories industries. it is based in san severino marche, italy.;;;registered office;False;2005.0;http://www.paginebianche.it/menghigiannicamini-sanseverinomarche;;menghi-gianni_seac004952638-001
spataro s.r.l.;construction_public_works;ceilings;;wholesaler;10 via dello scalo | 50142 firenze - italy;firenze - italy;50142.0;italy;ceilings | raw materials for construction and public works | building materials, manufacture - machinery and equipment;the company spataro s.r.l., is a wholesaler, founded in 2000, which operates in the ceilings industry. it also operates in the raw materials for construction and public works, and building materials, manufacture - machinery and equipment industries. it is based in firenze, italy.;11.0;50.0;registered office;False;2000.0;http://www.spatarosrl.it;;spataro-srl_seac000984476-001
segato stucchi di segato giovanni;construction_public_works;ceilings;;subcontractor;via gianni brera 13 | 27010 san genesio ed uniti loc. due porte - italy;san genesio ed uniti loc. due porte - italy;27010.0;italy;ceilings | partitions | restoration and renovation - contractors;the company segato stucchi di segato giovanni, is a subcontractor, founded in 1984, which operates in the ceilings industry. it also operates in the partitions, and restoration and renovation - contractors industries. it is based in san genesio ed uniti loc. due porte, italy.;;;registered office;False;1984.0;http://www.segatostucchi.it;;segato-stucchi-di-segato-giovanni_seac000273777-001
edilgessi di tinti marco;construction_public_works;ceilings;;;11 vocabolo colle pila | 05039 stroncone - italy;stroncone - italy;5039.0;italy;ceilings | partitions | plaster and plaster products;the company edilgessi di tinti marco, founded in 2008, which operates in the ceilings industry. it also operates in the partitions, and plaster and plaster products industries. it is based in stroncone, italy.;;;registered office;False;2008.0;https://www.edilgessiterni.it/;;edilgessi-di-tinti-marco_seac004949447-001
gmd gessi s.r.l.;construction_public_works;ceilings;;subcontractor;sabbioncelli | 24050 covo - italy;covo - italy;24050.0;italy;ceilings | ceilings, suspended | ceilings, insulated;the company gmd gessi s.r.l., is a subcontractor, founded in 2008, which operates in the ceilings industry. it also operates in the ceilings, suspended, and ceilings, insulated industries. it is based in covo, italy.;;;registered office;False;2008.0;http://www.gmdgessisrl.com/;;gmd-gessi-srl_seac005070031-001
afonici service di franceschini remo;construction_public_works;ceilings;;retailer;323 via nazionale adriatica nord | 65125 pescara - italy;pescara - italy;65125.0;italy;publishing, miscellaneous items | plastic floor coverings | ceilings;the company afonici service di franceschini remo, is a retailer, founded in 2006, which operates in the publishing, miscellaneous items industry. it also operates in the plastic floor coverings, and ceilings industries. it is based in pescara, italy.;;;registered office;False;2006.0;http://www.afonici.com;;afonici-service-di-franceschini-remo_seac004119139-001
officina meccanica di magr? giovanni;construction_public_works;ceilings;;service provider;19 via foggia | 72023 mesagne - italy;mesagne - italy;72023.0;italy;ceilings | windows | doors, house;the company officina meccanica di magr? giovanni, is a service provider, founded in 1991, which operates in the ceilings industry. it also operates in the windows, and doors, house industries. it is based in mesagne, italy.;;;registered office;False;1991.0;http://www.paginebianche.it/magriserramenti-mesagne;;officina-meccanica-di-magr-giovanni_seac000362632-001
bruno ruscalla s.r.l.;construction_public_works;ceilings;;manufacturer/ producer;29 via maggiora guido | 14100 asti - italy;asti - italy;14100.0;italy;ceilings | raw materials for construction and public works | furniture - hotels, bars, cafés and restaurants;the company bruno ruscalla s.r.l., is a manufacturer/ producer, founded in 1997, which operates in the ceilings industry. it also operates in the raw materials for construction and public works, and furniture - hotels, bars, cafés and restaurants industries. it is based in asti, italy.;;;registered office;False;1997.0;http://www.paginegialle.it/knaufbrunoruscallasrl_lccccc;;bruno-ruscalla-srl_seac000305532-001
ediltecno s.a.s. di vaianella geom. marco;construction_public_works;ceilings;;;1 strada roggia mora | 28100 novara - italy;novara - italy;28100.0;italy;ceilings | surveyors - consultants | ceilings, suspended;the company ediltecno s.a.s. di vaianella geom. marco, founded in 1993, which operates in the ceilings industry. it also operates in the surveyors - consultants, and ceilings, suspended industries. it is based in novara, italy.;1.0;10.0;registered office;False;1993.0;http://www.paginegialle.it/ediltecno;;ediltecno-sas-di-vaianella-geom-marco_seac000418324-001
commerciale f.i.m. s.r.l.;construction_public_works;ceilings;;wholesaler;56/a strada teverina | 01100 viterbo - italy;viterbo - italy;1100.0;italy;sound insulation materials | thermal insulation materials | ceilings;the company commerciale f.i.m. s.r.l., is a wholesaler, founded in 1995, which operates in the sound insulation materials industry. it also operates in the thermal insulation materials, and ceilings industries. it is based in viterbo, italy.;;;registered office;False;1995.0;http://www.commercialefim.it;;commerciale-fim-srl_seac000408175-001
esseci s.r.l.;construction_public_works;ceilings;;;9 via solari andrea | 20144 milano - italy;milano - italy;20144.0;italy;ceilings | structural work | construction - finishings;the company esseci s.r.l., founded in 1999, which operates in the ceilings industry. it also operates in the structural work, and construction - finishings industries. it is based in milano, italy.;;;;False;1999.0;http://www.paginegialle.it/essecisrl-bg;;esseci-srl_seac004697393-001
