company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
ecoservizi;construction_public_works;construction_structural_work;asbestos_removal_contractors;service provider;via cecchi, 38/r | 16129 genova - italy;genova - italy;16129.0;italy;asbestos removal - contractors | hazardous waste transport | asbestos removal;the company specializes in the collection and disposal of special, hazardous waste and asbestos. collection and disposal of special waste bearing risks of infection (medical surgeries, dental surgeries, beauty salons, etc.). specific experience in managing asbestos clean-up sites in major partnerships. cleaning air-conditioning systems: we guarantee optimum quality of the intake air and a bespoke servicing programme with video inspections of the conduits, bacteriological analyses and sanitizing of air handling units.;;;registered office – parent company;False;;http://www.gruppoegea.com;;ecoservizi_seac004858311-001
isolmontaggi srl;construction_public_works;construction_structural_work;asbestos_removal_contractors;service provider;km.14,050, strada bonifica | 64010 km.14,050,-ancarano - italy;km.14,050,-ancarano - italy;64010.0;italy;asbestos removal - contractors | re-roofing of asbestos cement roofs | asbestos disposal | asbestos removal | asbestos disposal;isolmontaggi srl has been working in the asbestos removal and roofing sector for over 20 years. this particularly diligent and dynamic company has developed its activity throughout italy and in various european countries. this company carries out work as both main contractor and sub-contractor for third parties.;1.0;10.0;registered office – subsidiary;False;;http://www.isolmontaggi.net;;isolmontaggi-srl_seac000198506-001
leuce s.r.l.;construction_public_works;construction_structural_work;asbestos_removal_contractors;service provider;via francia, | 76017 san ferdinando di puglia - italy;san ferdinando di puglia - italy;76017.0;italy;finishing work | asbestos removal - contractors | dismantling of asbestos roofing | asbestos reclamation of land and buildings | dismantling of asbestos structures;the company leuce s.r.l., is a service provider, which operates in the finishing work industry. it also operates in the asbestos removal - contractors, dismantling of asbestos roofing, asbestos reclamation of land and buildings, and dismantling of asbestos structures industries. it is based in san ferdinando di puglia, italy.;;;registered office;False;;http://www.leucesrl.it;;leuce-srl_seac005039271-001
dgeco;construction_public_works;construction_structural_work;asbestos_removal_contractors;service provider;viale michelangelo 673 | 90046 palermo - italy;palermo - italy;90046.0;italy;asbestos removal - contractors | collection of special waste | toxic and hazardous waste collection | waste collection | recyclable waste transport;the company dgeco, is a service provider, which operates in the asbestos removal - contractors industry. it also operates in the collection of special waste, toxic and hazardous waste collection, waste collection, and recyclable waste transport industries. it is based in palermo, italy.;1.0;10.0;;False;;http://www.dgeco.it;;dgeco_00000004551487-344709001
co.te.am snc;construction_public_works;construction_structural_work;asbestos_removal_contractors;service provider;via sebastiano satta, 51 | 08034 laconi - italy;laconi - italy;8034.0;italy;asbestos removal - contractors | asbestos removal | earthmoving | room debugging | building restoration;the company co.te.am snc, is a service provider, founded in 2003, which operates in the asbestos removal - contractors industry. it also operates in the asbestos removal, earthmoving, room debugging, and building restoration industries. it is based in laconi, italy.;1.0;10.0;registered office – parent company;False;2003.0;http://www.coteamsnc.it;;coteam-snc_00000004696855-495180001
consulenze ambientali vicentine s.r.l.;construction_public_works;construction_structural_work;asbestos_removal_contractors;service provider;strada dei molini, 46 | 36100 vicenza - italy;vicenza - italy;36100.0;italy;asbestos removal - contractors | dustbins, waste bins | asbestos disposal | asbestos removal | asbestos removal;the company consulenze ambientali vicentine s.r.l., is a service provider, which operates in the asbestos removal - contractors industry. it also operates in the dustbins, waste bins, asbestos disposal, asbestos removal, and asbestos removal industries. it is based in vicenza, italy.;1.0;10.0;registered office;False;;http://www.cavsrl.com;;consulenze-ambientali-vicentine-srl_seac006847702-001
ediltecno srl;construction_public_works;construction_structural_work;asbestos_removal_contractors;service provider;della braide | 27058 voghera - italy;voghera - italy;27058.0;italy;asbestos removal - contractors | building | dismantling of asbestos structures | asbestos removal | building contractors;the company ediltecno srl, is a service provider, which operates in the asbestos removal - contractors industry. it also operates in the building, dismantling of asbestos structures, asbestos removal, and building contractors industries. it is based in voghera, italy.;1.0;10.0;registered office – parent company;False;;http://www.ediltecnovoghera.com;;ediltecno-srl_seaz42387142-008
edil laurentina srl;construction_public_works;construction_structural_work;asbestos_removal_contractors;manufacturer/ producer;via bellosguardo, 10 | 00134 roma - italy;roma - italy;134.0;italy;asbestos removal - contractors | industrial site sanitation | special waste removal and treatment | asbestos removal | clearing methods;the company edil laurentina srl, is a manufacturer/ producer, which operates in the asbestos removal - contractors industry. it also operates in the industrial site sanitation, special waste removal and treatment, asbestos removal, and clearing methods industries. it is based in roma, italy.;1.0;10.0;;False;;http://www.ediliziaesmaltimento.it/;;edil-laurentina-srl_00000004530806-333749001
projetcover;construction_public_works;construction_structural_work;asbestos_removal_contractors;service provider;via conegliano 96 | 31058 susegana - italy;susegana - italy;31058.0;italy;roofing - works | asbestos removal - contractors | heat insulation | protective covering | waterproofing industrial roofs;the company projetcover, is a service provider, which operates in the roofing - works industry. it also operates in the asbestos removal - contractors, heat insulation, protective covering, and waterproofing industrial roofs industries. it is based in susegana, italy.;1.0;10.0;;False;;http://www.projetcover.it;;projetcover_00000004629856-437760001
lattoneria dellapina maurizio snc;construction_public_works;construction_structural_work;asbestos_removal_contractors;service provider;via alfredo zerbini, 12 | 43045 fornovo di taro - italy;fornovo di taro - italy;43045.0;italy;asbestos removal - contractors | asbestos disposal | asbestos removal | metalwork | roof covers;the company lattoneria dellapina maurizio snc, is a service provider, which operates in the asbestos removal - contractors industry. it also operates in the asbestos disposal, asbestos removal, metalwork, and roof covers industries. it is based in fornovo di taro, italy.;1.0;10.0;;False;;http://www.lattoneriadellapina.it/;;lattoneria-dellapina-maurizio-snc_00000005366788-667611001
