company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
la misolet;construction_public_works;electrical_and_magnetic_insulation;;retailer;strada provinciale 142 4c | 26867 somaglia - italy;somaglia - italy;26867.0;italy;bakelite | plastic material processing | electrical and magnetic insulation | extruders for plastics | cutting | misoglass | bakelite canvas | plastic insulating materials | sheets of bakelite cloth | cnc turning;misolet is specialised in processing dielectric, thermo-insulating, thermo-electric, electromechanical and thermo-mechanical materials for the electronic, lighting, transport, energy and renewables sectors. for over 50 years it has been producing custom-designed components made from bakelite, bakelised fabric, bakelised paper, epoxy glass (g10, fr4, g11, fr5), melamine glass laminates (g5), silicone glass laminates (g7), polyester glass (gpo3), thermo-insulating materials (mica, misoglass1, misotherm500), thermoplastic materials, polycarbonate. it mainly offers the following processing: milling and turning on cnc machines, cutting with presses, dies and die cutting to measure in strips, panels, squares. during the course of the years it has added various services to satisfy the markets' requirements, including: calibration, grinding, (hot and cold) bending, assembly, bonding, riveting, direct selling of sheets, rods and sections.;;;registered office – parent company;True;;http://www.bachelitemisolet.it/, http://www.misolet.it/;;la-misolet_seac001036583-001
hts alte temperature srl;construction_public_works;electrical_and_magnetic_insulation;;manufacturer/ producer;cascina valsecchi 11 | 24060 costa di mezzate - italy;costa di mezzate - italy;24060.0;italy;thermal insulation materials | electrical and magnetic insulation | weatherproofing contractors | braided socks | paper and cardboard insulating materials | heat insulation panels | plates for thermal insulation | glass wool insulating materials | unwoven fabric insulating materials (geotextiles) | glass products for heat insulation;hts alte temperature applies its experience and professionalism to the manufacturing of parts for thermal insulation for average, high and very high temperatures, mainly in textiles. our product range includes yarn, cord, rope, sheaths, mats, tape, fabric, textile joints, coatings and gaskets in fibreglass and high temperature glass, vetraltemp, ceramic fibre, silica fibre, special fibres (graphite, carbon, ptfe, aramid, preox, pan).;;;registered office – parent company;True;;http://www.htsaltetemperature.com;;hts-alte-temperature-srl_seac004909159-001
falpa snc di a. piazza & c.;construction_public_works;electrical_and_magnetic_insulation;;distributor;via rio del vallone, 7/9 | 20040 cambiago - italy;cambiago - italy;20040.0;italy;electrical and magnetic insulation | insulating tape | adhesive tape;insulating papers for electronics, motors and current transformers. insulating tubes, cords for fastenings, evaporated beech strips.;;;registered office – parent company;False;;http://www.falpa.eu;;falpa-snc-di-a-piazza-c_seac000228482-002
sinterall s.r.l.;construction_public_works;electrical_and_magnetic_insulation;;manufacturer/ producer;2/4 via calabria | fizzonasco | 20090 pieve emanuele - italy;pieve emanuele - italy;20090.0;italy;electrical and magnetic insulation;the company sinterall s.r.l., is a manufacturer/ producer, founded in 1978, which operates in the electrical and magnetic insulation industry. it is based in pieve emanuele, italy.;11.0;50.0;registered office;False;1978.0;http://www.sinterall.com;;sinterall-srl_seac000941215-001
cierre;construction_public_works;electrical_and_magnetic_insulation;;manufacturer/ producer;12 via ugolini giuseppe | 20125 milano - italy;milano - italy;20125.0;italy;electrical and magnetic insulation | electrical insulation | machinery for the production of springs;the company cierre, is a manufacturer/ producer, founded in 1965, which operates in the electrical and magnetic insulation industry. it also operates in the electrical insulation, and machinery for the production of springs industries. it is based in milano, italy.;;;registered office;False;1965.0;http://www.cierreint.it;;cierre_seac000933197-001
cab.el.vi. s.r.l.;construction_public_works;electrical_and_magnetic_insulation;;subcontractor;25/27 via bruxelles | 24040 verdellino - italy;verdellino - italy;24040.0;italy;electricity - distribution equipment | magnetic equipment | electrical and magnetic insulation;the company cab.el.vi. s.r.l., is a subcontractor, founded in 2001, which operates in the electricity - distribution equipment industry. it also operates in the magnetic equipment, and electrical and magnetic insulation industries. it is based in verdellino, italy.;;;registered office;False;2001.0;http://www.paginegialle.it/cabelvisrlverdellino;;cabelvi-srl_seac000803621-001
nuova termovicana di fiori franco & c. s.a.s.;construction_public_works;electrical_and_magnetic_insulation;;manufacturer/ producer;35 via paleotti gabriele | 00168 roma - italy;roma - italy;168.0;italy;magnetic equipment | electrical and magnetic insulation | electricity - distribution equipment;the company nuova termovicana di fiori franco & c. s.a.s., is a manufacturer/ producer, founded in 1994, which operates in the magnetic equipment industry. it also operates in the electrical and magnetic insulation, and electricity - distribution equipment industries. it is based in roma, italy.;;;registered office;False;1994.0;http://www.nuovatermovicana.net;;nuova-termovicana-di-fiori-franco-c-sas_seac000968280-001
papetti s.r.l.;construction_public_works;electrical_and_magnetic_insulation;;manufacturer/ producer;1 via trieste | 20060 bellinzago lombardo - italy;bellinzago lombardo - italy;20060.0;italy;chains | electrical and magnetic insulation | small metal parts;the company papetti s.r.l., is a manufacturer/ producer, founded in 2002, which operates in the chains industry. it also operates in the electrical and magnetic insulation, and small metal parts industries. it is based in bellinzago lombardo, italy.;;;registered office;False;2002.0;http://www.paginebianche.it/papettirondelle-bellinzagolombardo;;papetti-srl_seac000868725-001
elettroforniture san marco s.r.l.;construction_public_works;electrical_and_magnetic_insulation;;retailer;42 via rovadino | 25011 calcinato - italy;calcinato - italy;25011.0;italy;electricity - distribution equipment | electrical and magnetic insulation | electrical components and parts;the company elettroforniture san marco s.r.l., is a retailer, founded in 1975, which operates in the electricity - distribution equipment industry. it also operates in the electrical and magnetic insulation, and electrical components and parts industries. it is based in calcinato, italy.;;;registered office;False;1975.0;http://www.paginebianche.it/elettrofornituresanmarco-calcinato;;elettroforniture-san-marco-srl_seac000139760-001
elettromeccanica reno s.r.l.;construction_public_works;electrical_and_magnetic_insulation;;service provider;5 via dell' europa | 40037 sasso marconi - italy;sasso marconi - italy;40037.0;italy;magnetic equipment | electrical and magnetic insulation | electricity - distribution equipment;the company elettromeccanica reno s.r.l., is a service provider, founded in 2001, which operates in the magnetic equipment industry. it also operates in the electrical and magnetic insulation, and electricity - distribution equipment industries. it is based in sasso marconi, italy.;;;registered office;False;2001.0;http://www.elreno.it/;;elettromeccanica-reno-srl_seac000668123-001
s.i.g.i. s.r.l.;construction_public_works;electrical_and_magnetic_insulation;;manufacturer/ producer;76/a via villa | 36021 villaga - italy;villaga - italy;36021.0;italy;electrical and magnetic insulation | electrical insulation;the company s.i.g.i. s.r.l., is a manufacturer/ producer, founded in 1979, which operates in the electrical and magnetic insulation industry. it also operates in the electrical insulation industries. it is based in villaga, italy.;;;;False;1979.0;http://www.favier-group.com;;sigi-srl_seac005415444-001
angi s.r.l.;construction_public_works;electrical_and_magnetic_insulation;;manufacturer/ producer;8 viale brianza | 20127 milano - italy;milano - italy;20127.0;italy;varnishes | electrical insulation | electrical and magnetic insulation;the company angi s.r.l., is a manufacturer/ producer, founded in 1982, which operates in the varnishes industry. it also operates in the electrical insulation, and electrical and magnetic insulation industries. it is based in milano, italy.;11.0;50.0;registered office;False;1982.0;http://www.angisrl.com;;angi-srl_seac000981252-001
ercolani s.r.l.;construction_public_works;electrical_and_magnetic_insulation;;service provider;4 via monte grappa | 13894 gaglianico - italy;gaglianico - italy;13894.0;italy;magnetic equipment | electrical and magnetic insulation | electricity - distribution equipment;the company ercolani s.r.l., is a service provider, founded in 1971, which operates in the magnetic equipment industry. it also operates in the electrical and magnetic insulation, and electricity - distribution equipment industries. it is based in gaglianico, italy.;;;registered office;False;1971.0;http://www.paginebianche.it/ercolaniimpiantielettrici-gaglianico;;ercolani-srl_seac004997419-001
barberi rubinetterie industriali s.r.l.;construction_public_works;electrical_and_magnetic_insulation;;manufacturer/ producer;7 via monte fenera | 13018 valduggia - italy;valduggia - italy;13018.0;italy;plumbing, domestic | plumbing, industrial | electrical and magnetic insulation;the company barberi rubinetterie industriali s.r.l., is a manufacturer/ producer, founded in 1954, which operates in the plumbing, domestic industry. it also operates in the plumbing, industrial, and electrical and magnetic insulation industries. it is based in valduggia, italy.;51.0;100.0;registered office;False;1954.0;http://www.barberi.it/;;barberi-rubinetterie-industriali-srl_seac000064260-001
