company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
atut pavimenti industriali lombardo;construction_public_works;floors_industrial;;manufacturer/ producer;28, v. fimia | 95128 catania - italy;catania - italy;95128.0;italy;public works contractors | floors, industrial | industrial resin coatings | tiling and paving - firms | construction - finishings;atut pavimenti industriali lombardo draws on its many years' acclaimed experience for general building work, renovation work, restoration, static consolidation and construction of residential, condominium and industrial buildings. the company offers its services at very keen prices and manages all kinds of jobs, with the help of its highly specialized staff, ultra-modern equipment and very high quality building and finishing materials.;;;registered office – parent company;False;;;;atut-pavimenti-industriali-lombardo_seac005898978-001
resiniamo srl;construction_public_works;floors_industrial;;service provider;via roma 21 | 47039 savignano sul rubicone - italy;savignano sul rubicone - italy;47039.0;italy;industrial maintenance | industrial resin coatings | industrial floors | flooring;the company resiniamo srl, is a service provider, which operates in the industrial maintenance industry. it also operates in the industrial resin coatings, industrial floors, and flooring industries. it is based in savignano sul rubicone, italy.;1.0;10.0;;False;;http://www.resiniamo.com;;resiniamo-srl_00000005371241-682861001
v&v srl apse;construction_public_works;floors_industrial;;manufacturer/ producer;via genova , 20 | 24040 ciserano - italy;ciserano - italy;24040.0;italy;floors, industrial;the company v&v srl apse, is a manufacturer/ producer, founded in 1964, which operates in the floors, industrial industry. it is based in ciserano, italy.;11.0;50.0;registered office – parent company;False;1964.0;http://apsebg.it/;;vv-srl-apse_00000005270863-584707001
edilizia unica;construction_public_works;floors_industrial;;manufacturer/ producer;via fossella di canuto, 4 | 04022 fondi - italy;fondi - italy;4022.0;italy;restoration and renovation - contractors | plasterboard false ceilings | stone floors | industrial flooring | roof renovation;the company edilizia unica, is a manufacturer/ producer, which operates in the restoration and renovation - contractors industry. it also operates in the plasterboard false ceilings, stone floors, industrial flooring, and roof renovation industries. it is based in fondi, italy.;1.0;10.0;;False;;http://www.ediliziaunica.it;;edilizia-unica_00000004571181-402982001
pavimenti speciali srl;construction_public_works;floors_industrial;;manufacturer/ producer;via vittorio amedeo ii, 19 | 10121 torino - italy;torino - italy;10121.0;italy;industrial resin coatings | industrial floors | horizontal traffic signs;the company pavimenti speciali srl, is a manufacturer/ producer, which operates in the industrial resin coatings industry. it also operates in the industrial floors, and horizontal traffic signs industries. it is based in torino, italy.;51.0;100.0;;False;;http://www.primapavimenti.it;;pavimenti-speciali-srl_00000005277601-590920001
levig italia;construction_public_works;floors_industrial;;service provider;viale turati 10 | 26845 codogno - italy;codogno - italy;26845.0;italy;floors, industrial;the company levig italia, is a service provider, founded in 1986, which operates in the floors, industrial industry. it is based in codogno, italy.;1.0;10.0;registered office – parent company - subsidiary;False;1986.0;https://www.levigitalia.com;;levig-italia_00000005340073-639308001
resinpox;construction_public_works;floors_industrial;;manufacturer/ producer;via belvedere | 47814 bellaria igea marina - italy;bellaria igea marina - italy;47814.0;italy;epoxy resin | industrial floors | resin floors;the company resinpox, is a manufacturer/ producer, which operates in the epoxy resin industry. it also operates in the industrial floors, and resin floors industries. it is based in bellaria igea marina, italy.;1.0;10.0;;False;;http://www.resinpox.com;;resinpox_00000004617876-427677001
superfici srl;construction_public_works;floors_industrial;;wholesaler;via della balduina 23/a | 00136 roma - italy;roma - italy;136.0;italy;plastic floor coverings | floors, industrial | restoration and renovation - contractors | plastic coatings and laminates | laying;the company superfici srl, is a wholesaler, founded in 1998, which operates in the plastic floor coverings industry. it also operates in the floors, industrial, restoration and renovation - contractors, plastic coatings and laminates, and laying industries. it is based in roma, italy.;1.0;10.0;registered office – parent company - subsidiary;False;1998.0;http://www.superfici.net;;superfici-srl_00000004713006-510578001
pavimele di mele salvatore & c. sas;construction_public_works;floors_industrial;;service provider;via carlo pisacane | 84036 sala consilina - italy;sala consilina - italy;84036.0;italy;industrial resin coatings | resin coating for floors | marble smoothing | waterproofing | industrial floors;the company pavimele di mele salvatore & c. sas, is a service provider, which operates in the industrial resin coatings industry. it also operates in the resin coating for floors, marble smoothing, waterproofing, and industrial floors industries. it is based in sala consilina, italy.;11.0;50.0;;False;;http://www.pavimele.it;;pavimele-di-mele-salvatore-c-sas_00000005301622-609406001
rires srl;construction_public_works;floors_industrial;;service provider;via proventa, 130/4 | 48018 faenza - italy;faenza - italy;48018.0;italy;industrial resin coatings | industrial floors;the company rires srl, is a service provider, which operates in the industrial resin coatings industry. it also operates in the industrial floors industries. it is based in faenza, italy.;11.0;50.0;;False;;http://www.rires.it;;rires-srl_00000004713674-511775001
