company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
tutor international srl;construction_public_works;landscaping_contractors;;manufacturer/ producer;via maiella 16 | 42123 reggio emilia - italy;reggio emilia - italy;42123.0;italy;gardening and horticulture - equipment and supplies | landscaping contractors | landscape architecture | nursery supplies | floravip;high-quality and innovative products and systems for a professional and sustainable gardening our main aim is to respect nature, both in terms of products and environmental impact, but also to reduce the maintenance costs linked to garden care. economical sustainability, the future of professional and hobby gardening, and public green depend on a reduction of maintenance costs.;1.0;10.0;;False;2005.0;http://www.tutorinternational.com;;tutor-international-srl_00000003985923-252901001
tecniflor;construction_public_works;landscaping_contractors;;service provider;strada valgera | 14100 asti - italy;asti - italy;14100.0;italy;landscaping contractors | pest control treatment | snow clearing | watering system design | garden disinfestations;tecniflor offers advice and consultancy services for green spaces. the company can create and maintain parks, gardens and green areas. its mission is to provide quality services at competitive prices, based on honest and transparent relationships with its clients combined with the professionalism of hard-won experience, inventiveness and hands-on presence by its managers during the actual works. tecniflor also offers a snow-clearing service.;;;registered office – parent company;False;;http://www.tecniflor.it;;tecniflor_seac000321424-001
fitos di cicognani simone;construction_public_works;landscaping_contractors;;service provider;7, v. canale bonifica | 48123 savarna-ravenna - italy;savarna-ravenna - italy;48123.0;italy;landscaping contractors | synthetic grass for sports facilities | creation of parks, gardens and terraces | weed removal | watering system design;the company fitos di cicognani simone, is a service provider, which operates in the landscaping contractors industry. it also operates in the synthetic grass for sports facilities, creation of parks, gardens and terraces, weed removal, and watering system design industries. it is based in savarna-ravenna, italy.;;;registered office – subsidiary;False;;http://www.fitos.it;;fitos-di-cicognani-simone_seac000622869-001
dario corradi giardinaggio;construction_public_works;landscaping_contractors;;service provider;via luigi soderini 19 | 20146 milano - italy;milano - italy;20146.0;italy;landscaping contractors | garden work | pruning jobs;the company dario corradi giardinaggio, is a service provider, founded in 2010, which operates in the landscaping contractors industry. it also operates in the garden work, and pruning jobs industries. it is based in milano, italy.;1.0;10.0;registered office – parent company;False;2010.0;http://www.dariocorradi.it;;dario-corradi-giardinaggio_00000004551566-344827001
zambelli giardini;construction_public_works;landscaping_contractors;;service provider;via rezzana 178 | 24030 pontida - italy;pontida - italy;24030.0;italy;landscaping contractors;the company zambelli giardini, is a service provider, which operates in the landscaping contractors industry. it is based in pontida, italy.;1.0;10.0;;False;;https://www.zambelligiardini.com;;zambelli-giardini_00000005281355-594908001
spazio verde soc. coop. agricola;construction_public_works;landscaping_contractors;;manufacturer/ producer;via ischie, 65 | 38123 romagnano-trento - italy;romagnano-trento - italy;38123.0;italy;landscaping contractors | turnkey service | public park and garden maintenance | tree felling | fruit plants;the company spazio verde soc. coop. agricola, is a manufacturer/ producer, which operates in the landscaping contractors industry. it also operates in the turnkey service, public park and garden maintenance, tree felling, and fruit plants industries. it is based in romagnano-trento, italy.;;;registered office – parent company;False;;http://www.spazioverde.tn.it;;spazio-verde-soc-coop-agricola_seac000235434-001
quartiere fiorito;construction_public_works;landscaping_contractors;;manufacturer/ producer;via ghedi, 59 | 25021 bagnolo mella - italy;bagnolo mella - italy;25021.0;italy;landscaping contractors;the company quartiere fiorito, is a manufacturer/ producer, which operates in the landscaping contractors industry. it is based in bagnolo mella, italy.;1.0;10.0;;False;;https://www.quartierefiorito.it;;quartiere-fiorito_00000005270336-584665001
giardini mgf;construction_public_works;landscaping_contractors;;service provider;via guado dei sarti 64 quarrata | 51039 quarrata - italy;quarrata - italy;51039.0;italy;landscaping contractors | landscaping and gardening services;the company giardini mgf, is a service provider, which operates in the landscaping contractors industry. it also operates in the landscaping and gardening services industries. it is based in quarrata, italy.;1.0;10.0;;False;;http://www.giardinipistoia.it/it/homepage;;giardini-mgf_00000004977502-548968001
verde manutenzione;construction_public_works;landscaping_contractors;;service provider;friuli venezia giulia | 34100 gorizia - italy;gorizia - italy;34100.0;italy;landscaping contractors;the company verde manutenzione, is a service provider, which operates in the landscaping contractors industry. it is based in gorizia, italy.;1.0;10.0;;False;;http://www.verdemanutenzione.it;;verde-manutenzione_00000005327786-624775001
garden service valtolina snc di somenti e tosoni;construction_public_works;landscaping_contractors;;distributor;19, v. da ceri | 26013 crema - italy;crema - italy;26013.0;italy;landscaping contractors | services for floriculture and gardening | natural fertilizers | floral preparations | trees;the company garden service valtolina snc di somenti e tosoni, is a distributor, which operates in the landscaping contractors industry. it also operates in the services for floriculture and gardening, natural fertilizers, floral preparations, and trees industries. it is based in crema, italy.;;;registered office – parent company;False;;;;garden-service-valtolina-snc-di-somenti-e-tosoni_seac000300447-001
