company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
sub sea services snc di de giovanni stefano & ruggeri riccardo;construction_public_works;marine_port_and_underwater_works_contractors;;service provider;via achille grandi 3 | 00053 civitavecchia - italy;civitavecchia - italy;53.0;italy;marine, port and underwater works - contractors | underwater demolitions | shipwreck recovery | underwater work | divers | underwater welding and cutting | offshore underwater works | ship salvage | dredging | marine, river and lake work;sub sea services has been working throughout italy since 1995 in the underwater and at-sea works sector. our highly professional and experienced divers are able to carry out underwater work with automatic air- or mixture-supplied respirators. we guarantee safe interventions using the latest machinery. thanks to wire-guided vehicles, marine biology study and research work can be carried out by expert biologists in collaboration with the icram research institute.;;;registered office – parent company;True;1995.0;http://www.subseaservices.it/?lang=en, https://www.subseaservicesinternational.com/, https://www.facebook.com/subseaservices;;sub-sea-services-snc-di-de-giovanni-stefano-ruggeri-riccardo_seac005543984-001
irov - underwater services di stasi mauro & c. sas;construction_public_works;marine_port_and_underwater_works_contractors;;service provider;via madonna, 65 | 31015 conegliano - italy;conegliano - italy;31015.0;italy;marine, port and underwater works - contractors | underwater photography services | underwater welding and cutting | underwater foundations | underwater work;~irov - underwater services is a company whose staff are highly experienced in the deployment of underwater robots. the company provides underwater services in the fields of environmental and oceanographic ecology, using either a robot for work at great depths or a wire-guided submarine mini-robot (rov). it inspects fish-farming installations; internal/external checks of pipes and ducts; inspections and checks on foundations and the immersed sections of canals, bridges aqueducts and gas and oil rigs.~;1.0;10.0;registered office – parent company;False;;http://www.irov.it;;irov-underwater-services-di-stasi-mauro-c-sas_seac000931474-001
ecolmare gargano srl - pontoni - rimorchiatori;construction_public_works;marine_port_and_underwater_works_contractors;;service provider;molo di ponente | 71043 manfredonia - italy;manfredonia - italy;71043.0;italy;marine, port and underwater works - contractors | tugboat rental | tugboat services for cargo ships;the company ecolmare gargano srl - pontoni - rimorchiatori, is a service provider, founded in 1988, which operates in the marine, port and underwater works - contractors industry. it also operates in the tugboat rental, and tugboat services for cargo ships industries. it is based in manfredonia, italy.;;;;False;1988.0;http://www.noleggiopontone.com;;ecolmare-gargano-srl-pontoni-rimorchiatori_00000003632493-438946001
tesi archeologia srl - archeologia subacquea e di superficie;construction_public_works;marine_port_and_underwater_works_contractors;;service provider;via montallegro 12/1 | 16145 genova - italy;genova - italy;16145.0;italy;marine, port and underwater works - contractors | geophysical prospecting;the company tesi archeologia srl - archeologia subacquea e di superficie, is a service provider, which operates in the marine, port and underwater works - contractors industry. it also operates in the geophysical prospecting industries. it is based in genova, italy.;1.0;10.0;;False;;http://www.tesiarcheologia.com;;tesi-archeologia-srl-archeologia-subacquea-e-di-superficie_00000004576454-408362001
subwork;construction_public_works;marine_port_and_underwater_works_contractors;;service provider;via petrarca 52 | 38057 pergine valsugana - italy;pergine valsugana - italy;38057.0;italy;marine, port and underwater works - contractors | dredging of harbours, rivers and canals;the company subwork, is a service provider, which operates in the marine, port and underwater works - contractors industry. it also operates in the dredging of harbours, rivers and canals industries. it is based in pergine valsugana, italy.;11.0;50.0;;False;;http://www.braidosub.com;;subwork_00000004710613-509365001
mare nostrum diving;construction_public_works;marine_port_and_underwater_works_contractors;;service provider;via michele titone, 41 | 90129 palermo - italy;palermo - italy;90129.0;italy;marine, port and underwater works - contractors | underwater research | marine survey | moorings | maritime salvage and recovery for pleasure craft;the company mare nostrum diving, is a service provider, which operates in the marine, port and underwater works - contractors industry. it also operates in the underwater research, marine survey, moorings, and maritime salvage and recovery for pleasure craft industries. it is based in palermo, italy.;1.0;10.0;;False;;http://www.marenostrumdiving.it;;mare-nostrum-diving_00000004621250-430080001
coral reef sas;construction_public_works;marine_port_and_underwater_works_contractors;;service provider;via dante 14 | 09010 portoscuso - italy;portoscuso - italy;9010.0;italy;marine, port and underwater works - contractors | shipyards - repairs and maintenance | environmental surveys;the company coral reef sas, is a service provider, founded in 2005, which operates in the marine, port and underwater works - contractors industry. it also operates in the shipyards - repairs and maintenance, and environmental surveys industries. it is based in portoscuso, italy.;1.0;10.0;;False;2005.0;http://www.coral-reef.it;;coral-reef-sas_00000004473553-441650001
marine multiservice srl;construction_public_works;marine_port_and_underwater_works_contractors;;service provider;via razzoli, la maddalena | 07024 la maddalena - italy;la maddalena - italy;7024.0;italy;marine, port and underwater works - contractors;the company marine multiservice srl, is a service provider, which operates in the marine, port and underwater works - contractors industry. it is based in la maddalena, italy.;1.0;10.0;;False;;;;marine-multiservice-srl_00000005330478-627650001
cedifop;construction_public_works;marine_port_and_underwater_works_contractors;;service provider;molo sammuzzo, porto di palermo | 90139 palermo - italy;palermo - italy;90139.0;italy;marine, port and underwater works - contractors;the company cedifop, is a service provider, which operates in the marine, port and underwater works - contractors industry. it is based in palermo, italy.;1.0;10.0;;False;;http://www.cedifop.it;;cedifop_00000004687602-486908001
i.l.e.s.m. di speranza paolo & c. s.a.s.;construction_public_works;marine_port_and_underwater_works_contractors;;manufacturer/ producer;via marina dei gigli varco vigliena, snc darsena petroli | 80146 napoli - italy;napoli - italy;80146.0;italy;marine, port and underwater works - contractors;the company i.l.e.s.m. di speranza paolo & c. s.a.s., is a manufacturer/ producer, which operates in the marine, port and underwater works - contractors industry. it is based in napoli, italy.;;;registered office;False;;http://www.ilesm.it;;ilesm-di-speranza-paolo-c-sas_00000004455608-306711001
