company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
arcadia componibili srl;construction_public_works;partitions;;manufacturer/ producer;via tevere | 64020 castelnuovo vomano-castellalto - italy;castelnuovo vomano-castellalto - italy;64020;italy;partitions | partition wall assembly | sliding partitions | filing cabinet-wall | equipped partitions;the attention that we pay to how things look and are designed enables us to offer unique solutions for reception and office fittings, including elegant partitions and practical open-plan spaces: kws arcadia is a one-stop solution for all your office needs, whatever they may be. the kws system unites arcadia walls, the perfect marriage of the kristal modernism with wall system elegance.;;;registered office – parent company;False;;http://www.arcadiaufficio.it;;arcadia-componibili-srl_seac000203135-001
mobilgili s.n.c.;construction_public_works;partitions;;manufacturer/ producer;via casalgrasso, 10 | 12030 polonghera - italy;polonghera - italy;12030;italy;furniture and shelving, office | partitions | office furniture | architectural design of specially made furnishings and fittings;the company mobilgili s.n.c., is a manufacturer/ producer, founded in 1961, which operates in the furniture and shelving, office industry. it also operates in the partitions, office furniture, and architectural design of specially made furnishings and fittings industries. it is based in polonghera, italy.;;;registered office – parent company;False;1961.0;http://www.mobilgili.com;;mobilgili-snc_seac001246601-001
prismac srl;construction_public_works;partitions;;manufacturer/ producer;via giotto 7 | 20032 cormano - italy;cormano - italy;20032;italy;partitions | soundproofing partitions | modular dividing walls | mobile glazed and acoustic partitions | transparent dividing walls;the company prismac srl, is a manufacturer/ producer, which operates in the partitions industry. it also operates in the soundproofing partitions, modular dividing walls, mobile glazed and acoustic partitions, and transparent dividing walls industries. it is based in cormano, italy.;1.0;10.0;registered office;False;;https://www.prismacsrl.it;;prismac-srl_00000005509292-001
ligna2000 srl;construction_public_works;partitions;;manufacturer/ producer;via bizzozzero, 106 | 20032 cormano - italy;cormano - italy;20032;italy;partitions | equipped dividing walls | equipped partitions;the company ligna2000 srl, is a manufacturer/ producer, which operates in the partitions industry. it also operates in the equipped dividing walls, and equipped partitions industries. it is based in cormano, italy.;11.0;50.0;;False;;http://www.elleduemila.com;;ligna2000-srl_00000004666118-467100001
almar di alessio giovanni;construction_public_works;partitions;;manufacturer/ producer;via bra 8 | 10098 rivoli - italy;rivoli - italy;10098;italy;partitions;the company almar di alessio giovanni, is a manufacturer/ producer, founded in 1993, which operates in the partitions industry. it is based in rivoli, italy.;;;registered office – parent company;False;1993.0;http://www.almarserramenti.it;;almar-di-alessio-giovanni_seac001070842-001
af systems;construction_public_works;partitions;;manufacturer/ producer;via san siro 38 | 29121 piacenza - italy;piacenza - italy;29121;italy;partitions | seals | fire breaks | passive fire protection | fairleads;the company af systems, is a manufacturer/ producer, founded in 1992, which operates in the partitions industry. it also operates in the seals, fire breaks, passive fire protection, and fairleads industries. it is based in piacenza, italy.;11.0;50.0;registered office;False;1992.0;https://www.af-systems.com/fr/;;af-systems_00000005476330-001
edilgessi srls;construction_public_works;partitions;;manufacturer/ producer;via capitello, 19/b | 36027 rosà - italy;rosà - italy;36027;italy;partitions;the company edilgessi srls, is a manufacturer/ producer, which operates in the partitions industry. it is based in rosà, italy.;;;;False;;;;edilgessi-srls_00000004629789-437652001
cartongesso roma;construction_public_works;partitions;;service provider;via matteo palmieri, 4 | 00135 roma - italy;roma - italy;135;italy;partitions | plasterboard work | suspended ceiling | drywall partition and drywall;the company cartongesso roma, is a service provider, which operates in the partitions industry. it also operates in the plasterboard work, suspended ceiling, and drywall partition and drywall industries. it is based in roma, italy.;1.0;10.0;;False;;https://www.mgcartongessoroma.it;;cartongesso-roma_00000005466524-838763001
office concept;construction_public_works;partitions;;retailer;via dei santi pietro e paolo 54/b | 00144 roma - italy;roma - italy;144;italy;partitions | dividing walls | mobile and equipped partition walls | mobile glazed partitions | soundproofing partitions;the company office concept, is a retailer, which operates in the partitions industry. it also operates in the dividing walls, mobile and equipped partition walls, mobile glazed partitions, and soundproofing partitions industries. it is based in roma, italy.;1.0;10.0;;False;;http://www.paretimobiliroma.it/;;office-concept_00000004978528-549195001
general montaggi s.r.l.;construction_public_works;partitions;;subcontractor;12 via goito | 20037 paderno dugnano - italy;paderno dugnano - italy;20037;italy;partitions | mobile and extending partitions | building;the company general montaggi s.r.l., is a subcontractor, founded in 1992, which operates in the partitions industry. it also operates in the mobile and extending partitions, and building industries. it is based in paderno dugnano, italy.;11.0;50.0;registered office;False;1992.0;http://www.general-montaggi.it;;general-montaggi-srl_seac002381515-001
