company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
lavelli cm;construction_public_works;plumbing_fixtures_and_accessories;;manufacturer/ producer;via delle industrie 133 | 36050 cartigliano - italy;cartigliano - italy;36050;italy;plumbing fixtures and accessories | sinks with waste disposal | food waste disposal systems | waterproof bottom basins | stainless steel kitchen sinks | plumbing and bathroom fixtures | colormix mixer taps | steel sinks | stainless steel mixer taps | production of stainless steel sinks;cm has been designing and making customised sinks and worktops, furnishing accessories and stainless steel extractor hoods since 1967. the key to the company's success has always been its constant preoccupation with raw materials, thorough knowledge and attention to customers' demands, targeted, innovating investments in technology concentrated in 12000 m² of premises. cm interprets italian style in terms of steel quality, offering a reliable, immaculate product with a modern design.;;;registered office;True;;http://www.cm-spa.it;;lavelli-cm_seac000066618-002
refineair;construction_public_works;plumbing_fixtures_and_accessories;;manufacturer/ producer;via s. visco 24c | 84131 salerno - italy;salerno - italy;84131;italy;plumbing fixtures and accessories | air purifiers | air quality and environmental monitoring | air analysis and control | sanitizing products for the food and preserved food industry;the company refineair, is a manufacturer/ producer, founded in 2016, which operates in the plumbing fixtures and accessories industry. it also operates in the air purifiers, air quality and environmental monitoring, air analysis and control, and sanitizing products for the food and preserved food industry industries. it is based in salerno, italy.;1.0;10.0;registered office – parent company - subsidiary;False;2016.0;https://www.refineair.it;;refineair_00000005466349-838411001
quaranta ceramiche srl;construction_public_works;plumbing_fixtures_and_accessories;;distributor;ss 7 ter | 74024 manduria - italy;manduria - italy;74024;italy;plumbing fixtures and accessories | parquet | accessories for valves | shower stall over bath tub;the company quaranta ceramiche srl, is a distributor, which operates in the plumbing fixtures and accessories industry. it also operates in the parquet, accessories for valves, and shower stall over bath tub industries. it is based in manduria, italy.;1.0;10.0;;False;;https://www.quarantaceramiche.it;;quaranta-ceramiche-srl_00000005384073-700630001
a. e t. italia s.r.l.;construction_public_works;plumbing_fixtures_and_accessories;;manufacturer/ producer;11 via scanavin fratelli | 36055 nove - italy;nove - italy;36055;italy;plumbing fixtures and accessories | hand-basin | shower trays | wash-hand basins | wall-mounted bathroom fixtures;the company a. e t. italia s.r.l., is a manufacturer/ producer, founded in 2001, which operates in the plumbing fixtures and accessories industry. it also operates in the hand-basin, shower trays, wash-hand basins, and wall-mounted bathroom fixtures industries. it is based in nove, italy.;;;registered office;False;2001.0;http://www.aetitalia.it;;a-e-t-italia-srl_seac000821514-001
idrotermica di bonacina gianbattista;construction_public_works;plumbing_fixtures_and_accessories;;service provider;via provinciale 1314 | 24059 urgnano - italy;urgnano - italy;24059;italy;plumbing fixtures and accessories;the company idrotermica di bonacina gianbattista, is a service provider, which operates in the plumbing fixtures and accessories industry. it is based in urgnano, italy.;1.0;10.0;;False;;http://www.idrotermicabonacina.it;;idrotermica-di-bonacina-gianbattista_00000004563002-395492001
effe 2 di malu laura;construction_public_works;plumbing_fixtures_and_accessories;;distributor;via tirso 40 | 08029 siniscola - italy;siniscola - italy;8029;italy;plumbing fixtures and accessories;the company effe 2 di malu laura, is a distributor, which operates in the plumbing fixtures and accessories industry. it is based in siniscola, italy.;1.0;10.0;;False;;http://www.risparmiobagno.it;;effe-2-di-malu-laura_00000005348289-644144001
gb pozzi;construction_public_works;plumbing_fixtures_and_accessories;;distributor;via bergamo 49 | 24040 pontirolo nuovo - italy;pontirolo nuovo - italy;24040;italy;plumbing fixtures and accessories | bathroom accessories | bathroom accessories | bathrooms and accessories | hydraulic and electric accessories;the company gb pozzi, is a distributor, which operates in the plumbing fixtures and accessories industry. it also operates in the bathroom accessories, bathroom accessories, bathrooms and accessories, and hydraulic and electric accessories industries. it is based in pontirolo nuovo, italy.;1.0;10.0;;False;;http://www.gbpozzi.it/;;gb-pozzi_00000004727255-525811001
bagnochic;construction_public_works;plumbing_fixtures_and_accessories;;wholesaler;tommaso marinetti | 01033 civita castellana - italy;civita castellana - italy;1033;italy;plumbing fixtures and accessories | bathroom furnishings | wash-hand basins | mixers;the company bagnochic, is a wholesaler, which operates in the plumbing fixtures and accessories industry. it also operates in the bathroom furnishings, wash-hand basins, and mixers industries. it is based in civita castellana, italy.;1.0;10.0;;False;;http://www.bagnochic.com;;bagnochic_00000004632313-439063001
pal gebruder s.n.c.;construction_public_works;plumbing_fixtures_and_accessories;;wholesaler;36/d/e/f via della volta | 25124 brescia - italy;brescia - italy;25124;italy;plumbing fixtures and accessories | bathrooms - furniture and fittings | bathroom accessories;the company pal gebruder s.n.c., is a wholesaler, founded in 1980, which operates in the plumbing fixtures and accessories industry. it also operates in the bathrooms - furniture and fittings, and bathroom accessories industries. it is based in brescia, italy.;;;registered office;False;1980.0;https://www.arredobagnobrescia.it/;;pal-gebruder-snc_seac000445569-001
mirano impianti ( s.r.l. );construction_public_works;plumbing_fixtures_and_accessories;;;10 via saragat giuseppe | 30035 mirano - italy;mirano - italy;30035;italy;heating, industrial - installations and equipment | heating, domestic - installations and equipment | plumbing fixtures and accessories;the company mirano impianti ( s.r.l. ), founded in 1982, which operates in the heating, industrial - installations and equipment industry. it also operates in the heating, domestic - installations and equipment, and plumbing fixtures and accessories industries. it is based in mirano, italy.;11.0;50.0;registered office;False;1982.0;http://www.paginegialle.it/miranoimpianti;;mirano-impianti-srl-_seac000499400-001
