company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
magnetti;construction_public_works;public_works_contractors;;manufacturer/ producer;via stupinigi 45 | 10048 vinovo - italy;vinovo - italy;10048.0;italy;varnishing - steels and metals | public works contractors | construction of buildings | roofing waterproofing | outdoor industrial flooring;the company magnetti, is a manufacturer/ producer, which operates in the varnishing - steels and metals industry. it also operates in the public works contractors, construction of buildings, roofing waterproofing, and outdoor industrial flooring industries. it is based in vinovo, italy.;;;registered office;True;;;;magnetti_seac000118529-001
dgs costruzioni;construction_public_works;public_works_contractors;;manufacturer/ producer;via venezia, 20 | 12084 mondovi' - italy;mondovi' - italy;12084.0;italy;public works contractors | building contractors | rendering | building renovation | construction of buildings;the company dgs costruzioni, is a manufacturer/ producer, which operates in the public works contractors industry. it also operates in the building contractors, rendering, building renovation, and construction of buildings industries. it is based in mondovi', italy.;;;registered office;True;;https://www.dagostinoluciano.it/it/;;dgs-costruzioni_seac006896636-001
edil service santoro semplificata impresa edile;construction_public_works;public_works_contractors;;service provider;287, v. badia | 90145 palermo - italy;palermo - italy;90145.0;italy;public works contractors | construction - finishings | wrought iron gates | swimming-pool maintenance | swimming pool flooring;the highly experienced company edil service santoro has been restoring interiors and exteriors for numerous years using the professional skills of craftsmen specialised in hydraulics, electrical installations and gilding. we offer our customers : elegant in-ground, masonry-built swimming pools. the company specialises in waterproofing roofs using special casings and building swimming pools. we also carry out works on co-owned buildings and provide all required certificates, maintenance of facilities and installations, treatments for roofs and restoration of façades, renovating swimming pools, waterproofing buildings, maintenance of buildings and cladding works. site visits and quotations free of charge. the company is situated at via badia 287.;;;registered office – parent company;False;;http://www.edilservicepalermo.it;;edil-service-santoro-semplificata-impresa-edile_seac006900392-001
atut pavimenti industriali lombardo;construction_public_works;public_works_contractors;;manufacturer/ producer;28, v. fimia | 95128 catania - italy;catania - italy;95128.0;italy;public works contractors | floors, industrial | industrial resin coatings | tiling and paving - firms | construction - finishings;atut pavimenti industriali lombardo draws on its many years' acclaimed experience for general building work, renovation work, restoration, static consolidation and construction of residential, condominium and industrial buildings. the company offers its services at very keen prices and manages all kinds of jobs, with the help of its highly specialized staff, ultra-modern equipment and very high quality building and finishing materials.;;;registered office – parent company;False;;;;atut-pavimenti-industriali-lombardo_seac005898978-001
coger - costruzioni generali e restauri srl;construction_public_works;public_works_contractors;;manufacturer/ producer;via monte pollino, 9 | 70022 altamura - italy;altamura - italy;70022.0;italy;public works contractors | restoration and renovation - contractors | construction of buildings | building construction | building restoration;coger specialises in building and restoring buildings. we offer services that include full restoration of buildings, the construction of churches and other places of worship, shops, restaurants and schools, and the restoration of ancient buildings and monuments.;;;registered office;False;;http://www.coger-srl.it;;coger-costruzioni-generali-e-restauri-srl_seac007709521-001
nova costruttori di zani - tognassi e figli snc;construction_public_works;public_works_contractors;;service provider;via king, 14 | 25010 montirone - italy;montirone - italy;25010.0;italy;public works contractors | mason | civil works | building restoration | building construction;nova costruttori building company covers all brescia and its province and specialises in private and industrial constructions, urban and road structures, and all types of building repairs, including for houses, apartments, residential blocks and farm/industrial buildings. .;;;;False;;http://www.novacostruttori.it;;nova-costruttori-di-zani-tognassi-e-figli-snc_seac005173206-001
lg invest srl edilizia immobiliare telecomunicazioni;construction_public_works;public_works_contractors;;manufacturer/ producer;via minzoni don, 193 | 80040 cercola - italy;cercola - italy;80040.0;italy;public works contractors | public building | telecommunications | building demolitions | systems and equipment for fibre optic transmission;although founded recently, lg invest, headquartered at via don minzoni 193 in cercola, benefits from the skills and experience of its owner, engineers and support staff, who together form a highly skilled team. we specialise in construction, restoration, water and weather-tightness, demolition, painting and photovoltaic equipment, and now also work in the telecommunications field, installing fibre optics and local networks.;11.0;50.0;;False;;http://www.lginvest.it;;lg-invest-srl-edilizia-immobiliare-telecomunicazioni_seac006246065-001
sinopoli srl;construction_public_works;public_works_contractors;;service provider;via po, 14 | 20010 pregnana milanese - italy;pregnana milanese - italy;20010.0;italy;public works contractors | building construction | industrial constructions | building restoration | building;~sinopoli has been working in the building trade since 1975 and its organizational structure has all the necessary equipment and means for completing any engineered structure or road. the company works on residential and industrial building construction for public institutions; maintenance of apartment blocks; snow clearance of roads, motorways and airport tarmacs; excavation and earthworks.~;;;registered office – parent company;False;1975.0;;;sinopoli-srl_seac001105661-001
caterino srls;construction_public_works;public_works_contractors;;service provider;v. generale da bormida cerignola | 71042 cerignola - italy;cerignola - italy;71042.0;italy;public works contractors | maintenance and restructuring works | subcontracted work;s.r.l. costruzione ed investimenti, is a company specialised in the building construction sector. its services are the construction of residential and industrial buildings, maintenance and restoration work, building design and construction, tenders, sub-contracting. caterino srls also carries out restoration work on major industrial buildings and hotels, and medium-to-large-scale works. caterino srls costruzione ed investimenti works all over italy including its islands.;11.0;50.0;registered office;False;;http://www.caterinocostruzioni.com;;caterino-srls_seac009636849-001
building improving srl;construction_public_works;public_works_contractors;;manufacturer/ producer;via boiardo, 33 | 20127 milano - italy;milano - italy;20127.0;italy;public works contractors;the company building improving was set up in 1994 to fit, design, supply and install composite materials, and then specialized in selling anti-seismic, lifting and post tensioning devices and providing technical support for these devices. building improving works for design offices and construction firms, supplying them with high level technical assistance to guarantee that leading edge solutions can always be implemented.;;;;False;;http://www.buildingimproving.com;;building-improving-srl_seac003448669-001
di occhipinti rosario snc;construction_public_works;public_works_contractors;;manufacturer/ producer;ctr. piancatella | 97100 ragusa - italy;ragusa - italy;97100.0;italy;public works contractors | wall-coverings applied | concrete | insulation | street consolidation;~sicil scavi is specialised in excavating, road and facility construction with aggregate crushing. specialised in civil and industrial demolitions, debris removal and excavating. we also carry out excavations and supply gritty materials; high demolitions; recycling of materials from demolitions; a mechanical cross brace container service; compact friable asbestos removal work; cold and hot cutting of ferrous structures; all kinds of manual destruction.~;;;registered office – parent company;False;;http://sicilscavi.it;;di-occhipinti-rosario-snc_seac000066207-002
malito costruzioni srl semplificata;construction_public_works;public_works_contractors;;manufacturer/ producer;via vasca cozzolino | 80100 napoli - italy;napoli - italy;80100.0;italy;public works contractors | construction - machines & equipment | civil electrical systems | electric system renovation | electrical systems;the company malito costruzioni srl semplificata, now consolidated in a national construction group, works in the complete construction of buildings, both residential and non-residential, in its own name and for third parties, and also for the resale market.;;;;False;;;;malito-costruzioni-srl-semplificata_seac007811840-001
impresa edile firenze b.a.i.c.;construction_public_works;public_works_contractors;;manufacturer/ producer;131/5, v. argin grosso | 50142 firenze - italy;firenze - italy;50142.0;italy;public works contractors | interior architecture | construction of buildings | civil building maintenance | terrace maintenance;the b.a.i.c. construction company, with its head office in florence, works in the building trade and carries out turnkey clean up and restoration projects. we also provide paving and restore façades. thanks to our long experience, qualifications and technical skills, b.a.i.c. is able to satisfy its clients' requirements by positioning itself as an ideal partner for each project and type of construction.;;;registered office – parent company;False;;;;impresa-edile-firenze-baic_seac005416771-001
powersafe srl;construction_public_works;public_works_contractors;;retailer;p. togliatti, 11 | 89844 limbadi - italy;limbadi - italy;89844.0;italy;solar energy - installations | radioactive waste - reprocessing and storage | solar energy | public works contractors | geothermal energy systems;our installations, your savings and respecting nature! powersafe srl ''over the energy'';;;registered office – parent company;False;;http://www.powersafe.eu;;powersafe-srl_seac006607816-001
impresa costruzioni la bellunese snc;construction_public_works;public_works_contractors;;manufacturer/ producer;viale stazione, 39/a | 32035 santa giustina - italy;santa giustina - italy;32035.0;italy;public works contractors | cableway | dam design | construction of maritime, river and lake dams | road and motorway tunnel construction;the company impresa costruzioni la bellunese snc, is a manufacturer/ producer, which operates in the public works contractors industry. it also operates in the cableway, dam design, construction of maritime, river and lake dams, and road and motorway tunnel construction industries. it is based in santa giustina, italy.;11.0;50.0;registered office – parent company;False;;http://www.labellunese.com;;impresa-costruzioni-la-bellunese-snc_seac000010015-002
bianchini sicurezza stradale;construction_public_works;public_works_contractors;;;via romana, 27 | 06012 promano-citta' di castello - italy;promano-citta' di castello - italy;6012.0;italy;roadlaying - contractors | public works contractors | road and motorway safety barrier installation | street building | road works;the company bianchini sicurezza stradale, which operates in the roadlaying - contractors industry. it also operates in the public works contractors, road and motorway safety barrier installation, street building, and road works industries. it is based in promano-citta' di castello, italy.;;;registered office – parent company;False;;http://www.bianchinimontaggistradali.com;;bianchini-sicurezza-stradale_seac010099707-001
fasan costruzioni s.n.c.;construction_public_works;public_works_contractors;;manufacturer/ producer;via mercato 32 | 33075 san vito al tagliamento - italy;san vito al tagliamento - italy;33075.0;italy;structural work | finishing work | public works contractors | wood houses | building work;the company fasan costruzioni s.n.c., is a manufacturer/ producer, which operates in the structural work industry. it also operates in the finishing work, public works contractors, wood houses, and building work industries. it is based in san vito al tagliamento, italy.;;;registered office;False;;http://www.fasancostruzioni.it;;fasan-costruzioni-snc_seac005800716-001
paviteck srl;construction_public_works;public_works_contractors;;distributor;via colombina, 12 | 46010 buscoldo-curtatone - italy;buscoldo-curtatone - italy;46010.0;italy;public works contractors | street building | industrial indoor flooring with antidust materials | road building | street consolidation;the company paviteck srl, is a distributor, which operates in the public works contractors industry. it also operates in the street building, industrial indoor flooring with antidust materials, road building, and street consolidation industries. it is based in buscoldo-curtatone, italy.;;;registered office – parent company;False;;http://www.paviteck.it;;paviteck-srl_seac006201539-001
clementoni massimo impresa edile;construction_public_works;public_works_contractors;;service provider;5, vl. trieste | 62018 potenza picena - italy;potenza picena - italy;62018.0;italy;public works contractors | building contractors | industrial building projects | building | construction of buildings;the company clementoni massimo impresa edile, is a service provider, which operates in the public works contractors industry. it also operates in the building contractors, industrial building projects, building, and construction of buildings industries. it is based in potenza picena, italy.;;;registered office – parent company;False;;http://www.impresaedileclementoni.com;;clementoni-massimo-impresa-edile_seac000355001-001
deco demolizioni controllate deco sas di giuliano marco & c.;construction_public_works;public_works_contractors;;service provider;2/1, v. rejnaud | 10068 villafranca piemonte - italy;villafranca piemonte - italy;10068.0;italy;public works contractors | roof repair | building renovation | industrial building maintenance | civil building maintenance;the company deco demolizioni controllate deco sas di giuliano marco & c., is a service provider, which operates in the public works contractors industry. it also operates in the roof repair, building renovation, industrial building maintenance, and civil building maintenance industries. it is based in villafranca piemonte, italy.;;;registered office – parent company;False;;;;deco-demolizioni-controllate-deco-sas-di-giuliano-marco-c_seac005551160-001
tecno appalti s.r.l.;construction_public_works;public_works_contractors;;manufacturer/ producer;via piane | 64046 montorio al vomano - italy;montorio al vomano - italy;64046.0;italy;structural work | public works contractors | building and industrial construction;the company tecno appalti s.r.l., is a manufacturer/ producer, founded in 1997, which operates in the structural work industry. it also operates in the public works contractors, and building and industrial construction industries. it is based in montorio al vomano, italy.;;;registered office;False;1997.0;http://www.tecnoappalti.com/;;tecno-appalti-srl_seac001644594-001
