company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
sicura persiane alluminio;construction_public_works;shutters;;manufacturer/ producer;via padania 24/38 | 25030 castel mella - italy;castel mella - italy;25030;italy;shutters | folding shutters | sliding shutters | aluminium shutter | shutters | casement shutters | sun shade | adjustable shutter | security shutters | window frames;founded in 1984 in the province of brescia, sicura srl persiane alluminio specialises in the manufacture and sale of painted aluminium shutters. we offer a complete range of premium quality products, for both new builds and restoration projects. classic shutters;;;registered office – parent company;True;;http://www.sicurapersiane.com;;sicura-persiane-alluminio_seac000573813-001
punto sicurezza casa;construction_public_works;shutters;;multi-category;via g. matteotti, 66 | 20851 lissone - italy;lissone - italy;20851;italy;frame and joinery | security railings | windows | shutters | armoured doors for dwellings;the company punto sicurezza casa, is a multi-category, which operates in the frame and joinery industry. it also operates in the security railings, windows, shutters, and armoured doors for dwellings industries. it is based in lissone, italy.;11.0;50.0;registered office – parent company - subsidiary;False;;http://www.puntosicurezzacasa.it;;punto-sicurezza-casa_00000004729963-528984001
cavazzoni di andrea cavazzoni;construction_public_works;shutters;;manufacturer/ producer;3, v. gianfranco miglio | 46030 pomponesco - italy;pomponesco - italy;46030;italy;furniture, household | wooden window | wooden furniture | shutters | custom made bedroom furniture;the company cavazzoni di andrea cavazzoni, is a manufacturer/ producer, which operates in the furniture, household industry. it also operates in the wooden window, wooden furniture, shutters, and custom made bedroom furniture industries. it is based in pomponesco, italy.;;;registered office – parent company;False;;http://www.falegnameriacavazzoni.it;;cavazzoni-di-andrea-cavazzoni_seac000655650-001
la mela andrea;construction_public_works;shutters;;wholesaler;via giovanni locarno 16 | 21013 gallarate - italy;gallarate - italy;21013;italy;frame and joinery | pvc windows and frames | armoured doors | shutters;the company la mela andrea, is a wholesaler, which operates in the frame and joinery industry. it also operates in the pvc windows and frames, armoured doors, and shutters industries. it is based in gallarate, italy.;;;registered office;False;;http://www.porteshop.it;;la-mela-andrea_00000004553294-346264001
omad srl;construction_public_works;shutters;;manufacturer/ producer;via bradolini, 17 | 31010 castello roganzuolo di san fior - italy;castello roganzuolo di san fior - italy;31010;italy;shutters;the company omad srl, is a manufacturer/ producer, founded in 1920, which operates in the shutters industry. it is based in castello roganzuolo di san fior, italy.;11.0;50.0;registered office – parent company;False;1920.0;http://www.omad.it;;omad-srl_00000004732222-531996001
serramenti asp;construction_public_works;shutters;;manufacturer/ producer;via francesca 197-201 | 56020 ponticelli s.maria a monte - italy;ponticelli s.maria a monte - italy;56020;italy;frame and joinery | windows | doors | shutters;the company serramenti asp, is a manufacturer/ producer, which operates in the frame and joinery industry. it also operates in the windows, doors, and shutters industries. it is based in ponticelli s.maria a monte, italy.;1.0;10.0;;False;;http://serramentiasp.it;;serramenti-asp_00000004615748-426634001
alux srl;construction_public_works;shutters;;manufacturer/ producer;via fontana lazzara, 17 - loc. fonte | 84069 roccadaspide - italy;roccadaspide - italy;84069;italy;frame and joinery | wood and aluminium windows | insulating windows | shutters;the company alux srl, is a manufacturer/ producer, which operates in the frame and joinery industry. it also operates in the wood and aluminium windows, insulating windows, and shutters industries. it is based in roccadaspide, italy.;;;;False;;http://www.aluxinfissi.eu;;alux-srl_00000004629557-437386001
zappia;construction_public_works;shutters;;manufacturer/ producer;località larderia inferiore | 98123 messina - italy;messina - italy;98123;italy;frame and joinery | shutters | security grid | fixture armouring;the company zappia, is a manufacturer/ producer, founded in 1989, which operates in the frame and joinery industry. it also operates in the shutters, security grid, and fixture armouring industries. it is based in messina, italy.;11.0;50.0;;False;1989.0;http://www.zappiaporteblindate.com/index.html;;zappia_00000004904415-562960001
porte & finestre di delprete pasquale;construction_public_works;shutters;;manufacturer/ producer;via chiatona, 40 | 74016 massafra - italy;massafra - italy;74016;italy;shutters | pvc windows and frames | pvc verandas | armoured gates | custom-made fly screens;the company porte & finestre di delprete pasquale, is a manufacturer/ producer, founded in 2002, which operates in the shutters industry. it also operates in the pvc windows and frames, pvc verandas, armoured gates, and custom-made fly screens industries. it is based in massafra, italy.;1.0;10.0;;False;2002.0;https://www.panki.it/;;porte-finestre-di-delprete-pasquale_00000005390843-711259001
b.p.s. di bellicini mario e figli;construction_public_works;shutters;;distributor;via campassi, 132 | 25040 esine - italy;esine - italy;25040;italy;frame and joinery | window and frame installation | door and window | installation of mosquito screens | shutters;the company b.p.s. di bellicini mario e figli, is a distributor, founded in 1980, which operates in the frame and joinery industry. it also operates in the window and frame installation, door and window, installation of mosquito screens, and shutters industries. it is based in esine, italy.;;;registered office;False;1980.0;http://bpsbellicini.it;;bps-di-bellicini-mario-e-figli_00000003888167-179697001
salvatore nestola avvolgibili;construction_public_works;shutters;;;via bosco, 180 | 73010 veglie (le) - italy;veglie (le) - italy;73010;italy;shutters | roller mosquito nets | roller blinds | armoured rolling shutters | roller blinds;the company salvatore nestola avvolgibili, founded in 1989, which operates in the shutters industry. it also operates in the roller mosquito nets, roller blinds, armoured rolling shutters, and roller blinds industries. it is based in veglie (le), italy.;;;;False;1989.0;http://www.rollvip.it;;salvatore-nestola-avvolgibili_ita319289-00101
italplast snc;construction_public_works;shutters;;manufacturer/ producer;1521 via casilina | 00133 roma - italy;roma - italy;133;italy;shutters | folding shutters | shutters | plastic roller blinds | pvc windows and frames;the company italplast snc, is a manufacturer/ producer, founded in 1979, which operates in the shutters industry. it also operates in the folding shutters, plastic roller blinds, and pvc windows and frames industries. it is based in roma, italy.;;;registered office – parent company;False;1979.0;http://www.italplastsnc.it;;italplast-snc_seac005121774-001
carpenteria mastronardi;construction_public_works;shutters;;manufacturer/ producer;via kennedy 93 | 50038 scarperia - italy;scarperia - italy;50038;italy;frame and joinery | mosquito blinds | armoured doors | shutters;the company carpenteria mastronardi, is a manufacturer/ producer, founded in 1913, which operates in the frame and joinery industry. it also operates in the mosquito blinds, armoured doors, and shutters industries. it is based in scarperia, italy.;1.0;10.0;registered office;False;1913.0;http://www.carpenteriamastronardi.com;;carpenteria-mastronardi_00000004614951-425416001
nuova infissi di cardellicchio massimo;construction_public_works;shutters;;;26 via maturi giuseppe | 74121 taranto - italy;taranto - italy;74121;italy;windows | sun protection, interior and exterior | shutters;the company nuova infissi di cardellicchio massimo, founded in 2006, which operates in the windows industry. it also operates in the sun protection, interior and exterior, and shutters industries. it is based in taranto, italy.;1.0;10.0;registered office;False;2006.0;http://www.nuovainfissitaranto.com;;nuova-infissi-di-cardellicchio-massimo_seac002514993-001
a. bertozzi s.n.c. di guareschi carlo & c.;construction_public_works;shutters;;;108/a via volturno | 43125 parma - italy;parma - italy;43125;italy;sun protection, interior and exterior | windows | shutters;the company a. bertozzi s.n.c. di guareschi carlo & c., which operates in the sun protection, interior and exterior industry. it also operates in the windows, and shutters industries. it is based in parma, italy.;;;registered office;False;;http://www.abertozzi.it;;a-bertozzi-snc-di-guareschi-carlo-c_seac000230410-001
punto finestre s.r.l.;construction_public_works;shutters;;;28 via trento | 25050 paderno franciacorta - italy;paderno franciacorta - italy;25050;italy;windows | shutters | frame and joinery;the company punto finestre s.r.l., founded in 2001, which operates in the windows industry. it also operates in the shutters, and frame and joinery industries. it is based in paderno franciacorta, italy.;11.0;50.0;registered office;False;2001.0;http://www.puntopersiane.it;;punto-finestre-srl_seac000896765-001
lombarda accessori serramenti s.r.l.;construction_public_works;shutters;;manufacturer/ producer;141/b via guglielmo marconi | 25071 agnosine - italy;agnosine - italy;25071;italy;windows | shutters | plate glass and mirrors;the company lombarda accessori serramenti s.r.l., is a manufacturer/ producer, founded in 1982, which operates in the windows industry. it also operates in the shutters, and plate glass and mirrors industries. it is based in agnosine, italy.;;;registered office;False;1982.0;http://www.las-srl.it/;;lombarda-accessori-serramenti-srl_seac000464809-001
