company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
gibus s.p.a.;construction_public_works;sun_protection_interior_and_exterior;;manufacturer/ producer;via luigi einaudi 35 | 35030 saccolongo - italy;saccolongo - italy;35030.0;italy;sun protection, interior and exterior | net curtains | curtains | sunshades and accessories | shades | bowers | opening skylights | awnings | tensioned blinds | folding arm blinds;gibus has been working with commitment and efficiency since 1982. we create solutions that enable you to enjoy the sun all-year round, allowing you to experience unforgettable moments in your very own sun room. we are passionate about designing and creating folding arm blinds and pergolas, as well as a range of associated items such as glazing, lighting systems, audio systems and heating systems. our products are sold via atelier, a network of trusted resellers that share our values.;;;registered office;True;;http://www.gibus.com/it, http://www.gibus.com/en;;gibus-spa_seac005742388-001
elios furniture di puca carmine & c. s.a.s.;construction_public_works;sun_protection_interior_and_exterior;;manufacturer/ producer;via mattine km 100 c/o centro le mattine | 84043 agropoli - italy;agropoli - italy;84043.0;italy;parasols | beach umbrellas | garden umbrellas | offset parasols | rectangular parasols | giant umbrellas | custom-made umbrellas | beach umbrellas | cafe parasols | customised beach umbrellas;ombrellificio elios was founded in 2015 in agropoli (sa - it), it produces and markets furniture items for beaches, outdoor areas and accommodation facilities. the company produces and distributes bespoke beach umbrellas that can be entirely customised even with a remote opening/closing computerised management system. our products are truly outdoor design items that easily blend in with many environments and maximise their functionality!;1.0;10.0;registered office;True;2015.0;http://www.eliosagropoli.it;;elios-furniture-di-puca-carmine-c-sas_seac011706373-001
acquamarina srl;construction_public_works;sun_protection_interior_and_exterior;;distributor;71/a, v. basso acquar | 37135 verona - italy;verona - italy;37135.0;italy;sun protection, interior and exterior | decorating film | opacifier film | solar protection films for glass | dark film for glass;acquamarina is a company which stands out with the flexibility of its services. we provide a wide range of products for all types of entity, both public and private. we are supported by qualified professionals carefully selected to carry out functional and aesthetic installations which will satisfy all the requirements of our clients. we provide films for tainted and sun protection, anti-reflection and protective windows, carpets, tiles and wall paper;;;registered office – parent company;False;;http://www.acquamarina.vr.it;;acquamarina-srl_seac000612158-001
opea;construction_public_works;sun_protection_interior_and_exterior;;manufacturer/ producer;via festola | 84062 olevano sul tusciano - italy;olevano sul tusciano - italy;84062.0;italy;weatherproofing contractors | sun protection, interior and exterior | wood treatment products | waterproofing membranes | floor resins;the company opea, is a manufacturer/ producer, founded in 1998, which operates in the weatherproofing contractors industry. it also operates in the sun protection, interior and exterior, wood treatment products, waterproofing membranes, and floor resins industries. it is based in olevano sul tusciano, italy.;1.0;10.0;registered office – parent company;False;1998.0;http://www.opea.it;;opea_00000004604917-418169001
roverplastik s.p.a.;construction_public_works;sun_protection_interior_and_exterior;;manufacturer/ producer;10 zona industriale | 38060 volano - italy;volano - italy;38060.0;italy;sun protection, interior and exterior | pvc metallic rolling shutters | roller blinds;the company roverplastik s.p.a., is a manufacturer/ producer, founded in 1965, which operates in the sun protection, interior and exterior industry. it also operates in the pvc metallic rolling shutters, and roller blinds industries. it is based in volano, italy.;;;registered office;False;1965.0;http://www.roverplastik.it;;roverplastik-spa_seac001073094-001
shade 'n' tech srl;construction_public_works;sun_protection_interior_and_exterior;;manufacturer/ producer;via dei carradori, 17 z.i. | 71042 cerignola - italy;cerignola - italy;71042.0;italy;sun protection, interior and exterior | roofing, solar protection | sunshades and accessories | arbours and gazebos | blinds with extendable rods;the company shade 'n' tech srl, is a manufacturer/ producer, founded in 1996, which operates in the sun protection, interior and exterior industry. it also operates in the roofing, solar protection, sunshades and accessories, arbours and gazebos, and blinds with extendable rods industries. it is based in cerignola, italy.;1.0;10.0;registered office – parent company;False;1996.0;https://www.desideriodombra.it;;shade-n-tech-srl_00000005498441-001
la tendamania srl;construction_public_works;sun_protection_interior_and_exterior;;manufacturer/ producer;v.le impero | 80038 pomigliano d'arco - italy;pomigliano d'arco - italy;80038.0;italy;sunshades and accessories | sun protection, interior and exterior | manufacturing of blinds | custom arbours and gazebos;the company la tendamania srl, is a manufacturer/ producer, which operates in the sunshades and accessories industry. it also operates in the sun protection, interior and exterior, manufacturing of blinds, and custom arbours and gazebos industries. it is based in pomigliano d'arco, italy.;11.0;50.0;;False;;http://www.latendamania.com;;la-tendamania-srl_00000004656030-458234001
manufatti in cemento s.r.l.;construction_public_works;sun_protection_interior_and_exterior;;manufacturer/ producer;7 via beato alberto | 24023 clusone - italy;clusone - italy;24023.0;italy;sun protection, interior and exterior | stairs and handrails | concrete products and conglomerates;the company manufatti in cemento s.r.l., is a manufacturer/ producer, founded in 1993, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and concrete products and conglomerates industries. it is based in clusone, italy.;;;registered office;False;1993.0;http://www.spadamanufatti.it;;manufatti-in-cemento-srl_seac000680106-001
steelform s.r.l.;construction_public_works;sun_protection_interior_and_exterior;;manufacturer/ producer;60 via udine | 33061 rivignano teor - italy;rivignano teor - italy;33061.0;italy;industrial building construction | metal construction, lightweight | sun protection, interior and exterior;the company steelform s.r.l., is a manufacturer/ producer, founded in 1990, which operates in the industrial building construction industry. it also operates in the metal construction, lightweight, and sun protection, interior and exterior industries. it is based in rivignano teor, italy.;101.0;200.0;registered office – parent company;False;1990.0;http://www.steelformitalia.it;;steelform-srl_seac000501487-001
foster t. & c. srl;construction_public_works;sun_protection_interior_and_exterior;;wholesaler;72 viale dell' industria | 35129 padova - italy;padova - italy;35129.0;italy;sun protection, interior and exterior | films, solar protection | solar protection films for glass;the company foster t. & c. srl, is a wholesaler, founded in 2005, which operates in the sun protection, interior and exterior industry. it also operates in the films, solar protection, and solar protection films for glass industries. it is based in padova, italy.;;;registered office;False;2005.0;http://www.fostersrl.it;;foster-t-c-srl_seac004707598-001
