company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
cottosenese spa;glass_construction_materials;bricks;;manufacturer/ producer;localita' le fornaci, 55/a | 53027 san quirico d'orcia - italy;san quirico d'orcia - italy;53027.0;italy;roofing materials | honeycomb block bricks | masonry roofing | terracotta tiles | bricks;cottonese spa works in the brick and covering sector. our aim has always been to provide lasting and reliable products without neglecting aesthetics. we provide old tiles, flooring, micro-ventilated roofs, ventilation fastenings, sienna brick walls, handmade bricks, terracotta tiles, slabs, prefabricated floorings, brick tiles, terracotta and brick steps, alveolar blocks.;;;registered office;False;;http://www.cottosenese.net;;cottosenese-spa_seac000006765-001
bertedil s.r.l.;glass_construction_materials;bricks;;wholesaler;18 via i traversale | piano di valeriano | 19020 vezzano ligure - italy;vezzano ligure - italy;19020.0;italy;bricks | urban fixtures and installations | plaster and plaster products;the company bertedil s.r.l., is a wholesaler, founded in 1987, which operates in the bricks industry. it also operates in the urban fixtures and installations, and plaster and plaster products industries. it is based in vezzano ligure, italy.;;;registered office;False;1987.0;https://www.bertediledilizia.it/;;bertedil-srl_139161518184354-001
comitel gedilco;glass_construction_materials;bricks;;manufacturer/ producer;via monte misma 35/37 | 24050 calcinate - italy;calcinate - italy;24050.0;italy;building materials, manufacture - machinery and equipment | magnetic equipment | bricks;the company comitel gedilco, is a manufacturer/ producer, founded in 1985, which operates in the building materials, manufacture - machinery and equipment industry. it also operates in the magnetic equipment, and bricks industries. it is based in calcinate, italy.;1.0;10.0;registered office;False;1985.0;http://www.gedilco.com;;comitel-gedilco_seac000485409-001
edilpotenza s.r.l.;glass_construction_materials;bricks;;;contrada bascetta | 73044 galatone - italy;galatone - italy;73044.0;italy;construction materials | bricks | plaster and plaster products;the company edilpotenza s.r.l., which operates in the construction materials industry. it also operates in the bricks, and plaster and plaster products industries. it is based in galatone, italy.;11.0;50.0;;False;;http://www.paginebianche.it/edilpotenza-galatone;;edilpotenza-srl_seac006765674-001
la nuova edilizia di pergola s.r.l.;glass_construction_materials;bricks;;;12 viale dante alighieri | 61045 pergola - italy;pergola - italy;61045.0;italy;construction materials | bricks | plaster and plaster products;the company la nuova edilizia di pergola s.r.l., which operates in the construction materials industry. it also operates in the bricks, and plaster and plaster products industries. it is based in pergola, italy.;;;;False;;http://www.paginegialle.it/la-nuova-edilizia-pergola;;la-nuova-edilizia-di-pergola-srl_seac009905175-001
italkem s.r.l.;glass_construction_materials;bricks;;wholesaler;20 via petazzi | 15053 castelnuovo scrivia - italy;castelnuovo scrivia - italy;15053.0;italy;construction materials | bricks | plaster and plaster products;the company italkem s.r.l., is a wholesaler, founded in 2005, which operates in the construction materials industry. it also operates in the bricks, and plaster and plaster products industries. it is based in castelnuovo scrivia, italy.;11.0;50.0;registered office;False;2005.0;http://www.italkem.it;;italkem-srl_seac002359098-001
commerciale edil g.m. s.r.l.;glass_construction_materials;bricks;;;1 via su mattone | 08029 siniscola - italy;siniscola - italy;8029.0;italy;construction materials | bricks | plaster and plaster products;the company commerciale edil g.m. s.r.l., founded in 1996, which operates in the construction materials industry. it also operates in the bricks, and plaster and plaster products industries. it is based in siniscola, italy.;1.0;10.0;registered office;False;1996.0;http://www.paginegialle.it/commercialeedilgmsrl_eablce;;commerciale-edil-gm-srl_seac000244150-001
fratelli tiso;glass_construction_materials;bricks;;service provider;22 via meucci | 35030 selvazzano dentro - italy;selvazzano dentro - italy;35030.0;italy;raw materials for construction and public works | building materials, manufacture - machinery and equipment | bricks;the company fratelli tiso, is a service provider, founded in 1977, which operates in the raw materials for construction and public works industry. it also operates in the building materials, manufacture - machinery and equipment, and bricks industries. it is based in selvazzano dentro, italy.;;;registered office;False;1977.0;http://www.tisorifiutiedili.it;;fratelli-tiso_seac000090871-001
fornace eugenio casetta s.r.l.;glass_construction_materials;bricks;;manufacturer/ producer;77 corso canale | 12051 alba - italy;alba - italy;12051.0;italy;bricks | concrete products and conglomerates | plaster and plaster products;the company fornace eugenio casetta s.r.l., is a manufacturer/ producer, founded in 2006, which operates in the bricks industry. it also operates in the concrete products and conglomerates, and plaster and plaster products industries. it is based in alba, italy.;;;registered office;False;2006.0;http://www.paginebianche.it/fornaceeugeniocasetta-alba;;fornace-eugenio-casetta-srl_seac000841976-001
biemme s.r.l.;glass_construction_materials;bricks;;manufacturer/ producer;26 via tevere | 61030 cartoceto - italy;cartoceto - italy;61030.0;italy;construction materials | bricks | plaster and plaster products;the company biemme s.r.l., is a manufacturer/ producer, founded in 2002, which operates in the construction materials industry. it also operates in the bricks, and plaster and plaster products industries. it is based in cartoceto, italy.;11.0;50.0;registered office;False;2002.0;http://www.biemmebiagiotti.com;;biemme-srl_seac004641299-001
tecno edil s.r.l.;glass_construction_materials;bricks;;wholesaler;62 via degli astri | 09100 cagliari - italy;cagliari - italy;9100.0;italy;construction materials | bricks | plaster and plaster products;the company tecno edil s.r.l., is a wholesaler, founded in 1982, which operates in the construction materials industry. it also operates in the bricks, and plaster and plaster products industries. it is based in cagliari, italy.;;;registered office;False;1982.0;http://www.tecnoedile.com;;tecno-edil-srl_seac000598256-001
porfido trentino ( s.r.l. );glass_construction_materials;bricks;;;localita' possender | 38041 albiano - italy;albiano - italy;38041.0;italy;bricks | plaster and plaster products | roadlaying materials;the company porfido trentino ( s.r.l. ), founded in 1982, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in albiano, italy.;11.0;50.0;registered office;False;1982.0;http://www.porfidotrentino.com;;porfido-trentino-srl-_seac000238304-001
harpo s.p.a.;glass_construction_materials;bricks;;manufacturer/ producer;34 via torino | 34123 trieste - italy;trieste - italy;34123.0;italy;construction materials | cement and additives | bricks;the company harpo s.p.a., is a manufacturer/ producer, founded in 1928, which operates in the construction materials industry. it also operates in the cement and additives, and bricks industries. it is based in trieste, italy.;;;registered office;False;1928.0;http://www.harpo-group.com;;harpo-spa_seac000006975-001
3 ciemme s.r.l.;glass_construction_materials;bricks;;manufacturer/ producer;260/r corso sardegna | 16142 genova - italy;genova - italy;16142.0;italy;paints and varnishes | bricks | plaster and plaster products;the company 3 ciemme s.r.l., is a manufacturer/ producer, founded in 2002, which operates in the paints and varnishes industry. it also operates in the bricks, and plaster and plaster products industries. it is based in genova, italy.;11.0;50.0;registered office;False;2002.0;http://www.3ciemme.it/;;3-ciemme-srl_seac000373413-001
edilcomm s.r.l.;glass_construction_materials;bricks;;wholesaler;98 viale venezia | 38056 levico terme - italy;levico terme - italy;38056.0;italy;construction materials | bricks | plaster and plaster products;the company edilcomm s.r.l., is a wholesaler, founded in 1997, which operates in the construction materials industry. it also operates in the bricks, and plaster and plaster products industries. it is based in levico terme, italy.;11.0;50.0;registered office;False;1997.0;http://www.edilcomm.com;;edilcomm-srl_seac000462284-001
sa.fa s.r.l.;glass_construction_materials;bricks;;;km. 9.750 strada statale 131 | 09028 sestu - italy;sestu - italy;9028.0;italy;plumbing fixtures and accessories | bathrooms - furniture and fittings | bricks;the company sa.fa s.r.l., founded in 1970, which operates in the plumbing fixtures and accessories industry. it also operates in the bathrooms - furniture and fittings, and bricks industries. it is based in sestu, italy.;;;registered office;False;1970.0;http://www.safasrl.net/;;safa-srl_seac000030639-001
f.lli zuin s.n.c. di zuin dino - giulio & c.;glass_construction_materials;bricks;;;6 via bassette | 35129 padova - italy;padova - italy;35129.0;italy;bricks | plaster and plaster products | roadlaying materials;the company f.lli zuin s.n.c. di zuin dino - giulio & c., founded in 1958, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in padova, italy.;;;registered office;False;1958.0;https://www.fratellizuin.it/;;flli-zuin-snc-di-zuin-dino-giulio-c_seac000066234-001
mengon legnami s.r.l.;glass_construction_materials;bricks;;;via del carroccio | 26012 castelleone - italy;castelleone - italy;26012.0;italy;bricks | plaster and plaster products | roadlaying materials;the company mengon legnami s.r.l., founded in 2005, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in castelleone, italy.;11.0;50.0;registered office;False;2005.0;http://www.mengonlegnami.com/;;mengon-legnami-srl_seac000377614-001
diemme s.r.l.;glass_construction_materials;bricks;;;22 via vivaio | 20122 milano - italy;milano - italy;20122.0;italy;construction materials | bricks | plaster and plaster products;the company diemme s.r.l., founded in 1993, which operates in the construction materials industry. it also operates in the bricks, and plaster and plaster products industries. it is based in milano, italy.;11.0;50.0;;False;1993.0;http://www.domenicomori.it;;diemme-srl_seac000375434-001
fratelli serra s.r.l.;glass_construction_materials;bricks;;manufacturer/ producer;13 via quadrivio | 09090 usellus - italy;usellus - italy;9090.0;italy;construction materials | bricks | plaster and plaster products;the company fratelli serra s.r.l., is a manufacturer/ producer, founded in 1976, which operates in the construction materials industry. it also operates in the bricks, and plaster and plaster products industries. it is based in usellus, italy.;;;registered office;False;1976.0;http://fratelliserra.it;;fratelli-serra-srl_seac000116535-001
