company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
chimica edile srl;glass_construction_materials;cement_and_additives;;manufacturer/ producer;via dei maniscalchi - loc. la valle | 58043 castiglione della pescaia - italy;castiglione della pescaia - italy;58043;italy;cement and additives | additives, cement and mortar | mortars for construction work | accelerators for concrete and mortars;chimica edile is a company, established in 1981. we produces an expansive mortar for demolition and cut of rocks and concretes (fract. ag). chimica edile also produces avant- garde products like a line of lime-based additives, indispensable for countering the withdrawal of cement mortars both in the modelling and hardening phases. chimica edile is a group with five enterprises and numerous distributors, present in almost all world markets in the form of both direct dealers and other companies thereto connected. such consistent presence in the territory ensures an effective technical support system and an "on the spot" response to the needs of our clients. continuous research for new solutions and respect for the environment represents the strengths of a company in constant growth. the technical laboratory assures quality controls of every commercialized product, thereby guaranteeing highly reliable and durable products.;11.0;50.0;;False;;http://www.chimicaedile.it;;chimica-edile-srl_00000004612277-423844001
pol kem di poloni sabina;glass_construction_materials;cement_and_additives;;service provider;10, v. del cristo | 31035 crocetta del montello - italy;crocetta del montello - italy;31035;italy;resins | acid-resistant floor-coverings | epoxy resins | cement additives | building resins;the company pol kem di poloni sabina, is a service provider, which operates in the resins industry. it also operates in the acid-resistant floor-coverings, epoxy resins, cement additives, and building resins industries. it is based in crocetta del montello, italy.;;;registered office;False;;http://www.polkem.it;;pol-kem-di-poloni-sabina_seac000909524-001
manufatti polonio snc;glass_construction_materials;cement_and_additives;;manufacturer/ producer;via seconda strada 10 | 35026 conselve - italy;conselve - italy;35026;italy;cement and additives;the company manufatti polonio snc, is a manufacturer/ producer, which operates in the cement and additives industry. it is based in conselve, italy.;1.0;10.0;;False;;http://www.manufattipolonio.it;;manufatti-polonio-snc_00000005295516-605821001
italvasche s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;via don calabria, 258 | 37050 isola rizza - italy;isola rizza - italy;37050;italy;cement and additives | concrete | pre-packed concrete | construction of buildings | macadam;the company italvasche s.r.l., is a manufacturer/ producer, which operates in the cement and additives industry. it also operates in the concrete, pre-packed concrete, construction of buildings, and macadam industries. it is based in isola rizza, italy.;1.0;10.0;registered office – parent company;False;;http://italvasche.it/;;italvasche-srl_seac006923294-001
harpo s.p.a.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;34 via torino | 34123 trieste - italy;trieste - italy;34123;italy;construction materials | cement and additives | bricks;the company harpo s.p.a., is a manufacturer/ producer, founded in 1928, which operates in the construction materials industry. it also operates in the cement and additives, and bricks industries. it is based in trieste, italy.;;;registered office;False;1928.0;http://www.harpo-group.com;;harpo-spa_seac000006975-001
zanuccoli ind. zolfi s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;13 strada v zona industriale | 95121 catania - italy;catania - italy;95121;italy;fertilizers and soil conditioners | cement and additives | inorganic bases and compounds;the company zanuccoli ind. zolfi s.r.l., is a manufacturer/ producer, founded in 2001, which operates in the fertilizers and soil conditioners industry. it also operates in the cement and additives, and inorganic bases and compounds industries. it is based in catania, italy.;11.0;50.0;registered office;False;2001.0;http://www.zanuccolizolfi.it;;zanuccoli-ind-zolfi-srl_seac000908610-001
voltolin luigi s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;117 via s. caterina | 21015 lonate pozzolo - italy;lonate pozzolo - italy;21015;italy;cement and additives | sun protection, interior and exterior | stairs and handrails;the company voltolin luigi s.r.l., is a manufacturer/ producer, founded in 1963, which operates in the cement and additives industry. it also operates in the sun protection, interior and exterior, and stairs and handrails industries. it is based in lonate pozzolo, italy.;;;registered office;False;1963.0;https://www.voltolin-manufatti.com/;;voltolin-luigi-srl_seac000001984-001
cooperativa 'la colonna' a.r.l.;glass_construction_materials;cement_and_additives;;;contrada barone | 92020 sant'angelo muxaro - italy;sant'angelo muxaro - italy;92020;italy;buildings, prefabricated | cement and additives | bricks;the company cooperativa 'la colonna' a.r.l., founded in 1989, which operates in the buildings, prefabricated industry. it also operates in the cement and additives, and bricks industries. it is based in sant'angelo muxaro, italy.;;;registered office;False;1989.0;http://www.paginebianche.it/lacolonnacalcestruzzivella-raffadali;;cooperativa-la-colonna-arl_seac000510337-001
giorni oscar;glass_construction_materials;cement_and_additives;;manufacturer/ producer;localita' melello | 52037 sansepolcro - italy;sansepolcro - italy;52037;italy;cement and additives | raw materials for construction and public works | sun protection, interior and exterior;the company giorni oscar, is a manufacturer/ producer, founded in 1985, which operates in the cement and additives industry. it also operates in the raw materials for construction and public works, and sun protection, interior and exterior industries. it is based in sansepolcro, italy.;;;registered office;False;1985.0;http://www.giornioscar.it;;giorni-oscar_seac000305359-001
f.lli moro s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;8 via frati | 31057 silea - italy;silea - italy;31057;italy;sun protection, interior and exterior | stairs and handrails | cement and additives;the company f.lli moro s.r.l., is a manufacturer/ producer, founded in 1990, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and cement and additives industries. it is based in silea, italy.;11.0;50.0;registered office;False;1990.0;http://www.paginegialle.it/calcestruzzofllimorosilea;;flli-moro-srl_seac000673926-001
italcabine s.r.l.;glass_construction_materials;cement_and_additives;;;258 via don calabria | 37050 isola rizza - italy;isola rizza - italy;37050;italy;cement and additives | sheds, construction site | garden sheds;the company italcabine s.r.l., founded in 1980, which operates in the cement and additives industry. it also operates in the sheds, construction site, and garden sheds industries. it is based in isola rizza, italy.;11.0;50.0;registered office;False;1980.0;;;italcabine-srl_seac000226280-001
pezzuoli e c.di pezzuoli maurocesare e rita s.n.c.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;40 via monte grappa | 00015 monterotondo - italy;monterotondo - italy;15;italy;sun protection, interior and exterior | stairs and handrails | cement and additives;the company pezzuoli e c.di pezzuoli maurocesare e rita s.n.c., is a manufacturer/ producer, founded in 2000, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and cement and additives industries. it is based in monterotondo, italy.;;;registered office;False;2000.0;;;pezzuoli-e-cdi-pezzuoli-maurocesare-e-rita-snc_seac001023917-001
generale calcestruzzi s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;12 via la torre pio | 60022 castelfidardo - italy;castelfidardo - italy;60022;italy;cement and additives | concrete, ready-mixed | concrete preparing - machinery and equipment;the company generale calcestruzzi s.r.l., is a manufacturer/ producer, founded in 1992, which operates in the cement and additives industry. it also operates in the concrete, ready-mixed, and concrete preparing - machinery and equipment industries. it is based in castelfidardo, italy.;11.0;50.0;registered office;False;1992.0;;;generale-calcestruzzi-srl_seac001828365-001
ci.mar s.r.l.;glass_construction_materials;cement_and_additives;;;strada provinciale caudina | 82011 airola - italy;airola - italy;82011;italy;cement and additives | cements, special | high-alumina cement;the company ci.mar s.r.l., founded in 2003, which operates in the cement and additives industry. it also operates in the cements, special, and high-alumina cement industries. it is based in airola, italy.;;;registered office;False;2003.0;;;cimar-srl_seac004953363-001
ecomix s.r.l.;glass_construction_materials;cement_and_additives;;;contrada cava fico | 97014 ispica - italy;ispica - italy;97014;italy;cement and additives | cements, special;the company ecomix s.r.l., which operates in the cement and additives industry. it also operates in the cements, special industries. it is based in ispica, italy.;11.0;50.0;;False;;;;ecomix-srl_seac006328432-001
lavori stradali s.r.l.;glass_construction_materials;cement_and_additives;;wholesaler;localita' passovecchio | 88900 crotone - italy;crotone - italy;88900;italy;cement and additives | cements, special | regular grade portland cement;the company lavori stradali s.r.l., is a wholesaler, founded in 1989, which operates in the cement and additives industry. it also operates in the cements, special, and regular grade portland cement industries. it is based in crotone, italy.;11.0;50.0;registered office;False;1989.0;;;lavori-stradali-srl_seac001586886-001
general beton triveneta s.p.a.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;udine | 33050 castions di strada (ud) - italy;castions di strada (ud) - italy;33050;italy;cement and additives;the company general beton triveneta s.p.a., is a manufacturer/ producer, which operates in the cement and additives industry. it is based in castions di strada (ud), italy.;101.0;200.0;;False;;http://www.generalbetontriveneta.it;;general-beton-triveneta-spa_ita057515-00101
masterbeton s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;1 zona pip localita' taurana | 84010 san marzano sul sarno - italy;san marzano sul sarno - italy;84010;italy;sun protection, interior and exterior | stairs and handrails | cement and additives;the company masterbeton s.r.l., is a manufacturer/ producer, founded in 2000, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and cement and additives industries. it is based in san marzano sul sarno, italy.;1.0;10.0;registered office;False;2000.0;;;masterbeton-srl_seac001052500-001
fratelli marrazzo materiali per l'edilizia s.n.c.;glass_construction_materials;cement_and_additives;;;5 via picula | 88838 mesoraca - italy;mesoraca - italy;88838;italy;construction materials | cement and additives | concrete products and conglomerates;the company fratelli marrazzo materiali per l'edilizia s.n.c., founded in 1989, which operates in the construction materials industry. it also operates in the cement and additives, and concrete products and conglomerates industries. it is based in mesoraca, italy.;11.0;50.0;registered office;False;1989.0;;;fratelli-marrazzo-materiali-per-ledilizia-snc_seac000216705-001
azienda agrituristica la masseria di armentano gia;glass_construction_materials;cement_and_additives;;;cnt pianizzi ss. sinnica | 85038 senise - italy;senise - italy;85038;italy;cement and additives | agritourism | cements, special;the company azienda agrituristica la masseria di armentano gia, founded in 1995, which operates in the cement and additives industry. it also operates in the agritourism, and cements, special industries. it is based in senise, italy.;;;registered office;False;1995.0;;;azienda-agrituristica-la-masseria-di-armentano-gia_seac000307401-001
nuova calcestruzzi (s.r.l.);glass_construction_materials;cement_and_additives;;manufacturer/ producer;teverina | 01100 viterbo (vt) - italy;viterbo (vt) - italy;1100;italy;cement and additives;the company nuova calcestruzzi (s.r.l.), is a manufacturer/ producer, which operates in the cement and additives industry. it is based in viterbo (vt), italy.;11.0;50.0;;False;;;;nuova-calcestruzzi-srl_ita025356-00101
cementi della lucania s.p.a.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;221 via pretoria | 85100 potenza - italy;potenza - italy;85100;italy;cement and additives | bricks | plaster and plaster products;the company cementi della lucania s.p.a., is a manufacturer/ producer, founded in 1846, which operates in the cement and additives industry. it also operates in the bricks, and plaster and plaster products industries. it is based in potenza, italy.;;;registered office;False;1846.0;http://www.cementilucania.it;;cementi-della-lucania-spa_seac000015224-001
pedone cementi s.r.l.;glass_construction_materials;cement_and_additives;;;33 viale della croce rossa | 90144 palermo - italy;palermo - italy;90144;italy;cement and additives | cements, special;the company pedone cementi s.r.l., which operates in the cement and additives industry. it also operates in the cements, special industries. it is based in palermo, italy.;;;registered office;False;;;;pedone-cementi-srl_seac006052182-001
andreola manufatti in cemento;glass_construction_materials;cement_and_additives;;;30 zona industriale g. brodolini | 60025 loreto - italy;loreto - italy;60025;italy;cement and additives | cements, special;the company andreola manufatti in cemento, which operates in the cement and additives industry. it also operates in the cements, special industries. it is based in loreto, italy.;;;registered office;False;;;;andreola-manufatti-in-cemento_seac006865065-001
cementir sacci s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;14 via riva di solto | 24060 tavernola bergamasca - italy;tavernola bergamasca - italy;24060;italy;cement and additives | cements, special;the company cementir sacci s.r.l., is a manufacturer/ producer, which operates in the cement and additives industry. it also operates in the cements, special industries. it is based in tavernola bergamasca, italy.;;;;False;;;;cementir-sacci-srl_seac009661170-001
s.c.a.v.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;romana | 52100 arezzo (ar) - italy;arezzo (ar) - italy;52100;italy;cement and additives | cements, special;the company s.c.a.v., is a manufacturer/ producer, which operates in the cement and additives industry. it also operates in the cements, special industries. it is based in arezzo (ar), italy.;11.0;50.0;;False;;;;scav_ita118919-00101
cementi victoria s.p.a.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;17 via monte santo | 13039 trino - italy;trino - italy;13039;italy;cement and additives | cements, special | lime for construction work;the company cementi victoria s.p.a., is a manufacturer/ producer, founded in 1953, which operates in the cement and additives industry. it also operates in the cements, special, and lime for construction work industries. it is based in trino, italy.;;;registered office;False;1953.0;http://www.cementivictoria.it;;cementi-victoria-spa_seac001234214-001
la petril costruzioni s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;soranna | 85100 potenza (pz) - italy;potenza (pz) - italy;85100;italy;cement and additives;the company la petril costruzioni s.r.l., is a manufacturer/ producer, which operates in the cement and additives industry. it is based in potenza (pz), italy.;1.0;10.0;;False;;;;la-petril-costruzioni-srl_ita005855-00101
rivierabeton s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;7 via campagnola | 36020 campiglia dei berici - italy;campiglia dei berici - italy;36020;italy;sun protection, interior and exterior | stairs and handrails | cement and additives;the company rivierabeton s.r.l., is a manufacturer/ producer, founded in 1981, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and cement and additives industries. it is based in campiglia dei berici, italy.;11.0;50.0;registered office;False;1981.0;;;rivierabeton-srl_seac000363662-001
cementificio prenestina s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;polense | 00132 roma - italy;roma - italy;132;italy;cement and additives | cements, special | normal pozzolanic cement;the company cementificio prenestina s.r.l., is a manufacturer/ producer, which operates in the cement and additives industry. it also operates in the cements, special, and normal pozzolanic cement industries. it is based in roma, italy.;;;registered office;False;;;;cementificio-prenestina-srl_seac005327401-001
edil.ve.tra s.p.a.;glass_construction_materials;cement_and_additives;;;contrada zona industriale blocco palma ii | 95100 catania - italy;catania - italy;95100;italy;cement and additives | bricks | plaster and plaster products;the company edil.ve.tra s.p.a., founded in 1977, which operates in the cement and additives industry. it also operates in the bricks, and plaster and plaster products industries. it is based in catania, italy.;;;;False;1977.0;;;edilvetra-spa_seac000150075-001
sika italia - s.p.a.;glass_construction_materials;cement_and_additives;;;558 via radici in piano | 41049 sassuolo - italy;sassuolo - italy;41049;italy;cement and additives | cements, special;the company sika italia - s.p.a., founded in 1937, which operates in the cement and additives industry. it also operates in the cements, special industries. it is based in sassuolo, italy.;;;;False;1937.0;;;sika-italia-spa_seac000214164-001
palmitessa supercalcestruzzi s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;32 via callano | 76121 barletta - italy;barletta - italy;76121;italy;cement and additives | raw materials for construction and public works | concrete, ready-mixed;the company palmitessa supercalcestruzzi s.r.l., is a manufacturer/ producer, founded in 1984, which operates in the cement and additives industry. it also operates in the raw materials for construction and public works, and concrete, ready-mixed industries. it is based in barletta, italy.;11.0;50.0;registered office;False;1984.0;;;palmitessa-supercalcestruzzi-srl_seac000747801-001
mo.ba. s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;30 via del lago | 55045 pietrasanta - italy;pietrasanta - italy;55045;italy;sun protection, interior and exterior | stairs and handrails | cement and additives;the company mo.ba. s.r.l., is a manufacturer/ producer, founded in 2000, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and cement and additives industries. it is based in pietrasanta, italy.;11.0;50.0;registered office;False;2000.0;http://www.mobacalcestruzzi.it;;moba-srl_seac000530252-001
spoleto cementi s.r.l.;glass_construction_materials;cement_and_additives;;;frazione santo chiodo | 06049 spoleto - italy;spoleto - italy;6049;italy;cement and additives | cements, special;the company spoleto cementi s.r.l., which operates in the cement and additives industry. it also operates in the cements, special industries. it is based in spoleto, italy.;11.0;50.0;;False;;;;spoleto-cementi-srl_seac010854949-001
sica (s.r.l.);glass_construction_materials;cement_and_additives;;;industriale | 97100 ragusa (rg) - italy;ragusa (rg) - italy;97100;italy;cement and additives;the company sica (s.r.l.), which operates in the cement and additives industry. it is based in ragusa (rg), italy.;11.0;50.0;;False;;;;sica-srl_ita021128-00101
edilriva s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;5 via resegone | 23861 cesana brianza - italy;cesana brianza - italy;23861;italy;sun protection, interior and exterior | stairs and handrails | cement and additives;the company edilriva s.r.l., is a manufacturer/ producer, founded in 1992, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and cement and additives industries. it is based in cesana brianza, italy.;11.0;50.0;registered office;False;1992.0;;;edilriva-srl_seac000608569-001
edilnova (s.r.l.);glass_construction_materials;cement_and_additives;;wholesaler;champagne | 11020 verrayes (ao) - italy;verrayes (ao) - italy;11020;italy;cement and additives;the company edilnova (s.r.l.), is a wholesaler, which operates in the cement and additives industry. it is based in verrayes (ao), italy.;11.0;50.0;;False;;;;edilnova-srl_ita004077-00101
s.a.p.i.l. s.r.l.;glass_construction_materials;cement_and_additives;;manufacturer/ producer;130 via lombroso cesare | 61122 pesaro - italy;pesaro - italy;61122;italy;iron alloys | cement and additives | concrete products and conglomerates;the company s.a.p.i.l. s.r.l., is a manufacturer/ producer, founded in 1963, which operates in the iron alloys industry. it also operates in the cement and additives, and concrete products and conglomerates industries. it is based in pesaro, italy.;11.0;50.0;registered office;False;1963.0;http://www.sapil.net;;sapil-srl_seac000022383-001
palazzesi stefano;glass_construction_materials;cement_and_additives;;;43/b strada del petriccio | 53100 siena - italy;siena - italy;53100;italy;consultants - construction and civil engineering | cement and additives | quality control - construction and civil engineering;the company palazzesi stefano, which operates in the consultants - construction and civil engineering industry. it also operates in the cement and additives, and quality control - construction and civil engineering industries. it is based in siena, italy.;;;registered office;False;;;;palazzesi-stefano_seac000164914-001
