company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
savar srl;glass_construction_materials;ceramics_porcelain_and_earthenware_industrial_products;;manufacturer/ producer;via pellico silvio 24 | 24040 stezzano - italy;stezzano - italy;24040.0;italy;ceramics, industrial | ceramics, porcelain and earthenware - industrial products | refractory materials and products | technical ceramic | high-temperature ceramic | ceramic insulators | ceramics for heater elements | ceramic materials and products | refractory ferrules | ceramic tubes;savar is located in stezzano, in the province of bergamo, and it serves the market throughout italy and europe. it produced a vast range of articles in ceramic, porcelain insulators, cordierite and refractory materials with various concentrations of aluminium oxide. it manufactures technically complex parts from client-supplied plans, making it able to service a very wide range of industries. a team of industry specialists, standing by to give their clients the benefits of their long experience.;11.0;50.0;registered office – parent company;True;;http://www.savarnet.com, https://www.technicalceramic.store/it, https://www.instagram.com/savarceramics/;;savar-srl_seac000173490-002
s. c. marmi & ceramiche;glass_construction_materials;ceramics_porcelain_and_earthenware_industrial_products;;retailer;via cusmano | 89044 locri - italy;locri - italy;89044.0;italy;ceramics, porcelain and earthenware - industrial products | bathroom accessories | granite and similar products | funeral art;the company s. c. marmi & ceramiche, is a retailer, which operates in the ceramics, porcelain and earthenware - industrial products industry. it also operates in the bathroom accessories, granite and similar products, and funeral art industries. it is based in locri, italy.;;;;False;;;;s-c-marmi-ceramiche_00000004642029-451775001
dea capodimonte s.a.s.;glass_construction_materials;ceramics_porcelain_and_earthenware_industrial_products;;manufacturer/ producer;44 via de filippo eduardo | 80012 calvizzano - italy;calvizzano - italy;80012.0;italy;crockery | ceramics, porcelain and earthenware - industrial products | ornamental china;the company dea capodimonte s.a.s., is a manufacturer/ producer, founded in 1973, which operates in the crockery industry. it also operates in the ceramics, porcelain and earthenware - industrial products, and ornamental china industries. it is based in calvizzano, italy.;;;registered office;False;1973.0;http://www.deacapodimonte.com;;dea-capodimonte-sas_seac001807058-001
covo s.r.l.;glass_construction_materials;ceramics_porcelain_and_earthenware_industrial_products;;manufacturer/ producer;3 via degli olmetti | 00060 formello - italy;formello - italy;60.0;italy;crockery | ceramics, porcelain and earthenware - industrial products | ornamental china;the company covo s.r.l., is a manufacturer/ producer, founded in 1997, which operates in the crockery industry. it also operates in the ceramics, porcelain and earthenware - industrial products, and ornamental china industries. it is based in formello, italy.;;;;False;1997.0;http://www.covo.it;;covo-srl_seac003145005-001
keramo s.p.a.;glass_construction_materials;ceramics_porcelain_and_earthenware_industrial_products;;manufacturer/ producer;56 via rovascio | 22038 tavernerio - italy;tavernerio - italy;22038.0;italy;ceramics, porcelain and earthenware - industrial products | stoneware products for industry | ceramics, industrial;the company keramo s.p.a., is a manufacturer/ producer, founded in 1972, which operates in the ceramics, porcelain and earthenware - industrial products industry. it also operates in the stoneware products for industry, and ceramics, industrial industries. it is based in tavernerio, italy.;11.0;50.0;registered office;False;1972.0;http://www.keramo.com;;keramo-spa_seac000087023-001
matrix s.r.l.;glass_construction_materials;ceramics_porcelain_and_earthenware_industrial_products;;subcontractor;2 via bacchelli | 64020 castellalto - italy;castellalto - italy;64020.0;italy;ceramics, porcelain and earthenware - industrial products | bathrooms - furniture and fittings | plumbing fixtures and accessories;the company matrix s.r.l., is a subcontractor, founded in 2003, which operates in the ceramics, porcelain and earthenware - industrial products industry. it also operates in the bathrooms - furniture and fittings, and plumbing fixtures and accessories industries. it is based in castellalto, italy.;;;registered office;False;2003.0;http://www.matrixmodelleria.com;;matrix-srl_seac000433533-001
eracles s.r.l.;glass_construction_materials;ceramics_porcelain_and_earthenware_industrial_products;;manufacturer/ producer;80 via ghiarola nuova | 41042 fiorano modenese - italy;fiorano modenese - italy;41042.0;italy;glass and ceramic manufacturing - machinery and equipment | refractory materials and products | ceramics, porcelain and earthenware - industrial products;the company eracles s.r.l., is a manufacturer/ producer, founded in 2000, which operates in the glass and ceramic manufacturing - machinery and equipment industry. it also operates in the refractory materials and products, and ceramics, porcelain and earthenware - industrial products industries. it is based in fiorano modenese, italy.;11.0;50.0;registered office;False;2000.0;http://www.eracles.net;;eracles-srl_seac000771790-001
new critam a.l.g. s.r.l.s.;glass_construction_materials;ceramics_porcelain_and_earthenware_industrial_products;;wholesaler;19 via sfere | 95041 caltagirone - italy;caltagirone - italy;95041.0;italy;ceramics, porcelain and earthenware - industrial products | stoneware products for industry | ceramics, industrial;the company new critam a.l.g. s.r.l.s., is a wholesaler, which operates in the ceramics, porcelain and earthenware - industrial products industry. it also operates in the stoneware products for industry, and ceramics, industrial industries. it is based in caltagirone, italy.;;;registered office;False;;;;new-critam-alg-srls_seac006575217-001
magazzini rossi s.r.l.;glass_construction_materials;ceramics_porcelain_and_earthenware_industrial_products;;wholesaler;43/45/47 via volta alessandro | 25020 flero - italy;flero - italy;25020.0;italy;hotels, bars, cafés and restaurants - machinery and equipment | crockery | ceramics, porcelain and earthenware - industrial products;the company magazzini rossi s.r.l., is a wholesaler, founded in 1964, which operates in the hotels, bars, cafés and restaurants - machinery and equipment industry. it also operates in the crockery, and ceramics, porcelain and earthenware - industrial products industries. it is based in flero, italy.;;;registered office;False;1964.0;;;magazzini-rossi-srl_seac004665394-001
biffi veronica;glass_construction_materials;ceramics_porcelain_and_earthenware_industrial_products;;;4/i via dall'oro nino | 26900 lodi - italy;lodi - italy;26900.0;italy;crockery | ceramics, porcelain and earthenware - industrial products | ornamental china;the company biffi veronica, founded in 1997, which operates in the crockery industry. it also operates in the ceramics, porcelain and earthenware - industrial products, and ornamental china industries. it is based in lodi, italy.;;;registered office;False;1997.0;;;biffi-veronica_seac001101199-001
