company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
ruggiero ceramica bomboniere e lista nozze;glass_construction_materials;ceramics;ceramic_crockery;manufacturer/ producer;via magna grecia 525 | 84047 capaccio paestum - italy;capaccio paestum - italy;84047;italy;ceramic, crockery | ornamental ceramics | artistic ceramic furniture accessories | artistic ceramics | wholesale artistic ceramics | artistic ceramic gifts and fancy goods | handcrafted ceramics | ceramic | ceramic floor tiles | gift items;ruggiero ceramica's ceramics entirely encompass paestum's history and artistic taste, and are also ideal as a gift. andrea ruggiero, is a very talented craftsman from the salerno province and he is specialised in party favours that are all handmade and hand painted. each piece is unique and authentic, an uncommon example of valuable craftsmanship. ruggiero ceramica doesn't only produce party favours, but also sculptures, vases, lucky charms, crockery, furnishing complements and gift items.;1.0;10.0;registered office;True;2018.0;https://www.ruggieroceramica-capacciopaestum.it/;;ruggiero-ceramica-bomboniere-e-lista-nozze_seac009595026-001
virginia ceramiche srl;glass_construction_materials;ceramics;ceramic_crockery;manufacturer/ producer;via virginio 378 | 50025 montespertoli - italy;montespertoli - italy;50025;italy;ceramics | ceramic, crockery | artistic ceramics | wholesale artistic ceramics | ceramic;the company virginia ceramiche srl, is a manufacturer/ producer, which operates in the ceramics industry. it also operates in the ceramic, crockery, artistic ceramics, wholesale artistic ceramics, and ceramic industries. it is based in montespertoli, italy.;;;registered office;True;;https://virginiacasa.store/it/;;virginia-ceramiche-srl_seac000108021-001
le cose di chiara;glass_construction_materials;ceramics;ceramic_crockery;manufacturer/ producer;via bari 19 | 00041 albano laziale - italy;albano laziale - italy;00041;italy;ceramic, crockery | wall plates | canisters | pot rests;the company le cose di chiara, is a manufacturer/ producer, which operates in the ceramic, crockery industry. it also operates in the wall plates, canisters, and pot rests industries. it is based in albano laziale, italy.;1.0;10.0;;False;;http://lecosedichiara.com;;le-cose-di-chiara_00000004618261-428342001
w&b majoliche d'arte tm holding srl;glass_construction_materials;ceramics;ceramic_crockery;distributor;viale genovese zerbi 3 | 89100 reggio calabria - italy;reggio calabria - italy;89100;italy;ceramic, crockery | high-quality terracotta vases | amphoras;the company w&b majoliche d'arte tm holding srl, is a distributor, which operates in the ceramic, crockery industry. it also operates in the high-quality terracotta vases, and amphoras industries. it is based in reggio calabria, italy.;11.0;50.0;;False;;;;wb-majoliche-darte-tm-holding-srl_00000004619356-429261001
ceramiche torretti deruta;glass_construction_materials;ceramics;ceramic_crockery;manufacturer/ producer;s.s. e45 uscita deruta sud | 06053 deruta - italy;deruta - italy;06053;italy;ceramic, crockery | gift items for sweet jars;the company ceramiche torretti deruta, is a manufacturer/ producer, founded in 1950, which operates in the ceramic, crockery industry. it also operates in the gift items for sweet jars industries. it is based in deruta, italy.;1.0;10.0;registered office;False;1950.0;http://www.derutamegastore.com;;ceramiche-torretti-deruta_00000003924163-205781001
bergamaschi & vimercati;glass_construction_materials;ceramics;ceramic_crockery;distributor;via isonzo 10 | 22078 turate - italy;turate - italy;22078;italy;ceramic, crockery;the company bergamaschi & vimercati, is a distributor, which operates in the ceramic, crockery industry. it is based in turate, italy.;101.0;200.0;;False;;https://www.excelsa.it;;bergamaschi-vimercati_00000005451431-794019001
este ceramiche e porcellane (s.r.l.);glass_construction_materials;ceramics;ceramic_crockery;manufacturer/ producer;via sabina | 35042 este (pd) - italy;este (pd) - italy;35042;italy;crockery | ceramic, crockery;the company este ceramiche e porcellane (s.r.l.), is a manufacturer/ producer, which operates in the crockery industry. it also operates in the ceramic, crockery industries. it is based in este (pd), italy.;11.0;50.0;;False;;http://www.esteceramiche.it;;este-ceramiche-e-porcellane-srl_ita024532-00101
officine smac spa;glass_construction_materials;ceramics;ceramic_manufacturing_machinery_and_equipment;manufacturer/ producer;via sacco e vanzetti, 13/15 | 41042 fiorano modenese - italy;fiorano modenese - italy;41042;italy;tile-making - machinery and equipment | ceramic manufacturing - machinery and equipment | brick-making - machinery and equipment | enamelling machinery | crushing equipment | tile coolers | spraygun booths | ceramic decoration machinery | airless cabins | disc spraying booths;officine smac produces enamelling, ceramic and tile decorating lines and machinery, silkscreen printing machinery for decorations and enamelling and roof tile and brick engobing, crushing machinery and plants and selection of ceramics, sintered glazes, glass, crystal, granules and enamels, roller printing machinery. since 1969, officine smac s.p.a. has specialized in the construction of automatic controls, systems and equipment for the ceramics and brick industry.;11.0;50.0;registered office – parent company;True;1969.0;http://www.smac.it, https://www.smac.it/sottocat.php?idcat=2;;officine-smac-spa_seac000372093-001
sermac srl;glass_construction_materials;ceramics;ceramic_manufacturing_machinery_and_equipment;distributor;via curtatone, 7 | 41049 sassuolo - italy;sassuolo - italy;41049;italy;ceramic manufacturing - machinery and equipment | ceramic enamellers;sermac is a leading company that from 1997 and realizes machineries complete fittings for the production of tiles in traditional double-firing, fast single-firing, third-firing, special pressed and extruded pieces and complete cut-lines. the fittings proposed by the sermac are countersigned for the adoption of the most advanced technologies and the appropriate choice of the machineries, but also for the continuous research of solutions suitable for the different countries costumers requirements.;1.0;10.0;registered office;False;1997.0;http://www.ser-mac.it;;sermac-srl_00000004603173-417099001
i.v.r.a.due srl;glass_construction_materials;ceramics;ceramic_manufacturing_machinery_and_equipment;manufacturer/ producer;fondamenta san matteo, 8 | 30141 venezia - italy;venezia - italy;30141;italy;refractory materials and products | kilns - industrial | creuset | crucible;siamo produttori di silico-alluminosi dal 1946 e la nostra produzione riguarda specificatamente le seguenti categorie di prodotti: 0 crogiuoli (padelle) per fusione del vetro scoperti/coperti-vaschette 1 portine 2 coperchi 3 bocche bruciatore 4 asi 5 bocche & parapetti 6 materiali in sabbia 7 anelli galleggianti circolari ed ovali interi e in due pezzi 8 mattoname 9 pezzi speciali 10 sabbia per cristallo;;;registered office;False;1953.0;https://www.ivradue.it;;ivradue-srl_00000005488016-001
