company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
vetritalia special glass srl;glass_construction_materials;glass_hollowware;;manufacturer/ producer;via roma 103 | 04019 terracina - italy;terracina - italy;4019;italy;bottles and jars, glass | glass hollowware | bottle and container design | sealing capsules | glass containers;the company vetritalia special glass srl, is a manufacturer/ producer, which operates in the bottles and jars, glass industry. it also operates in the glass hollowware, bottle and container design, sealing capsules, and glass containers industries. it is based in terracina, italy.;11.0;50.0;;False;;;;vetritalia-special-glass-srl_00000004592101-410598001
vidya srl;glass_construction_materials;glass_hollowware;;wholesaler;via marittima 203 | 04015 priverno - italy;priverno - italy;4015;italy;glass hollowware | glass bottles for wine | industrial machine assembly;the company vidya srl, is a wholesaler, which operates in the glass hollowware industry. it also operates in the glass bottles for wine, and industrial machine assembly industries. it is based in priverno, italy.;1.0;10.0;;False;;https://vidyasrl.com;;vidya-srl_00000005465051-835922001
ctd;glass_construction_materials;glass_hollowware;;distributor;via grandi 15 | 20060 bussero - italy;bussero - italy;20060;italy;glass hollowware | glass containers;the company ctd, is a distributor, which operates in the glass hollowware industry. it also operates in the glass containers industries. it is based in bussero, italy.;1.0;10.0;;False;;http://www.ctdistribution.it;;ctd_00000003939067-217238001
vetreria etrusca s.r.l.;glass_construction_materials;glass_hollowware;;manufacturer/ producer;70 via maremmana | 50056 montelupo fiorentino - italy;montelupo fiorentino - italy;50056;italy;glass hollowware | crockery | vials and flasks, glass;the company vetreria etrusca s.r.l., is a manufacturer/ producer, founded in 1950, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in montelupo fiorentino, italy.;;;registered office;False;1950.0;http://www.vetreriaetrusca.it;;vetreria-etrusca-srl_seac000108217-001
verimec s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;27 via serao matilde | 20081 abbiategrasso - italy;abbiategrasso - italy;20081;italy;glass hollowware | condiments, extracts and spices | fish, seafood and snails, preserved;the company verimec s.r.l., is a wholesaler, founded in 1983, which operates in the glass hollowware industry. it also operates in the condiments, extracts and spices, and fish, seafood and snails, preserved industries. it is based in abbiategrasso, italy.;;;registered office;False;1983.0;http://www.paginebianche.it/verimec-abbiategrasso;;verimec-srl_seac001035299-001
v.i.f. vetrerie italiane foresta;glass_construction_materials;glass_hollowware;;manufacturer/ producer;8 via giotto | 35018 san martino di lupari - italy;san martino di lupari - italy;35018;italy;glass hollowware | crockery | vials and flasks, glass;the company v.i.f. vetrerie italiane foresta, is a manufacturer/ producer, founded in 1977, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in san martino di lupari, italy.;;;registered office;False;1977.0;http://www.foresta.net;;vif-vetrerie-italiane-foresta_seac001549312-001
bianchi mario s.r.l.;glass_construction_materials;glass_hollowware;;subcontractor;22 via delle industrie | 20080 albairate - italy;albairate - italy;20080;italy;plate glass and mirrors | glass | glass hollowware;the company bianchi mario s.r.l., is a subcontractor, founded in 1999, which operates in the plate glass and mirrors industry. it also operates in the glass, and glass hollowware industries. it is based in albairate, italy.;11.0;50.0;registered office;False;1999.0;https://www.satinaturabianchi.com/;;bianchi-mario-srl_seac001104555-001
aurora s.r.l.;glass_construction_materials;glass_hollowware;;;1 piazza risorgimento | 20841 carate brianza - italy;carate brianza - italy;20841;italy;silk-screen printing | glass hollowware | crockery;the company aurora s.r.l., founded in 1986, which operates in the silk-screen printing industry. it also operates in the glass hollowware, and crockery industries. it is based in carate brianza, italy.;11.0;50.0;registered office;False;1986.0;;;aurora-srl_seac000208410-001
vetreria toscana s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;1 localita' bartoloni | 55011 altopascio - italy;altopascio - italy;55011;italy;glass hollowware | crockery | bottles and jars, plastic;the company vetreria toscana s.r.l., is a wholesaler, founded in 1991, which operates in the glass hollowware industry. it also operates in the crockery, and bottles and jars, plastic industries. it is based in altopascio, italy.;1.0;10.0;registered office;False;1991.0;;;vetreria-toscana-srl_seac000292575-001
vetreria glass point s.r.l.;glass_construction_materials;glass_hollowware;;;30 via dante | 38037 predazzo - italy;predazzo - italy;38037;italy;plate glass and mirrors | glass hollowware | glassware, decorative;the company vetreria glass point s.r.l., which operates in the plate glass and mirrors industry. it also operates in the glass hollowware, and glassware, decorative industries. it is based in predazzo, italy.;;;;False;;;;vetreria-glass-point-srl_seac005403126-001
chimar srl;glass_construction_materials;glass_hollowware;;manufacturer/ producer;ferrari | 41011 campogalliano (mo) - italy;campogalliano (mo) - italy;41011;italy;glass hollowware | packaging, glass;the company chimar srl, is a manufacturer/ producer, which operates in the glass hollowware industry. it also operates in the packaging, glass industries. it is based in campogalliano (mo), italy.;11.0;50.0;;False;;http://www.chimarimballaggi.it;;chimar-srl_ita120771-00101
panvetri s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;km. 75.837 strada statale 98 | 70032 bitonto - italy;bitonto - italy;70032;italy;glass hollowware | crockery | vats, metal;the company panvetri s.r.l., is a wholesaler, founded in 1999, which operates in the glass hollowware industry. it also operates in the crockery, and vats, metal industries. it is based in bitonto, italy.;11.0;50.0;;False;1999.0;;;panvetri-srl_seac000987766-001
enovetro s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;734 contrada amabilina | 91025 marsala - italy;marsala - italy;91025;italy;glass hollowware | crockery | bottles and jars, plastic;the company enovetro s.r.l., is a wholesaler, founded in 2005, which operates in the glass hollowware industry. it also operates in the crockery, and bottles and jars, plastic industries. it is based in marsala, italy.;;;registered office;False;2005.0;;;enovetro-srl_seac002408639-001
lumson spa;glass_construction_materials;glass_hollowware;;wholesaler;tesino | 26010 capergnanica (cr) - italy;capergnanica (cr) - italy;26010;italy;glass hollowware | vials and flasks, glass;the company lumson spa, is a wholesaler, which operates in the glass hollowware industry. it also operates in the vials and flasks, glass industries. it is based in capergnanica (cr), italy.;101.0;200.0;;False;;;;lumson-spa_ita054714-00101
leonardi & c. (s.r.l.);glass_construction_materials;glass_hollowware;;service provider;beatrice d'este | 20122 milano (mi) - italy;milano (mi) - italy;20122;italy;glass hollowware;the company leonardi & c. (s.r.l.), is a service provider, which operates in the glass hollowware industry. it is based in milano (mi), italy.;1.0;10.0;;False;;;;leonardi-c-srl_ita030696-00101
polypak s.r.l.;glass_construction_materials;glass_hollowware;;;adriatica | 60019 senigallia (an) - italy;senigallia (an) - italy;60019;italy;glass hollowware | packaging, glass;the company polypak s.r.l., which operates in the glass hollowware industry. it also operates in the packaging, glass industries. it is based in senigallia (an), italy.;11.0;50.0;;False;;;;polypak-srl_ita107775-00101
vetralneivese s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;179 corso scagliola romano | 12052 neive - italy;neive - italy;12052;italy;glass hollowware | crockery | vials and flasks, glass;the company vetralneivese s.r.l., is a wholesaler, founded in 2001, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in neive, italy.;11.0;50.0;registered office;False;2001.0;;;vetralneivese-srl_seac000798974-001
heinz glas italia s.r.l.;glass_construction_materials;glass_hollowware;;distributor;cavour | 43121 parma - italy;parma - italy;43121;italy;glass hollowware | crockery | vials and flasks, glass;the company heinz glas italia s.r.l., is a distributor, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in parma, italy.;1.0;10.0;registered office;False;;;;heinz-glas-italia-srl_seac004737892-001
les verres s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;18 localita' pannellia | 33039 sedegliano - italy;sedegliano - italy;33039;italy;glass hollowware | crockery | vials and flasks, glass;the company les verres s.r.l., is a wholesaler, founded in 1998, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in sedegliano, italy.;;;registered office;False;1998.0;http://www.lesverres.it;;les-verres-srl_seac002630833-001
pegorari mario alberto aldo (s.n.c.);glass_construction_materials;glass_hollowware;;manufacturer/ producer;via gorgo | 46027 san benedetto po (mn) - italy;san benedetto po (mn) - italy;46027;italy;glass hollowware | packaging, glass;the company pegorari mario alberto aldo (s.n.c.), is a manufacturer/ producer, which operates in the glass hollowware industry. it also operates in the packaging, glass industries. it is based in san benedetto po (mn), italy.;11.0;50.0;;False;;;;pegorari-mario-alberto-aldo-snc_ita129316-00101
gamma imballaggi s.r.l.;glass_construction_materials;glass_hollowware;;manufacturer/ producer;s. sebastiano | 61037 mondolfo (pu) - italy;mondolfo (pu) - italy;61037;italy;glass hollowware | packaging, glass;the company gamma imballaggi s.r.l., is a manufacturer/ producer, which operates in the glass hollowware industry. it also operates in the packaging, glass industries. it is based in mondolfo (pu), italy.;101.0;200.0;;False;;;;gamma-imballaggi-srl_ita103255-00101
a.d.m. vetro s.r.l.;glass_construction_materials;glass_hollowware;;service provider;20 strada manara luciano | 43126 parma - italy;parma - italy;43126;italy;plate glass and mirrors | glass hollowware | crockery;the company a.d.m. vetro s.r.l., is a service provider, founded in 2000, which operates in the plate glass and mirrors industry. it also operates in the glass hollowware, and crockery industries. it is based in parma, italy.;11.0;50.0;registered office;False;2000.0;;;adm-vetro-srl_seac002356215-001
vetrerie belcaro s.r.l.;glass_construction_materials;glass_hollowware;;manufacturer/ producer;411 via nazionale sud | 89025 rosarno - italy;rosarno - italy;89025;italy;glass hollowware | crockery | vials and flasks, glass;the company vetrerie belcaro s.r.l., is a manufacturer/ producer, founded in 2007, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in rosarno, italy.;;;registered office;False;2007.0;http://vetreriebelcaro.it;;vetrerie-belcaro-srl_seac002527539-001
sovem glass s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;70 via vesuvio | 80035 nola - italy;nola - italy;80035;italy;glass hollowware | crockery | vials and flasks, glass;the company sovem glass s.r.l., is a wholesaler, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in nola, italy.;;;registered office;False;;;;sovem-glass-srl_seac009704058-001
centrosud vetro s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;1 via modigliani | 89025 rosarno - italy;rosarno - italy;89025;italy;glass hollowware | crockery | vials and flasks, glass;the company centrosud vetro s.r.l., is a wholesaler, founded in 1996, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in rosarno, italy.;;;registered office;False;1996.0;;;centrosud-vetro-srl_seac001926133-001
c.i.v.a.s. s.r.l.;glass_construction_materials;glass_hollowware;;manufacturer/ producer;km. 7.700 strada st. 388 | 09088 simaxis - italy;simaxis - italy;9088;italy;glass hollowware | crockery | vials and flasks, glass;the company c.i.v.a.s. s.r.l., is a manufacturer/ producer, founded in 1993, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in simaxis, italy.;;;registered office;False;1993.0;;;civas-srl_seac001479451-001
francesco arpaia s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;contrada processione stocco | 88046 lamezia terme - italy;lamezia terme - italy;88046;italy;glass hollowware | crockery | vials and flasks, glass;the company francesco arpaia s.r.l., is a wholesaler, founded in 2006, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in lamezia terme, italy.;11.0;50.0;;False;2006.0;;;francesco-arpaia-srl_seac002643800-001
consumers glass srl;glass_construction_materials;glass_hollowware;;manufacturer/ producer;trinita' | 64046 montorio al vomano (te) - italy;montorio al vomano (te) - italy;64046;italy;glass hollowware;the company consumers glass srl, is a manufacturer/ producer, which operates in the glass hollowware industry. it is based in montorio al vomano (te), italy.;101.0;200.0;;False;;;;consumers-glass-srl_ita067939-00101
o-i manufacturing italy s.p.a.;glass_construction_materials;glass_hollowware;;manufacturer/ producer;vittorio veneto | 33083 chions (pn) - italy;chions (pn) - italy;33083;italy;glass hollowware | bottles and jars, glass;the company o-i manufacturing italy s.p.a., is a manufacturer/ producer, which operates in the glass hollowware industry. it also operates in the bottles and jars, glass industries. it is based in chions (pn), italy.;501.0;inf;;False;;https://www.o-i.com/contact-us/europe/;;oi-manufacturing-italy-spa_ita001508-00101
vidya s.r.l.;glass_construction_materials;glass_hollowware;;;283 corso della repubblica | 04100 latina - italy;latina - italy;4100;italy;glass hollowware | crockery | vials and flasks, glass;the company vidya s.r.l., which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in latina, italy.;;;registered office;False;;;;vidya-srl_seac006282872-001
ligurglass s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;fondocrosa | 16010 mele - italy;mele - italy;16010;italy;glass hollowware | crockery | vials and flasks, glass;the company ligurglass s.r.l., is a wholesaler, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in mele, italy.;;;registered office;False;;http://www.ligurglass.com;;ligurglass-srl_seac001810935-001
tecnodesign s.r.l.;glass_construction_materials;glass_hollowware;;manufacturer/ producer;5 via dell' artigianato | 31043 fontanelle - italy;fontanelle - italy;31043;italy;glass hollowware | crockery | vials and flasks, glass;the company tecnodesign s.r.l., is a manufacturer/ producer, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in fontanelle, italy.;11.0;50.0;registered office;False;;;;tecnodesign-srl_seac005400485-001
di dimenticoni simonetta glass emery;glass_construction_materials;glass_hollowware;;;28/r via sapeto giuseppe | 16132 genova - italy;genova - italy;16132;italy;glass hollowware | crockery | scientific equipment and instruments;the company di dimenticoni simonetta glass emery, founded in 1999, which operates in the glass hollowware industry. it also operates in the crockery, and scientific equipment and instruments industries. it is based in genova, italy.;;;registered office;False;1999.0;;;di-dimenticoni-simonetta-glass-emery_seac000914115-001
vi.vetro s.r.l.;glass_construction_materials;glass_hollowware;;manufacturer/ producer;5 via natta giulio | 36045 lonigo - italy;lonigo - italy;36045;italy;glass hollowware | crockery | vials and flasks, glass;the company vi.vetro s.r.l., is a manufacturer/ producer, founded in 1998, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in lonigo, italy.;;;registered office;False;1998.0;http://www.grupposaida.it/;;vivetro-srl_seac000782708-001
bacama scv s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;41/43/45 via kennedy | 50063 figline valdarno - italy;figline valdarno - italy;50063;italy;cork products | glass hollowware | plate glass and mirrors;the company bacama scv s.r.l., is a wholesaler, founded in 1992, which operates in the cork products industry. it also operates in the glass hollowware, and plate glass and mirrors industries. it is based in figline valdarno, italy.;11.0;50.0;registered office – parent company;False;1992.0;http://www.bacamascv.it;;bacama-scv-srl_139161518170453-001
ve.ba.d vetrerie baresi duraccio (s.p.a.);glass_construction_materials;glass_hollowware;;manufacturer/ producer;100 | 70023 gioia del colle (ba) - italy;gioia del colle (ba) - italy;70023;italy;glass hollowware;the company ve.ba.d vetrerie baresi duraccio (s.p.a.), is a manufacturer/ producer, which operates in the glass hollowware industry. it is based in gioia del colle (ba), italy.;51.0;100.0;;False;;;;vebad-vetrerie-baresi-duraccio-spa_ita104539-00101
international cookware s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;1 palazzo canova | 20090 segrate - italy;segrate - italy;20090;italy;glass hollowware | crockery | vials and flasks, glass;the company international cookware s.r.l., is a wholesaler, founded in 2004, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in segrate, italy.;11.0;50.0;;False;2004.0;;;international-cookware-srl_seac001550511-001
europackaging s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;5 via sondrio | 20020 lainate - italy;lainate - italy;20020;italy;glass hollowware | crockery | vials and flasks, glass;the company europackaging s.r.l., is a wholesaler, founded in 1992, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in lainate, italy.;;;registered office;False;1992.0;http://www.europackaging-srl.com;;europackaging-srl_seac003432052-001
a pack s.r.l.;glass_construction_materials;glass_hollowware;;wholesaler;5 via marenco romualdo | 20144 milano - italy;milano - italy;20144;italy;glass hollowware | crockery | vials and flasks, glass;the company a pack s.r.l., is a wholesaler, founded in 2000, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in milano, italy.;;;registered office;False;2000.0;;;a-pack-srl_seac003487292-001
lucca vetro s.r.l.;glass_construction_materials;glass_hollowware;;;377 via pesciatina | 55012 capannori - italy;capannori - italy;55012;italy;glass hollowware | crockery | vials and flasks, glass;the company lucca vetro s.r.l., which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in capannori, italy.;;;registered office;False;;;;lucca-vetro-srl_seac006122239-001
