company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
tespe;glass_construction_materials;refractory_materials_and_products;;manufacturer/ producer;via pizzo arera 44 | 24060 chiuduno - italy;chiuduno - italy;24060.0;italy;technical textiles for industrial applications | refractory materials and products | rubber - technical items for industry | glass fibre and wool | technical articles for industry | items for stoves and fireplaces | braided socks | technical industrial articles | rubber seals | glass fibre and wool;tespe is a highly specialised leader in the production of technical fabrics for thermal insulation and industrial sealing gaskets for high-temperature applications. rope, braid, sleeves, tape, fabrics, insulating and heat-resistant products, expansion joints. it manufactures and sells a vast range of industrial gaskets for static and dynamic sealing: special dynapack® braids for pumps and valves, sheets and gaskets in graphite and asbestos-free, semi-finished items and products in ptfe.;;;registered office – parent company;True;;https://www.tespe.it/it/, https://www.tespe.it/en/;;tespe_seac000688341-002
e.c.m. refrattari srl;glass_construction_materials;refractory_materials_and_products;;manufacturer/ producer;località la macchia, 2 | 53018 sovicille - italy;sovicille - italy;53018.0;italy;mortars and cements, refractory | refractory materials and products | refractory materials | refractory materials for construction work | refractory concrete | reflective coverings | plasterboard insulating materials | building roofing insulation | soundproofing for buildings | roofing materials;the company e.c.m. refrattari started out in business in 1959 and since 1980, has concentrated exclusively on grinding and producing non-formed materials. thanks to the quality testing carried out in its own laboratory, the company has achieved iso 9002 certification. this laboratory is also equipped for particle size verification and setting times, so we regularly conduct these checks to guarantee constant quality to our customers. our main products are dry cement, refractory castings and granulates. thanks to its innovative and flexible production plants, e.c.m. can manufacture refractory materials for the steel industry, building and heating, all of a high quality and adaptable to customers' specific requirements. its refractory products are made using inerts which are ideal for a wide range of uses in the building industry and for heating.;;;registered office – parent company;True;1959.0;http://www.ecmrefrattari.com, http://www.ecmrefrattari.com/store;;ecm-refrattari-srl_seac004874202-001
savar srl;glass_construction_materials;refractory_materials_and_products;;manufacturer/ producer;via pellico silvio 24 | 24040 stezzano - italy;stezzano - italy;24040.0;italy;ceramics, industrial | ceramics, porcelain and earthenware - industrial products | refractory materials and products | technical ceramic | high-temperature ceramic | ceramic insulators | ceramics for heater elements | ceramic materials and products | refractory ferrules | ceramic tubes;savar is located in stezzano, in the province of bergamo, and it serves the market throughout italy and europe. it produced a vast range of articles in ceramic, porcelain insulators, cordierite and refractory materials with various concentrations of aluminium oxide. it manufactures technically complex parts from client-supplied plans, making it able to service a very wide range of industries. a team of industry specialists, standing by to give their clients the benefits of their long experience.;11.0;50.0;registered office – parent company;True;;http://www.savarnet.com, https://www.technicalceramic.store/it, https://www.instagram.com/savarceramics/;;savar-srl_seac000173490-002
i.v.r.a. due s.r.l.;glass_construction_materials;refractory_materials_and_products;;manufacturer/ producer;fondamenta san mattia 8 | 30141 venezia - italy;venezia - italy;30141.0;italy;refractory materials and products | glass | milling machines | special electric cable | heat insulation and soundproofing materials;the company i.v.r.a. due s.r.l., is a manufacturer/ producer, founded in 1950, which operates in the refractory materials and products industry. it also operates in the glass, milling machines, special electric cable, and heat insulation and soundproofing materials industries. it is based in venezia, italy.;1.0;10.0;registered office – parent company;True;1950.0;http://www.ivradue.it/;;ivra-due-srl_seac000175402-001
i.v.r.a.due srl;glass_construction_materials;refractory_materials_and_products;;manufacturer/ producer;fondamenta san matteo, 8 | 30141 venezia - italy;venezia - italy;30141.0;italy;refractory materials and products | kilns - industrial | creuset | crucible;siamo produttori di silico-alluminosi dal 1946 e la nostra produzione riguarda specificatamente le seguenti categorie di prodotti: 0 crogiuoli (padelle) per fusione del vetro scoperti/coperti-vaschette 1 portine 2 coperchi 3 bocche bruciatore 4 asi 5 bocche & parapetti 6 materiali in sabbia 7 anelli galleggianti circolari ed ovali interi e in due pezzi 8 mattoname 9 pezzi speciali 10 sabbia per cristallo;;;registered office;False;1953.0;https://www.ivradue.it;;ivradue-srl_00000005488016-001
bright star materials co., limited;glass_construction_materials;refractory_materials_and_products;;manufacturer/ producer;via aldo moro n.20 - | 41048 formigine - italy;formigine - italy;41048.0;italy;refractory materials and products | ceramic fibers | thermal insulation - materials | industrial furnaces;professional manufacturer and exporter of high temperature insulation products, such as ceramic fiber blanket, ceramic fiber board, ceramic fiber bulk, ceramic fiber module, ceramic fiber paper, ceramic fiber rope, ceramic fiber cloth and tape. ecological fiber products are also supplying. besides ceramic fiber, we also supply rock wool, glass wool, glass fiber, calcium silicate and other refractory materials.;51.0;100.0;;False;;http://www.pride-equip.com;;bright-star-materials-co-limited_00000005373143-686125001
la refrattaria snc;glass_construction_materials;refractory_materials_and_products;;manufacturer/ producer;corso lombardia, 49 | 10099 san mauro torinese - italy;san mauro torinese - italy;10099.0;italy;refractory materials and products | refractory materials | ceramic fibers;the company la refrattaria snc, is a manufacturer/ producer, founded in 1980, which operates in the refractory materials and products industry. it also operates in the refractory materials, and ceramic fibers industries. it is based in san mauro torinese, italy.;;;;False;1980.0;http://www.larefrattaria.it;;la-refrattaria-snc_seac000783127-001
sb minerals;glass_construction_materials;refractory_materials_and_products;;manufacturer/ producer;via p. marchisio 21/3 | 17058 dego - italy;dego - italy;17058.0;italy;refractory materials and products | refractory material | oven refractors | industrial ovens for glass works | technical refractories;the company sb minerals, is a manufacturer/ producer, which operates in the refractory materials and products industry. it also operates in the refractory material, oven refractors, industrial ovens for glass works, and technical refractories industries. it is based in dego, italy.;11.0;50.0;;False;;https://www.sbminerals.it;;sb-minerals_00000005403075-734723001
c.i.t. sr.l. costruzioni impianti tecnologici;glass_construction_materials;refractory_materials_and_products;;service provider;loc .monte arrubiu | loc .monte arrubiu | 09018 sarrach - italy;sarrach - italy;9018.0;italy;ceramics, refractory | refractory materials and products | industrial insulation | reflective coverings;the company c.i.t. sr.l. costruzioni impianti tecnologici, is a service provider, which operates in the ceramics, refractory industry. it also operates in the refractory materials and products, industrial insulation, and reflective coverings industries. it is based in sarrach, italy.;11.0;50.0;;False;;http://www.cit-refrattari.com;;cit-srl-costruzioni-impianti-tecnologici_00000004595839-426771001
novaref s.p.a.;glass_construction_materials;refractory_materials_and_products;;manufacturer/ producer;7 viale del lavoro | 37030 colognola ai colli - italy;colognola ai colli - italy;37030.0;italy;refractory materials and products;the company novaref s.p.a., is a manufacturer/ producer, founded in 1989, which operates in the refractory materials and products industry. it is based in colognola ai colli, italy.;;;registered office;False;1989.0;http://www.novaref.it;;novaref-spa_seac001033534-001
industrie refrattari s.r.l.;glass_construction_materials;refractory_materials_and_products;;manufacturer/ producer;via galizia n.1 | 13045 lozzolo - italy;lozzolo - italy;13045.0;italy;refractory materials and products | refractory concrete | refractory bricks | reflective coverings;the company industrie refrattari s.r.l., is a manufacturer/ producer, which operates in the refractory materials and products industry. it also operates in the refractory concrete, refractory bricks, and reflective coverings industries. it is based in lozzolo, italy.;11.0;50.0;;False;;https://www.industrierefrattari.com;;industrie-refrattari-srl_seac006797398-785499001
rondanini adriano;glass_construction_materials;refractory_materials_and_products;;subcontractor;10 via ca' bellani | 42019 scandiano - italy;scandiano - italy;42019.0;italy;glass and ceramic manufacturing - machinery and equipment | refractory materials and products | tile-making - machinery and equipment;the company rondanini adriano, is a subcontractor, founded in 1989, which operates in the glass and ceramic manufacturing - machinery and equipment industry. it also operates in the refractory materials and products, and tile-making - machinery and equipment industries. it is based in scandiano, italy.;1.0;10.0;registered office;False;1989.0;http://www.hockeyscandiano.it;;rondanini-adriano_seac000391677-001
t.g. mac s.r.l.;glass_construction_materials;refractory_materials_and_products;;manufacturer/ producer;2 via san giacinto | 41042 fiorano modenese - italy;fiorano modenese - italy;41042.0;italy;glass and ceramic manufacturing - machinery and equipment | refractory materials and products | tile-making - machinery and equipment;the company t.g. mac s.r.l., is a manufacturer/ producer, founded in 1981, which operates in the glass and ceramic manufacturing - machinery and equipment industry. it also operates in the refractory materials and products, and tile-making - machinery and equipment industries. it is based in fiorano modenese, italy.;11.0;50.0;registered office;False;1981.0;http://www.tgmac.it;;tg-mac-srl_seac000354777-001
