company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
e.c.m. refrattari srl;glass_construction_materials;roofing_materials;;manufacturer/ producer;località la macchia, 2 | 53018 sovicille - italy;sovicille - italy;53018.0;italy;mortars and cements, refractory | refractory materials and products | refractory materials | refractory materials for construction work | refractory concrete | reflective coverings | plasterboard insulating materials | building roofing insulation | soundproofing for buildings | roofing materials;the company e.c.m. refrattari started out in business in 1959 and since 1980, has concentrated exclusively on grinding and producing non-formed materials. thanks to the quality testing carried out in its own laboratory, the company has achieved iso 9002 certification. this laboratory is also equipped for particle size verification and setting times, so we regularly conduct these checks to guarantee constant quality to our customers. our main products are dry cement, refractory castings and granulates. thanks to its innovative and flexible production plants, e.c.m. can manufacture refractory materials for the steel industry, building and heating, all of a high quality and adaptable to customers' specific requirements. its refractory products are made using inerts which are ideal for a wide range of uses in the building industry and for heating.;;;registered office – parent company;True;1959.0;http://www.ecmrefrattari.com, http://www.ecmrefrattari.com/store;;ecm-refrattari-srl_seac004874202-001
cover italia;glass_construction_materials;roofing_materials;;manufacturer/ producer;via privata privata faravelli 12 | 20025 legnano - italy;legnano - italy;20025.0;italy;roofing contractors | light catchers | enfc | roof covers | smoke/heat extractors | roofing materials | polycarbonate covers | roofing for industrial buildings | openable skylights | pvc roofing;cover italia is based in legnano and has been working for around twenty years in the civil and industrial building sector. the company specialises in the production of skylights and domed rooflights in methacrylate, compact and multi-wall polycarbonate and fibreglass, complete with electric or manual opening devices and smoke/heat extractors. thanks to the experience and technical skills acquired over the years by cover italia, its products are now amongst the best when it comes to a quality/price ratio.;;;registered office – parent company;True;;http://www.coveritalia.it;;cover-italia_seac001065612-001
magniplast spa;glass_construction_materials;roofing_materials;;distributor;via b. buozzi, 4 | 20861 brugherio - italy;brugherio - italy;20861.0;italy;roofing materials | roofing materials | fibreglass rolled sections | transparent roofing | translucent laminate | slabs | opaque roofing sheets | translucent sheets | grp panels | sandwich panels;working in this business sector for over 50 years, magniplast manufactures fibreglass sheets and rolls and markets them under the following brand names that are synonymous with quality: filon, totalux, topaco and vetroplast. the use of unsaturated polyester resins is guaranteed with a specific magniplast formula. all this provides an optimum range of products for the following sectors: industrial coverings, panels, underlays, lighting, skylights, greenhouses, rollers for the sandwich sector.;;;registered office – parent company;True;;http://www.magniplast.com;;magniplast-spa_seac000169843-001
bernardi coperture srl;glass_construction_materials;roofing_materials;;service provider;4, v. aosta | 10015 ivrea - italy;ivrea - italy;10015.0;italy;roofing materials | flat roof waterproofing | clean-up and dismantling of asbestos buildings | roof covers | waterproofing cornices;the company bernardi coperture srl has acquired extensive experience in the civil and industrial construction sector, mainly in zincwork, roofing, asbestos removal and disposal. since its launch thirty years ago as a one-man company (bernardi agostino), the company has gone from strength to strength in developing its technical and operational structure. its administrative head office is situated in the province of turin, at via aosta n°. 3 in ivrea, and its operational headquarters are in pavone, stradale torino 30.;;;registered office – parent company;False;;http://www.bernardicoperture.com;;bernardi-coperture-srl_seac007880504-001
profilia srl;glass_construction_materials;roofing_materials;;manufacturer/ producer;via sardorella, 51/a | 16162 genova - italy;genova - italy;16162.0;italy;roofing materials | insulating panels | plasterboard panels | waterproofing materials for construction work | bituminised ducts;profilia designs, manufactures and markets dry construction systems, installations and components. the company offers integrated advisory services to both individuals and companies. it produces wood, wool and rock fibres, parquet flooring and floors, plasterboard and plaster fibre, attic windows, doors, firebreak partitions and passive fire protection, acoustic panels and insulating thermo-acoustic panels for the construction industry.;;;registered office – parent company;False;;http://www.profiliasrl.it;;profilia-srl_seac000836415-002
cottosenese spa;glass_construction_materials;roofing_materials;;manufacturer/ producer;localita' le fornaci, 55/a | 53027 san quirico d'orcia - italy;san quirico d'orcia - italy;53027.0;italy;roofing materials | honeycomb block bricks | masonry roofing | terracotta tiles | bricks;cottonese spa works in the brick and covering sector. our aim has always been to provide lasting and reliable products without neglecting aesthetics. we provide old tiles, flooring, micro-ventilated roofs, ventilation fastenings, sienna brick walls, handmade bricks, terracotta tiles, slabs, prefabricated floorings, brick tiles, terracotta and brick steps, alveolar blocks.;;;registered office;False;;http://www.cottosenese.net;;cottosenese-spa_seac000006765-001
bo - mo - snc;glass_construction_materials;roofing_materials;;service provider;via galilei, 13 | 20090 segrate - italy;segrate - italy;20090.0;italy;roofing materials | cutting and press bending of galvanised sheets | tin folding | metal bending;since its creation, the company has sold and folded rolled metal parts for the plumbing sector for construction, paying constant attention to technological developments and new solutions applied to the sector;11.0;50.0;registered office – parent company;False;;http://www.bo-mosnc.com;;bo-mo-snc_seac000174367-001
edilbomo srl;glass_construction_materials;roofing_materials;;manufacturer/ producer;via galilei, 11 | 20090 segrate - italy;segrate - italy;20090.0;italy;roofing materials | masonry roofing | building roofing insulation | civil roofing | self-supporting roofing;edilbomo s.r.l. is a leader in the construction sector. it primarily specializes in roofing, as well as in the civil engineering area, in metal, tiles and roofing membranes;11.0;50.0;registered office – parent company;False;;http://www.bo-mosnc.com;;edilbomo-srl_seac000979656-002
cidienne s.r.l.;glass_construction_materials;roofing_materials;;distributor;verona | 31046 oderzo - italy;oderzo - italy;31046.0;italy;roofing materials | doors, house | plasterboard panels | suspended ceiling panels | insulating panels;the company cidienne s.r.l., is a distributor, founded in 1986, which operates in the roofing materials industry. it also operates in the doors, house, plasterboard panels, suspended ceiling panels, and insulating panels industries. it is based in oderzo, italy.;1.0;10.0;registered office;False;1986.0;http://www.cidienne.it;;cidienne-srl_seac002232636-001
aldo del carlo di anna e paola del carlo s.n.c.;glass_construction_materials;roofing_materials;;manufacturer/ producer;via del sesto, 2 | 55016 porcari - italy;porcari - italy;55016.0;italy;steel & metals | roofing materials | silos, farm | tanks | sheet metal for reels;the company aldo del carlo di anna e paola del carlo s.n.c., is a manufacturer/ producer, founded in 1960, which operates in the steel & metals industry. it also operates in the roofing materials, silos, farm, tanks, and sheet metal for reels industries. it is based in porcari, italy.;1.0;10.0;registered office – parent company;False;1960.0;https://www.aldodelcarlolamiere.it/;;aldo-del-carlo-di-anna-e-paola-del-carlo-snc_seac005018689-747215001
