company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
previato eridanio pavimenti e rivestimenti;glass_construction_materials;tiles;;service provider;tangenziale est 42 | 45100 rovigo - italy;rovigo - italy;45100;italy;tiles | flooring | decorating | outdoor flooring | self-locking floors | wall coverings | ceramic floor tiles | glazed sandstone floors | terracotta floors | bathroom furnishings;the company previato eridiano in rovigo is dedicated to the sale of ceramic floor and wall tiles. the company previato eridiano is dedicated to the sale of ceramics for floors and walls. our carefully selected range of products can satisfy even the most demanding customers. at our store, you can find ceramics for walls, terracotta tiles and floor tiles, and ceramic floor and wall tiles. we are based in rovigo - we look forward to seeing you!;;;registered office;True;;;;previato-eridanio-pavimenti-e-rivestimenti_seac000352333-001
for.c.e.p. s.r.l.;glass_construction_materials;tiles;;service provider;via michelangelo buonarroti 26/b | 42023 cadelbosco di sopra - italy;cadelbosco di sopra - italy;42023;italy;import-export - construction and publics works | tiles | flooring | rubber cladding materials for industrial sites | false ceilings;the company for.c.e.p. s.r.l., is a service provider, which operates in the import-export - construction and publics works industry. it also operates in the tiles, flooring, rubber cladding materials for industrial sites, and false ceilings industries. it is based in cadelbosco di sopra, italy.;1.0;10.0;registered office;True;;http://www.forcep.it;;forcep-srl_seac000268767-001
il mosaico sas & co di salem mohsen;glass_construction_materials;tiles;;service provider;piazza san luca, 2/3 | 16123 genova - italy;genova - italy;16123;italy;tiles;the company il mosaico sas & co di salem mohsen, is a service provider, founded in 1978, which operates in the tiles industry. it is based in genova, italy.;;;registered office – parent company;False;1978.0;;;il-mosaico-sas-co-di-salem-mohsen_00000004506104-319380001
tandis srls;glass_construction_materials;tiles;;multi-category;via dell'arringo 27/a | 2 interno 6 | 05100 terni - italy;terni - italy;05100;italy;tiles;the company tandis srls, is a multi-category, founded in 1999, which operates in the tiles industry. it is based in terni, italy.;1.0;10.0;registered office – parent company;False;1999.0;http://www.khoob.it;;tandis-srls_00000005339258-638107001
pavimenti pietro basile s.r.l.;glass_construction_materials;tiles;;manufacturer/ producer;via platani,14 | 91016 casa santa , erice - italy;casa santa , erice - italy;91016;italy;tiles | indoor tiles and bricks | outdoor flooring;the company pavimenti pietro basile s.r.l., is a manufacturer/ producer, founded in 1918, which operates in the tiles industry. it also operates in the indoor tiles and bricks, and outdoor flooring industries. it is based in casa santa , erice, italy.;;;registered office – parent company;False;1918.0;https://www.basilepavimenti.it;;pavimenti-pietro-basile-srl_00000003757679-130352001
tomasello;glass_construction_materials;tiles;;manufacturer/ producer;strada statale 113, 33 | 90017 santa flavia - italy;santa flavia - italy;90017;italy;slabs - concrete | tiles | flooring | floor tiles | concrete flooring;the company tomasello, is a manufacturer/ producer, which operates in the slabs - concrete industry. it also operates in the tiles, flooring, floor tiles, and concrete flooring industries. it is based in santa flavia, italy.;;;registered office – parent company;False;;http://www.tomasellopavimenti.it;;tomasello_seac000969756-001
metem srl;glass_construction_materials;tiles;;manufacturer/ producer;via giovanni amendola, 24 | 31020 villorba - italy;villorba - italy;31020;italy;tiles | gyms and swimming pools;the company metem srl, is a manufacturer/ producer, founded in 2009, which operates in the tiles industry. it also operates in the gyms and swimming pools industries. it is based in villorba, italy.;1.0;10.0;registered office;False;2009.0;http://www.metemsrl.com/;;metem-srl_00000003974769-245127001
bonso stones srls con socio unico;glass_construction_materials;tiles;;retailer;via enzo ferrari 22 | 30037 scorzè - italy;scorzè - italy;30037;italy;tiles | porphyry flooring | trachyte | natural stone tiles | luserna stone;the company bonso stones srls con socio unico, is a retailer, founded in 2017, which operates in the tiles industry. it also operates in the porphyry flooring, trachyte, natural stone tiles, and luserna stone industries. it is based in scorzè, italy.;1.0;10.0;registered office – parent company;False;2017.0;http://www.bonsostones.it;;bonso-stones-srls-con-socio-unico_ita320627-20206001
ceramiche cantarella enzo & c.;glass_construction_materials;tiles;;;via cocito 35/1 | 14040 castelnuovo calcea - italy;castelnuovo calcea - italy;14040;italy;tiles | parquet | laminated flooring products | antique marble;the company ceramiche cantarella enzo & c., founded in 1951, which operates in the tiles industry. it also operates in the parquet, laminated flooring products, and antique marble industries. it is based in castelnuovo calcea, italy.;11.0;50.0;registered office;False;1951.0;http://www.ceramichecantarella.it;;ceramiche-cantarella-enzo-c_seac001692680-001
cosmo srl;glass_construction_materials;tiles;;distributor;via san giovanni in golfo 139c | 86100 campobasso - italy;campobasso - italy;86100;italy;tiles | bathroom furnishings | parquet | taps | doors;the company cosmo srl, is a distributor, founded in 1999, which operates in the tiles industry. it also operates in the bathroom furnishings, parquet, taps, and doors industries. it is based in campobasso, italy.;11.0;50.0;registered office – parent company;False;1999.0;http://www.cosmosrl.it;;cosmo-srl_00000004733383-533884001
