company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
innovative world srl;paper_cardboard;disposable_tableware_and_articles_made_of_paper_cardboard_and_plastic;;wholesaler;via di castel romano 185 | via di castel romano 185 | 00128 roma - italy;roma - italy;128.0;italy;disposable tableware and articles made of paper, cardboard and plastic | disposable medical gloves | chiropody equipment;the company innovative world srl, is a wholesaler, founded in 2020, which operates in the disposable tableware and articles made of paper, cardboard and plastic industry. it also operates in the disposable medical gloves, and chiropody equipment industries. it is based in roma, italy.;1.0;10.0;registered office;False;2020.0;https://www.innovativeworld.it;;innovative-world-srl_00000005416192-753001001
appia store s.r.l.;paper_cardboard;disposable_tableware_and_articles_made_of_paper_cardboard_and_plastic;;retailer;piazza zama, 29/30 | 00183 roma - italy;roma - italy;183.0;italy;disposable tableware and articles made of paper, cardboard and plastic | perfumed candle | paper cups | paper and plastic plates;the company appia store s.r.l., is a retailer, which operates in the disposable tableware and articles made of paper, cardboard and plastic industry. it also operates in the perfumed candle, paper cups, and paper and plastic plates industries. it is based in roma, italy.;1.0;10.0;;False;;http://appiastore.eu;;appia-store-srl_00000004705230-503030001
bioe' srls;paper_cardboard;disposable_tableware_and_articles_made_of_paper_cardboard_and_plastic;;distributor;via angela veronese, 21 | 31030 breda di piave - italy;breda di piave - italy;31030.0;italy;polyethylene | disposable tableware and articles made of paper, cardboard and plastic | recycled plastic pallets | plastic pallets | disposable plates and cups;the company bioe' srls, is a distributor, founded in 2021, which operates in the polyethylene industry. it also operates in the disposable tableware and articles made of paper, cardboard and plastic, recycled plastic pallets, plastic pallets, and disposable plates and cups industries. it is based in breda di piave, italy.;1.0;10.0;registered office – parent company;False;2021.0;https://bio-e.it;;bioe-srls_00000005451568-794287001
zas trading srl;paper_cardboard;disposable_tableware_and_articles_made_of_paper_cardboard_and_plastic;;wholesaler;via guglielmo oberdan, 19 | 46100 mantova - italy;mantova - italy;46100.0;italy;disposable tableware and articles made of paper, cardboard and plastic;the company zas trading srl, is a wholesaler, which operates in the disposable tableware and articles made of paper, cardboard and plastic industry. it is based in mantova, italy.;;;;False;;https://www.signorbio.com;;zas-trading-srl_00000005514388-001
packommercialservice srl;paper_cardboard;disposable_tableware_and_articles_made_of_paper_cardboard_and_plastic;;wholesaler;via salita superiore montaldo n. 1/a | 16137 genova - italy;genova - italy;16137.0;italy;disposable tableware and articles made of paper, cardboard and plastic | disposable table cloths | table linen for restaurants;the company packommercialservice srl, is a wholesaler, which operates in the disposable tableware and articles made of paper, cardboard and plastic industry. it also operates in the disposable table cloths, and table linen for restaurants industries. it is based in genova, italy.;1.0;10.0;;False;;http://www.packommercialservicesrl.it;;packommercialservice-srl_00000005376398-688596001
roll up group srl;paper_cardboard;disposable_tableware_and_articles_made_of_paper_cardboard_and_plastic;;wholesaler;via flli. bandiera | via flli. bandiera, 15 | 20016 pero - italy;pero - italy;20016.0;italy;disposable tableware and articles made of paper, cardboard and plastic;the company roll up group srl, is a wholesaler, which operates in the disposable tableware and articles made of paper, cardboard and plastic industry. it is based in pero, italy.;101.0;200.0;;False;;http://www.rollupgroup.it;;roll-up-group-srl_00000004621776-430893001
boreal s.r.l.s.;paper_cardboard;disposable_tableware_and_articles_made_of_paper_cardboard_and_plastic;;manufacturer/ producer;strada per porzano, 5/b | 25025 manerbio - italy;manerbio - italy;25025.0;italy;commercial and industrial linen | disposable tableware and articles made of paper, cardboard and plastic | table linen | stain-resistant tablecloths | tablecloths for restaurants;the company boreal s.r.l.s., is a manufacturer/ producer, which operates in the commercial and industrial linen industry. it also operates in the disposable tableware and articles made of paper, cardboard and plastic, table linen, stain-resistant tablecloths, and tablecloths for restaurants industries. it is based in manerbio, italy.;1.0;10.0;registered office – parent company - subsidiary;False;;http://www.borealsrl.it;;boreal-srls_00000004595450-411319001
nova packaging srls;paper_cardboard;disposable_tableware_and_articles_made_of_paper_cardboard_and_plastic;;wholesaler;via dell'omo 34a | 00155 roma - italy;roma - italy;155.0;italy;disposable tableware and articles made of paper, cardboard and plastic | rubbish bag | disposable napkins | filling detergent products;the company nova packaging srls, is a wholesaler, which operates in the disposable tableware and articles made of paper, cardboard and plastic industry. it also operates in the rubbish bag, disposable napkins, and filling detergent products industries. it is based in roma, italy.;;;;False;;;;nova-packaging-srls_00000005477262-001
carta cancelleria solari & c. ( s.n.c. );paper_cardboard;disposable_tableware_and_articles_made_of_paper_cardboard_and_plastic;;wholesaler;58 corso buenos aires | 16043 chiavari - italy;chiavari - italy;16043.0;italy;disposable tableware and articles made of paper, cardboard and plastic | packaging materials - paper and cardboard | publishing, miscellaneous items;the company carta cancelleria solari & c. ( s.n.c. ), is a wholesaler, founded in 1985, which operates in the disposable tableware and articles made of paper, cardboard and plastic industry. it also operates in the packaging materials - paper and cardboard, and publishing, miscellaneous items industries. it is based in chiavari, italy.;;;registered office;False;1985.0;http://www.paginegialle.it/cartoleria-solari-chiavari;;carta-cancelleria-solari-c-snc-_seac000046063-001
m.r.c. di luciano consoli;paper_cardboard;disposable_tableware_and_articles_made_of_paper_cardboard_and_plastic;;manufacturer/ producer;via pietra dell'ova 398 | 95030 tremestieri etneo - italy;tremestieri etneo - italy;95030.0;italy;disposable tableware and articles made of paper, cardboard and plastic | packing chains | plastic cutlery;the company m.r.c. di luciano consoli, is a manufacturer/ producer, which operates in the disposable tableware and articles made of paper, cardboard and plastic industry. it also operates in the packing chains, and plastic cutlery industries. it is based in tremestieri etneo, italy.;101.0;200.0;;False;;;;mrc-di-luciano-consoli_00000004505873-319013001
