company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
ricicla s.r.l;paper_cardboard;packaging_materials_paper_cardboard;boxes_cardboard;distributor;via antonio benucci 45 | 61122 pesaro - italy;pesaro - italy;61122.0;italy;paper - collection and recycling | waste paper | eco-paper | black and white printed paper | consumables | paper recovery | cardboard boxes | paper recycling | recycling centre | collection of waste paper and used cardboard;ricicla deals with the purchase of waste paper and coordinates all marketing and sales activities via its efficient organisation, offering its expertise to all businesses operating in the environmental services sector. ricicla selects and sorts paper, and sells waste paper. trade in paper waste. sorting and selection of paper. sale of paper waste.;;;registered office – parent company;True;;http://www.ricicla-it.com, http://www.cartfer.it/;;ricicla-srl_seac000620337-001
emiliana imballaggi spa;paper_cardboard;packaging_materials_paper_cardboard;boxes_cardboard;manufacturer/ producer;via piero gobetti 12 | 42042 fabbrico - italy;fabbrico - italy;42042.0;italy;wood - packaging | packaging boxes | wood and wood by-product packaging solutions | wooden pallets | made-to-measure packaging | own production | wooden panels | corrugated cardboard boxes | pre-cut crates | cardboard boxes;manufacture of e-box plywood folding boxes, modular reusable plywood and pinewood strips, double and triple-flute carton boxes, die-cut low flute boxes coupled with velapack embossed polyester. exports to: germany, france, switzerland, austria. emiliana imballaggi handles the logistics and produces industrial packaging for goods with a high technological content and unique pieces which cause transport problems due to their size.;;;registered office – parent company;True;;http://www.emilianaimballaggi.it/wp/it/ambiente/, http://www.emilianaimballaggi.it/wp/it/news-eventi/, http://www.emilianaimballaggi.it/wp/it/prodotti/;;emiliana-imballaggi-spa_seac000505981-002
g.n.c.;paper_cardboard;packaging_materials_paper_cardboard;boxes_cardboard;distributor;via fratelli b. e u. mascioni, 12 | 21030 azzio - italy;azzio - italy;21030.0;italy;plastic packaging | boxes, cardboard | packaging contractors | plastics - packaging | boxes, plastic | blister-packing | display rack | packing | packaging boxes | contract packaging;g.n.c. designs, makes and sells thermoformed and blister packaging for types of applications, that comply with the highest quality standards and are certified iso 9000. in our packaging manufacturing plant, we make traditional single-material and separable material blister packs as well as high-frequency welded packaging.;;;registered office – parent company;True;;http://www.gncsrl.com;;gnc_seac000352187-001
mannucci packaging s.r.l.;paper_cardboard;packaging_materials_paper_cardboard;boxes_cardboard;manufacturer/ producer;via partigiani d'italia 52 | 50053 empoli - italy;empoli - italy;50053.0;italy;boxes, cardboard | own production | furnishing supplies | data processing and office automation supplies | warehousing supplies;the company mannucci packaging s.r.l., is a manufacturer/ producer, which operates in the boxes, cardboard industry. it also operates in the own production, furnishing supplies, data processing and office automation supplies, and warehousing supplies industries. it is based in empoli, italy.;;;registered office – parent company;True;;http://www.mannuccipackaging.it;;mannucci-packaging-srl_seac000983052-001
valtenna s.r.l.;paper_cardboard;packaging_materials_paper_cardboard;boxes_cardboard;manufacturer/ producer;contrada girola valtenna 43 | 63900 fermo - italy;fermo - italy;63900.0;italy;boxes, cardboard | packing and packaging containers | boxes | shipping boxes | gift boxes;the company valtenna s.r.l., is a manufacturer/ producer, founded in 1963, which operates in the boxes, cardboard industry. it also operates in the packing and packaging containers, boxes, shipping boxes, and gift boxes industries. it is based in fermo, italy.;;;registered office – parent company;True;1963.0;https://www.valtenna.it/;;valtenna-srl_seac000336502-001
i.c.s. firpo s.p.a.;paper_cardboard;packaging_materials_paper_cardboard;boxes_cardboard;manufacturer/ producer;corso novara, 210 | 27029 vigevano - italy;vigevano - italy;27029.0;italy;photographic and reprographic paper | cardboard manufacture | corrugated board packaging | cardboard boxes;the company i.c.s. firpo s.p.a., is a manufacturer/ producer, which operates in the photographic and reprographic paper industry. it also operates in the cardboard manufacture, corrugated board packaging, and cardboard boxes industries. it is based in vigevano, italy.;;;registered office – parent company;True;;http://www.icsfirpo.it;;ics-firpo-spa_seac000205429-002
tiessecart srl;paper_cardboard;packaging_materials_paper_cardboard;boxes_cardboard;manufacturer/ producer;via san cosimo 159 | 73043 copertino - italy;copertino - italy;73043.0;italy;thermos packaging, plastic | boxes, cardboard | container manufacturers | packaging boxes | display rack;the company tiessecart srl, is a manufacturer/ producer, which operates in the thermos packaging, plastic industry. it also operates in the boxes, cardboard, container manufacturers, packaging boxes, and display rack industries. it is based in copertino, italy.;1.0;10.0;registered office;True;;;;tiessecart-srl_seac008386006-001
scatolificio al capriccio dei fratelli magro snc;paper_cardboard;packaging_materials_paper_cardboard;boxes_cardboard;manufacturer/ producer;via pola, 4 | 35010 capriccio-vigonza - italy;capriccio-vigonza - italy;35010.0;italy;boxes, cardboard | boxes for footwear | custom boxes | boxes | container manufacturers;specialised in luxury packaging for footwear, leather goods, shirts and blouses, the manufacturer scatolificio al capriccio has successfully opened up in new paper and card sectors, such as the multimedia and publishing market. the great quality of our products and efficiency of our services are the result of strong-performance synergy between highly specialised personnel and cutting edge technologies working with a team spirit and never losing sight of the company's ultimate goal of absolute client satisfaction.;;;registered office – parent company;False;;http://www.scatolificioalcapriccio.it;;scatolificio-al-capriccio-dei-fratelli-magro-snc_seac000052165-001
charta srl;paper_cardboard;packaging_materials_paper_cardboard;boxes_cardboard;manufacturer/ producer;via comino | 03042 atina - italy;atina - italy;3042.0;italy;paper, packaging - manufacture | pizza boxes | cake boards | food packaging | salmon trays;we are manufacturers of paper products for food packaging and non food products. our range includes cake trays, fish trays, pizza boxes, lids for alluminium trays. all products are available in a wide range of colour combinations, thickness, shapes and sizes.;11.0;50.0;;False;;http://www.chartasrl.com;;charta-srl_00000004636851-445755001
di tielle srl;paper_cardboard;packaging_materials_paper_cardboard;boxes_cardboard;manufacturer/ producer;via galvani, 15 | 20090 segrate - italy;segrate - italy;20090.0;italy;paper & cardboard - finished products | corrugated cardboard | cardboard boxes | corrugated board packaging | packing cartons;scatolificio tielle works in the field of slotted boxes, die-cut articles and corrugated cardboard packaging products, also made in small quantities and to order, with the possibility of customization and flexographic printing. the company is authorize to use the resy brand. experience and flexibility serving the customer. deliveries to milan and throughout lombardy.;1.0;10.0;registered office – parent company;False;;http://www.scatolificiotielle.it;;di-tielle-srl_seac001100734-002
