company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
i.c.a. industria carte adesive spa;paper_cardboard;paper_manufacture;;manufacturer/ producer;via cappelletta, 58 | 23807 pagnano-merate - italy;pagnano-merate - italy;23807.0;italy;paper, special and technical grades - manufacture | paper manufacture | silicon paper for the food-processing industry | special paper | gummed paper;we make special gummed papers on rolls. our high flexibility and ample production capacity enable us to meet any demand quickly. we provide gummed paper, themosealed paper and siliconized paper for numerous industrial uses, for the italian market and abroad. vast choice of siliconized paper: for bandages and medical products, self adhesive labels and envelopes, for the food industry, aeroacoustic insulation, etc.;;;registered office;False;;http://www.icamerate.it/en-gb/home;;ica-industria-carte-adesive-spa_seac000051149-002
iso9001 , fsc, ecolabel;paper_cardboard;paper_manufacture;;manufacturer/ producer;via della fornace, 2 | 31023 castelminio - italy;castelminio - italy;31023.0;italy;paper manufacture;the company iso9001 , fsc, ecolabel, is a manufacturer/ producer, founded in 1981, which operates in the paper manufacture industry. it is based in castelminio, italy.;51.0;100.0;registered office – parent company;False;1981.0;http://www.rotocart.com;;iso9001-fsc-ecolabel_00000005290555-602161001
grafichbags srl;paper_cardboard;paper_manufacture;;manufacturer/ producer;via serra delle ciavole snc z.ind. | 87012 castrovillari - italy;castrovillari - italy;87012.0;italy;paper manufacture | tote shoppers;the company grafichbags srl, is a manufacturer/ producer, which operates in the paper manufacture industry. it also operates in the tote shoppers industries. it is based in castrovillari, italy.;11.0;50.0;;False;;https://www.grafichbags.it;;grafichbags-srl_00000005468466-841043001
ccgroup srl;paper_cardboard;paper_manufacture;;distributor;via palombarese km14900 | 00012 roma - italy;roma - italy;12.0;italy;paper manufacture | wholesale paper | solvent manufacturer | extensible film for packaging;the company ccgroup srl, is a distributor, which operates in the paper manufacture industry. it also operates in the wholesale paper, solvent manufacturer, and extensible film for packaging industries. it is based in roma, italy.;1.0;10.0;;False;;http://www.ccgroupsrl.com;;ccgroup-srl_00000005366183-666306001
staritaly srl cisapaper;paper_cardboard;paper_manufacture;;manufacturer/ producer;piazza municipio 84 | 80133 naples - italy;naples - italy;80133.0;italy;paper manufacture;the company staritaly srl cisapaper, is a manufacturer/ producer, founded in 2012, which operates in the paper manufacture industry. it is based in naples, italy.;1.0;10.0;registered office;False;2012.0;https://www.cisapaper.com;;staritaly-srl-cisapaper_00000005513594-001
durable italia s.r.l.;paper_cardboard;paper_manufacture;;;15/b via greppi dottore | 23824 dervio - italy;dervio - italy;23824.0;italy;paper & cardboard - raw materials | paper - raw materials | paper manufacture;the company durable italia s.r.l., which operates in the paper & cardboard - raw materials industry. it also operates in the paper - raw materials, and paper manufacture industries. it is based in dervio, italy.;;;registered office;False;;http://www.durable.it/;;durable-italia-srl_seac006887409-001
cisa pack s.r.l.;paper_cardboard;paper_manufacture;;wholesaler;33 via miglioli | 20090 segrate - italy;segrate - italy;20090.0;italy;paper & cardboard - raw materials | paper - raw materials | paper manufacture;the company cisa pack s.r.l., is a wholesaler, founded in 1978, which operates in the paper & cardboard - raw materials industry. it also operates in the paper - raw materials, and paper manufacture industries. it is based in segrate, italy.;;;registered office;False;1978.0;http://www.cisapack.it;;cisa-pack-srl_seac003002433-001
cartiera olona;paper_cardboard;paper_manufacture;;manufacturer/ producer;8 via galilei galileo | 21055 gorla minore - italy;gorla minore - italy;21055.0;italy;paper & cardboard - raw materials | paper - raw materials | paper manufacture;the company cartiera olona, is a manufacturer/ producer, founded in 1968, which operates in the paper & cardboard - raw materials industry. it also operates in the paper - raw materials, and paper manufacture industries. it is based in gorla minore, italy.;11.0;50.0;registered office;False;1968.0;http://www.paginegialle.it/cartieraolonava;;cartiera-olona_seac000049012-001
f.lli magro s.r.l.;paper_cardboard;paper_manufacture;;manufacturer/ producer;28 via toniolo | 30030 vigonovo - italy;vigonovo - italy;30030.0;italy;paper - raw materials | paper manufacture | cardboard manufacture;the company f.lli magro s.r.l., is a manufacturer/ producer, founded in 1990, which operates in the paper - raw materials industry. it also operates in the paper manufacture, and cardboard manufacture industries. it is based in vigonovo, italy.;11.0;50.0;registered office;False;1990.0;http://www.magro.it;;flli-magro-srl_seac000839946-001
i.c.a.;paper_cardboard;paper_manufacture;;wholesaler;14 via enriques agnoletti anna maria | 42124 reggio nell'emilia - italy;reggio nell'emilia - italy;42124.0;italy;paper & cardboard - raw materials | paper - raw materials | paper manufacture;the company i.c.a., is a wholesaler, founded in 1969, which operates in the paper & cardboard - raw materials industry. it also operates in the paper - raw materials, and paper manufacture industries. it is based in reggio nell'emilia, italy.;;;registered office;False;1969.0;http://www.ica-re.it/;;ica_seac000047351-001
