company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
ab trade srl;paper_cardboard;paper_raw_materials;;manufacturer/ producer;piazza giulia 12 | 33050 clauiano - italy;clauiano - italy;33050;italy;paper - raw materials | rolls of paper;the company ab trade srl, is a manufacturer/ producer, which operates in the paper - raw materials industry. it also operates in the rolls of paper industries. it is based in clauiano, italy.;1.0;10.0;;False;;http://www.abtradesrl.com;;ab-trade-srl_00000005332657-629995001
paperlynen pal caps s.r.l.;paper_cardboard;paper_raw_materials;;wholesaler;50 via roma | 55051 barga - italy;barga - italy;55051;italy;protective and work clothing | hotels, bars, cafés and restaurants - machinery and equipment | paper - raw materials;the company paperlynen pal caps s.r.l., is a wholesaler, founded in 1977, which operates in the protective and work clothing industry. it also operates in the hotels, bars, cafés and restaurants - machinery and equipment, and paper - raw materials industries. it is based in barga, italy.;;;registered office;False;1977.0;http://www.paperlynen.com;;paperlynen-pal-caps-srl_seac000101723-001
carteco s.r.l.;paper_cardboard;paper_raw_materials;;;34 via bellato | 31050 ponzano veneto - italy;ponzano veneto - italy;31050;italy;paper & cardboard - raw materials | paper - raw materials | paper manufacture;the company carteco s.r.l., founded in 2001, which operates in the paper & cardboard - raw materials industry. it also operates in the paper - raw materials, and paper manufacture industries. it is based in ponzano veneto, italy.;11.0;50.0;registered office;False;2001.0;http://www.paginegialle.it/carteco;;carteco-srl_seac000895273-001
verbano carte s.r.l.;paper_cardboard;paper_raw_materials;;wholesaler;74 via laveno | 21033 cittiglio - italy;cittiglio - italy;21033;italy;paper & cardboard - raw materials | paper - raw materials | paper manufacture;the company verbano carte s.r.l., is a wholesaler, founded in 1985, which operates in the paper & cardboard - raw materials industry. it also operates in the paper - raw materials, and paper manufacture industries. it is based in cittiglio, italy.;11.0;50.0;registered office;False;1985.0;http://www.verbanocarte.it;;verbano-carte-srl_seac002026302-001
maxicarta 90 s.r.l.;paper_cardboard;paper_raw_materials;;wholesaler;41 via pradonne | 17043 carcare - italy;carcare - italy;17043;italy;paper & cardboard - raw materials | paper - raw materials | paper manufacture;the company maxicarta 90 s.r.l., is a wholesaler, founded in 2000, which operates in the paper & cardboard - raw materials industry. it also operates in the paper - raw materials, and paper manufacture industries. it is based in carcare, italy.;11.0;50.0;registered office;False;2000.0;http://www.paginegialle.it/maxicartaingrosso_lbfgbi;;maxicarta-90-srl_seac000340246-001
chartularia s.r.l.;paper_cardboard;paper_raw_materials;;;20 via delle azalee | 70026 modugno - italy;modugno - italy;70026;italy;paper & cardboard - raw materials | paper - raw materials | paper manufacture;the company chartularia s.r.l., founded in 2000, which operates in the paper & cardboard - raw materials industry. it also operates in the paper - raw materials, and paper manufacture industries. it is based in modugno, italy.;1.0;10.0;registered office;False;2000.0;http://www.chartularia.it;;chartularia-srl_seac003158926-001
all bags company;paper_cardboard;paper_raw_materials;;manufacturer/ producer;strada provinciale s.arpino-frattamaggiore | 81030 sant'arpino - italy;sant'arpino - italy;81030;italy;paper - raw materials | paper manufacture | cardboard manufacture;the company all bags company, is a manufacturer/ producer, which operates in the paper - raw materials industry. it also operates in the paper manufacture, and cardboard manufacture industries. it is based in sant'arpino, italy.;;;registered office;False;;http://www.allbags.it;;all-bags-company_seac003010742-001
papetti carta s.r.l.;paper_cardboard;paper_raw_materials;;;41 viale bligny | 20136 milano - italy;milano - italy;20136;italy;packaging materials - paper and cardboard | paper - raw materials | paper manufacture;the company papetti carta s.r.l., founded in 2008, which operates in the packaging materials - paper and cardboard industry. it also operates in the paper - raw materials, and paper manufacture industries. it is based in milano, italy.;;;registered office;False;2008.0;http://www.papetticarta.it;;papetti-carta-srl_seac004979620-001
ca - be s.r.l.;paper_cardboard;paper_raw_materials;;wholesaler;211 via ripamonti giuseppe | 20141 milano - italy;milano - italy;20141;italy;paper & cardboard - raw materials | paper - raw materials | paper manufacture;the company ca - be s.r.l., is a wholesaler, founded in 1886, which operates in the paper & cardboard - raw materials industry. it also operates in the paper - raw materials, and paper manufacture industries. it is based in milano, italy.;;;registered office;False;1886.0;http://www.ca-be.com;;ca-be-srl_seac004990300-001
fontana grafica s.r.l.;paper_cardboard;paper_raw_materials;;distributor;2 via cernobbio | 20158 milano - italy;milano - italy;20158;italy;binding - machinery and equipment | paper - raw materials | paper manufacture;the company fontana grafica s.r.l., is a distributor, founded in 1977, which operates in the binding - machinery and equipment industry. it also operates in the paper - raw materials, and paper manufacture industries. it is based in milano, italy.;;;registered office;False;1977.0;http://www.fontanagrafica.it;;fontana-grafica-srl_seac000910393-001
