company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
errebi paper;paper_cardboard;paper_sanitary_and_domestic_articles;;manufacturer/ producer;via valle infernotto 15 | 12100 cuneo - italy;cuneo - italy;12100.0;italy;paper - sanitary and domestic articles | medical sheets | tablecloths made of paper and cellulose | paper towels | rolls of paper for the kitchen | paper napkins | rolls of paper towels | paper sheets | toilet paper rolls | paper for domestic use;errebi paper industria cartaria, based in cuneo, specialises in the production of paper for medical, domestic and hygienic use. on the market for over 40 years, it supplies wholesalers, clinics and hospitals with a wide range of products in different formats and packaging to meet specific needs. it makes medical sheets, headrest covers, hand towels in rolls or folded, rolls of all-purpose absorbent paper, and jumbo-size rolls of toilet paper.;;;registered office – parent company;True;;http://www.errebipaper.it, https://www.facebook.com/people/errebi-paper-industria-cartaria-srl/100064100229542/, https://www.instagram.com/errebipaper/;;errebi-paper_seac000621721-001
foscart - paper industry;paper_cardboard;paper_sanitary_and_domestic_articles;;manufacturer/ producer;via voiron, 19 | 36061 bassano del grappa - italy;bassano del grappa - italy;36061.0;italy;paper - sanitary and domestic articles | tablecloths made of paper and cellulose | sheet by sheet toilet paper | toilet paper rolls | toilet paper pieces | paper sheets | roller towels | kitchen paper | handkerchiefs made of paper and cellulose | rolls of paper for the kitchen;foscart stands out within an extremely varied and composite market, because of the quality of its products and its compliance and flexibility in seeking its customers' satisfaction. few firms in the conversion sector, namely converting paper for domestic and professional uses, offer such a vast range of products of such high quality as foscart. thanks to this specific feature it can meet its customers' most complex needs.;11.0;50.0;registered office – parent company;True;1984.0;https://www.foscart.it/en/;;foscart-paper-industry_seac000194357-001
morena otello' 'tubettificio abruzzese;paper_cardboard;paper_sanitary_and_domestic_articles;;manufacturer/ producer;zona industriale 51 | 66034 lanciano - italy;lanciano - italy;66034.0;italy;paper - sanitary and domestic articles | aluminium and aluminium alloys | paper for domestic use | aluminum round pipes | plastic articles;the company morena otello' 'tubettificio abruzzese, is a manufacturer/ producer, which operates in the paper - sanitary and domestic articles industry. it also operates in the aluminium and aluminium alloys, paper for domestic use, aluminum round pipes, and plastic articles industries. it is based in lanciano, italy.;1.0;10.0;registered office;True;;;;morena-otello-tubettificio-abruzzese_seac000479132-001
carind s.r.l.;paper_cardboard;paper_sanitary_and_domestic_articles;;manufacturer/ producer;via picinella snc | 03033 arpino - italy;arpino - italy;3033.0;italy;napkins, paper | paper - sanitary and domestic articles | paper towels;the company carind s.r.l., is a manufacturer/ producer, founded in 1989, which operates in the napkins, paper industry. it also operates in the paper - sanitary and domestic articles, and paper towels industries. it is based in arpino, italy.;11.0;50.0;registered office;False;1989.0;http://www.carind.it;;carind-srl_seac002094848-001
celtex s.p.a.;paper_cardboard;paper_sanitary_and_domestic_articles;;manufacturer/ producer;via traversa del marginone, 21/23 | 55015 montecarlo - italy;montecarlo - italy;55015.0;italy;paper - sanitary and domestic articles | paper hand towels for public premises | toilet paper rolls | industrial rolls | medical sheets;the company celtex s.p.a., is a manufacturer/ producer, founded in 1985, which operates in the paper - sanitary and domestic articles industry. it also operates in the paper hand towels for public premises, toilet paper rolls, industrial rolls, and medical sheets industries. it is based in montecarlo, italy.;101.0;200.0;registered office;False;1985.0;http://www.celtex.it;;celtex-spa_seac000119955-001
i. me. c. industria meridionale cellulosa s.r.l.;paper_cardboard;paper_sanitary_and_domestic_articles;;manufacturer/ producer;via trani km. 2 zona industriale s.n.c. | 76123 andria - italy;andria - italy;76123.0;italy;nappies | sanitary towels | paper - sanitary and domestic articles;the company i. me. c. industria meridionale cellulosa s.r.l., is a manufacturer/ producer, founded in 1991, which operates in the nappies industry. it also operates in the sanitary towels, and paper - sanitary and domestic articles industries. it is based in andria, italy.;1.0;10.0;registered office – parent company;False;1991.0;http://www.reteimprese.it/babynour;;i-me-c-industria-meridionale-cellulosa-srl_00000004689263-488698001
imbalcart fiorano s.r.l.;paper_cardboard;paper_sanitary_and_domestic_articles;;;;;;italy;;;;;;False;;;;imbalcart-fiorano-srl_seac000204427-001
cartiera san giorgio s.r.l.;paper_cardboard;paper_sanitary_and_domestic_articles;;manufacturer/ producer;13 via malenchini vincenzo | 16158 genova - italy;genova - italy;16158.0;italy;paper - sanitary and domestic articles | napkins, paper | tissues, paper;the company cartiera san giorgio s.r.l., is a manufacturer/ producer, founded in 1974, which operates in the paper - sanitary and domestic articles industry. it also operates in the napkins, paper, and tissues, paper industries. it is based in genova, italy.;;;registered office;False;1974.0;http://www.cartierasangiorgio.it;;cartiera-san-giorgio-srl_seac001426191-001
west trading;paper_cardboard;paper_sanitary_and_domestic_articles;;;via gordini, 1 | 40053 bazzano (bo) - italy;bazzano (bo) - italy;40053.0;italy;toilet paper | paper - sanitary and domestic articles | tissues, paper;the company west trading, which operates in the toilet paper industry. it also operates in the paper - sanitary and domestic articles, and tissues, paper industries. it is based in bazzano (bo), italy.;;;;False;;http://www.westtrading.com;;west-trading_ita315935-00101
so.l.ma.tex di zerini fabio andrea & c. s.n.c.;paper_cardboard;paper_sanitary_and_domestic_articles;;manufacturer/ producer;14 via guglielmo marconi | 21050 gorla maggiore - italy;gorla maggiore - italy;21050.0;italy;paper - sanitary and domestic articles | furnishing fabrics | textiles - recovery and recycling;the company so.l.ma.tex di zerini fabio andrea & c. s.n.c., is a manufacturer/ producer, founded in 1989, which operates in the paper - sanitary and domestic articles industry. it also operates in the furnishing fabrics, and textiles - recovery and recycling industries. it is based in gorla maggiore, italy.;;;registered office;False;1989.0;http://www.solmatex.it;;solmatex-di-zerini-fabio-andrea-c-snc_seac000541769-001
biondi alcide eredi;paper_cardboard;paper_sanitary_and_domestic_articles;;distributor;70/a via fiume | 61032 fano - italy;fano - italy;61032.0;italy;paper - sanitary and domestic articles | napkins, paper | tissues, paper;the company biondi alcide eredi, is a distributor, founded in 2000, which operates in the paper - sanitary and domestic articles industry. it also operates in the napkins, paper, and tissues, paper industries. it is based in fano, italy.;;;registered office;False;2000.0;http://www.paginegialle.it/biondialcideeredi_fadlal;;biondi-alcide-eredi_seac000605478-001
