company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
libreria becarelli;paper_cardboard;stationery;;retailer;viale goffredo mameli, 14/16 | 53100 siena - italy;siena - italy;53100.0;italy;stationery | bookstore | stationery | books | school textbooks;the company libreria becarelli, is a retailer, which operates in the stationery industry. it also operates in the bookstore, books, and school textbooks industries. it is based in siena, italy.;;;registered office;False;;http://www.labecarelli.it;;libreria-becarelli_seac005408124-001
lope - cda s.r.l.;paper_cardboard;stationery;;wholesaler;20 via volta alessandro | 20094 corsico - italy;corsico - italy;20094.0;italy;stationery | text stamps | printer consumables | special waste removal and treatment | office equipment;the company lope - cda s.r.l., is a wholesaler, founded in 1992, which operates in the stationery industry. it also operates in the text stamps, printer consumables, special waste removal and treatment, and office equipment industries. it is based in corsico, italy.;1.0;10.0;registered office – parent company;False;1992.0;https://www.cancellerialope.info/;;lope-cda-srl_seac003423038-001
effegiufficio;paper_cardboard;stationery;;;via circonvallazione colle, 25 | 66010 miglianico - italy;miglianico - italy;66010.0;italy;stationery | office supplies | office stationery | office equipment and stationery | supplies for schools;the company effegiufficio, which operates in the stationery industry. it also operates in the office supplies, office stationery, office equipment and stationery, and supplies for schools industries. it is based in miglianico, italy.;;;registered office – parent company;False;;http://www.effegiufficio.it;;effegiufficio_seac000566084-001
portale dei prodotti italiani;paper_cardboard;stationery;;wholesaler;via alessandro volta, 20 | via alessandro volta, 20 | 20094 milano - italy;milano - italy;20094.0;italy;stationery | handicraft;the company portale dei prodotti italiani, is a wholesaler, founded in 1969, which operates in the stationery industry. it also operates in the handicraft industries. it is based in milano, italy.;1.0;10.0;registered office – parent company;False;1969.0;https://www.portaledeiprodottiitaliani.it/;;portale-dei-prodotti-italiani_ita318252-00101
erpici alan;paper_cardboard;stationery;;manufacturer/ producer;via petrarca, 20 | 52021 badia agnano-bucine - italy;badia agnano-bucine - italy;52021.0;italy;publishing, miscellaneous items | stationery | label | office equipment and stationery | paper bag;the company erpici alan, is a manufacturer/ producer, founded in 1960, which operates in the publishing, miscellaneous items industry. it also operates in the stationery, label, office equipment and stationery, and paper bag industries. it is based in badia agnano-bucine, italy.;1.0;10.0;registered office – parent company;False;1960.0;;;erpici-alan_seac000557733-001
girasole home srls;paper_cardboard;stationery;;wholesaler;viale enrico fermi 31 | 20900 monza - italy;monza - italy;20900.0;italy;stationery | curtains | linen | games and toys | dolls, stuffed;the company girasole home srls, is a wholesaler, founded in 2007, which operates in the stationery industry. it also operates in the curtains, linen, games and toys, and dolls, stuffed industries. it is based in monza, italy.;11.0;50.0;registered office – parent company - subsidiary;False;2007.0;https://girasolehome.shop;;girasole-home-srls_00000005472831-001
oussama haj mabrouk;paper_cardboard;stationery;;service provider;via ottavio steffenini 47 | 20078 san colombano al lambro - italy;san colombano al lambro - italy;20078.0;italy;labels, office use | cleaning accessories | stationery | articles for building;the company oussama haj mabrouk, is a service provider, which operates in the labels, office use industry. it also operates in the cleaning accessories, stationery, and articles for building industries. it is based in san colombano al lambro, italy.;1.0;10.0;;False;;;;oussama-haj-mabrouk_00000005470933-845594001
grafiche mps s.n.c. di paganini eugenio & c.;paper_cardboard;stationery;;service provider;13 via ponchielli amilcare | 21052 busto arsizio - italy;busto arsizio - italy;21052.0;italy;paper - printing - machines & equipment | printing and setting - machinery and equipment | stationery;the company grafiche mps s.n.c. di paganini eugenio & c., is a service provider, founded in 1993, which operates in the paper - printing - machines & equipment industry. it also operates in the printing and setting - machinery and equipment, and stationery industries. it is based in busto arsizio, italy.;;;registered office;False;1993.0;http://www.paginegialle.it/mpsgrafiche;;grafiche-mps-snc-di-paganini-eugenio-c_seac000639016-001
tutto per l'ufficio di zilio marco;paper_cardboard;stationery;;retailer;14 via celante gerolamo | 31029 vittorio veneto - italy;vittorio veneto - italy;31029.0;italy;stationery | office supplies | writing paper and envelopes;the company tutto per l'ufficio di zilio marco, is a retailer, founded in 2003, which operates in the stationery industry. it also operates in the office supplies, and writing paper and envelopes industries. it is based in vittorio veneto, italy.;;;registered office;False;2003.0;http://www.paginegialle.it/tuttoperlufficiodiziliomarcovittorioveneto;;tutto-per-lufficio-di-zilio-marco_seac000916418-001
modul laser s.n.c. di carboni massimo e c.;paper_cardboard;stationery;;;50 via einaudi luigi | 41043 formigine - italy;formigine - italy;41043.0;italy;art and art galleries | stationery | paper, self-copy;the company modul laser s.n.c. di carboni massimo e c., founded in 1985, which operates in the art and art galleries industry. it also operates in the stationery, and paper, self-copy industries. it is based in formigine, italy.;;;registered office;False;1985.0;http://www.modullaser.it;;modul-laser-snc-di-carboni-massimo-e-c_seac000483336-001
