company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
masseria fontana ramata;agriculture_livestock;animal_production;animal_production;manufacturer/ producer;sp21 km 4,200 | 81030 carinola - italy;carinola - italy;81030;italy;dairy products | mozzarella di bufala | to cultivate | to breed | to produce;~masseria fontana ramata it is an agricultural and zootechnics company (buffalo farm) located in south of italy with almost 100 years of history. the company produce “mozzarella”, “ricotta”, "stracchino" and “scamorza” from exclusively buffalo milk originate from own farm. the products of masseria fontana ramata are the cheeses of very high quality. entire production process is controlled; the herbs cultivation, the buffalos breeding, the production of buffalo milk to achieve the fresh and delicious mozzarella.~;1.0;10.0;;False;;http://www.masseriafontanaramata.it;;masseria-fontana-ramata_00000005275035-589137001
helix esperia;agriculture_livestock;animal_production;animal_production;retailer;via de felice | 95042 grammichele - italy;grammichele - italy;95042;italy;animal production | cochlea | edible snails | snail breeding;the company helix esperia, is a retailer, founded in 2017, which operates in the animal production industry. it also operates in the cochlea, edible snails, and snail breeding industries. it is based in grammichele, italy.;1.0;10.0;;False;2017.0;http://www.helidasia.com;;helix-esperia_00000004761189-540918001
guzina admir;agriculture_livestock;animal_production;animal_production;retailer;via dossena | 15121 alessandria - italy;alessandria - italy;15121;italy;animal production;the company guzina admir, is a retailer, which operates in the animal production industry. it is based in alessandria, italy.;1.0;10.0;;False;;;;guzina-admir_00000004722279-522621001
l.b.r. lavorazione budella reggiane srl;agriculture_livestock;animal_production;animal_production;manufacturer/ producer;via san giovanni, 43 | 42044 gualtieri - italy;gualtieri - italy;42044;italy;animal production | natural entrails | cords;the company l.b.r. lavorazione budella reggiane srl, is a manufacturer/ producer, which operates in the animal production industry. it also operates in the natural entrails, and cords industries. it is based in gualtieri, italy.;11.0;50.0;;False;;http://www.lbr-srl.biz;;lbr-lavorazione-budella-reggiane-srl_00000005465146-836106001
center sicily meat;agriculture_livestock;animal_production;animal_production;retailer;c.da milione - stagliata | 94010 cerami - italy;cerami - italy;94010;italy;animal production;the company center sicily meat, is a retailer, founded in 1997, which operates in the animal production industry. it is based in cerami, italy.;1.0;10.0;registered office – subsidiary;False;1997.0;;;center-sicily-meat_00000004694654-492958001
boa italia srl;agriculture_livestock;animal_production;animal_production;wholesaler;via g. boetto 10 | 12037 saluzzo - italy;saluzzo - italy;12037;italy;entrails | animal production;the company boa italia srl, is a wholesaler, which operates in the entrails industry. it also operates in the animal production industries. it is based in saluzzo, italy.;;;;False;;;;boa-italia-srl_00000005485261-001
coop melissa;agriculture_livestock;animal_production;animal_production;manufacturer/ producer;via san lorenzo 1 | 03030 castelliri - italy;castelliri - italy;3030;italy;beekeeping - machinery and equipment | beekeeping and silk culture | honey | beehives | bee smokers | beehives | stainless steel containers for honey | bee products | production and processing of honey | smelters;cooperativa melissa is a company that handles: beekeeping clothes, beehives, beekeeping equipment, honey cosmetics, dosers, wax foundation sheets, settling tanks, pollen, beekeeping products, wax melters, varroa treatments, bee smokers, bee candies, beekeeping gloves, masks, bee medicines, beehive products, beehive frames, bee food, centrifuges, stainless steel honey containers, honey extractors.;;;registered office – parent company;True;1986.0;https://www.apicoltura.com/it/, https://www.melissa.it/;;coop-melissa_seac000455862-001
api brescia societa' cooperativa;agriculture_livestock;animal_production;animal_production;manufacturer/ producer;via armando lottieri, 10 | 25100 brescia - italy;brescia - italy;25100;italy;honey | beekeeping | bee products | acacia honey | millefiori honey;the company api brescia societa' cooperativa, is a manufacturer/ producer, which operates in the honey industry. it also operates in the beekeeping, bee products, acacia honey, and millefiori honey industries. it is based in brescia, italy.;;;registered office – parent company;True;;http://www.apibrescia.it;;api-brescia-societa-cooperativa_seac004999241-001
eurovo s.r.l.;agriculture_livestock;animal_production;animal_production;manufacturer/ producer;via mensa 3 | 48022 santa maria in fabriago - italy;santa maria in fabriago - italy;48022;italy;eggs | dried and liquid egg yolks | egg products | eggs for consumption | egg whites;the company eurovo s.r.l., is a manufacturer/ producer, founded in 1950, which operates in the eggs industry. it also operates in the dried and liquid egg yolks, egg products, eggs for consumption, and egg whites industries. it is based in santa maria in fabriago, italy.;;;registered office;False;1950.0;http://www.uovo.it;;eurovo-srl_seac001517143-001
apicoltura cantoia;agriculture_livestock;animal_production;animal_production;manufacturer/ producer;via cavaglietto 25-a | 28010 cavaglio d'agogna - italy;cavaglio d'agogna - italy;28010;italy;honey | sweets with honey filling | organic honey | italian honey;the company apicoltura cantoia, is a manufacturer/ producer, which operates in the honey industry. it also operates in the sweets with honey filling, organic honey, and italian honey industries. it is based in cavaglio d'agogna, italy.;11.0;50.0;;False;;https://www.apicoltura-cantoia.com;;apicoltura-cantoia_00000005394496-717266001
