company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
growshop1937;agriculture_livestock;bedding_plants_bulbs_and_seeds;;retailer;via delle corti8 | 50018 scandicci - italy;scandicci - italy;50018.0;italy;bedding plants, bulbs and seeds;the company growshop1937, is a retailer, which operates in the bedding plants, bulbs and seeds industry. it is based in scandicci, italy.;1.0;10.0;;False;;http://www.growshop1937.it;;growshop1937_00000005249302-564517001
gheri vivai piante soc.ag.sem.;agriculture_livestock;bedding_plants_bulbs_and_seeds;;manufacturer/ producer;47/a via alfieri vittorio | 51037 montale - italy;montale - italy;51037.0;italy;bedding plants, bulbs and seeds | indoor and greenhouse plants, floristry | nurseries | nursery plants;the company gheri vivai piante soc.ag.sem., is a manufacturer/ producer, founded in 1999, which operates in the bedding plants, bulbs and seeds industry. it also operates in the indoor and greenhouse plants, floristry, nurseries, and nursery plants industries. it is based in montale, italy.;1.0;10.0;registered office;False;1999.0;http://www.gherivivaipiante.it;;gheri-vivai-piante-socagsem_seac000377913-001
italsementi s.n.c.;agriculture_livestock;bedding_plants_bulbs_and_seeds;;manufacturer/ producer;via giuseppe di vittorio 9 | 52016 rassina - italy;rassina - italy;52016.0;italy;bedding plants, bulbs and seeds | lawn seed;the company italsementi s.n.c., is a manufacturer/ producer, founded in 1977, which operates in the bedding plants, bulbs and seeds industry. it also operates in the lawn seed industries. it is based in rassina, italy.;1.0;10.0;registered office – parent company;False;1977.0;http://www.italsementi.com;;italsementi-snc_00000004727318-525697001
ingegnoli fratelli spa;agriculture_livestock;bedding_plants_bulbs_and_seeds;;wholesaler;via salomone oreste | 20138 milano - italy;milano - italy;20138.0;italy;bedding plants, bulbs and seeds | nurseries | flower seeds and fruit plants | fruit plants;the company ingegnoli fratelli spa, is a wholesaler, which operates in the bedding plants, bulbs and seeds industry. it also operates in the nurseries, flower seeds and fruit plants, and fruit plants industries. it is based in milano, italy.;11.0;50.0;;False;;http://www.ingegnoli.com;;ingegnoli-fratelli-spa_ita107271-00101
de zottis s.p.a.;agriculture_livestock;bedding_plants_bulbs_and_seeds;;service provider;26 via argine piave | 31030 breda di piave - italy;breda di piave - italy;31030.0;italy;bedding plants, bulbs and seeds | indoor and greenhouse plants, floristry | nurseries;the company de zottis s.p.a., is a service provider, founded in 1976, which operates in the bedding plants, bulbs and seeds industry. it also operates in the indoor and greenhouse plants, floristry, and nurseries industries. it is based in breda di piave, italy.;51.0;100.0;registered office;False;1976.0;http://www.dezottis.it;;de-zottis-spa_seac000122645-001
geofarm di davoli denis - mendes & c. s.n.c.;agriculture_livestock;bedding_plants_bulbs_and_seeds;;;via rossa guido | 46019 viadana - italy;viadana - italy;46019.0;italy;agricultural systems and equipment | bedding plants, bulbs and seeds | indoor and greenhouse plants, floristry;the company geofarm di davoli denis - mendes & c. s.n.c., founded in 2000, which operates in the agricultural systems and equipment industry. it also operates in the bedding plants, bulbs and seeds, and indoor and greenhouse plants, floristry industries. it is based in viadana, italy.;11.0;50.0;registered office;False;2000.0;http://www.geofarmsnc.it;;geofarm-di-davoli-denis-mendes-c-snc_seac000582565-001
az.florovivaistica mannini alessandro e brogi luigi s.s.;agriculture_livestock;bedding_plants_bulbs_and_seeds;;;via del larione | 50126 firenze - italy;firenze - italy;50126.0;italy;bedding plants, bulbs and seeds | indoor and greenhouse plants, floristry | nurseries;the company az.florovivaistica mannini alessandro e brogi luigi s.s., founded in 1985, which operates in the bedding plants, bulbs and seeds industry. it also operates in the indoor and greenhouse plants, floristry, and nurseries industries. it is based in firenze, italy.;;;registered office;False;1985.0;https://www.florivivaisticamanninibrogi.it/;;azflorovivaistica-mannini-alessandro-e-brogi-luigi-ss_seac000928549-001
seminart s.r.l.;agriculture_livestock;bedding_plants_bulbs_and_seeds;;wholesaler;60 via s. antonio | 35019 tombolo - italy;tombolo - italy;35019.0;italy;bedding plants, bulbs and seeds | grass seeds | soya beans;the company seminart s.r.l., is a wholesaler, founded in 1982, which operates in the bedding plants, bulbs and seeds industry. it also operates in the grass seeds, and soya beans industries. it is based in tombolo, italy.;11.0;50.0;registered office;False;1982.0;http://www.seminart.it;;seminart-srl_seac000468771-001
floricoltura biagiotti;agriculture_livestock;bedding_plants_bulbs_and_seeds;;retailer;415 via aurelia sud | 55049 viareggio - italy;viareggio - italy;55049.0;italy;bedding plants, bulbs and seeds | indoor and greenhouse plants, floristry | nurseries;the company floricoltura biagiotti, is a retailer, founded in 1985, which operates in the bedding plants, bulbs and seeds industry. it also operates in the indoor and greenhouse plants, floristry, and nurseries industries. it is based in viareggio, italy.;11.0;50.0;registered office;False;1985.0;http://www.florbiagiotti.it;;floricoltura-biagiotti_seac000311577-001
vivai superga di pejrasso michele;agriculture_livestock;bedding_plants_bulbs_and_seeds;;;85 via torino | 12037 saluzzo - italy;saluzzo - italy;12037.0;italy;bedding plants, bulbs and seeds | indoor and greenhouse plants, floristry | nurseries;the company vivai superga di pejrasso michele, founded in 1986, which operates in the bedding plants, bulbs and seeds industry. it also operates in the indoor and greenhouse plants, floristry, and nurseries industries. it is based in saluzzo, italy.;11.0;50.0;registered office;False;1986.0;http://www.paginebianche.it/vivaisuperga-saluzzo;;vivai-superga-di-pejrasso-michele_seac000238303-001
