company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
fratelli contarini;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;via giordano bruno, 5 | 48011 alfonsine - italy;alfonsine - italy;48011.0;italy;cereals and grains | wheat | rice flours | common wheat;the company fratelli contarini, is a manufacturer/ producer, which operates in the cereals and grains industry. it also operates in the wheat, rice flours, and common wheat industries. it is based in alfonsine, italy.;;;registered office – parent company;False;;http://www.fratellicontarini.it;;fratelli-contarini_seac000015209-001
agrimondo poliziano srl;agriculture_livestock;cereals_grains;common_wheat;retailer;via dell'artigianato 11 | 53045 montepulciano - italy;montepulciano - italy;53045.0;italy;common wheat | clean room control certification;the company agrimondo poliziano srl, is a retailer, founded in 2012, which operates in the common wheat industry. it also operates in the clean room control certification industries. it is based in montepulciano, italy.;;;registered office;False;2012.0;http://www.agrimondopoliziano.it;;agrimondo-poliziano-srl_00000003870539-167052001
az agricola di palma basilio;agriculture_livestock;cereals_grains;common_wheat;service provider;via sacco 635 | . | 03042 atina - italy;atina - italy;3042.0;italy;common wheat | selezionatrice ottica legumi cereali;the company az agricola di palma basilio, is a service provider, which operates in the common wheat industry. it also operates in the selezionatrice ottica legumi cereali industries. it is based in atina, italy.;;;;False;;;;az-agricola-di-palma-basilio_00000005497537-001
fio chemical spa;agriculture_livestock;cereals_grains;common_wheat;retailer;via cedri 3 70026 modugno | 70026 modugno - italy;modugno - italy;70026.0;italy;common wheat;the company fio chemical spa, is a retailer, which operates in the common wheat industry. it is based in modugno, italy.;;;;False;;http://www.springoil.it/#3;;fio-chemical-spa_00000005491329-001
molino f.lli chiavazza s.p.a.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;2 via molino | 12030 casalgrasso - italy;casalgrasso - italy;12030.0;italy;flour-milling | cereal flours | type 0 common wheat flours;the company molino f.lli chiavazza s.p.a., is a manufacturer/ producer, founded in 1955, which operates in the flour-milling industry. it also operates in the cereal flours, and type 0 common wheat flours industries. it is based in casalgrasso, italy.;11.0;50.0;registered office;False;1955.0;http://www.molinochiavazza.it;;molino-flli-chiavazza-spa_seac001245953-001
eredi pellegrini ugo;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;10 via corrado venini | 36010 velo d'astico - italy;velo d'astico - italy;36010.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company eredi pellegrini ugo, is a manufacturer/ producer, founded in 1919, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in velo d'astico, italy.;;;registered office;False;1919.0;http://www.molinopellegrini.com/;;eredi-pellegrini-ugo_seac000680327-001
molino naldoni s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;21 via marzeno | 48013 brisighella - italy;brisighella - italy;48013.0;italy;flour-milling | oatmeal | type 0 common wheat flours;the company molino naldoni s.r.l., is a manufacturer/ producer, founded in 1955, which operates in the flour-milling industry. it also operates in the oatmeal, and type 0 common wheat flours industries. it is based in brisighella, italy.;11.0;50.0;registered office;False;1955.0;http://www.paginebianche.it/molinonaldoni-faenza;;molino-naldoni-srl_seac000021240-001
molini pivetti s.p.a.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;67 via di renazzo | 44042 cento - italy;cento - italy;44042.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company molini pivetti s.p.a., is a manufacturer/ producer, founded in 1955, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in cento, italy.;;;registered office;False;1955.0;https://www.molinipivetti.it/;;molini-pivetti-spa_seac000008712-001
favero antonio s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;60 via gramogne | 35127 padova - italy;padova - italy;35127.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company favero antonio s.r.l., is a manufacturer/ producer, founded in 1978, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in padova, italy.;11.0;50.0;registered office;False;1978.0;http://www.molinofavero.com/;;favero-antonio-srl_seac000193682-001
brundu s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;localita' cabu abbas | 07048 torralba - italy;torralba - italy;7048.0;italy;flour-milling | oatmeal | type 0 common wheat flours;the company brundu s.r.l., is a manufacturer/ producer, founded in 1978, which operates in the flour-milling industry. it also operates in the oatmeal, and type 0 common wheat flours industries. it is based in torralba, italy.;;;registered office;False;1978.0;http://www.brundu.com;;brundu-srl_seac000010065-001
gestione molino grossi guido di grossi gianfranco e giorgio;agriculture_livestock;cereals_grains;common_wheat;;38 via adriatica | 47838 riccione - italy;riccione - italy;47838.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company gestione molino grossi guido di grossi gianfranco e giorgio, founded in 1989, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in riccione, italy.;;;registered office;False;1989.0;;;gestione-molino-grossi-guido-di-grossi-gianfranco-e-giorgio_seac000600279-001
molino adriano andreozzi s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;896 via di balbano | 55100 lucca - italy;lucca - italy;55100.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company molino adriano andreozzi s.r.l., is a manufacturer/ producer, founded in 1997, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in lucca, italy.;;;registered office;False;1997.0;;;molino-adriano-andreozzi-srl_seac000479543-001
amoruso fratelli s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;13 contrada s. martino | 71042 cerignola - italy;cerignola - italy;71042.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company amoruso fratelli s.r.l., is a manufacturer/ producer, founded in 1966, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in cerignola, italy.;11.0;50.0;registered office;False;1966.0;;;amoruso-fratelli-srl_seac001213805-001
molino oderio & c. s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;28 via molini | 10015 ivrea - italy;ivrea - italy;10015.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company molino oderio & c. s.r.l., is a manufacturer/ producer, founded in 1903, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in ivrea, italy.;;;registered office;False;1903.0;;;molino-oderio-c-srl_seac001410938-001
m.a.d. s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;2 traversa varo | 80053 castellammare di stabia - italy;castellammare di stabia - italy;80053.0;italy;flour-milling | oatmeal | type 0 common wheat flours;the company m.a.d. s.r.l., is a manufacturer/ producer, founded in 2002, which operates in the flour-milling industry. it also operates in the oatmeal, and type 0 common wheat flours industries. it is based in castellammare di stabia, italy.;11.0;50.0;registered office;False;2002.0;;;mad-srl_seac003329078-001
molino bassini s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;2 via matteotti g. | 40011 anzola dell'emilia - italy;anzola dell'emilia - italy;40011.0;italy;flour-milling | oatmeal | type 0 common wheat flours;the company molino bassini s.r.l., is a manufacturer/ producer, founded in 1992, which operates in the flour-milling industry. it also operates in the oatmeal, and type 0 common wheat flours industries. it is based in anzola dell'emilia, italy.;;;registered office;False;1992.0;;;molino-bassini-srl_seac000122052-001
societa' di macinazione s.p.a.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;1 largo s. giacomo | 33170 pordenone - italy;pordenone - italy;33170.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company societa' di macinazione s.p.a., is a manufacturer/ producer, founded in 1923, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in pordenone, italy.;11.0;50.0;registered office;False;1923.0;http://www.molinopn.com;;societa-di-macinazione-spa_seac000010811-001
iaquone s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;1 contrada borgo | 03030 vicalvi - italy;vicalvi - italy;3030.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company iaquone s.r.l., is a manufacturer/ producer, founded in 1969, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in vicalvi, italy.;11.0;50.0;;False;1969.0;http://www.molinoiaquone.com;;iaquone-srl_seac001196245-001
batignani s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;9 via della stazione | 53040 rapolano terme - italy;rapolano terme - italy;53040.0;italy;flour-milling | wheat | type 0 common wheat flours;the company batignani s.r.l., is a manufacturer/ producer, founded in 2004, which operates in the flour-milling industry. it also operates in the wheat, and type 0 common wheat flours industries. it is based in rapolano terme, italy.;;;registered office;False;2004.0;http://www.ilpanetoscano.it;;batignani-srl_seac001728506-001
resce s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;19 via don luigi sturzo | 83034 casalbore - italy;casalbore - italy;83034.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company resce s.r.l., is a manufacturer/ producer, founded in 2006, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in casalbore, italy.;11.0;50.0;registered office;False;2006.0;;;resce-srl_seac004955433-001
antimo caputo s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;55 corso san giovanni | 80100 napoli - italy;napoli - italy;80100.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company antimo caputo s.r.l., is a manufacturer/ producer, founded in 1924, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in napoli, italy.;11.0;50.0;registered office;False;1924.0;http://www.molinocaputo.it;;antimo-caputo-srl_seac002849759-001
molino matteo s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;26 via della tecnica | 85100 potenza - italy;potenza - italy;85100.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company molino matteo s.r.l., is a manufacturer/ producer, founded in 1952, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in potenza, italy.;;;registered office;False;1952.0;;;molino-matteo-srl_seac001991915-001
molini bongiovanni s.p.a.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;9 via volta | 10020 cambiano - italy;cambiano - italy;10020.0;italy;flour-milling | oatmeal | type 0 common wheat flours;the company molini bongiovanni s.p.a., is a manufacturer/ producer, founded in 2003, which operates in the flour-milling industry. it also operates in the oatmeal, and type 0 common wheat flours industries. it is based in cambiano, italy.;11.0;50.0;registered office;False;2003.0;;;molini-bongiovanni-spa_seac003371032-001
molini certosa s.p.a.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;72 corso partigiani | 27012 certosa di pavia - italy;certosa di pavia - italy;27012.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company molini certosa s.p.a., is a manufacturer/ producer, founded in 1925, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in certosa di pavia, italy.;11.0;50.0;registered office;False;1925.0;http://www.molinicertosa.it;;molini-certosa-spa_seac000290203-001
macinazione torinese s.r.l.;agriculture_livestock;cereals_grains;common_wheat;manufacturer/ producer;50 via botticelli sandro | 10154 torino - italy;torino - italy;10154.0;italy;flour-milling | type 0 common wheat flours | type 00 soft wheat flour;the company macinazione torinese s.r.l., is a manufacturer/ producer, founded in 1965, which operates in the flour-milling industry. it also operates in the type 0 common wheat flours, and type 00 soft wheat flour industries. it is based in torino, italy.;;;registered office;False;1965.0;;;macinazione-torinese-srl_seac001388944-001
