company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
tecnobell srl;agriculture_livestock;fertilizers_and_soil_conditioners;;manufacturer/ producer;via dell' industria 83/a | 84092 bellizzi - italy;bellizzi - italy;84092;italy;fertilizers and soil conditioners | fertilizer | organic fertiliser | organic manures | chemical fertiliser | chemical fertilizers | special fertilisers | liquid fertilizer | bio-promoters | trace mineral fertilizers;tecnobell is the outcome of the lengthy experience of people that have spent their life trying to understand the farming world's requirements and developing products with a low environmental footprint, respecting nature and human health. owing to a constant research and development activity, the company's mission is to help all the farming phenological phases with special nutrition so that the consumer can have healthier and cleaner food. tecnobell specialises in the creation of environmentally-friendly products. the most innovative laboratory equipment and high-purity raw mineral and vegetable ingredients, combined with expertise acquired over time. the result is special products that become precise tools in the hands of those who have to find the right production balance between quantity and quality, in keeping with sustainable growth that can respond effectively to the growing global demand for food.;1.0;10.0;registered office – parent company;True;;https://www.tecnobell.eu/;;tecnobell-srl_seac006915754-002
spaa;agriculture_livestock;fertilizers_and_soil_conditioners;;manufacturer/ producer;via delle industrie 11 -13 | +393483543982 | 65013 pescara - italy;pescara - italy;65013;italy;plants & fertilizers | fertilizers and soil conditioners | insecticides | biostimulants | bio-stimulants - fertilisers;spaa is active in the production and sale of biostimulants, bio natural control products, special fertilizers, liquid fertilizers, phosphites, basic substances, strengtheners, plant extracts for professional agriculture. our strength always has been our products’ quality obtained thanks to our r&d and the capacity to respond to all needs of agriculture. with a great agronomic experience on all crops of 20 years, our core are the biostimulants mentioned above, in particular our surnan, 100% vegetable protein hydrolyzate obtained from corn gluten proteins with proprietary and patented technology, surnan s which includes elementary sulphur and biocontrol line with plant extracts and some micro-organisms based product. we work on b2c and b2b channels. we offer various solutions for both nutrition and natural control, with a personalized and customized service based on the requests of our customers.;;;;False;;https://www.spaa.it;;spaa_00000005481772-001
mugavero fertilizer;agriculture_livestock;fertilizers_and_soil_conditioners;;manufacturer/ producer;corso umberto e margherita n. 1/b termini imerese - | 90018 termini imerese - italy;termini imerese - italy;90018;italy;fertilizers and soil conditioners | bio-stimulants - fertilisers | fertilizer | fertilizers for sustainable development;mugavero fertilizers is an italian leading agriculture business since 1959, represents manufactures, wholesale and retail distributors of fertilizers around the globe, our purpose is to operate as the industry body for business and people who spread, distribute, sell, store, transport, manufacture and provide a consultancy on the use of fertilizers. our products which supply essential nutrition of crops , are a crucial input to italian agriculture with a high productive capacity. mugavero is committed to support the fertilizer industry with innovative research and programming, we work to advance the safe, secure, stewardship and sustainable use of fertilizer though proactive science - based programs, innovation, and advocacy - benefiting italy and the world.;11.0;50.0;;False;;https://www.mugavero.it;;mugavero-fertilizer_00000005398966-727046001
agritec srl;agriculture_livestock;fertilizers_and_soil_conditioners;;manufacturer/ producer;viale europa 5 | 82018 calvi - italy;calvi - italy;82018;italy;fertilizers and soil conditioners | biostimolanti - fert iliser | plant | amendants;agritec srl is a company that produces and markets fertilizers of natural origin for agriculture by offering innovative products ensuring agricultural production in full respect of the operator, the environment and the consumer. the company has been able in recent years to specialize in the use of natural products, which offer a reduction of the environmental impact by offering products that preserve the natural fertility of the soil, especially the organic one, increasing yields and reducing the number of field treatments, managing to cover the crop cycle avoiding the application of chemicals.;1.0;10.0;;False;;https://www.fertilizzantiagritec.it/;;agritec-srl_00000005469191-842358001
conitalo;agriculture_livestock;fertilizers_and_soil_conditioners;;manufacturer/ producer;via druento 280 | 10078 venaria reale - italy;venaria reale - italy;10078;italy;fertilizers and soil conditioners | produttore humus | earthworms;~grazie l'acquisizione della storica e rinomata azienda lombricoltura compagnoni oggi siamo l'azienda produttrice leader italiano nella produzione di puro vermicompost da letame bovino da oltre 40 anni. il punto di forza del nostro concime è duplice, uno dal punto di vista ammendante e uno dal punto di vista economico in virtù della basse concentrazioni necessarie. definito "black magic" negli usa, da decenni è il miglior concime ammendante naturale al mondo poichè: - rigenera i suoli esausti arricchendoli di sostanza organica immediatamente disponibile; - permette un risparmio di acqua, aiuta il terreno a mantenere una corretta umidità riducendo gli apporti di acqua dall’esterno; - è ricco di acidi umici e fulvici; - è completamente naturale, proviene al 100% da letame bovino certificato “benessere animale” e “no-antibioticos”, quindi ammesso in agricoltura biologica; - è inodore; - ha un potere di concimazione 20 volte superiore rispetto al letame (concentrazione enzimatica= 1q di vermicompost = 20 q di letame fresco); - esalta il sapore, l’odore e l’aspetto delle colture; - incrementa la produttività; - aumenta la resistenza delle piante contro malattie e parassiti; - è un accumulatore di energia e non teme il sovradosaggio, l’eccedenza di prodotto rimane a disposizione della pianta senza bruciare le radici; - è un bioattivatore naturale, la presenza di milioni di microrganismi rivitalizza la flora batterica del suolo.~;1.0;10.0;;False;;https://www.conitalo.it;;conitalo_00000005471821-847264001
biotica;agriculture_livestock;fertilizers_and_soil_conditioners;;manufacturer/ producer;via catania 22 | contrada roccaro snc | 95035 maletto - italy;maletto - italy;95035;italy;fertilizers and soil conditioners | earthworms - fertilizer | organic fertilizers | producer of hummos | organic fertilizers;the company biotica, is a manufacturer/ producer, founded in 2017, which operates in the fertilizers and soil conditioners industry. it also operates in the earthworms - fertilizer, organic fertilizers, producer of hummos, and organic fertilizers industries. it is based in maletto, italy.;1.0;10.0;registered office;False;2017.0;https://www.biotica.bio;;biotica_00000005474782-001
ormin srl;agriculture_livestock;fertilizers_and_soil_conditioners;;manufacturer/ producer;via cesare balbo | loc.ta' torre del pero | 50136 firenze - italy;firenze - italy;50136;italy;fertilizers and soil conditioners | organic manures | soil conditioners and fertilizers;the company ormin srl, is a manufacturer/ producer, founded in 1970, which operates in the fertilizers and soil conditioners industry. it also operates in the organic manures, and soil conditioners and fertilizers industries. it is based in firenze, italy.;11.0;50.0;registered office;False;1970.0;http://www.ormin.it;;ormin-srl_00000004610251-422457001
cittadino agricoltura srl;agriculture_livestock;fertilizers_and_soil_conditioners;;distributor;via del progresso,426 | 88046 lamezia terme - italy;lamezia terme - italy;88046;italy;phytosanitary products, fungicides and pesticides | soil conditioners and fertilizers;the company cittadino agricoltura srl, is a distributor, which operates in the phytosanitary products, fungicides and pesticides industry. it also operates in the soil conditioners and fertilizers industries. it is based in lamezia terme, italy.;1.0;10.0;;False;;https://www.cittadinoagricoltura.it;;cittadino-agricoltura-srl_00000005403496-735216001
3 bernadi group production sarl;agriculture_livestock;fertilizers_and_soil_conditioners;;wholesaler;via comuna 16/a | 35042 este - italy;este - italy;35042;italy;chemical fertilizers | soil conditioners and fertilizers | special fertilizers | organic fertilizers | fertiliser-water irrigation;the company 3 bernadi group production sarl, is a wholesaler, which operates in the chemical fertilizers industry. it also operates in the soil conditioners and fertilizers, special fertilizers, organic fertilizers, and fertiliser-water irrigation industries. it is based in este, italy.;1.0;10.0;;False;;;;3-bernadi-group-production-sarl_00000005235803-554533001
castaldo s.r.l.;agriculture_livestock;fertilizers_and_soil_conditioners;;manufacturer/ producer;via g. porzio, 4 isola b3 | 80143 napoli - italy;napoli - italy;80143;italy;fertilizers and soil conditioners | fertilizers for sustainable development;the company castaldo s.r.l., is a manufacturer/ producer, which operates in the fertilizers and soil conditioners industry. it also operates in the fertilizers for sustainable development industries. it is based in napoli, italy.;1.0;10.0;;False;;http://www.castaldonet.it;;castaldo-srl_00000004653112-455317001
