company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
colle di siduri wine;agriculture_livestock;fur_farming;;manufacturer/ producer;strada provinciale 45 - località cavarena 45 | 82034 guardia sanframondi - italy;guardia sanframondi - italy;82034.0;italy;wines - campania | farm | falanghina | wineries | aglianico | wines | production of wines | organic wine | barbera | typical italian wines;colle di siduri is a young farming company immersed in a hilly landscape in the municipality of guardia sanframondi (bn, italy) and that can be considered historical thanks to its centuries old winemaking tradition. the doc wines that make this winery stand out are the falanghina del sannio and the sannio barbera. the sannio aglianico, the sannio aglianico riserva and the sannio fiano can't be left out either.;1.0;10.0;registered office – parent company;True;2015.0;http://colledisiduri.it;;colle-di-siduri-wine_seac007311816-001
la piemontina s.s.a.;agriculture_livestock;fur_farming;;manufacturer/ producer;val. mareschi | 28070 sizzano - italy;sizzano - italy;28070.0;italy;wines | wines - italy | farm | ghemme | wineries | hills around novara | wines | wine cellar | white wines | brut sparkling wine;la piemontina is new oenological life set up in the namesake region in the north of italy, piedmont. we would like to write a new and interesting «fairytale» that speaks about our upper piedmont wines! our goal is not only to become a wine producing company involved in wine tasting but also a focal point that attracts people with an active lifestyle who are passionate about their own interests. where? in sizzano: the winery is in the north of italy at the feet of the monte rosa.;1.0;10.0;registered office – parent company;True;;https://lapiemontina.com;;la-piemontina-ssa_seac007253649-001
hännsl am ort - weingut;agriculture_livestock;fur_farming;;distributor;via sant'agata 7 | 39011 lana - italy;lana - italy;39011.0;italy;wines | wines, champagne method | wines - trentino-alto adige | wineries | production of wines | wines | sparkling wines | wine-growing | farm | lagrein;hännsl am ort is a medieval name that describes a place and a farming company in lana di mezzo. when the present winemaker norbert kerschbamer took over the business, the apple trees were replaced by grape vines. in 2004 the small "hännsl am ort" winery was opened. our present range includes 6 white wines, a fruity rosé and 4 red wines: weißburgunder, kerner, sauvignon and chardonnay, a sophisticated blauburgunder, a vernaccia and the strong and dark lagrein from south tyrol.;;;registered office;True;;http://www.haennsl-am-ort.net;;hannsl-am-ort-weingut_seac001973804-001
contucci di alamanno contucci & c. societa' agricola s.a.s.;agriculture_livestock;fur_farming;;manufacturer/ producer;via del teatro 1 | 53045 montepulciano - italy;montepulciano - italy;53045.0;italy;wines - tuscany | farm | wineries | production of wines | vino nobile di montepulciano;the company contucci di alamanno contucci & c. societa' agricola s.a.s., is a manufacturer/ producer, which operates in the wines - tuscany industry. it also operates in the farm, wineries, production of wines, and vino nobile di montepulciano industries. it is based in montepulciano, italy.;;;registered office;True;;https://www.contucci.it;;contucci-di-alamanno-contucci-c-societa-agricola-sas_seac000062081-001
frantoio carmignani umberto;agriculture_livestock;fur_farming;;manufacturer/ producer;via pisignano 31 | 50026 san casciano in val di pesa - italy;san casciano in val di pesa - italy;50026.0;italy;agricultural production | farm | wineries | oil presses | production of wines;the company frantoio carmignani umberto, is a manufacturer/ producer, which operates in the agricultural production industry. it also operates in the farm, wineries, oil presses, and production of wines industries. it is based in san casciano in val di pesa, italy.;;;registered office;True;;;;frantoio-carmignani-umberto_seac000210195-001
agriturismo le piagge di marri mirella;agriculture_livestock;fur_farming;;service provider;via piagge novali, 22 | 60031 castelplanio - italy;castelplanio - italy;60031.0;italy;agritourism | housing | surrounded by trees | comfortable setting | farm;le piagge holiday home is your pledge of relaxing holidays, surrounded by countryside silence and flavours. when the horizon is clear, you can see the sea to the east and the range of sibylline mountains to the south. its location close to the road network, makes the holiday home easy to access and makes for fast trips to the seaside (senigallia) and the mountain (frasassi grottos, san vittore spa). the spacious building offers seven independent bedrooms of different types, a large car park and a children's playground.;;;;False;;http://www.lepiaggeagriturismo.it;;agriturismo-le-piagge-di-marri-mirella_seac004888999-001
societa' agricola morsilva ss;agriculture_livestock;fur_farming;;distributor;via doria | 87011 cassano allo ionio - italy;cassano allo ionio - italy;87011.0;italy;citrus fruits | farm | tangerines | fruits import export;farming for over 40 years, morsilva lives and works hand-in-hand with nature. ours is a family-run farm. our citrus groves are located on the sibari plains, birthplace of magna grecia, where the special climatic conditions enable us to grow premium produce. our citrus groves, where we also produce clementines and navelines, cover 50 hectares. annually, we produce approximately 8, 000 quintals. our citrus fruits production is spearheaded by our clementines.;;;registered office – parent company;False;;;;societa-agricola-morsilva-ss_seac006678497-001
ortofrutta desiderio s.r.l.;agriculture_livestock;fur_farming;;;viale della repubblica | 84047 capaccio paestum - italy;capaccio paestum - italy;84047.0;italy;fruit | farm | farm holidays | fruit & vegetables | bicycle hire;the company ortofrutta desiderio s.r.l., which operates in the fruit industry. it also operates in the farm, farm holidays, fruit & vegetables, and bicycle hire industries. it is based in capaccio paestum, italy.;11.0;50.0;registered office – parent company;False;;https://www.ortofruttadesiderio.it/;;ortofrutta-desiderio-srl_seac000918873-001
la natura societa' agricola a responsabilita' limitata;agriculture_livestock;fur_farming;;wholesaler;via del frasso, 11 | 82030 dugenta - italy;dugenta - italy;82030.0;italy;fruit | vegetables, edible roots and tubers | farm | organic foods | vegetable plants;the company la natura societa' agricola a responsabilita' limitata, is a wholesaler, founded in 1980, which operates in the fruit industry. it also operates in the vegetables, edible roots and tubers, farm, organic foods, and vegetable plants industries. it is based in dugenta, italy.;11.0;50.0;registered office – parent company;False;1980.0;https://www.facebook.com/la-natura-azienda-agricola-149489048742844/;;la-natura-societa-agricola-a-responsabilita-limitata_seac006912094-001
casearia arnoldi valtaleggio s.r.l.;agriculture_livestock;fur_farming;;;via piazze, 156 | 24010 peghera-taleggio - italy;peghera-taleggio - italy;24010.0;italy;cheese | farm | cheese factories | buffalo-milk mozzarellas | dairies;the company casearia arnoldi valtaleggio s.r.l., which operates in the cheese industry. it also operates in the farm, cheese factories, buffalo-milk mozzarellas, and dairies industries. it is based in peghera-taleggio, italy.;;;registered office – parent company;False;;http://www.arnoldivaltaleggio.it;;casearia-arnoldi-valtaleggio-srl_seac000668105-001
