company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
fermax horse srl;agriculture_livestock;horses_and_donkeys;;manufacturer/ producer;via leonardo da vinci , 4 | 44011 argenta - italy;argenta - italy;44011;italy;horses and donkeys | horse boxes | systems and equipment for stud farms;the company fermax horse srl, is a manufacturer/ producer, which operates in the horses and donkeys industry. it also operates in the horse boxes, and systems and equipment for stud farms industries. it is based in argenta, italy.;11.0;50.0;;False;;https://www.fermaxhorse.it;;fermax-horse-srl_00000005380562-695687001
ariete fattoria latte sano s.p.a.;agriculture_livestock;horses_and_donkeys;;;165 via della muratella | 00148 roma - italy;roma - italy;148;italy;sheep and goats | pigs | horses and donkeys;the company ariete fattoria latte sano s.p.a., founded in 1961, which operates in the sheep and goats industry. it also operates in the pigs, and horses and donkeys industries. it is based in roma, italy.;;;registered office;False;1961.0;https://www.lattesano.it/;;ariete-fattoria-latte-sano-spa_seac000198463-001
san raffaele s.p.a.;agriculture_livestock;horses_and_donkeys;;;1 via di biasio gaetano | 03043 cassino - italy;cassino - italy;3043;italy;horses and donkeys | hospital and medical services | quality control and certification;the company san raffaele s.p.a., founded in 2004, which operates in the horses and donkeys industry. it also operates in the hospital and medical services, and quality control and certification industries. it is based in cassino, italy.;501.0;inf;registered office;False;2004.0;http://www.sanraffaele.it;;san-raffaele-spa_seac001066841-001
pianeta cavallo s.r.l.;agriculture_livestock;horses_and_donkeys;;service provider;99 via lampugnano | 20151 milano - italy;milano - italy;20151;italy;sea & river transport | horses and donkeys | agriculture - import-export;the company pianeta cavallo s.r.l., is a service provider, founded in 1999, which operates in the sea & river transport industry. it also operates in the horses and donkeys, and agriculture - import-export industries. it is based in milano, italy.;;;registered office;False;1999.0;;;pianeta-cavallo-srl_seac003676587-001
setam s.r.l.;agriculture_livestock;horses_and_donkeys;;retailer;san marco | 07022 berchidda - italy;berchidda - italy;7022;italy;cattle | horses and donkeys | pigs;the company setam s.r.l., is a retailer, founded in 1970, which operates in the cattle industry. it also operates in the horses and donkeys, and pigs industries. it is based in berchidda, italy.;;;registered office;False;1970.0;;;setam-srl_seac000038687-001
ricciardi giuseppe;agriculture_livestock;horses_and_donkeys;;;53 via garibaldi | 98070 acquedolci - italy;acquedolci - italy;98070;italy;sheep and goats | pigs | horses and donkeys;the company ricciardi giuseppe, which operates in the sheep and goats industry. it also operates in the pigs, and horses and donkeys industries. it is based in acquedolci, italy.;;;registered office;False;;;;ricciardi-giuseppe_seac006680259-001
istituto zooprofilatico;agriculture_livestock;horses_and_donkeys;;;campo boario | 64100 teramo (te) - italy;teramo (te) - italy;64100;italy;horses and donkeys;the company istituto zooprofilatico, which operates in the horses and donkeys industry. it is based in teramo (te), italy.;201.0;500.0;;False;;http://www.izs.it;;istituto-zooprofilatico_ita067893-00101
associazione nazionale allevatori cavalli purosangue anac;agriculture_livestock;horses_and_donkeys;;;casella gian battista | 20156 milano - italy;milano - italy;20156;italy;professional federations, associations and unions | horses and donkeys | art publishing - products;the company associazione nazionale allevatori cavalli purosangue anac, which operates in the professional federations, associations and unions industry. it also operates in the horses and donkeys, and art publishing - products industries. it is based in milano, italy.;;;registered office;False;;http://www.milanopoloclub.it;;associazione-nazionale-allevatori-cavalli-purosangue-anac_139161518029242-001
snai s.p.a.;agriculture_livestock;horses_and_donkeys;;;provinciale | 24044 dalmine - italy;dalmine - italy;24044;italy;horses and donkeys;the company snai s.p.a., founded in 1990, which operates in the horses and donkeys industry. it is based in dalmine, italy.;;;;False;1990.0;http://www.snai.it;;snai-spa_seac005212908-001
horse2000;agriculture_livestock;horses_and_donkeys;;manufacturer/ producer;via cassia sud | 01100 viterbo - italy;viterbo - italy;1100;italy;horses and donkeys | items for stables;the company horse2000, is a manufacturer/ producer, which operates in the horses and donkeys industry. it also operates in the items for stables industries. it is based in viterbo, italy.;1.0;10.0;;False;;;;horse2000_00000004512117-319916001
associazione dilettantistica equestre le cascine;agriculture_livestock;horses_and_donkeys;;service provider;1 cascina arzona | 20096 pioltello - italy;pioltello - italy;20096;italy;horses and donkeys;the company associazione dilettantistica equestre le cascine, is a service provider, which operates in the horses and donkeys industry. it is based in pioltello, italy.;;;registered office;False;;;;associazione-dilettantistica-equestre-le-cascine_seac003460526-001
