company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
sar import export di sannino roberto;agriculture_livestock;livestock_import_export;;wholesaler;via trincea delle frasche | 09100 cagliari - italy;cagliari - italy;9100;italy;livestock - import-export;the company sar import export di sannino roberto, is a wholesaler, which operates in the livestock - import-export industry. it is based in cagliari, italy.;1.0;10.0;;False;;;;sar-import-export-di-sannino-roberto_00000004628446-435770001
apicoltura il pino;agriculture_livestock;livestock_import_export;;manufacturer/ producer;strada vicinale fonteregina, 185 | gps :43°01'43" 11°55'17"e | 53043 chiusi - italy;chiusi - italy;53043;italy;livestock - import-export;the company apicoltura il pino, is a manufacturer/ producer, founded in 1998, which operates in the livestock - import-export industry. it is based in chiusi, italy.;;;registered office;False;1998.0;http://www.apicolturailpino.it;;apicoltura-il-pino_00000003443349-38784001
rubini giampiero;agriculture_livestock;livestock_import_export;;manufacturer/ producer;str. collerosso | 05035 narni - italy;narni - italy;5035;italy;livestock - import-export | ecological cattle-breeding | agricultural products for zootechnical foods;the company rubini giampiero, is a manufacturer/ producer, which operates in the livestock - import-export industry. it also operates in the ecological cattle-breeding, and agricultural products for zootechnical foods industries. it is based in narni, italy.;1.0;10.0;;False;;;;rubini-giampiero_00000005351428-647119001
j-food srl;agriculture_livestock;livestock_import_export;;wholesaler;via broletto, 46 | 20121 milano - italy;milano - italy;20121;italy;livestock - import-export;the company j-food srl, is a wholesaler, which operates in the livestock - import-export industry. it is based in milano, italy.;1.0;10.0;;False;;https://www.jfood.it;;jfood-srl_ita321269-711926001
cepparo s.p.a.;agriculture_livestock;livestock_import_export;;;58 via cavour | 33030 flaibano - italy;flaibano - italy;33030;italy;agriculture - import-export | horticulture - import-export | livestock - import-export;the company cepparo s.p.a., founded in 1985, which operates in the agriculture - import-export industry. it also operates in the horticulture - import-export, and livestock - import-export industries. it is based in flaibano, italy.;51.0;100.0;registered office;False;1985.0;http://www.cepparo.it;;cepparo-spa_seac000398166-001
artcrafts international s.p.a.;agriculture_livestock;livestock_import_export;;;44 via datini francesco | 50126 firenze - italy;firenze - italy;50126;italy;agriculture - import-export | horticulture - import-export | livestock - import-export;the company artcrafts international s.p.a., founded in 1990, which operates in the agriculture - import-export industry. it also operates in the horticulture - import-export, and livestock - import-export industries. it is based in firenze, italy.;51.0;100.0;registered office;False;1990.0;http://www.artcrafts.it;;artcrafts-international-spa_seac002998133-001
italia impresa s.r.l.;agriculture_livestock;livestock_import_export;;service provider;57 via pasubio | 63074 san benedetto del tronto - italy;san benedetto del tronto - italy;63074;italy;agriculture - import-export | horticulture - import-export | livestock - import-export;the company italia impresa s.r.l., is a service provider, founded in 2001, which operates in the agriculture - import-export industry. it also operates in the horticulture - import-export, and livestock - import-export industries. it is based in san benedetto del tronto, italy.;;;registered office;False;2001.0;;;italia-impresa-srl_seac002111168-001
helix brutia;agriculture_livestock;livestock_import_export;;manufacturer/ producer;c.da dominicelle | 87010 torano castello - italy;torano castello - italy;87010;italy;livestock - import-export | snail breeding | cochlea;the company helix brutia, is a manufacturer/ producer, which operates in the livestock - import-export industry. it also operates in the snail breeding, and cochlea industries. it is based in torano castello, italy.;501.0;inf;;False;;;;helix-brutia_00000004664084-465194001
atel s.r.l.;agriculture_livestock;livestock_import_export;;wholesaler;10 via slovenia | 33100 udine - italy;udine - italy;33100;italy;agriculture - import-export | horticulture - import-export | livestock - import-export;the company atel s.r.l., is a wholesaler, founded in 1972, which operates in the agriculture - import-export industry. it also operates in the horticulture - import-export, and livestock - import-export industries. it is based in udine, italy.;11.0;50.0;registered office;False;1972.0;http://www.atelitalia.com/;;atel-srl_seac000067063-001
veroni;agriculture_livestock;livestock_import_export;;service provider;venturelli don | 41012 carpi (mo) - italy;carpi (mo) - italy;41012;italy;livestock - import-export;the company veroni, is a service provider, which operates in the livestock - import-export industry. it is based in carpi (mo), italy.;;;;False;;;;veroni_ita069332-00101
orlandi alberto;agriculture_livestock;livestock_import_export;;;selva cafaro | bl/3sc.5 | 80143 napoli - italy;napoli - italy;80143;italy;agriculture - import-export | livestock - import-export | import-export - food and agriculture;the company orlandi alberto, which operates in the agriculture - import-export industry. it also operates in the livestock - import-export, and import-export - food and agriculture industries. it is based in napoli, italy.;;;;False;;;;orlandi-alberto_seac005270280-001
ittica sangiorgio s.r.l.;agriculture_livestock;livestock_import_export;;wholesaler;legioni romane | 63023 fermo - italy;fermo - italy;63023;italy;import-export - steels and metals | livestock - import-export | import-export - food and agriculture;the company ittica sangiorgio s.r.l., is a wholesaler, which operates in the import-export - steels and metals industry. it also operates in the livestock - import-export, and import-export - food and agriculture industries. it is based in fermo, italy.;11.0;50.0;registered office;False;;;;ittica-sangiorgio-srl_seac004652587-001
libra italia s.r.l.;agriculture_livestock;livestock_import_export;;service provider;33 via monte cimone | 33100 udine - italy;udine - italy;33100;italy;agriculture - import-export | horticulture - import-export | livestock - import-export;the company libra italia s.r.l., is a service provider, founded in 2002, which operates in the agriculture - import-export industry. it also operates in the horticulture - import-export, and livestock - import-export industries. it is based in udine, italy.;1.0;10.0;registered office;False;2002.0;;;libra-italia-srl_seac000682920-001
