company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
valpolymer s.r.l.;agriculture_livestock;textile_plants;;manufacturer/ producer;1 via alfieri vittorio | 24060 credaro - italy;credaro - italy;24060.0;italy;plastics - industrial raw materials | textile plants | industrial hardware;the company valpolymer s.r.l., is a manufacturer/ producer, founded in 2002, which operates in the plastics - industrial raw materials industry. it also operates in the textile plants, and industrial hardware industries. it is based in credaro, italy.;11.0;50.0;registered office;False;2002.0;http://www.valpolymer.it/;;valpolymer-srl_seac000822345-001
toscana gomma s.p.a.;agriculture_livestock;textile_plants;;manufacturer/ producer;4 via cavalieri di vittorio veneto | 27038 robbio - italy;robbio - italy;27038.0;italy;textile plants | rubber and derivatives | gutta-percha;the company toscana gomma s.p.a., is a manufacturer/ producer, founded in 1945, which operates in the textile plants industry. it also operates in the rubber and derivatives, and gutta-percha industries. it is based in robbio, italy.;;;registered office;False;1945.0;http://www.olmo-group.com;;toscana-gomma-spa_seac001243266-001
mesgo s.p.a.;agriculture_livestock;textile_plants;;manufacturer/ producer;16 via virgilio | 24060 gorlago - italy;gorlago - italy;24060.0;italy;textile plants | seals and packing material | rubber and derivatives;the company mesgo s.p.a., is a manufacturer/ producer, founded in 1996, which operates in the textile plants industry. it also operates in the seals and packing material, and rubber and derivatives industries. it is based in gorlago, italy.;;;registered office;False;1996.0;http://www.mesgo.it;;mesgo-spa_seac000852087-001
flag s.p.a.;agriculture_livestock;textile_plants;;manufacturer/ producer;3 via industriale dell'isola | 24040 chignolo d'isola - italy;chignolo d'isola - italy;24040.0;italy;textile plants | rubber and derivatives | gutta-percha;the company flag s.p.a., is a manufacturer/ producer, founded in 1980, which operates in the textile plants industry. it also operates in the rubber and derivatives, and gutta-percha industries. it is based in chignolo d'isola, italy.;;;registered office;False;1980.0;http://www.paginegialle.it/soprema;;flag-spa_seac001809698-001
zhermack s.p.a.;agriculture_livestock;textile_plants;;;;;;italy;;;;;;False;;;;zhermack-spa_seac000144089-001
c.m.p. s.r.l.;agriculture_livestock;textile_plants;;wholesaler;22 via s. pietro | 26018 trigolo - italy;trigolo - italy;26018.0;italy;textile plants | rubber and derivatives | gutta-percha;the company c.m.p. s.r.l., is a wholesaler, founded in 1989, which operates in the textile plants industry. it also operates in the rubber and derivatives, and gutta-percha industries. it is based in trigolo, italy.;1.0;10.0;registered office;False;1989.0;;;cmp-srl_seac001620637-001
m.a.g.a. s.r.l.;agriculture_livestock;textile_plants;;manufacturer/ producer;17 via bergamo | 20020 lainate - italy;lainate - italy;20020.0;italy;foams, rubber and plastic | textile plants | rubber and derivatives;the company m.a.g.a. s.r.l., is a manufacturer/ producer, founded in 1974, which operates in the foams, rubber and plastic industry. it also operates in the textile plants, and rubber and derivatives industries. it is based in lainate, italy.;;;registered office;False;1974.0;;;maga-srl_seac000636410-001
der - gom s.r.l.;agriculture_livestock;textile_plants;;manufacturer/ producer;3/5 via dei castagni | 23846 garbagnate monastero - italy;garbagnate monastero - italy;23846.0;italy;textile plants | rubber and derivatives | gutta-percha;the company der - gom s.r.l., is a manufacturer/ producer, founded in 1967, which operates in the textile plants industry. it also operates in the rubber and derivatives, and gutta-percha industries. it is based in garbagnate monastero, italy.;11.0;50.0;registered office;False;1967.0;;;der-gom-srl_seac000082062-001
galvan s.r.l. unipersonale;agriculture_livestock;textile_plants;;manufacturer/ producer;96 via nardi | 36060 romano d'ezzelino - italy;romano d'ezzelino - italy;36060.0;italy;textile plants | rubber and derivatives | gutta-percha;the company galvan s.r.l. unipersonale, is a manufacturer/ producer, founded in 2008, which operates in the textile plants industry. it also operates in the rubber and derivatives, and gutta-percha industries. it is based in romano d'ezzelino, italy.;1.0;10.0;registered office;False;2008.0;;;galvan-srl-unipersonale_seac004932787-001
e.m.o. gomma s.a.s. di monfrini sergio & c.;agriculture_livestock;textile_plants;;;32 via alberto da giussano | 20092 cinisello balsamo - italy;cinisello balsamo - italy;20092.0;italy;textile plants | rubber and derivatives | gutta-percha;the company e.m.o. gomma s.a.s. di monfrini sergio & c., founded in 1985, which operates in the textile plants industry. it also operates in the rubber and derivatives, and gutta-percha industries. it is based in cinisello balsamo, italy.;;;registered office;False;1985.0;;;emo-gomma-sas-di-monfrini-sergio-c_seac003336885-001
tenca gomma s.r.l.;agriculture_livestock;textile_plants;;manufacturer/ producer;viale e. mattei | 20010 casorezzo - italy;casorezzo - italy;20010.0;italy;textile plants | rubber and derivatives | gutta-percha;the company tenca gomma s.r.l., is a manufacturer/ producer, founded in 2004, which operates in the textile plants industry. it also operates in the rubber and derivatives, and gutta-percha industries. it is based in casorezzo, italy.;;;;False;2004.0;;;tenca-gomma-srl_seac000963292-001
elastec s.r.l.;agriculture_livestock;textile_plants;;manufacturer/ producer;20 via anassagora | 20128 milano - italy;milano - italy;20128.0;italy;textile plants | rubber and derivatives | tubes and pipes, rubber and plastic;the company elastec s.r.l., is a manufacturer/ producer, founded in 1987, which operates in the textile plants industry. it also operates in the rubber and derivatives, and tubes and pipes, rubber and plastic industries. it is based in milano, italy.;;;registered office;False;1987.0;http://www.elastec.it;;elastec-srl_seac001074708-001
fattoria s. ippolito bicocchi;agriculture_livestock;textile_plants;;;s. ippolito | 56044 pomarance - italy;pomarance - italy;56044.0;italy;textile plants | cereals and grains | fruit;the company fattoria s. ippolito bicocchi, which operates in the textile plants industry. it also operates in the cereals and grains, and fruit industries. it is based in pomarance, italy.;;;registered office;False;;;;fattoria-s-ippolito-bicocchi_seac000943477-001
vincenti giovanni;agriculture_livestock;textile_plants;;;giuoco | 05025 guardea - italy;guardea - italy;5025.0;italy;cereals and grains | fruit | textile plants;the company vincenti giovanni, which operates in the cereals and grains industry. it also operates in the fruit, and textile plants industries. it is based in guardea, italy.;;;;False;;;;vincenti-giovanni_seac004588598-001
madini roberto;agriculture_livestock;textile_plants;;;gabbiana | 46014 castellucchio - italy;castellucchio - italy;46014.0;italy;textile plants | cereals and grains | fruit;the company madini roberto, which operates in the textile plants industry. it also operates in the cereals and grains, and fruit industries. it is based in castellucchio, italy.;;;registered office;False;;;;madini-roberto_seac004249250-001
spaggiari industria gomma s.r.l.;agriculture_livestock;textile_plants;;manufacturer/ producer;90 via carboni | 42045 luzzara - italy;luzzara - italy;42045.0;italy;textile plants | feeds for animal farming | animals & livestock;the company spaggiari industria gomma s.r.l., is a manufacturer/ producer, founded in 1980, which operates in the textile plants industry. it also operates in the feeds for animal farming, and animals & livestock industries. it is based in luzzara, italy.;51.0;100.0;registered office;False;1980.0;http://www.spaggiarigomma.it;;spaggiari-industria-gomma-srl_seac000230811-001
