company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
same snc box prefabbricati noleggio ponteggi;construction_public_works;buildings_prefabricated;;distributor;via giovanni pascoli, 1 | 80026 casoria - italy;casoria - italy;80026.0;italy;buildings, prefabricated | hanging scaffolding | prefabricated sheds | prefabricated one-piece modules | hooks;same rental and sale of prefabs, sheds, one-piece prefabs, site huts, containers, shelters, prefab wcs, construction machinery and equipment, scaffolding, motorised suspended platforms, metal bridges, tower cranes, lifting platforms, mobile scaffolding, fastening systems, tools, workplace safety equipment, road and company signage, office fittings, mezzanines, metal shelving, pallet racks.;;;registered office – parent company;False;;http://www.sameboxprefabbricati.com;;same-snc-box-prefabbricati-noleggio-ponteggi_seac000400374-002
francesco ferrara accardi e figli;construction_public_works;buildings_prefabricated;;wholesaler;zona strada xiii, 40 | 95100 catania - italy;catania - italy;95100.0;italy;concrete, ready-mixed | tar and asphalt - construction materials | buildings, prefabricated | concrete | macadam;the company francesco ferrara accardi & figli is based in syracuse and has been operating for several years in the urbanisation sector producing and laying concrete, asphalt and bitumen. including all the services that are required for road and motorway asphalting such as earthmoving, demolishing, transporting and disposal of waste and aggregates.;;;registered office – parent company;False;;https://www.francescoferraraaccardiefigli-catania.it/;;francesco-ferrara-accardi-e-figli_seac000029636-001
etem srl;construction_public_works;buildings_prefabricated;;manufacturer/ producer;via xxv aprile, 7 | 27010 valle salimbene - italy;valle salimbene - italy;27010.0;italy;buildings, prefabricated | bulletproof doors | blast proof door | safety barriers;the company etem srl, is a manufacturer/ producer, founded in 1980, which operates in the buildings, prefabricated industry. it also operates in the bulletproof doors, blast proof door, and safety barriers industries. it is based in valle salimbene, italy.;;;registered office;False;1980.0;https://www.etem.it/;;etem-srl_seac000201799-001
isocell precompressi spa;construction_public_works;buildings_prefabricated;;manufacturer/ producer;strada provinciale francesca km 7 | 24040 pognano - italy;pognano - italy;24040.0;italy;buildings, prefabricated;the company isocell precompressi spa, is a manufacturer/ producer, which operates in the buildings, prefabricated industry. it is based in pognano, italy.;51.0;100.0;;False;;http://www.isocellitalia.it/;;isocell-precompressi-spa_00000004978798-549557001
precamp srl;construction_public_works;buildings_prefabricated;;manufacturer/ producer;via ghisolfi e guareschi 6 | 43015 noceto - italy;noceto - italy;43015.0;italy;buildings, prefabricated | booths;the company precamp srl, is a manufacturer/ producer, which operates in the buildings, prefabricated industry. it also operates in the booths industries. it is based in noceto, italy.;1.0;10.0;;False;;http://www.precamp.it/it/generale/azienda-precamp;;precamp-srl_00000004556417-439993001
delta s.r.l;construction_public_works;buildings_prefabricated;;manufacturer/ producer;località pontericcioli | 61044 cantiano - italy;cantiano - italy;61044.0;italy;buildings, prefabricated | prefabricated products | shed | industrial prefabricated structures | prefabricated sheds;the company delta s.r.l, is a manufacturer/ producer, which operates in the buildings, prefabricated industry. it also operates in the prefabricated products, shed, industrial prefabricated structures, and prefabricated sheds industries. it is based in cantiano, italy.;;;;False;;http://www.deltaprefabbricati.com;;delta-srl_00000003690963-105291001
marino prefabbricati;construction_public_works;buildings_prefabricated;;manufacturer/ producer;ss16, km 639 - 71016 san severo (fg) | 71016 san severo - italy;san severo - italy;71016.0;italy;buildings, prefabricated | residential prefabricated structures | prefabricated offices | accommodation modules | moduli prefabbricati;the company marino prefabbricati, is a manufacturer/ producer, which operates in the buildings, prefabricated industry. it also operates in the residential prefabricated structures, prefabricated offices, accommodation modules, and moduli prefabbricati industries. it is based in san severo, italy.;;;;False;;https://www.pietraanticaexpo.it;;marino-prefabbricati_00000005485217-001
edilgiara;construction_public_works;buildings_prefabricated;;manufacturer/ producer;via raffaello, 4 | 12049 trinità - italy;trinità - italy;12049.0;italy;buildings, prefabricated;the company edilgiara, is a manufacturer/ producer, which operates in the buildings, prefabricated industry. it is based in trinità, italy.;1.0;10.0;;False;;http://www.edilgiara.it;;edilgiara_00000004614769-425151001
gai ugo consulenze edilizia industriale;construction_public_works;buildings_prefabricated;;service provider;viale delle betulle, 13 | 10048 vinovo - italy;vinovo - italy;10048.0;italy;buildings, prefabricated | prefabricated cement products | modular industrial buildings | industrial sheds | technical consultants on industrial constructions;the company gai ugo consulenze edilizia industriale, is a service provider, founded in 1962, which operates in the buildings, prefabricated industry. it also operates in the prefabricated cement products, modular industrial buildings, industrial sheds, and technical consultants on industrial constructions industries. it is based in vinovo, italy.;1.0;10.0;registered office;False;1962.0;;;gai-ugo-consulenze-edilizia-industriale_00000004621564-430548001
co.pre s.r.l.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;7 via grigna | 22060 figino serenza - italy;figino serenza - italy;22060.0;italy;buildings, prefabricated | precast floor;the company co.pre s.r.l., is a manufacturer/ producer, founded in 1987, which operates in the buildings, prefabricated industry. it also operates in the precast floor industries. it is based in figino serenza, italy.;;;registered office – parent company;False;1987.0;http://www.copresnc.it;;copre-srl_seac000497761-001
eta-box snc;construction_public_works;buildings_prefabricated;;manufacturer/ producer;strada castellana nr. 1206 | 29010 alseno - italy;alseno - italy;29010.0;italy;buildings, prefabricated | office cubicles;the company eta-box snc, is a manufacturer/ producer, which operates in the buildings, prefabricated industry. it also operates in the office cubicles industries. it is based in alseno, italy.;11.0;50.0;;False;;http://www.etabox.com;;etabox-snc_00000004501299-315458001
rinaldi trade service srl;construction_public_works;buildings_prefabricated;;manufacturer/ producer;7 via boves | 60015 falconara marittima - italy;falconara marittima - italy;60015.0;italy;fences and gates | grids, gratings and wire mesh | buildings, prefabricated;the company rinaldi trade service srl, is a manufacturer/ producer, founded in 1977, which operates in the fences and gates industry. it also operates in the grids, gratings and wire mesh, and buildings, prefabricated industries. it is based in falconara marittima, italy.;1.0;10.0;registered office – parent company;False;1977.0;http://www.rinaldirecinzioni.com;;rinaldi-trade-service-srl_seac000284960-001
s.e.p. s.r.l.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;6/a via maccaferri adelfo | 40069 zola predosa - italy;zola predosa - italy;40069.0;italy;fences and gates | buildings, prefabricated | flooring, prefabricated concrete;the company s.e.p. s.r.l., is a manufacturer/ producer, founded in 1962, which operates in the fences and gates industry. it also operates in the buildings, prefabricated, and flooring, prefabricated concrete industries. it is based in zola predosa, italy.;;;registered office;False;1962.0;http://www.seprefabbricati.it;;sep-srl_seac004766508-001
f.lli salvi serr. all. e met. s.r.l.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;2 via roma | 24030 valbrembo - italy;valbrembo - italy;24030.0;italy;windows | doors, house | buildings, prefabricated;the company f.lli salvi serr. all. e met. s.r.l., is a manufacturer/ producer, founded in 1969, which operates in the windows industry. it also operates in the doors, house, and buildings, prefabricated industries. it is based in valbrembo, italy.;;;registered office;False;1969.0;http://www.fllisalvi.com;;flli-salvi-serr-all-e-met-srl_seac000192548-001
adveco s.r.l.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;61 via monte guglielmo | 25069 villa carcina - italy;villa carcina - italy;25069.0;italy;steels and metals - forming and cutting | steels and metals - machining | buildings, prefabricated;the company adveco s.r.l., is a manufacturer/ producer, founded in 1972, which operates in the steels and metals - forming and cutting industry. it also operates in the steels and metals - machining, and buildings, prefabricated industries. it is based in villa carcina, italy.;;;registered office;False;1972.0;http://www.paginebianche.it/adveco-villacarcina;;adveco-srl_seac000140379-001
caoduro s.p.a.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;15 via chiuppese | 36010 monticello conte otto - italy;monticello conte otto - italy;36010.0;italy;windows | buildings, prefabricated | skylights and dormer windows;the company caoduro s.p.a., is a manufacturer/ producer, founded in 1980, which operates in the windows industry. it also operates in the buildings, prefabricated, and skylights and dormer windows industries. it is based in monticello conte otto, italy.;11.0;50.0;registered office;False;1980.0;http://www.caoduro.it/;;caoduro-spa_seac000342641-001
co.mar. di piatti mauro & c. s.a.s.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;128/b corso rosselli carlo e nello | 10129 torino - italy;torino - italy;10129.0;italy;containers | building materials, manufacture - machinery and equipment | buildings, prefabricated;the company co.mar. di piatti mauro & c. s.a.s., is a manufacturer/ producer, founded in 1990, which operates in the containers industry. it also operates in the building materials, manufacture - machinery and equipment, and buildings, prefabricated industries. it is based in torino, italy.;;;registered office;False;1990.0;http://www.paginebianche.it/comarcontainers-torino;;comar-di-piatti-mauro-c-sas_seac001012564-001
strutture s.r.l.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;41 localita' cascina ratto | 15070 tagliolo monferrato - italy;tagliolo monferrato - italy;15070.0;italy;buildings, prefabricated | building materials, manufacture - machinery and equipment | tents and marquees;the company strutture s.r.l., is a manufacturer/ producer, founded in 1992, which operates in the buildings, prefabricated industry. it also operates in the building materials, manufacture - machinery and equipment, and tents and marquees industries. it is based in tagliolo monferrato, italy.;11.0;50.0;registered office;False;1992.0;http://www.strutturesrl.com;;strutture-srl_seac000867423-001
prefabbricati d.l. s.r.l.;construction_public_works;buildings_prefabricated;;;km. 27.500 strada statale 265 | 81025 marcianise - italy;marcianise - italy;81025.0;italy;sun protection, interior and exterior | stairs and handrails | buildings, prefabricated;the company prefabbricati d.l. s.r.l., founded in 1987, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and buildings, prefabricated industries. it is based in marcianise, italy.;;;registered office;False;1987.0;http://www.prefabbricatidl.it;;prefabbricati-dl-srl_seac000486614-001
atsbox s.r.l.;construction_public_works;buildings_prefabricated;;;12 via dei cavalieri di malta | 34015 muggia - italy;muggia - italy;34015.0;italy;building materials, manufacture - machinery and equipment | containers | buildings, prefabricated;the company atsbox s.r.l., founded in 2008, which operates in the building materials, manufacture - machinery and equipment industry. it also operates in the containers, and buildings, prefabricated industries. it is based in muggia, italy.;;;registered office;False;2008.0;http://www.atsbox.it;;atsbox-srl_seac000208519-001
milae medical s.n.c.;construction_public_works;buildings_prefabricated;;service provider;contrada s. biagio | 98045 san pier niceto - italy;san pier niceto - italy;98045.0;italy;trade fairs and exhibitions - stand fittings | buildings, prefabricated | cleaning services;the company milae medical s.n.c., is a service provider, founded in 1989, which operates in the trade fairs and exhibitions - stand fittings industry. it also operates in the buildings, prefabricated, and cleaning services industries. it is based in san pier niceto, italy.;;;registered office;False;1989.0;http://www.paginebianche.it/milaeservizi-sanpierniceto;;milae-medical-snc_seac000472228-001
f.b.m. s.p.a.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;via xxiv maggio | 06055 marsciano - italy;marsciano - italy;6055.0;italy;concrete products and conglomerates | buildings, prefabricated | bricks;the company f.b.m. s.p.a., is a manufacturer/ producer, founded in 1906, which operates in the concrete products and conglomerates industry. it also operates in the buildings, prefabricated, and bricks industries. it is based in marsciano, italy.;;;registered office;False;1906.0;http://www.fbm.it;;fbm-spa_seac000076992-001
antonio basso s.p.a.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;79/a via castagnole | 31100 treviso - italy;treviso - italy;31100.0;italy;buildings, prefabricated | panels, wood | structural work;the company antonio basso s.p.a., is a manufacturer/ producer, founded in 1991, which operates in the buildings, prefabricated industry. it also operates in the panels, wood, and structural work industries. it is based in treviso, italy.;51.0;100.0;registered office;False;1991.0;http://www.basso.it;;antonio-basso-spa_seac000692890-001
pre - ver di recchia corrado e c. s.n.c.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;6 via torricelli evangelista | 37066 sommacampagna - italy;sommacampagna - italy;37066.0;italy;buildings, prefabricated | sheds, construction site | garden sheds;the company pre - ver di recchia corrado e c. s.n.c., is a manufacturer/ producer, founded in 1984, which operates in the buildings, prefabricated industry. it also operates in the sheds, construction site, and garden sheds industries. it is based in sommacampagna, italy.;;;registered office;False;1984.0;https://www.preverprefabbricati.com/;;pre-ver-di-recchia-corrado-e-c-snc_seac000495274-001
cesa s.r.l.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;11 via navedano | 22060 cucciago - italy;cucciago - italy;22060.0;italy;sun protection, interior and exterior | stairs and handrails | buildings, prefabricated;the company cesa s.r.l., is a manufacturer/ producer, founded in 1987, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and buildings, prefabricated industries. it is based in cucciago, italy.;11.0;50.0;registered office;False;1987.0;http://www.ispezionitelevisive.it;;cesa-srl_seac000498430-001
nuova migas s.r.l.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;80 via bergamo | 23807 merate - italy;merate - italy;23807.0;italy;garages and service stations - equipment and installations | buildings, prefabricated | buildings, modular;the company nuova migas s.r.l., is a manufacturer/ producer, founded in 2005, which operates in the garages and service stations - equipment and installations industry. it also operates in the buildings, prefabricated, and buildings, modular industries. it is based in merate, italy.;;;registered office;False;2005.0;http://nuovamigaslpg.com;;nuova-migas-srl_seac000812206-001
cazzorla manufatti s.r.l.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;2 contrada pozzo vivo | 70044 polignano a mare - italy;polignano a mare - italy;70044.0;italy;sun protection, interior and exterior | stairs and handrails | buildings, prefabricated;the company cazzorla manufatti s.r.l., is a manufacturer/ producer, founded in 2001, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and buildings, prefabricated industries. it is based in polignano a mare, italy.;;;registered office;False;2001.0;https://www.cazzorlamanufatti.it/;;cazzorla-manufatti-srl_seac001009013-001
soc. alfio s.r.l.;construction_public_works;buildings_prefabricated;;;via montemurlo | 59100 prato - italy;prato - italy;59100.0;italy;buildings, prefabricated | sheds, construction site | garden sheds;the company soc. alfio s.r.l., founded in 1996, which operates in the buildings, prefabricated industry. it also operates in the sheds, construction site, and garden sheds industries. it is based in prato, italy.;;;registered office;False;1996.0;http://www.paginegialle.it/bigmatalfaedilsrl_lbllef;;soc-alfio-srl_seac006245644-001
babetto giancarlo s.r.l.;construction_public_works;buildings_prefabricated;;manufacturer/ producer;8 vicolo gela | 35020 albignasego - italy;albignasego - italy;35020.0;italy;garages and service stations - equipment and installations | buildings, prefabricated | engineering - industrial contractors;the company babetto giancarlo s.r.l., is a manufacturer/ producer, founded in 1991, which operates in the garages and service stations - equipment and installations industry. it also operates in the buildings, prefabricated, and engineering - industrial contractors industries. it is based in albignasego, italy.;11.0;50.0;registered office;False;1991.0;http://www.paginebianche.it/giancarlobabettodistributoridicarburante-albignasego;;babetto-giancarlo-srl_seac000747270-001
