company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
flessya srl;construction_public_works;doors_house;;manufacturer/ producer;via dell' artigianato 13 | 60030 monte roberto - italy;monte roberto - italy;60030;italy;doors, house | interior doors for houses | interior doors | sliding doors | custom-made doors | sectional doors | wooden door | glass doors | pocket doors | veneered door;flessya benefits from an industrial estate with excellent infrastructure and connections. high tech meets a passion for wood. a path with two goals: to satisfy the specific requirements of its customers as fast as possible and plan production in line with the need to manage the work flow in small batches. flessya guarantees rapid delivery times as well as production tailored to the customer, with particular attention to finishes and the quality of materials.;;;registered office – parent company;True;2005.0;https://www.flessya.com, https://www.flessya.com/trova-porta/, https://www.flessya.com/area-flessya/;;flessya-srl_seac003605559-001
f.lli pietrelli s.r.l.;construction_public_works;doors_house;;manufacturer/ producer;via dino vampa, 18 | 61031 fano - italy;fano - italy;61031;italy;doors, house | door and window | design and architecture;the company f.lli pietrelli (in italian “pietrelli brothers”) exists since 1960, when the pietrelli brothers guido and leandro opened a small 100 sq.m. workshop in bellocchi di fano (marche region, italy) to produce and sell any handmade wooden frame. later, due to excellent quality achievements, they decided to specialize on wooden doors only, and they created the trademark pietrelli porte (in italian “pietrelli doors”). preserving a family-based management and its handicraft nature, f.lli pietrelli s.r.l. (certified uni en iso 9001: 2000) has become a large-sized firm, and today it extends over a covered area of 15.000 sq.m. and it employs more than 40 people. building on more than 50 years of experience and high-quality production (100% made in italy), the company is now a leader in the international market of design-oriented building contractors. producing for the customer and not for the market is the company philosophy.;11.0;50.0;registered office – parent company;False;1960.0;http://pietrelliporte.it/default.asp?lang=en;;flli-pietrelli-srl_ita320548-18871001
invisible-door.com;construction_public_works;doors_house;;manufacturer/ producer;via roma 234 - | 59100 prato - italy;prato - italy;59100;italy;interior doors for houses | hinged doors | sliding doors | access panels | invisible wardrobes;invisible-door sells directly online flush to the wall sliding doors, frameless hinged doors, invisible wardrobes and invisible access panel.;11.0;50.0;;False;;http://www.invisible-door.com;;invisibledoorcom_00000005256624-571721001
style's door srl;construction_public_works;doors_house;;manufacturer/ producer;11, v. trapani | 90047 partinico - italy;partinico - italy;90047;italy;doors, house | folding door | custom-made hand-crafted doors | interior doors | custom-made armoured doors;the company's structure and the leading-edge tooling have enabled it to develop its production constantly in a qualitative manner, while continuing to offer keen prices on the market. leading manufacturer and installer of doors made from stratified materials.;1.0;10.0;;False;;http://www.stylesdoor.com;;styles-door-srl_seac004975299-002
cidienne s.r.l.;construction_public_works;doors_house;;distributor;verona | 31046 oderzo - italy;oderzo - italy;31046;italy;roofing materials | doors, house | plasterboard panels | suspended ceiling panels | insulating panels;the company cidienne s.r.l., is a distributor, founded in 1986, which operates in the roofing materials industry. it also operates in the doors, house, plasterboard panels, suspended ceiling panels, and insulating panels industries. it is based in oderzo, italy.;1.0;10.0;registered office;False;1986.0;http://www.cidienne.it;;cidienne-srl_seac002232636-001
ottaviani rappresentanze;construction_public_works;doors_house;;agent/ representative;via pesaro, 39 | 62018 potenza picena - italy;potenza picena - italy;62018;italy;doors, house | lifts;the company ottaviani rappresentanze, is a agent/ representative, which operates in the doors, house industry. it also operates in the lifts industries. it is based in potenza picena, italy.;1.0;10.0;;False;;http://www.ottavianirappresentanze.it/;;ottaviani-rappresentanze_00000004629865-437775001
invita di pantucci gian carlo;construction_public_works;doors_house;;manufacturer/ producer;via del progresso, 5 | 47838 riccione - italy;riccione - italy;47838;italy;doors, house | hospital doors;the company invita di pantucci gian carlo, is a manufacturer/ producer, founded in 1998, which operates in the doors, house industry. it also operates in the hospital doors industries. it is based in riccione, italy.;1.0;10.0;registered office;False;1998.0;http://www.obloperporte.it;;invita-di-pantucci-gian-carlo_00000003850577-153074001
falegnameria veneta;construction_public_works;doors_house;;;via roma, 40 | 36035 marano vicentino (vi) - italy;marano vicentino (vi) - italy;36035;italy;joinery and carpentry - works | windows | doors, house | stairs and handrails;the company falegnameria veneta, founded in 2008, which operates in the joinery and carpentry - works industry. it also operates in the windows, doors, house, and stairs and handrails industries. it is based in marano vicentino (vi), italy.;;;;False;2008.0;http://www.falegnameriaveneta.com;;falegnameria-veneta_ita318746-00101
c.p. system s.n.c.;construction_public_works;doors_house;;service provider;33/35 r via ursone da sestri | 16154 genova - italy;genova - italy;16154;italy;windows | doors, house | frame and joinery;the company c.p. system s.n.c., is a service provider, founded in 1996, which operates in the windows industry. it also operates in the doors, house, and frame and joinery industries. it is based in genova, italy.;;;registered office;False;1996.0;http://www.paginegialle.it/cpsystemserramenti;;cp-system-snc_seac000891268-001
vetral roma s.r.l.;construction_public_works;doors_house;;manufacturer/ producer;48 via borgia stefano | 00168 roma - italy;roma - italy;168;italy;windows | doors, house | glass;the company vetral roma s.r.l., is a manufacturer/ producer, founded in 1986, which operates in the windows industry. it also operates in the doors, house, and glass industries. it is based in roma, italy.;;;registered office;False;1986.0;http://www.vetralroma.it;;vetral-roma-srl_seac000449674-001
bertolotto porte s.p.a.;construction_public_works;doors_house;;manufacturer/ producer;43/45 via circ. giolitti | 12030 torre san giorgio - italy;torre san giorgio - italy;12030;italy;doors, house | exterior doors for houses | interior doors for houses;the company bertolotto porte s.p.a., is a manufacturer/ producer, founded in 2000, which operates in the doors, house industry. it also operates in the exterior doors for houses, and interior doors for houses industries. it is based in torre san giorgio, italy.;;;registered office;False;2000.0;http://www.bertolottoporte.com;;bertolotto-porte-spa_seac000794466-001
r.s.t.;construction_public_works;doors_house;;;14 via battaglione susa | 29122 piacenza - italy;piacenza - italy;29122;italy;windows | doors, house | mosquito nets for windows;the company r.s.t., founded in 1979, which operates in the windows industry. it also operates in the doors, house, and mosquito nets for windows industries. it is based in piacenza, italy.;;;registered office;False;1979.0;http://www.mpinfissi.it;;rst_seac000089932-001
serromarche s.r.l.;construction_public_works;doors_house;;manufacturer/ producer;umbria | 62014 corridonia - italy;corridonia - italy;62014;italy;windows | doors, house | frame and joinery;the company serromarche s.r.l., is a manufacturer/ producer, founded in 2008, which operates in the windows industry. it also operates in the doors, house, and frame and joinery industries. it is based in corridonia, italy.;;;registered office;False;2008.0;http://www.serromarche.it;;serromarche-srl_seac004772604-001
stil legno s.r.l.;construction_public_works;doors_house;;retailer;73/b via de gasperi alcide | 74023 grottaglie - italy;grottaglie - italy;74023;italy;doors, house | exterior doors for houses | interior doors for houses;the company stil legno s.r.l., is a retailer, founded in 2002, which operates in the doors, house industry. it also operates in the exterior doors for houses, and interior doors for houses industries. it is based in grottaglie, italy.;;;registered office;False;2002.0;http://www.paginegialle.it/stil-legno-di-giovanni-ancona-legnami-fai-date-e-bricolage;;stil-legno-srl_seac000284596-001
basile michele & c.;construction_public_works;doors_house;;subcontractor;25/bis via aereoporto | 81043 capua - italy;capua - italy;81043;italy;glass | doors, house | plate glass and mirrors;the company basile michele & c., is a subcontractor, founded in 1985, which operates in the glass industry. it also operates in the doors, house, and plate glass and mirrors industries. it is based in capua, italy.;11.0;50.0;registered office;False;1985.0;http://www.basilevetri.it;;basile-michele-c_seac000445161-001
