company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
giovi s.r.l.;construction_public_works;doors_industrial;;manufacturer/ producer;strada asti alba, 5 | 14057 isola d'asti - italy;isola d'asti - italy;14057;italy;doors, industrial | security doors | industrial doors | rapid opening doors | sectional doors;giovi s.r.l. is a fresh, dynamic company founded in 1987 by the rosso family with the aim of establishing a manufacturer with comptence to match those in the area of electrical panels for controlling machinery. for the best possible response to market demand, it began in production of high-speed industrial doors as giovidoors, assisted by staff with over 20 years of experience in the sector. the product range is designed and built to satisfy different requirements: heavy industry, food, logistics, overhead cranes, measurements and testing laboratories, automotive, composting, car washes, construction sites, hospitals and controlled temperature environments.;;;registered office – parent company;False;1987.0;https://www.giovi.com/;;giovi-srl_seac001013995-001
moreschi industrial doors;construction_public_works;doors_industrial;;manufacturer/ producer;via lodi 29 | 24040 arzago d'adda - italy;arzago d'adda - italy;24040;italy;spar gates, industrial | doors, industrial | rapid opening doors | industrial front doors;the company moreschi industrial doors, is a manufacturer/ producer, founded in 1967, which operates in the spar gates, industrial industry. it also operates in the doors, industrial, rapid opening doors, and industrial front doors industries. it is based in arzago d'adda, italy.;11.0;50.0;registered office – parent company;False;1967.0;https://www.moreschisrl.it;;moreschi-industrial-doors_00000005472545-848264001
thermicroll - industrial doors;construction_public_works;doors_industrial;;manufacturer/ producer;viale artigianale 5 | 12040 vezza d'alba - italy;vezza d'alba - italy;12040;italy;doors, industrial | rapid scrolling doors | roller and air-tight doors | industrial doors | sectional doors;the company thermicroll - industrial doors, is a manufacturer/ producer, which operates in the doors, industrial industry. it also operates in the rapid scrolling doors, roller and air-tight doors, industrial doors, and sectional doors industries. it is based in vezza d'alba, italy.;11.0;50.0;;False;;http://www.thermicroll.com;;thermicroll-industrial-doors_00000004629252-436939001
faac spa;construction_public_works;doors_industrial;;manufacturer/ producer;via calari, 10 | 40069 zola predosa - italy;zola predosa - italy;40069;italy;doors, industrial | access control - systems and equipment | robot control of barriers;the company faac spa, is a manufacturer/ producer, founded in 1965, which operates in the doors, industrial industry. it also operates in the access control - systems and equipment, and robot control of barriers industries. it is based in zola predosa, italy.;501.0;inf;registered office – parent company;False;1965.0;http://www.faacgroup.com;;faac-spa_00000003648547-00101
giovi srl;construction_public_works;doors_industrial;;manufacturer/ producer;strada asti-alba, 5/a | 14057 isola d'asti - italy;isola d'asti - italy;14057;italy;doors, industrial;the company giovi srl, is a manufacturer/ producer, founded in 1993, which operates in the doors, industrial industry. it is based in isola d'asti, italy.;51.0;100.0;registered office;False;1993.0;https://www.giovidoors.com;;giovi-srl_00000005478015-001
evo group srl;construction_public_works;doors_industrial;;manufacturer/ producer;via mozart, 29 | 41122 modena - italy;modena - italy;41122;italy;doors, industrial;the company evo group srl, is a manufacturer/ producer, which operates in the doors, industrial industry. it is based in modena, italy.;1.0;10.0;;False;;http://www.evo-group.eu;;evo-group-srl_00000004653685-456130001
asia global service srl;construction_public_works;doors_industrial;;service provider;via monte acuto, 51 | 06034 foligno - italy;foligno - italy;6034;italy;doors, industrial | electrical systems | erection and dismantling of industrial plants | robot control of barriers | cctv alarm systems and video recording;the company asia global service srl, is a retailer, which operates in the doors, industrial industry. it also operates in the electrical systems, erection and dismantling of industrial plants, robot control of barriers, and cctv alarm systems and video recording industries. it is based in foligno, italy.;501.0;inf;registered office;False;;http://www.asiaglobalservice.it;;asia-global-service-srl_00000004525254-328029001
misa automazione srl;construction_public_works;doors_industrial;;manufacturer/ producer;via risorgimento 54 | 20017 rho - italy;rho - italy;20017;italy;doors, industrial | rapid opening doors | rapid scrolling doors | vertical roll up doors;the company misa automazione srl, is a manufacturer/ producer, which operates in the doors, industrial industry. it also operates in the rapid opening doors, rapid scrolling doors, and vertical roll up doors industries. it is based in rho, italy.;11.0;50.0;;False;;https://www.coil.it;;misa-automazione-srl_00000005421127-757540001
mi.ra montaggi industriali sas;construction_public_works;doors_industrial;;retailer;via nazionale 153 | 64026 roseto degli abruzzi - italy;roseto degli abruzzi - italy;64026;italy;doors, industrial | industrial gates | gate automation kits | sectional doors | folding doors;the company mi.ra montaggi industriali sas, is a retailer, which operates in the doors, industrial industry. it also operates in the industrial gates, gate automation kits, sectional doors, and folding doors industries. it is based in roseto degli abruzzi, italy.;1.0;10.0;;False;;;;mira-montaggi-industriali-sas_00000004530240-332909001
vieffe s.a.s. di facchi v. e c;construction_public_works;doors_industrial;;manufacturer/ producer;83 via industria | 25030 torbole casaglia - italy;torbole casaglia - italy;25030;italy;doors, industrial;the company vieffe s.a.s. di facchi v. e c, is a manufacturer/ producer, founded in 2001, which operates in the doors, industrial industry. it is based in torbole casaglia, italy.;1.0;10.0;registered office – parent company;False;2001.0;http://www.vieffechiusure.it;;vieffe-sas-di-facchi-v-e-c_seac002629089-001
