company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
m.m. grigliati;construction_public_works;fences_and_gates;;manufacturer/ producer;via zanussi antonio, 300/302 | 33100 udine - italy;udine - italy;33100;italy;sections and bars - non-ferrous metal | handrails and bannisters | gratings | railings | fencing;m.m. has been operating in the frp (fibreglass reinforced plastic) sector for 40 years, manufacturing high-quality gratings, profiles and composite structures. frp's intrinsic properties (e.g. corrosion resistant, non-magnetic, electrical insulation and no maintenance) make it highly versatile. iso 9001: 2015 bureau veritas certification.;11.0;50.0;registered office;False;1977.0;https://www.mmgrigliati.com;;mm-grigliati_seac000116927-001
quattroeffe di francini ruggero & c. s.n.c.;construction_public_works;fences_and_gates;;manufacturer/ producer;12/a via lizzadri oreste | 53049 torrita di siena - italy;torrita di siena - italy;53049;italy;frame and joinery | fences and gates | copper gutters | special steel structures | staircase;the company quattroeffe di francini ruggero & c. s.n.c., is a manufacturer/ producer, founded in 2010, which operates in the frame and joinery industry. it also operates in the fences and gates, copper gutters, special steel structures, and staircase industries. it is based in torrita di siena, italy.;1.0;10.0;registered office;False;2010.0;http://www.quattroeffe.org;;quattroeffe-di-francini-ruggero-c-snc_seac005275387-001
grigliato lombardo s.r.l.;construction_public_works;fences_and_gates;;manufacturer/ producer;via per cascina serinda | 20018 sedriano - italy;sedriano - italy;20018;italy;fences and gates | metal railings for the building trade | tier | gratings;the company grigliato lombardo s.r.l., is a manufacturer/ producer, founded in 2003, which operates in the fences and gates industry. it also operates in the metal railings for the building trade, tier, and gratings industries. it is based in sedriano, italy.;1.0;10.0;registered office;False;2003.0;http://www.grigliatolombardo.it;;grigliato-lombardo-srl_seac002941054-001
tagliabue f.lli s.n.c. di elio e carlo tagliabue;construction_public_works;fences_and_gates;;manufacturer/ producer;24 via bellini vincenzo | 20823 lentate sul seveso - italy;lentate sul seveso - italy;20823;italy;frameworks, lightweight - metal | fences and gates | security railings | shutters made-to-measure | wrought iron railing;the company tagliabue f.lli s.n.c. di elio e carlo tagliabue, is a manufacturer/ producer, founded in 1971, which operates in the frameworks, lightweight - metal industry. it also operates in the fences and gates, security railings, shutters made-to-measure, and wrought iron railing industries. it is based in lentate sul seveso, italy.;1.0;10.0;registered office – parent company;False;1971.0;http://www.tagliabuefratelli.com;;tagliabue-flli-snc-di-elio-e-carlo-tagliabue_seac001512354-001
betafence;construction_public_works;fences_and_gates;;manufacturer/ producer;via c. da salinello 59 italia | 64018 tortoreto - italy;tortoreto - italy;64018;italy;fences and gates | metal fences | trellis panel | folding gates | galvanised grates;the company betafence, is a manufacturer/ producer, which operates in the fences and gates industry. it also operates in the metal fences, trellis panel, folding gates, and galvanised grates industries. it is based in tortoreto, italy.;501.0;inf;;False;;https://www.betafence.it/it;;betafence_00000005460684-828391001
mafer cancelli, recinzioni, inferriate, ringhiere;construction_public_works;fences_and_gates;;retailer;via marzocchi, 29/c | 40017 san giovanni in persiceto - italy;san giovanni in persiceto - italy;40017;italy;fences and gates | gates | fencing | security railings | railings;the company mafer cancelli, recinzioni, inferriate, ringhiere, is a retailer, which operates in the fences and gates industry. it also operates in the gates, fencing, security railings, and railings industries. it is based in san giovanni in persiceto, italy.;1.0;10.0;;False;;https://www.mafercancelli.com/;;mafer-cancelli-recinzioni-inferriate-ringhiere_00000005454445-799473001
fibas srl;construction_public_works;fences_and_gates;;manufacturer/ producer;v. casteggio 3 | 21052 busto arsizio - italy;busto arsizio - italy;21052;italy;fences and gates | blacksmithing | certified metal carpentry | panel - finishing | metal supporting bars;the company fibas srl, is a manufacturer/ producer, founded in 1999, which operates in the fences and gates industry. it also operates in the blacksmithing, certified metal carpentry, panel - finishing, and metal supporting bars industries. it is based in busto arsizio, italy.;1.0;10.0;registered office – parent company;False;1999.0;http://www.fabbrofibas.com;;fibas-srl_00000004548713-469825001
cmc group srls;construction_public_works;fences_and_gates;;manufacturer/ producer;via monte fiorino 1 | 37057 san giovanni lupatoto - italy;san giovanni lupatoto - italy;37057;italy;fences and gates | gates | fencing installed for the building trade | design of custom fencing | security railings;the company cmc group srls, is a manufacturer/ producer, which operates in the fences and gates industry. it also operates in the gates, fencing installed for the building trade, design of custom fencing, and security railings industries. it is based in san giovanni lupatoto, italy.;11.0;50.0;;False;;https://www.cmcgrouprecinzioni.com/;;cmc-group-srls_00000005394700-717539001
carpenteria srl;construction_public_works;fences_and_gates;;manufacturer/ producer;viale dei cerri, 75 | 20023 cerro maggiore - italy;cerro maggiore - italy;20023;italy;steel & metals | fences and gates | blacksmithing | structural metalwork | lock assembly;the company carpenteria srl, is a manufacturer/ producer, which operates in the steel & metals industry. it also operates in the fences and gates, blacksmithing, structural metalwork, and lock assembly industries. it is based in cerro maggiore, italy.;1.0;10.0;registered office;False;;http://www.cabcarpenteriasrl.com;;carpenteria-srl_00000004655436-457358001
mdfsystem;construction_public_works;fences_and_gates;;service provider;via dei caraceni | 67031 castel di sangro - italy;castel di sangro - italy;67031;italy;fences and gates;the company mdfsystem, is a service provider, founded in 2008, which operates in the fences and gates industry. it is based in castel di sangro, italy.;11.0;50.0;registered office – parent company;False;2008.0;http://mdfsystem.com;;mdfsystem_00000005310875-616457001
antonello lavorazione metalli;construction_public_works;fences_and_gates;;manufacturer/ producer;59 via postumia ovest | 31048 san biagio di callalta - italy;san biagio di callalta - italy;31048;italy;steels and metals - machining | fences and gates | security railings | stainless steel railing | metal structural work;the company antonello lavorazione metalli, is a manufacturer/ producer, which operates in the steels and metals - machining industry. it also operates in the fences and gates, security railings, stainless steel railing, and metal structural work industries. it is based in san biagio di callalta, italy.;;;registered office – parent company;False;;;;antonello-lavorazione-metalli_seac000697613-001
a.c. automazioni s.r.l.s;construction_public_works;fences_and_gates;;distributor;via fiume, 2 | 31038 castagnole di paese - italy;castagnole di paese - italy;31038;italy;fences and gates | doors and gates, automatic and access control | automatic gate installation | tilting door automation | sectional doors;the company a.c. automazioni s.r.l.s, is a distributor, which operates in the fences and gates industry. it also operates in the doors and gates, automatic and access control, automatic gate installation, tilting door automation, and sectional doors industries. it is based in castagnole di paese, italy.;1.0;10.0;;False;;http://www.acautomazioni.com/;;ac-automazioni-srls_00000004666381-467443001
metaltopp srl;construction_public_works;fences_and_gates;;manufacturer/ producer;v malignani 48 | 33031 basiliano - italy;basiliano - italy;33031;italy;fences and gates | certified company;the company metaltopp srl, is a manufacturer/ producer, which operates in the fences and gates industry. it also operates in the certified company industries. it is based in basiliano, italy.;501.0;inf;;False;;http://metaltopp.com;;metaltopp-srl_00000004671148-472493001
trombini franco;construction_public_works;fences_and_gates;;;38 via castiglione della pescaia | 46027 san benedetto po - italy;san benedetto po - italy;46027;italy;fences and gates | doors and gates, automatic and access control | locking and closing systems, automatic;the company trombini franco, founded in 1979, which operates in the fences and gates industry. it also operates in the doors and gates, automatic and access control, and locking and closing systems, automatic industries. it is based in san benedetto po, italy.;;;registered office;False;1979.0;https://www.automazionitrombini.it/;;trombini-franco_seac000131314-001
impianti elettrici di beltempo marco;construction_public_works;fences_and_gates;;;16 colle giacinto | 00039 zagarolo - italy;zagarolo - italy;00039;italy;automation - systems and equipment | fences and gates | doors and gates, automatic and access control;the company impianti elettrici di beltempo marco, founded in 2003, which operates in the automation - systems and equipment industry. it also operates in the fences and gates, and doors and gates, automatic and access control industries. it is based in zagarolo, italy.;;;registered office;False;2003.0;https://www.impiantielettricimarcobeltempo.it/;;impianti-elettrici-di-beltempo-marco_seac004671962-001
gvf elettronica s.r.l.;construction_public_works;fences_and_gates;;service provider;36/a via orlando vittorio emanuele | 43126 parma - italy;parma - italy;43126;italy;fences and gates | alarms and surveillance - systems and equipment | doors and gates, automatic and access control;the company gvf elettronica s.r.l., is a service provider, founded in 1983, which operates in the fences and gates industry. it also operates in the alarms and surveillance - systems and equipment, and doors and gates, automatic and access control industries. it is based in parma, italy.;;;registered office;False;1983.0;http://www.gvfelettronica.it;;gvf-elettronica-srl_seac000219994-001
