company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
il camino di spina rosario;construction_public_works;fireplaces_and_stoves_ornamental_and_accessories;;distributor;247, v. etnea | 95030 tremestieri etneo - italy;tremestieri etneo - italy;95030;italy;fireplaces and stoves, ornamental and accessories | stoves, heating | stoves | fireplaces | pellet heaters;it is in tremestieri etneo town centre that this new, exclusive point of sale has been set up, specialising in the sale and installation of the best brands of fireplaces, pellet and wood burning stoves, barbecues and ovens. we invite you to vist our showroom where our qualified staff will be pleased to help you choose the solution that best suits you and your technical and decorative requirements. a vast range of traditional and designer products to make your home even more beautiful and welcoming.;;;;False;;http://www.ilcaminodispina.com;;il-camino-di-spina-rosario_seac004737599-001
caminetti aliberti promoter guglielmo casciano;construction_public_works;fireplaces_and_stoves_ornamental_and_accessories;;agent/ representative;cell. 3391325738 via c/da campo sportivo | 98059 rodi'-milici - italy;rodi'-milici - italy;98059;italy;fireplaces and stoves, ornamental and accessories;the company caminetti aliberti promoter guglielmo casciano, is a agent/ representative, which operates in the fireplaces and stoves, ornamental and accessories industry. it is based in rodi'-milici, italy.;11.0;50.0;;False;;https://www.caminettialiberti.it;;caminetti-aliberti-promoter-guglielmo-casciano_00000005397223-722910001
gabellini giuseppe;construction_public_works;fireplaces_and_stoves_ornamental_and_accessories;;manufacturer/ producer;via vittorio veneto 43 | 61022 colbordolo di vallefoglia - italy;colbordolo di vallefoglia - italy;61022;italy;fireplaces and stoves, ornamental and accessories | ovens, wood-burning - professional | wooden pizza ovens | wood-fired boilers | wood stoves for civil use;the company gabellini giuseppe, is a manufacturer/ producer, founded in 1973, which operates in the fireplaces and stoves, ornamental and accessories industry. it also operates in the ovens, wood-burning - professional, wooden pizza ovens, wood-fired boilers, and wood stoves for civil use industries. it is based in colbordolo di vallefoglia, italy.;1.0;10.0;registered office;False;1973.0;http://www.gabelliniforni.com;;gabellini-giuseppe_seac000014908-001
facchi srl;construction_public_works;fireplaces_and_stoves_ornamental_and_accessories;;manufacturer/ producer;via ing. balduzzi, 11 | 24023 clusone - italy;clusone - italy;24023;italy;fireplaces and stoves, ornamental and accessories | fireplaces and stoves | stoves | fireplaces | smoke ducts;the company facchi srl, is a manufacturer/ producer, which operates in the fireplaces and stoves, ornamental and accessories industry. it also operates in the fireplaces and stoves, stoves, fireplaces, and smoke ducts industries. it is based in clusone, italy.;11.0;50.0;;False;;https://www.facchicamini.it;;facchi-srl_00000005361069-660016001
duegi;construction_public_works;fireplaces_and_stoves_ornamental_and_accessories;;distributor;via l. da vinci, 1 | 35040 sant'elena - italy;sant'elena - italy;35040;italy;fireplaces and stoves, ornamental and accessories | gas - domestic boilers | fireplaces and stoves | fireplace installation | ecological kitchen;the company duegi, is a distributor, which operates in the fireplaces and stoves, ornamental and accessories industry. it also operates in the gas - domestic boilers, fireplaces and stoves, fireplace installation, and ecological kitchen industries. it is based in sant'elena, italy.;;;;False;;http://www.stufecaminettiduegi.com;;duegi_00000004530656-333527001
jolly mec;construction_public_works;fireplaces_and_stoves_ornamental_and_accessories;;distributor;via s. giuseppe 2 | 24060 telgate - italy;telgate - italy;24060;italy;fireplaces and stoves, ornamental and accessories;the company jolly mec, is a distributor, founded in 1968, which operates in the fireplaces and stoves, ornamental and accessories industry. it is based in telgate, italy.;1.0;10.0;registered office – parent company;False;1968.0;http://jolly-mec.it;;jolly-mec_00000005257969-572495001
giovanni crivelli s.r.l.;construction_public_works;fireplaces_and_stoves_ornamental_and_accessories;;service provider;4 via bonsignora | 21052 busto arsizio - italy;busto arsizio - italy;21052;italy;parquet floors | bathrooms - furniture and fittings | fireplaces and stoves, ornamental and accessories;the company giovanni crivelli s.r.l., is a service provider, founded in 1910, which operates in the parquet floors industry. it also operates in the bathrooms - furniture and fittings, and fireplaces and stoves, ornamental and accessories industries. it is based in busto arsizio, italy.;11.0;50.0;registered office;False;1910.0;http://www.crivelli.it;;giovanni-crivelli-srl_seac000054331-001
caminetti carfagna s.r.l.;construction_public_works;fireplaces_and_stoves_ornamental_and_accessories;;retailer;36 via dei tigli | 06083 bastia umbra - italy;bastia umbra - italy;6083;italy;fireplaces and stoves, ornamental and accessories | heating, industrial - installations and equipment | heating, domestic - installations and equipment;the company caminetti carfagna s.r.l., is a retailer, founded in 2000, which operates in the fireplaces and stoves, ornamental and accessories industry. it also operates in the heating, industrial - installations and equipment, and heating, domestic - installations and equipment industries. it is based in bastia umbra, italy.;11.0;50.0;registered office;False;2000.0;http://www.caminetticarfagna.it;;caminetti-carfagna-srl_seac000732840-001
pavan combustibili s.a.s.;construction_public_works;fireplaces_and_stoves_ornamental_and_accessories;;;23 via d'annunzio gabriele | 31056 roncade - italy;roncade - italy;31056;italy;fuels, solid | petroleum fuels and additives | fireplaces and stoves, ornamental and accessories;the company pavan combustibili s.a.s., which operates in the fuels, solid industry. it also operates in the petroleum fuels and additives, and fireplaces and stoves, ornamental and accessories industries. it is based in roncade, italy.;;;registered office;False;;http://www.paginebianche.it/pavancombustibili-roncade;;pavan-combustibili-sas_seac005196916-001
mauro giannetti s.n.c.;construction_public_works;fireplaces_and_stoves_ornamental_and_accessories;;subcontractor;3 via della sugherella | 52025 montevarchi - italy;montevarchi - italy;52025;italy;marble and natural stones | bathrooms - furniture and fittings | fireplaces and stoves, ornamental and accessories;the company mauro giannetti s.n.c., is a subcontractor, founded in 1993, which operates in the marble and natural stones industry. it also operates in the bathrooms - furniture and fittings, and fireplaces and stoves, ornamental and accessories industries. it is based in montevarchi, italy.;;;registered office;False;1993.0;http://www.giannettimarmi.it/materiali;;mauro-giannetti-snc_seac000394703-001
