company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
for.c.e.p. s.r.l.;construction_public_works;import_export_construction_and_publics_works;;service provider;via michelangelo buonarroti 26/b | 42023 cadelbosco di sopra - italy;cadelbosco di sopra - italy;42023;italy;import-export - construction and publics works | tiles | flooring | rubber cladding materials for industrial sites | false ceilings;the company for.c.e.p. s.r.l., is a service provider, which operates in the import-export - construction and publics works industry. it also operates in the tiles, flooring, rubber cladding materials for industrial sites, and false ceilings industries. it is based in cadelbosco di sopra, italy.;1.0;10.0;registered office;True;;http://www.forcep.it;;forcep-srl_seac000268767-001
jaipur pietre srl;construction_public_works;import_export_construction_and_publics_works;;manufacturer/ producer;via del marmo 372 | 37020 volargne di dolcè - italy;volargne di dolcè - italy;37020;italy;import-export - construction and publics works;our stones (quarzite, sandstone, limestone, slate) are suitable to be worked in many ways to meet the needs of all our customers (stonemason, architects, designers, interior designers, individuals). for the stonemason we are a reference supply point of indian quartzite having our own quarries and qualified personnel on site responsible for the selection and purchase of stone blocks, we are able to choose the best raw material and import it on the italian market and then process it into a quality finished product. for architects, designers and interior studio designers we are able to get and develop their needs starting from their project and supporting them in the choice of material, size, finishes and we deliver the finished product in the agreed timing and according to the budget.;1.0;10.0;;False;;https://www.jaipurpietre.com;;jaipur-pietre-srl_00000005236101-761217001
electroelsa s.r.l.;construction_public_works;import_export_construction_and_publics_works;;service provider;zona il piano snc | 53031 casole d'elsa - italy;casole d'elsa - italy;53031;italy;import-export - construction and publics works | electrical systems | lifting equipment - accessories | anti-seismic platforms | electrical system installation;since 1982, electroelsa produces, sells, rents and services for the building industry: goods and people lifts as well as mast climbing work platforms. it offers 25 standard models among goods lifts, worksite goods lifts as well as goods and people transport platforms that are powered by a rack-and-pinion system that can lift from 400 kg up to over 5000 kg, and also mast climbing work platforms for the building industry with sizes up to 51x220 meters.;;;registered office;False;1982.0;https://www.electroelsa.com/;;electroelsa-srl_seac000091368-001
vorpa srl;construction_public_works;import_export_construction_and_publics_works;;manufacturer/ producer;via san leo, 5 | 47838 riccione - italy;riccione - italy;47838;italy;import-export - construction and publics works | building - hardware | fastening and clamping items | chemical anchorage agents | metallic components and products for building construction;the company vorpa srl, is a manufacturer/ producer, founded in 1974, which operates in the import-export - construction and publics works industry. it also operates in the building - hardware, fastening and clamping items, chemical anchorage agents, and metallic components and products for building construction industries. it is based in riccione, italy.;11.0;50.0;registered office – parent company;False;1974.0;http://www.vorpa.com;;vorpa-srl_00000004717299-514269001
bandinelli srl;construction_public_works;import_export_construction_and_publics_works;;distributor;via del pantano 2/i | 50142 firenze - italy;firenze - italy;50142;italy;import-export - construction and publics works;the company bandinelli srl, is a distributor, which operates in the import-export - construction and publics works industry. it is based in firenze, italy.;11.0;50.0;;False;;http://www.bandinellisrl.it;;bandinelli-srl_00000004557258-349024001
elto srl;construction_public_works;import_export_construction_and_publics_works;;service provider;via ravenna - sp65 | 44124 ferrara - italy;ferrara - italy;44124;italy;import-export - construction and publics works | steel pile plates;the company elto srl, is a service provider, which operates in the import-export - construction and publics works industry. it also operates in the steel pile plates industries. it is based in ferrara, italy.;1.0;10.0;;False;;http://www.elto.it;;elto-srl_00000004694383-492529001
bulicanu serghei s.r.l.;construction_public_works;import_export_construction_and_publics_works;;service provider;corso giacomo matteotti | 23900 lecco - italy;lecco - italy;23900;italy;import-export - construction and publics works;the company bulicanu serghei s.r.l., is a service provider, which operates in the import-export - construction and publics works industry. it is based in lecco, italy.;1.0;10.0;;False;;http://www.houzz.it/pro/bulicanu-serghei/bulicanu-serghei-srl;;bulicanu-serghei-srl_00000005330606-627833001
indamar srl;construction_public_works;import_export_construction_and_publics_works;;manufacturer/ producer;via dell' industria centro 21 | 37121 verona - italy;verona - italy;37121;italy;import-export - construction and publics works;the company indamar srl, is a manufacturer/ producer, founded in 2015, which operates in the import-export - construction and publics works industry. it is based in verona, italy.;1.0;10.0;registered office;False;2015.0;http://www.marbleindamar.com;;indamar-srl_00000005278826-591983001
c.m.t. construction machinery trader;construction_public_works;import_export_construction_and_publics_works;;retailer;via strozzi | 59100 prato - italy;prato - italy;59100;italy;import-export - construction and publics works | caterpillar | tracked and tired shovels | caterpillar excavators;the company c.m.t. construction machinery trader, is a retailer, founded in 2010, which operates in the import-export - construction and publics works industry. it also operates in the caterpillar, tracked and tired shovels, and caterpillar excavators industries. it is based in prato, italy.;1.0;10.0;registered office – parent company;False;2010.0;http://www.cm-trader.com;;cmt-construction-machinery-trader_00000003930315-210291001
fimas srl;construction_public_works;import_export_construction_and_publics_works;;manufacturer/ producer;via strada 17 n.34 | 95018 riposto - italy;riposto - italy;95018;italy;import-export - construction and publics works | outdoor stone flooring | lavatic single-layer surfacing;the company fimas srl, is a manufacturer/ producer, founded in 1983, which operates in the import-export - construction and publics works industry. it also operates in the outdoor stone flooring, and lavatic single-layer surfacing industries. it is based in riposto, italy.;11.0;50.0;registered office;False;1983.0;;;fimas-srl_00000003889785-180832001
taurochimica;construction_public_works;import_export_construction_and_publics_works;;manufacturer/ producer;via appia sud 125 | 00049 velletri - italy;velletri - italy;49;italy;import-export - construction and publics works | damp curing plaster | industrial floors;the company taurochimica, is a manufacturer/ producer, which operates in the import-export - construction and publics works industry. it also operates in the damp curing plaster, and industrial floors industries. it is based in velletri, italy.;11.0;50.0;;False;;http://taurochimica.com;;taurochimica_00000005031993-551607001
ristrutturazione jdrq di rivas quiros juan domingo;construction_public_works;import_export_construction_and_publics_works;;service provider;via mario crimi n.1 | 10149 torino - italy;torino - italy;10149;italy;import-export - construction and publics works | building construction;the company ristrutturazione jdrq di rivas quiros juan domingo, is a service provider, founded in 2012, which operates in the import-export - construction and publics works industry. it also operates in the building construction industries. it is based in torino, italy.;11.0;50.0;secondary office;False;2012.0;;;ristrutturazione-jdrq-di-rivas-quiros-juan-domingo_00000005358095-656367001
riva marmi;construction_public_works;import_export_construction_and_publics_works;;manufacturer/ producer;via sotto sengia 8 | 37015 domegliara - italy;domegliara - italy;37015;italy;import-export - construction and publics works | marble slabs;the company riva marmi, is a manufacturer/ producer, which operates in the import-export - construction and publics works industry. it also operates in the marble slabs industries. it is based in domegliara, italy.;11.0;50.0;;False;;http://www.rivamarmi.it;;riva-marmi_00000004012050-624965001
laform furfaro srl;construction_public_works;import_export_construction_and_publics_works;;manufacturer/ producer;strada piossasco 43e int.1 | 10040 volvera - italy;volvera - italy;10040;italy;plates, perforated - ferrous metal | import-export - construction and publics works | drilled plate for mines and quarries;the company laform furfaro srl, is a manufacturer/ producer, which operates in the plates, perforated - ferrous metal industry. it also operates in the import-export - construction and publics works, and drilled plate for mines and quarries industries. it is based in volvera, italy.;1.0;10.0;;False;;http://www.laform.it;;laform-furfaro-srl_00000004608004-420082001
ambu srl;construction_public_works;import_export_construction_and_publics_works;;agent/ representative;via canton, 71 | via del formale - palestrina | 00144 roma - italy;roma - italy;144;italy;import-export - construction and publics works;the company ambu srl, is a agent/ representative, founded in 1991, which operates in the import-export - construction and publics works industry. it is based in roma, italy.;1.0;10.0;registered office – parent company;False;1991.0;http://www.ambusrl.it;;ambu-srl_ita321306-33588001
ferrara michelina;construction_public_works;import_export_construction_and_publics_works;;manufacturer/ producer;via manzoni 18 | 61030 saltara - italy;saltara - italy;61030;italy;import-export - construction and publics works | residential building | building - renovations | bracing for building | cases for the building industry;the company ferrara michelina, is a manufacturer/ producer, which operates in the import-export - construction and publics works industry. it also operates in the residential building, building - renovations, bracing for building, and cases for the building industry industries. it is based in saltara, italy.;1.0;10.0;;False;;;;ferrara-michelina_00000004614901-425335001
corporation real united s.r.l.;construction_public_works;import_export_construction_and_publics_works;;service provider;via albergheria, 173 | 90134 palermo - italy;palermo - italy;90134;italy;import-export - construction and publics works;the company corporation real united s.r.l., is a service provider, which operates in the import-export - construction and publics works industry. it is based in palermo, italy.;51.0;100.0;;False;;;;corporation-real-united-srl_00000004563993-396834001
