company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
m.m. grigliati;construction_public_works;stairs_and_handrails;;manufacturer/ producer;via zanussi antonio, 300/302 | 33100 udine - italy;udine - italy;33100;italy;sections and bars - non-ferrous metal | handrails and bannisters | gratings | railings | fencing;m.m. has been operating in the frp (fibreglass reinforced plastic) sector for 40 years, manufacturing high-quality gratings, profiles and composite structures. frp's intrinsic properties (e.g. corrosion resistant, non-magnetic, electrical insulation and no maintenance) make it highly versatile. iso 9001: 2015 bureau veritas certification.;11.0;50.0;registered office;False;1977.0;https://www.mmgrigliati.com;;mm-grigliati_seac000116927-001
magnani & ricci - scale e ringhiere per arredare;construction_public_works;stairs_and_handrails;;manufacturer/ producer;3, v. ottorino respighi | 47043 gatteo a mare-gatteo - italy;gatteo a mare-gatteo - italy;47043;italy;stairs and handrails | stairs, wooden | custom made staircases | iron railings | custom staircases;the firm magnani & ricci was founded in the 80s and since then has positioned itself on the finishings market as a staircase, indoor and outdoor furnishing materials, hand-rail and mezzanine specialist, applying its customer satisfaction-centred philosophy. its highly qualified staff will guide you through all the phases, starting by analysing your personal requirements to designing the solution that is in line with your needs.;1.0;10.0;registered office – parent company;False;1980.0;http://www.magnaniericciscale.com;;magnani-ricci-scale-e-ringhiere-per-arredare_seac006900172-001
kanton s.a.s. di kanton paul &co.;construction_public_works;stairs_and_handrails;;manufacturer/ producer;64 via nazionale | 39040 ora/bz - italy;ora/bz - italy;39040;italy;stairs, spiral | stairs and handrails | stairs, wooden | foldaway stairs | custom made staircases;the company kanton s.a.s. di kanton paul &co., is a manufacturer/ producer, which operates in the stairs, spiral industry. it also operates in the stairs and handrails, stairs, wooden, foldaway stairs, and custom made staircases industries. it is based in ora/bz, italy.;1.0;10.0;registered office;False;;http://www.kanton.it;;kanton-sas-di-kanton-paul-co_seac006079761-001
svelt s.p.a.;construction_public_works;stairs_and_handrails;;manufacturer/ producer;13 via delle groane | 24060 bagnatica - italy;bagnatica - italy;24060;italy;scaffolding and ladders | lifting equipment | stairs and handrails | mezzanines;the company svelt s.p.a., is a manufacturer/ producer, founded in 1964, which operates in the scaffolding and ladders industry. it also operates in the lifting equipment, stairs and handrails, and mezzanines industries. it is based in bagnatica, italy.;51.0;100.0;registered office – parent company;False;1964.0;http://www.svelt.it;;svelt-spa_seac000157347-001
progetto scale snc;construction_public_works;stairs_and_handrails;;manufacturer/ producer;via carolina romani 6 | 20091 bresso - italy;bresso - italy;20091;italy;stairs and handrails | indoor staircases | custom staircases;the company progetto scale snc, is a manufacturer/ producer, founded in 2010, which operates in the stairs and handrails industry. it also operates in the indoor staircases, and custom staircases industries. it is based in bresso, italy.;1.0;10.0;registered office;False;2010.0;http://www.progettoscale.it;;progetto-scale-snc_00000003537855-62364001
beton torre s.r.l.;construction_public_works;stairs_and_handrails;;manufacturer/ producer;81 via ercoli ercole | 80058 torre annunziata - italy;torre annunziata - italy;80058;italy;raw materials for construction and public works | stairs and handrails;the company beton torre s.r.l., is a manufacturer/ producer, founded in 1974, which operates in the raw materials for construction and public works industry. it also operates in the stairs and handrails industries. it is based in torre annunziata, italy.;;;registered office;False;1974.0;http://www.betontorre.it;;beton-torre-srl_139161518192355-001
avogadri;construction_public_works;stairs_and_handrails;;manufacturer/ producer;via gandhi 3 | 29017 fiorenzuola d'arda - italy;fiorenzuola d'arda - italy;29017;italy;stairs and handrails;the company avogadri, is a manufacturer/ producer, which operates in the stairs and handrails industry. it is based in fiorenzuola d'arda, italy.;1.0;10.0;;False;;http://www.avogadriroberto.it;;avogadri_00000005294129-605139001
manufatti in cemento s.r.l.;construction_public_works;stairs_and_handrails;;manufacturer/ producer;7 via beato alberto | 24023 clusone - italy;clusone - italy;24023;italy;sun protection, interior and exterior | stairs and handrails | concrete products and conglomerates;the company manufatti in cemento s.r.l., is a manufacturer/ producer, founded in 1993, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and concrete products and conglomerates industries. it is based in clusone, italy.;;;registered office;False;1993.0;http://www.spadamanufatti.it;;manufatti-in-cemento-srl_seac000680106-001
falegnameria veneta;construction_public_works;stairs_and_handrails;;;via roma, 40 | 36035 marano vicentino (vi) - italy;marano vicentino (vi) - italy;36035;italy;joinery and carpentry - works | windows | doors, house | stairs and handrails;the company falegnameria veneta, founded in 2008, which operates in the joinery and carpentry - works industry. it also operates in the windows, doors, house, and stairs and handrails industries. it is based in marano vicentino (vi), italy.;;;;False;2008.0;http://www.falegnameriaveneta.com;;falegnameria-veneta_ita318746-00101
barabaschi geom. stefano;construction_public_works;stairs_and_handrails;;manufacturer/ producer;viale vittoria 34/38 | 29021 bettola - italy;bettola - italy;29021;italy;stairs and handrails | spiral staircases;the company barabaschi geom. stefano, is a manufacturer/ producer, which operates in the stairs and handrails industry. it also operates in the spiral staircases industries. it is based in bettola, italy.;1.0;10.0;;False;;https://www.scale-elicoidali.it;;barabaschi-geom-stefano_00000005461800-830508001
tav. solai di ivano boscagli & c. s.n.c.;construction_public_works;stairs_and_handrails;;manufacturer/ producer;via mattei | 53041 asciano - italy;asciano - italy;53041;italy;raw materials for construction and public works | sun protection, interior and exterior | stairs and handrails;the company tav. solai di ivano boscagli & c. s.n.c., is a manufacturer/ producer, founded in 1983, which operates in the raw materials for construction and public works industry. it also operates in the sun protection, interior and exterior, and stairs and handrails industries. it is based in asciano, italy.;;;;False;1983.0;http://www.tavsolai.it;;tav-solai-di-ivano-boscagli-c-snc_seac000091054-001
archiform s.r.l.;construction_public_works;stairs_and_handrails;;manufacturer/ producer;114 via gramsci antonio | 24069 trescore balneario - italy;trescore balneario - italy;24069;italy;sun protection, interior and exterior | stairs and handrails | concrete products and conglomerates;the company archiform s.r.l., is a manufacturer/ producer, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and concrete products and conglomerates industries. it is based in trescore balneario, italy.;11.0;50.0;registered office;False;;http://www.paginegialle.it/arredourbanoarchiformtrescorebalneario;;archiform-srl_seac005273476-001
tf legno di trianni fedele;construction_public_works;stairs_and_handrails;;;18 strada per turro | 29027 podenzano - italy;podenzano - italy;29027;italy;framework, wood | sun protection, interior and exterior | stairs and handrails;the company tf legno di trianni fedele, founded in 2000, which operates in the framework, wood industry. it also operates in the sun protection, interior and exterior, and stairs and handrails industries. it is based in podenzano, italy.;;;;False;2000.0;http://www.tflegno.it;;tf-legno-di-trianni-fedele_seac000360647-001
druga beatrice ana maria;construction_public_works;stairs_and_handrails;;;5 via baroncelli domenico | 48122 ravenna - italy;ravenna - italy;48122;italy;parquet floors | scaffolding and ladders | stairs and handrails;the company druga beatrice ana maria, which operates in the parquet floors industry. it also operates in the scaffolding and ladders, and stairs and handrails industries. it is based in ravenna, italy.;;;registered office;False;;http://www.paginebianche.it/parquetdesign-ravenna;;druga-beatrice-ana-maria_seac005748768-001
pizzeghella e stevan s.r.l.;construction_public_works;stairs_and_handrails;;;9 via fermi enrico | 37026 pescantina - italy;pescantina - italy;37026;italy;scaffolding and ladders | lifts and escalators | stairs and handrails;the company pizzeghella e stevan s.r.l., founded in 2006, which operates in the scaffolding and ladders industry. it also operates in the lifts and escalators, and stairs and handrails industries. it is based in pescantina, italy.;11.0;50.0;registered office;False;2006.0;http://www.stevanelevatori.it;;pizzeghella-e-stevan-srl_seac000891303-001
checchin s.r.l.;construction_public_works;stairs_and_handrails;;manufacturer/ producer;73 via volturno | 20851 lissone - italy;lissone - italy;20851;italy;sun protection, interior and exterior | stairs and handrails | concrete products and conglomerates;the company checchin s.r.l., is a manufacturer/ producer, founded in 1995, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and concrete products and conglomerates industries. it is based in lissone, italy.;11.0;50.0;registered office;False;1995.0;http://www.paginebianche.it/checchin-lissone;;checchin-srl_seac000750897-001
idea pavimenti di bandiera gianni;construction_public_works;stairs_and_handrails;;service provider;59 via battisti | 31036 istrana - italy;istrana - italy;31036;italy;parquet floors | scaffolding and ladders | stairs and handrails;the company idea pavimenti di bandiera gianni, is a service provider, founded in 1996, which operates in the parquet floors industry. it also operates in the scaffolding and ladders, and stairs and handrails industries. it is based in istrana, italy.;;;registered office;False;1996.0;http://www.ideapavimenti.it/;;idea-pavimenti-di-bandiera-gianni_seac000853270-001
prefabbricati raciti s.r.l.;construction_public_works;stairs_and_handrails;;manufacturer/ producer;465 via nazionale | 95024 acireale - italy;acireale - italy;95024;italy;sun protection, interior and exterior | stairs and handrails | concrete products and conglomerates;the company prefabbricati raciti s.r.l., is a manufacturer/ producer, founded in 1985, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and concrete products and conglomerates industries. it is based in acireale, italy.;;;registered office;False;1985.0;http://www.prefabbricatiraciti.it;;prefabbricati-raciti-srl_seac000669290-001
cementedil;construction_public_works;stairs_and_handrails;;manufacturer/ producer;8 via portella delle ginestre | 25013 carpenedolo - italy;carpenedolo - italy;25013;italy;sun protection, interior and exterior | stairs and handrails | urban fixtures and installations;the company cementedil, is a manufacturer/ producer, founded in 1976, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and urban fixtures and installations industries. it is based in carpenedolo, italy.;11.0;50.0;registered office;False;1976.0;http://www.cementedil.it;;cementedil_seac000139589-001
