company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
f.e. costruzioni generali srls;construction_public_works;structural_work;;manufacturer/ producer;via delle arti 19 | 25030 roccafranca - italy;roccafranca - italy;25030.0;italy;structural work | ristrutturazioni | costruzione | building restoration | building;siamo un'impresa edile specializzata, che si occupa principalmente di costruzione, ristrutturazione e riqualifiche di edifici residenziali e non residenziali;;;;False;2016.0;;;fe-costruzioni-generali-srls_00000005480243-001
fasan costruzioni s.n.c.;construction_public_works;structural_work;;manufacturer/ producer;via mercato 32 | 33075 san vito al tagliamento - italy;san vito al tagliamento - italy;33075.0;italy;structural work | finishing work | public works contractors | wood houses | building work;the company fasan costruzioni s.n.c., is a manufacturer/ producer, which operates in the structural work industry. it also operates in the finishing work, public works contractors, wood houses, and building work industries. it is based in san vito al tagliamento, italy.;;;registered office;False;;http://www.fasancostruzioni.it;;fasan-costruzioni-snc_seac005800716-001
ftf srls noleggio e vendita macchine edilizia e movimento terra;construction_public_works;structural_work;;service provider;149 via novara | 28069 trecate - italy;trecate - italy;28069.0;italy;construction - finishings | structural work | finishing work;the company ftf srls noleggio e vendita macchine edilizia e movimento terra, is a service provider, founded in 2014, which operates in the construction - finishings industry. it also operates in the structural work, and finishing work industries. it is based in trecate, italy.;;;secondary office;False;2014.0;;;ftf-srls-noleggio-e-vendita-macchine-edilizia-e-movimento-terra_seac006768799-001
impresa edile stradale f.lli massai srl;construction_public_works;structural_work;;service provider;via birmania, 148 | 58100 grosseto - italy;grosseto - italy;58100.0;italy;structural work | roadlaying - contractors | road building | crushed stone | macadam;the company impresa edile stradale f.lli massai srl, is a service provider, which operates in the structural work industry. it also operates in the roadlaying - contractors, road building, crushed stone, and macadam industries. it is based in grosseto, italy.;;;;False;;http://www.impresamassai.it;;impresa-edile-stradale-flli-massai-srl_seac000015943-001
eredi mora srl;construction_public_works;structural_work;;service provider;66, v. della torre | 25040 malonno - italy;malonno - italy;25040.0;italy;structural work | finishing work | construction of buildings | road building;the company eredi mora srl, is a service provider, which operates in the structural work industry. it also operates in the finishing work, construction of buildings, and road building industries. it is based in malonno, italy.;1.0;10.0;;False;;;;eredi-mora-srl_seac000494386-001
icov costruzioni s.r.l.;construction_public_works;structural_work;;service provider;173 via del carroccio | 24040 stezzano - italy;stezzano - italy;24040.0;italy;construction - finishings | structural work | finishing work;the company icov costruzioni s.r.l., is a service provider, founded in 1993, which operates in the construction - finishings industry. it also operates in the structural work, and finishing work industries. it is based in stezzano, italy.;11.0;50.0;registered office;False;1993.0;http://www.icov.it;;icov-costruzioni-srl_seac002430722-001
rossi piero & c srl;construction_public_works;structural_work;;manufacturer/ producer;c/da san domenico, 29 | 85034 francavilla in sinni - italy;francavilla in sinni - italy;85034.0;italy;structural work | prefabricated cubicles | precast floor | prefabricated concrete components | muri prefabbricati;the company rossi piero & c srl, is a manufacturer/ producer, which operates in the structural work industry. it also operates in the prefabricated cubicles, precast floor, prefabricated concrete components, and muri prefabbricati industries. it is based in francavilla in sinni, italy.;;;;False;;https://www.rossipiero.it;;rossi-piero-c-srl_00000005488435-001
tecno appalti s.r.l.;construction_public_works;structural_work;;manufacturer/ producer;via piane | 64046 montorio al vomano - italy;montorio al vomano - italy;64046.0;italy;structural work | public works contractors | building and industrial construction;the company tecno appalti s.r.l., is a manufacturer/ producer, founded in 1997, which operates in the structural work industry. it also operates in the public works contractors, and building and industrial construction industries. it is based in montorio al vomano, italy.;;;registered office;False;1997.0;http://www.tecnoappalti.com/;;tecno-appalti-srl_seac001644594-001
lattoneria gulla' sas;construction_public_works;structural_work;;;via parabiago, 225 | 20020 busto garolfo (mi) - italy;busto garolfo (mi) - italy;20020.0;italy;structural work | roofing materials | roofing contractors | asbestos disposal | roof repair;the company lattoneria gulla' sas, founded in 1986, which operates in the structural work industry. it also operates in the roofing materials, roofing contractors, asbestos disposal, and roof repair industries. it is based in busto garolfo (mi), italy.;;;;False;1986.0;http://www.lattoneriagulla.it;;lattoneria-gulla-sas_ita318666-00101
d.d.l. s.r.l.;construction_public_works;structural_work;;service provider;localita' piana sn | 12060 verduno - italy;verduno - italy;12060.0;italy;construction - finishings | structural work | finishing work;the company d.d.l. s.r.l., is a service provider, founded in 1992, which operates in the construction - finishings industry. it also operates in the structural work, and finishing work industries. it is based in verduno, italy.;;;registered office – parent company;False;1992.0;http://www.didielle.it;;ddl-srl_seac000692863-001
