company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
tespe;construction_public_works;thermal_insulation_materials;;manufacturer/ producer;via pizzo arera 44 | 24060 chiuduno - italy;chiuduno - italy;24060.0;italy;technical textiles for industrial applications | refractory materials and products | rubber - technical items for industry | glass fibre and wool | technical articles for industry | items for stoves and fireplaces | braided socks | technical industrial articles | rubber seals | glass fibre and wool;tespe is a highly specialised leader in the production of technical fabrics for thermal insulation and industrial sealing gaskets for high-temperature applications. rope, braid, sleeves, tape, fabrics, insulating and heat-resistant products, expansion joints. it manufactures and sells a vast range of industrial gaskets for static and dynamic sealing: special dynapack® braids for pumps and valves, sheets and gaskets in graphite and asbestos-free, semi-finished items and products in ptfe.;;;registered office – parent company;True;;https://www.tespe.it/it/, https://www.tespe.it/en/;;tespe_seac000688341-002
la misolet;construction_public_works;thermal_insulation_materials;;retailer;strada provinciale 142 4c | 26867 somaglia - italy;somaglia - italy;26867.0;italy;bakelite | plastic material processing | electrical and magnetic insulation | extruders for plastics | cutting | misoglass | bakelite canvas | plastic insulating materials | sheets of bakelite cloth | cnc turning;misolet is specialised in processing dielectric, thermo-insulating, thermo-electric, electromechanical and thermo-mechanical materials for the electronic, lighting, transport, energy and renewables sectors. for over 50 years it has been producing custom-designed components made from bakelite, bakelised fabric, bakelised paper, epoxy glass (g10, fr4, g11, fr5), melamine glass laminates (g5), silicone glass laminates (g7), polyester glass (gpo3), thermo-insulating materials (mica, misoglass1, misotherm500), thermoplastic materials, polycarbonate. it mainly offers the following processing: milling and turning on cnc machines, cutting with presses, dies and die cutting to measure in strips, panels, squares. during the course of the years it has added various services to satisfy the markets' requirements, including: calibration, grinding, (hot and cold) bending, assembly, bonding, riveting, direct selling of sheets, rods and sections.;;;registered office – parent company;True;;http://www.bachelitemisolet.it/, http://www.misolet.it/;;la-misolet_seac001036583-001
montanelli 3 s.r.l.;construction_public_works;thermal_insulation_materials;;manufacturer/ producer;via galilei 10 | 20875 burago di molgora - italy;burago di molgora - italy;20875.0;italy;thermal insulation materials | heat insulation | sound insulation for machinery | heat insulation and soundproofing materials | insulating panels for switchboards | internal protection for boxes | machine sound insulation | case linings | sound absorbing panels | insulating panels;montanelli 3 offers water cutting, milling, oscillating blade cutting and die cutting of various materials, mainly plastic and expanded materials but also leather, wood and cardboard. the company is flexible and focuses on quality, and looks both to its italian industrial past and the recent scenario of small high-tech new generation companies.;;;registered office – parent company;True;;;;montanelli-3-srl_seac009200389-001
stiferite s.p.a.;construction_public_works;thermal_insulation_materials;;manufacturer/ producer;viale della navigazione interna 54/5 | 35129 padova - italy;padova - italy;35129.0;italy;sound insulation materials | thermal insulation materials | thermal insulation for construction projects | insulation products for the building trade | stiferite | insulating panels | supplies for public works | building materials | insulation material | heat insulation;italy's leading manufacturer of thermal insulation products. pioneers in 1963 in the production of panels made from polyurethane foam, in 2000 we established a new line of lamination able to produce new stiferite panels with a polyisocyanurate foam with exceptional physical and mechanical characteristics.;;;registered office;True;;http://www.stiferite.com;;stiferite-spa_seac000901627-001
hts alte temperature srl;construction_public_works;thermal_insulation_materials;;manufacturer/ producer;cascina valsecchi 11 | 24060 costa di mezzate - italy;costa di mezzate - italy;24060.0;italy;thermal insulation materials | electrical and magnetic insulation | weatherproofing contractors | braided socks | paper and cardboard insulating materials | heat insulation panels | plates for thermal insulation | glass wool insulating materials | unwoven fabric insulating materials (geotextiles) | glass products for heat insulation;hts alte temperature applies its experience and professionalism to the manufacturing of parts for thermal insulation for average, high and very high temperatures, mainly in textiles. our product range includes yarn, cord, rope, sheaths, mats, tape, fabric, textile joints, coatings and gaskets in fibreglass and high temperature glass, vetraltemp, ceramic fibre, silica fibre, special fibres (graphite, carbon, ptfe, aramid, preox, pan).;;;registered office – parent company;True;;http://www.htsaltetemperature.com;;hts-alte-temperature-srl_seac004909159-001
isol-tech italia s.a.s;construction_public_works;thermal_insulation_materials;;manufacturer/ producer;via traversa schito 4 | 80053 castellammare di stabia - italy;castellammare di stabia - italy;80053.0;italy;thermal insulation materials | insulation material maintenance | maintenance and installation thermal insulation | air ducting | false ceilings;company founded in 1996 by the gaeta brothers with the aim of bringing innovative solutions in the thermal insulation and acoustic insulation, industrial insulation and sanitary false ceilings. isol-tech italia, relying on its specialized collaborators and continuously updated on new systems and technologies, satisfying every specific request for installation, maintenance and compliance of the systems according to the sanitary regulations in force. "our knowledge, professionalism and experience are placed at your disposal. main services: -industrial insulation cutting-edge technical designs and solutions in the installation of insulation systems for industrial and food factories. -sanitary false ceilings in pvc particularly suitable for industries, dairies and other places where it is important to mask overhead plants. the pvc ceilings also have a linear and clean design. -air ducting installation and maintenance of special ducts that allow air circulation in air conditioning systems.;1.0;10.0;;False;;https://isol-techitalia.it;;isoltech-italia-sas_00000005448938-789713001
balconi performance;construction_public_works;thermal_insulation_materials;;manufacturer/ producer;via principato, 12 | 20871 vimercate - italy;vimercate - italy;20871.0;italy;thermal insulation materials | heat-shrink sleeves | coated sleevings | accessories for electric cable protection | pvc tubes;balconi performance is an italian company specialized in the production and trade of insulating materials for the aerospace and automotive industries. the company operates in the b2b and b2c sectors and can ship its products all over the world with express delivery in a few days, operating directly from its italian headquarters in lombardy, northern italy. the main products are: fiberglass, basalt fiber, carbon fiber insulating sleevings. sleevings and tubes in silicone and pvc, heat shrink sheaths, insulating tapes and heat shields. fuel pipes, oil pipes, insulating panels for airplanes and racing cars. balconi performance can also make custom cuts and customizations on request. balconi performance can supply both large quantities of material and small quantities, thanks to a warehouse that is always supplied. many products are available in stock and can be shipped all over the world the same day. the company collaborates with many manufacturers all over the world and is able to solve any type of customer request regarding thermal and electrical insulation. contact balconi performance for a request or to get a quotation.;1.0;10.0;;False;;https://www.balconiperformance.com;;balconi-performance_00000005447706-787077001
bright star materials co., limited;construction_public_works;thermal_insulation_materials;;manufacturer/ producer;via aldo moro n.20 - | 41048 formigine - italy;formigine - italy;41048.0;italy;refractory materials and products | ceramic fibers | thermal insulation - materials | industrial furnaces;professional manufacturer and exporter of high temperature insulation products, such as ceramic fiber blanket, ceramic fiber board, ceramic fiber bulk, ceramic fiber module, ceramic fiber paper, ceramic fiber rope, ceramic fiber cloth and tape. ecological fiber products are also supplying. besides ceramic fiber, we also supply rock wool, glass wool, glass fiber, calcium silicate and other refractory materials.;51.0;100.0;;False;;http://www.pride-equip.com;;bright-star-materials-co-limited_00000005373143-686125001
eurogessi italia s.r.l.;construction_public_works;thermal_insulation_materials;;;via toti dal monte, 31 | 31053 pieve di soligo - italy;pieve di soligo - italy;31053.0;italy;thermal insulation materials | plasterboard | polyurethane | heat insulation | insulation;the company eurogessi italia s.r.l., which operates in the thermal insulation materials industry. it also operates in the plasterboard, polyurethane, heat insulation, and insulation industries. it is based in pieve di soligo, italy.;11.0;50.0;registered office – parent company;False;;;;eurogessi-italia-srl_seac000931153-001
house d'elite;construction_public_works;thermal_insulation_materials;;distributor;via dei goti | 84012 angri - italy;angri - italy;84012.0;italy;thermal insulation materials;the company house d'elite, is a distributor, founded in 2016, which operates in the thermal insulation materials industry. it is based in angri, italy.;1.0;10.0;registered office;False;2016.0;https://www.paginegialle.it/angri-sa/materiali-edilizia/house-elite;;house-delite_00000005296398-606064001
