company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
andrys srl;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;via dell' artigianato 28 | 31030 castello di godego - italy;castello di godego - italy;31030;italy;urban fixtures and installations | sport and leisure | motor sports, equipment and accessories | bicycle accessories | parking lots - equipment | supplies for urban furnishing | bike racks | andrys srl | bike rack | benches;andrys is a handicraft company with thirty years experience in street furnishing. it produces and trades bicycle racks for private and public use, bicycle display stands, motorbike stands as well as bicycle and motorbike accessories. the company also manufactures may different kinds of street furnishing, garden furniture and all hardware that is needed for diy. andrys produces custom designed items for all needs and offers its clients a show-room where products that are entirely designed and manufactured in italy can be viewed.;1.0;10.0;registered office – parent company - subsidiary;True;2006.0;https://andryshop.com/it/, https://leoandrys.com;;andrys-srl_seac002981854-001
grasso pietra lavica e marmi s.r.l.s.;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;sp56i, 23 | 95032 belpasso - italy;belpasso - italy;95032;italy;porphyry | marble | urban fixtures and installations | working of lava stone | working with etna lava stone | working of marble and granite;a company that specialises in working lava stone, marble, granite and similar, stone products and various types of stone. grasso has been a leading name in the etna stone industry for decades and makes products that meet its customers' specific requirements. activities: marble funeral art, lava stone working, marble working, marble and granite working, marble workers, marble cladding. products: sacred art, marble, granites, marble for headstones, lava stone, stones, natural stone.;11.0;50.0;registered office;True;;http://www.grassopietralavicaemarmi.it;;grasso-pietra-lavica-e-marmi-srls_seac010181972-001
helios arredo urbano srl;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;via delle fosse 29 | 31037 loria - italy;loria - italy;31037;italy;urban fixtures and installations | cantilever roofs;the company helios arredo urbano srl, is a manufacturer/ producer, founded in 2007, which operates in the urban fixtures and installations industry. it also operates in the cantilever roofs industries. it is based in loria, italy.;11.0;50.0;registered office;False;2007.0;http://heliosarredourbano.com/;;helios-arredo-urbano-srl_00000005235885-554679001
flavio vellardi;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;via nicolini 6/c | 36027 rosà - italy;rosà - italy;36027;italy;urban fixtures and installations;the company flavio vellardi, is a manufacturer/ producer, which operates in the urban fixtures and installations industry. it is based in rosà, italy.;1.0;10.0;;False;;http://www.vellardi.com/;;flavio-vellardi_00000004676056-477822001
k.a.m. arredo giardino s.r.l.;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;2 via fermi enrico | 24036 ponte san pietro - italy;ponte san pietro - italy;24036;italy;playground equipment | urban fixtures and installations | indoor and garden furniture | garden fountains | cement products;the company k.a.m. arredo giardino s.r.l., is a manufacturer/ producer, founded in 1992, which operates in the playground equipment industry. it also operates in the urban fixtures and installations, indoor and garden furniture, garden fountains, and cement products industries. it is based in ponte san pietro, italy.;;;registered office – parent company;False;1992.0;http://www.kam-italia.it;;kam-arredo-giardino-srl_seac000844894-001
saedi srl;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;grosso 48, production area | 39058 val sarentino - italy;val sarentino - italy;39058;italy;urban fixtures and installations | road safety equipment and systems | anti-parking dissuaders for urban furnishings | road signs | car park equipment;the company saedi srl, is a manufacturer/ producer, which operates in the urban fixtures and installations industry. it also operates in the road safety equipment and systems, anti-parking dissuaders for urban furnishings, road signs, and car park equipment industries. it is based in val sarentino, italy.;1.0;10.0;;False;;https://augustaflex.com;;saedi-srl_00000005387559-705338001
urban 360 srl;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;via giacomo leopardi 161/h | 20099 sesto san giovanni - italy;sesto san giovanni - italy;20099;italy;urban fixtures and installations | bicycle racks;the company urban 360 srl, is a manufacturer/ producer, founded in 2016, which operates in the urban fixtures and installations industry. it also operates in the bicycle racks industries. it is based in sesto san giovanni, italy.;1.0;10.0;;False;2016.0;http://www.urban360gradi.it/;;urban-360-srl_00000005281708-595513001
leggieri marmi snc;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;s.s. 89 km 11,680 | 71011 apricena - italy;apricena - italy;71011;italy;urban fixtures and installations | marble and natural stones | marble blocks | marble indoor flooring for industrial buildings | marble for flooring;the company leggieri marmi snc, is a manufacturer/ producer, founded in 1969, which operates in the urban fixtures and installations industry. it also operates in the marble and natural stones, marble blocks, marble indoor flooring for industrial buildings, and marble for flooring industries. it is based in apricena, italy.;1.0;10.0;registered office – parent company;False;1969.0;http://www.leggierimarmi.it;;leggieri-marmi-snc_00000004702588-499827001
steel crafts europa s.r.l.;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;zona industriale via stretta n.63 | 25070 sabbio chiese - italy;sabbio chiese - italy;25070;italy;traffic signs | urban fixtures and installations | street mirrors | road signs | road safety signage;the company steel crafts europa s.r.l., is a manufacturer/ producer, which operates in the traffic signs industry. it also operates in the urban fixtures and installations, street mirrors, road signs, and road safety signage industries. it is based in sabbio chiese, italy.;1.0;10.0;;False;;http://www.convexmirrors.info/?lang=en;;steel-crafts-europa-srl_00000005364934-664495001
irollo illuminazione & arredo urbano;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;s.p. 527 angolo 3°trav. cimitero | 80026 afragola - italy;afragola - italy;80026;italy;urban fixtures and installations;the company irollo illuminazione & arredo urbano, is a manufacturer/ producer, which operates in the urban fixtures and installations industry. it is based in afragola, italy.;1.0;10.0;;False;;http://irolloilluminazione.it;;irollo-illuminazione-arredo-urbano_00000004765254-541372001
mazzara antonino lavorazione artigianale marmi;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;c/da zimmaria custonaci | 91015 custonaci - italy;custonaci - italy;91015;italy;finishing work | urban fixtures and installations | bathroom furnishings;the company mazzara antonino lavorazione artigianale marmi, is a manufacturer/ producer, founded in 1999, which operates in the finishing work industry. it also operates in the urban fixtures and installations, and bathroom furnishings industries. it is based in custonaci, italy.;1.0;10.0;registered office;False;1999.0;http://www.mazzaraantonino.com;;mazzara-antonino-lavorazione-artigianale-marmi_00000004615377-426115001
bertedil s.r.l.;construction_public_works;urban_fixtures_and_installations;;wholesaler;18 via i traversale | piano di valeriano | 19020 vezzano ligure - italy;vezzano ligure - italy;19020;italy;bricks | urban fixtures and installations | plaster and plaster products;the company bertedil s.r.l., is a wholesaler, founded in 1987, which operates in the bricks industry. it also operates in the urban fixtures and installations, and plaster and plaster products industries. it is based in vezzano ligure, italy.;;;registered office;False;1987.0;https://www.bertediledilizia.it/;;bertedil-srl_139161518184354-001
canavisia srl;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;via kennedy 24 | 10019 strambino - italy;strambino - italy;10019;italy;urban fixtures and installations;the company canavisia srl, is a manufacturer/ producer, which operates in the urban fixtures and installations industry. it is based in strambino, italy.;1.0;10.0;;False;;https://www.canavisia.com;;canavisia-srl_00000005519862-001
cortec srl;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;viale tiziano, 34/a | 31011 asolo - italy;asolo - italy;31011;italy;urban fixtures and installations | anti-parking dissuaders for urban furnishings | barriers | bicycle carrier | wooden garden benches;the company cortec srl, is a manufacturer/ producer, founded in 2009, which operates in the urban fixtures and installations industry. it also operates in the anti-parking dissuaders for urban furnishings, barriers, bicycle carrier, and wooden garden benches industries. it is based in asolo, italy.;;;;False;2009.0;http://www.cortecdesign.it;;cortec-srl_00000004634331-441846001
ubi urbe arredo urbano;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;km. 1 provinciale ugento alessano | 73059 ugento - italy;ugento - italy;73059;italy;urban fixtures and installations | flower boxes | concrete benches | garden decorations;the company ubi urbe arredo urbano, is a manufacturer/ producer, which operates in the urban fixtures and installations industry. it also operates in the flower boxes, concrete benches, and garden decorations industries. it is based in ugento, italy.;;;;False;;http://www.ubiurbe.com;;ubi-urbe-arredo-urbano_seac000906760-001
sgaramella cosimo;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;via taurisano, 67 | 73059 ugento - italy;ugento - italy;73059;italy;urban fixtures and installations;the company sgaramella cosimo, is a manufacturer/ producer, which operates in the urban fixtures and installations industry. it is based in ugento, italy.;;;;False;;http://www.sgaramella.com/homepage/;;sgaramella-cosimo_seac000908031-611413001
tecno signal srl;construction_public_works;urban_fixtures_and_installations;;service provider;via g. pes, 5 | 09045 quartu sant'elena - italy;quartu sant'elena - italy;9045;italy;traffic signs | urban fixtures and installations | road signs;the company tecno signal srl, is a service provider, founded in 2010, which operates in the traffic signs industry. it also operates in the urban fixtures and installations, and road signs industries. it is based in quartu sant'elena, italy.;1.0;10.0;registered office – parent company;False;2010.0;;;tecno-signal-srl_00000005133522-552983001
irollo maurizio arredo urbano & illuminazione stradale;construction_public_works;urban_fixtures_and_installations;;service provider;irollo maurizio | 80034 marigliano - italy;marigliano - italy;80034;italy;urban fixtures and installations | street furniture | general renovation work | lighting;the company irollo maurizio arredo urbano & illuminazione stradale, is a service provider, which operates in the urban fixtures and installations industry. it also operates in the street furniture, general renovation work, and lighting industries. it is based in marigliano, italy.;;;;False;;https://www.irollo.it;;irollo-maurizio-arredo-urbano-illuminazione-stradale_00000005476074-001
cd falegnameria di cantarutti davide;construction_public_works;urban_fixtures_and_installations;;service provider;115 via dell' artigianato | 33043 cividale del friuli - italy;cividale del friuli - italy;33043;italy;urban fixtures and installations | benches, park | toilets, public;the company cd falegnameria di cantarutti davide, is a service provider, founded in 1987, which operates in the urban fixtures and installations industry. it also operates in the benches, park, and toilets, public industries. it is based in cividale del friuli, italy.;1.0;10.0;registered office;False;1987.0;http://www.cdfalegnameria.it;;cd-falegnameria-di-cantarutti-davide_seac000435604-001
icem s.r.l.;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;km. 63.800 strada statale e 45 | 06132 perugia - italy;perugia - italy;6132;italy;sun protection, interior and exterior | stairs and handrails | urban fixtures and installations;the company icem s.r.l., is a manufacturer/ producer, founded in 1977, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and urban fixtures and installations industries. it is based in perugia, italy.;;;registered office;False;1977.0;http://www.icem-manufatti.it;;icem-srl_seac000119862-001
tlf s.r.l.;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;42 via del molino-corsalone | 52010 chiusi della verna - italy;chiusi della verna - italy;52010;italy;furniture and decorations, garden | urban fixtures and installations | games, garden;the company tlf s.r.l., is a manufacturer/ producer, founded in 1984, which operates in the furniture and decorations, garden industry. it also operates in the urban fixtures and installations, and games, garden industries. it is based in chiusi della verna, italy.;;;registered office;False;1984.0;http://www.tlf.it;;tlf-srl_seac000436342-001
cavina angelo;construction_public_works;urban_fixtures_and_installations;;wholesaler;38 via i maggio | 48032 casola valsenio - italy;casola valsenio - italy;48032;italy;sun protection, interior and exterior | stairs and handrails | urban fixtures and installations;the company cavina angelo, is a wholesaler, founded in 1953, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and urban fixtures and installations industries. it is based in casola valsenio, italy.;11.0;50.0;registered office;False;1953.0;http://www.cavinaangelo.it;;cavina-angelo_seac000008039-001
c.i.p. pubblicita' s.r.l.;construction_public_works;urban_fixtures_and_installations;;service provider;24 via dell' industria | 36040 torri di quartesolo - italy;torri di quartesolo - italy;36040;italy;advertising design - graphic artists and designers | urban fixtures and installations | souvenirs and advertising items;the company c.i.p. pubblicita' s.r.l., is a service provider, founded in 2005, which operates in the advertising design - graphic artists and designers industry. it also operates in the urban fixtures and installations, and souvenirs and advertising items industries. it is based in torri di quartesolo, italy.;;;registered office;False;2005.0;http://www.cip-pubblicita.it;;cip-pubblicita-srl_seac000848976-001
antoniazzi s.p.a.;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;11 via cremona | 26026 pizzighettone - italy;pizzighettone - italy;26026;italy;urban fixtures and installations | benches, park | toilets, public;the company antoniazzi s.p.a., is a manufacturer/ producer, founded in 1923, which operates in the urban fixtures and installations industry. it also operates in the benches, park, and toilets, public industries. it is based in pizzighettone, italy.;;;registered office;False;1923.0;http://www.antoniazzi.it;;antoniazzi-spa_seac000020980-001
delta s.r.l.;construction_public_works;urban_fixtures_and_installations;;wholesaler;2 via rossini | 25050 pian camuno - italy;pian camuno - italy;25050;italy;urban fixtures and installations | fences and gates | sports facilities;the company delta s.r.l., is a wholesaler, founded in 1992, which operates in the urban fixtures and installations industry. it also operates in the fences and gates, and sports facilities industries. it is based in pian camuno, italy.;;;registered office;False;1992.0;http://www.deltaparchi.it;;delta-srl_seac000847396-001
c.e.r. di russo giuseppe & c. s.a.s.;construction_public_works;urban_fixtures_and_installations;;;12 via circunvallazione | 83045 calitri - italy;calitri - italy;83045;italy;signs and signalling panels and boards | safety equipment, work | urban fixtures and installations;the company c.e.r. di russo giuseppe & c. s.a.s., founded in 1987, which operates in the signs and signalling panels and boards industry. it also operates in the safety equipment, work, and urban fixtures and installations industries. it is based in calitri, italy.;11.0;50.0;registered office;False;1987.0;http://www.cergas.com;;cer-di-russo-giuseppe-c-sas_seac000507357-001
cementarte s.r.l.;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;9/a via s. giuseppe | 48015 cervia - italy;cervia - italy;48015;italy;urban fixtures and installations | sun protection, interior and exterior | stairs and handrails;the company cementarte s.r.l., is a manufacturer/ producer, founded in 2005, which operates in the urban fixtures and installations industry. it also operates in the sun protection, interior and exterior, and stairs and handrails industries. it is based in cervia, italy.;11.0;50.0;registered office;False;2005.0;http://www.cementarte.com;;cementarte-srl_seac000270478-001
giochi plastica riciclata;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;via sicilia snc | 04010 sezze scalo - italy;sezze scalo - italy;4010;italy;urban fixtures and installations;the company giochi plastica riciclata, is a manufacturer/ producer, which operates in the urban fixtures and installations industry. it is based in sezze scalo, italy.;51.0;100.0;;False;;http://www.giochiplasticariciclata.com;;giochi-plastica-riciclata_00000003728335-117134001
effe.di.srl metaldesign;construction_public_works;urban_fixtures_and_installations;;manufacturer/ producer;via delle industrie numero 38 | 73059 ugento - italy;ugento - italy;73059;italy;urban fixtures and installations | playground benches | baskets for urban decoration;the company effe.di.srl metaldesign, is a manufacturer/ producer, which operates in the urban fixtures and installations industry. it also operates in the playground benches, and baskets for urban decoration industries. it is based in ugento, italy.;1.0;10.0;;False;;http://www.effedimetaldesign.it;;effedisrl-metaldesign_00000004015543-292850001
cementart s.n.c.;construction_public_works;urban_fixtures_and_installations;;service provider;3 via e. fermi | 43052 colorno - italy;colorno - italy;43052;italy;sun protection, interior and exterior | stairs and handrails | urban fixtures and installations;the company cementart s.n.c., is a service provider, founded in 1985, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and urban fixtures and installations industries. it is based in colorno, italy.;11.0;50.0;registered office;False;1985.0;http://www.cementart.it/;;cementart-snc_seac000436714-001
water world di amati andrea;construction_public_works;urban_fixtures_and_installations;;;6222 via settecrociari | 47522 cesena - italy;cesena - italy;47522;italy;irrigation and sprinkling systems | urban fixtures and installations | sprinkler systems;the company water world di amati andrea, founded in 2000, which operates in the irrigation and sprinkling systems industry. it also operates in the urban fixtures and installations, and sprinkler systems industries. it is based in cesena, italy.;1.0;10.0;registered office;False;2000.0;http://www.water-w.it;;water-world-di-amati-andrea_seac000842069-001
fi.ma s.r.l.;construction_public_works;urban_fixtures_and_installations;;wholesaler;65/a via tito maresciallo | 42020 quattro castella - italy;quattro castella - italy;42020;italy;urban fixtures and installations | benches, park | toilets, public;the company fi.ma s.r.l., is a wholesaler, founded in 1983, which operates in the urban fixtures and installations industry. it also operates in the benches, park, and toilets, public industries. it is based in quattro castella, italy.;11.0;50.0;registered office;False;1983.0;http://www.fima-arredo.it;;fima-srl_seac000164927-001
vigna recycling s.r.l.;construction_public_works;urban_fixtures_and_installations;;service provider;16 via silone ignazio | 60035 jesi - italy;jesi - italy;60035;italy;grids, gratings and wire mesh | urban fixtures and installations | paper & cardboard - raw materials;the company vigna recycling s.r.l., is a service provider, which operates in the grids, gratings and wire mesh industry. it also operates in the urban fixtures and installations, and paper & cardboard - raw materials industries. it is based in jesi, italy.;;;registered office;False;;https://www.rottamimetallicijesi.it/;;vigna-recycling-srl_seac005741514-001
