company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
malvin srl;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;strada statale 7 bis km 15.400 | 81030 gricignano di aversa - italy;gricignano di aversa - italy;81030;italy;coatings, insulating | coatings, putties and sealing products | additives, cement and mortar | mortar for construction industry | paints and varnishes | premixed plasters | damp curing plaster | biobuilding | special mortars | washable paints;malvin is one of today's main building materials and technology companies on the strength of its forty years of experience. it adapts to the ever-changing market and aims at the highest quality standards by creating quality products with guaranteed performance levels. today we work alongside designers, resellers and assemblers with a vast range of products, such as mortar for bricklaying, premixed plaster, concrete foundations and many, many more.;;;registered office – parent company;True;1983.0;https://www.malvinsrl.com/, https://it-it.facebook.com/malvinsrl/;;malvin-srl_seac000766558-001
carcos group s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;via luigi galvani 26 | 39100 bolzano - italy;bolzano - italy;39100;italy;lubricants for cars | technical spray | rust remover spray | brake cleaner spray | lubricants spray;~as a matter of fact all carcos dealers have very soon identified the reasons on which their and our success were based: the very high quality of the products, their actual competitiveness, the wide range of 150 articles, which we keep on widening and bringing up to date, the very careful observance of the existing european regulations, the respect for the environment as well as our quick and reliable service. and furthermore; the constant care of our customers, the numerous international fairs, the meetings, the advertising campains, the image care on the mass-media, the productivity of our brands commercializiation.~;11.0;50.0;;False;;https://www.carcos.com;;carcos-group-srl_00000004607737-419667001
casaplast di natali donald e c. s.a.s.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;30 via senteruoli | 24048 treviolo - italy;treviolo - italy;24048;italy;paints and varnishes | coatings, putties and sealing products | wall coverings;the company casaplast di natali donald e c. s.a.s., is a manufacturer/ producer, which operates in the paints and varnishes industry. it also operates in the coatings, putties and sealing products, and wall coverings industries. it is based in treviolo, italy.;11.0;50.0;registered office;False;;https://www.casaplast.it/;;casaplast-di-natali-donald-e-c-sas_seac005365499-001
heres s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;10 vicolo mattei e. | 31055 quinto di treviso - italy;quinto di treviso - italy;31055;italy;coatings, putties and sealing products | plaster | roughcast;the company heres s.r.l., is a manufacturer/ producer, founded in 1995, which operates in the coatings, putties and sealing products industry. it also operates in the plaster, and roughcast industries. it is based in quinto di treviso, italy.;11.0;50.0;registered office;False;1995.0;http://www.paginegialle.it/srl_dlicff;;heres-srl_seac002763791-001
index s.p.a.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;22 via rossini gioacchino | 37060 castel d'azzano - italy;castel d'azzano - italy;37060;italy;coatings, putties and sealing products | water-repellent products | waterproofing construction products;the company index s.p.a., is a manufacturer/ producer, founded in 1978, which operates in the coatings, putties and sealing products industry. it also operates in the water-repellent products, and waterproofing construction products industries. it is based in castel d'azzano, italy.;;;registered office;False;1978.0;http://www.indexspa.it;;index-spa_seac000184637-001
aron s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;;236/r via pastorino pasquale | 16162 genova - italy;genova - italy;16162;italy;paints and varnishes | fire protection equipment | coatings, putties and sealing products;the company aron s.r.l., founded in 1986, which operates in the paints and varnishes industry. it also operates in the fire protection equipment, and coatings, putties and sealing products industries. it is based in genova, italy.;11.0;50.0;registered office;False;1986.0;http://www.arongenova.it;;aron-srl_seac000787376-001
b.f. plastosil s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;16 via del vallo | 31030 castello di godego - italy;castello di godego - italy;31030;italy;coatings, putties and sealing products | silicones | chemical additives for the beverage industry;the company b.f. plastosil s.r.l., is a manufacturer/ producer, founded in 1998, which operates in the coatings, putties and sealing products industry. it also operates in the silicones, and chemical additives for the beverage industry industries. it is based in castello di godego, italy.;;;registered office;False;1998.0;http://www.plastosil.com;;bf-plastosil-srl_seac000870764-001
sercom;glass_construction_materials;coatings_putties_and_sealing_products;;wholesaler;59/i localita' s. maria del piano | 61049 urbania - italy;urbania - italy;61049;italy;paints and varnishes | coatings, putties and sealing products | drying agents for paints and varnishes;the company sercom, is a wholesaler, which operates in the paints and varnishes industry. it also operates in the coatings, putties and sealing products, and drying agents for paints and varnishes industries. it is based in urbania, italy.;11.0;50.0;registered office;False;;http://www.sercom-snc.it;;sercom_seac000667888-001
taka s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;;19/25 via dell' artigianato | 36064 colceresa - italy;colceresa - italy;36064;italy;glues, adhesives and applicators | coatings, putties and sealing products | silicones;the company taka s.r.l., founded in 2003, which operates in the glues, adhesives and applicators industry. it also operates in the coatings, putties and sealing products, and silicones industries. it is based in colceresa, italy.;11.0;50.0;;False;2003.0;http://www.taka.it;;taka-srl_seac000834828-001
edilsigill s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;wholesaler;38 via massarenti | 40013 castel maggiore - italy;castel maggiore - italy;40013;italy;coatings, putties and sealing products | silicones | sealants for construction work;the company edilsigill s.r.l., is a wholesaler, founded in 1985, which operates in the coatings, putties and sealing products industry. it also operates in the silicones, and sealants for construction work industries. it is based in castel maggiore, italy.;1.0;10.0;registered office;False;1985.0;http://www.edilsigill.it;;edilsigill-srl_seac000153256-001
hotel marina;glass_construction_materials;coatings_putties_and_sealing_products;;;93 viale mille | 47042 cesenatico - italy;cesenatico - italy;47042;italy;coatings, putties and sealing products | plaster | roughcast;the company hotel marina, founded in 1999, which operates in the coatings, putties and sealing products industry. it also operates in the plaster, and roughcast industries. it is based in cesenatico, italy.;11.0;50.0;registered office;False;1999.0;http://www.hotelmarinacesenatico.com;;hotel-marina_seac000786067-001
impertek s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;507 via po | 30022 ceggia - italy;ceggia - italy;30022;italy;coatings, putties and sealing products | water-repellent products | waterproofing construction products;the company impertek s.r.l., is a manufacturer/ producer, founded in 1999, which operates in the coatings, putties and sealing products industry. it also operates in the water-repellent products, and waterproofing construction products industries. it is based in ceggia, italy.;11.0;50.0;registered office;False;1999.0;http://www.impertek.com;;impertek-srl_seac000837699-001
trading s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;;20 via traiano imperatore | 47122 forli' - italy;forli' - italy;47122;italy;floors, industrial | coatings, putties and sealing products | floors, computer room;the company trading s.r.l., founded in 1976, which operates in the floors, industrial industry. it also operates in the coatings, putties and sealing products, and floors, computer room industries. it is based in forli', italy.;;;registered office;False;1976.0;https://www.tradingsrl.it/;;trading-srl_seac000116207-001
asfalti tuozzo;glass_construction_materials;coatings_putties_and_sealing_products;;;17 contrada maglianiello | 84030 atena lucana - italy;atena lucana - italy;84030;italy;sound insulation materials | thermal insulation materials | coatings, putties and sealing products;the company asfalti tuozzo, founded in 1988, which operates in the sound insulation materials industry. it also operates in the thermal insulation materials, and coatings, putties and sealing products industries. it is based in atena lucana, italy.;;;registered office;False;1988.0;http://www.paginebianche.it/asfaltituozzo-atenalucana;;asfalti-tuozzo_seac000745710-001
p.l.s. s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;subcontractor;su titti | 09025 sanluri - italy;sanluri - italy;9025;italy;coatings, putties and sealing products | water-repellent products | waterproofing construction products;the company p.l.s. s.r.l., is a subcontractor, founded in 2004, which operates in the coatings, putties and sealing products industry. it also operates in the water-repellent products, and waterproofing construction products industries. it is based in sanluri, italy.;;;registered office;False;2004.0;http://www.plsimpermeabilizzazioni.it;;pls-srl_seac002699327-001
sika engineering silicones s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;6 via einaudi luigi | 20068 peschiera borromeo - italy;peschiera borromeo - italy;20068;italy;coatings, putties and sealing products | silicones;the company sika engineering silicones s.r.l., is a manufacturer/ producer, founded in 2003, which operates in the coatings, putties and sealing products industry. it also operates in the silicones industries. it is based in peschiera borromeo, italy.;51.0;100.0;registered office;False;2003.0;http://www.sika.com;;sika-engineering-silicones-srl_seac002994613-001
isocaf s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;service provider;2 via varisco colonnello | 35010 vigonza - italy;vigonza - italy;35010;italy;coatings, putties and sealing products | roofing materials | weatherproofing contractors;the company isocaf s.r.l., is a service provider, founded in 1978, which operates in the coatings, putties and sealing products industry. it also operates in the roofing materials, and weatherproofing contractors industries. it is based in vigonza, italy.;;;registered office;False;1978.0;https://www.isocaf.it/;;isocaf-srl_seac000190451-001
tecno simper s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;cna serinda | 20018 sedriano - italy;sedriano - italy;20018;italy;coatings, putties and sealing products | electricity - production and distribution | energy sources, alternative - equipment and systems;the company tecno simper s.r.l., is a manufacturer/ producer, founded in 1993, which operates in the coatings, putties and sealing products industry. it also operates in the electricity - production and distribution, and energy sources, alternative - equipment and systems industries. it is based in sedriano, italy.;11.0;50.0;registered office;False;1993.0;http://www.tecnosimper.it;;tecno-simper-srl_seac001092110-001
premix s.p.a.;glass_construction_materials;coatings_putties_and_sealing_products;;wholesaler;1 contrada santa catrini | 96010 melilli - italy;melilli - italy;96010;italy;coatings, putties and sealing products | plaster | roughcast;the company premix s.p.a., is a wholesaler, founded in 1989, which operates in the coatings, putties and sealing products industry. it also operates in the plaster, and roughcast industries. it is based in melilli, italy.;11.0;50.0;registered office;False;1989.0;http://www.premix.it;;premix-spa_seac000234438-001
geo hydrica s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;3 via vassanelli pietro | 37012 bussolengo - italy;bussolengo - italy;37012;italy;coatings, putties and sealing products | paints and varnishes | drying agents for paints and varnishes;the company geo hydrica s.r.l., is a manufacturer/ producer, founded in 1997, which operates in the coatings, putties and sealing products industry. it also operates in the paints and varnishes, and drying agents for paints and varnishes industries. it is based in bussolengo, italy.;;;registered office;False;1997.0;http://www.venber.com;;geo-hydrica-srl_seac000797375-001
calceforte s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;5 via molino vigne | 47824 poggio torriana - italy;poggio torriana - italy;47824;italy;coatings, putties and sealing products | plaster | roughcast;the company calceforte s.r.l., is a manufacturer/ producer, founded in 2004, which operates in the coatings, putties and sealing products industry. it also operates in the plaster, and roughcast industries. it is based in poggio torriana, italy.;11.0;50.0;registered office;False;2004.0;http://www.calceforte.it;;calceforte-srl_seac001672112-001
sistempav s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;service provider;70 via s. sofia | 85025 melfi - italy;melfi - italy;85025;italy;floors, industrial | coatings, putties and sealing products | floors, computer room;the company sistempav s.r.l., is a service provider, founded in 2004, which operates in the floors, industrial industry. it also operates in the coatings, putties and sealing products, and floors, computer room industries. it is based in melfi, italy.;11.0;50.0;registered office;False;2004.0;http://www.sistempav.it/;;sistempav-srl_seac000457815-001
fantini sandro;glass_construction_materials;coatings_putties_and_sealing_products;;;18 via cavalieri di vittorio veneto | 01030 corchiano - italy;corchiano - italy;1030;italy;coatings, putties and sealing products | plaster | roughcast;the company fantini sandro, founded in 2001, which operates in the coatings, putties and sealing products industry. it also operates in the plaster, and roughcast industries. it is based in corchiano, italy.;;;registered office;False;2001.0;;;fantini-sandro_seac006179615-001
i.m.e.r.;glass_construction_materials;coatings_putties_and_sealing_products;;service provider;68 via dell' asfodelo | 70022 altamura - italy;altamura - italy;70022;italy;wall coverings | paints and varnishes | coatings, putties and sealing products;the company i.m.e.r., is a service provider, founded in 1992, which operates in the wall coverings industry. it also operates in the paints and varnishes, and coatings, putties and sealing products industries. it is based in altamura, italy.;1.0;10.0;registered office;False;1992.0;;;imer_seac003020511-001
basf construction chemicals italia s.p.a.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;5 viale vittorio veneto | 31100 treviso - italy;treviso - italy;31100;italy;coatings, putties and sealing products | bricks | plaster and plaster products;the company basf construction chemicals italia s.p.a., is a manufacturer/ producer, founded in 1989, which operates in the coatings, putties and sealing products industry. it also operates in the bricks, and plaster and plaster products industries. it is based in treviso, italy.;;;;False;1989.0;http://www.basf-cc.it;;basf-construction-chemicals-italia-spa_seac000647818-001
caraglio asfalti;glass_construction_materials;coatings_putties_and_sealing_products;;subcontractor;4/a via ii giugno | 12023 caraglio - italy;caraglio - italy;12023;italy;coatings, putties and sealing products | weatherproofing contractors | rehabilitation – works;the company caraglio asfalti, is a subcontractor, founded in 1997, which operates in the coatings, putties and sealing products industry. it also operates in the weatherproofing contractors, and rehabilitation – works industries. it is based in caraglio, italy.;;;registered office;False;1997.0;;;caraglio-asfalti_seac000761019-001
i.d.n. s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;service provider;130 via brigata osoppo | 33074 fontanafredda - italy;fontanafredda - italy;33074;italy;coatings, putties and sealing products | weatherproofing contractors | roofing contractors;the company i.d.n. s.r.l., is a service provider, founded in 2006, which operates in the coatings, putties and sealing products industry. it also operates in the weatherproofing contractors, and roofing contractors industries. it is based in fontanafredda, italy.;;;registered office;False;2006.0;;;idn-srl_seac000455626-001
colorificio calabro scaramuzzino s.a.s. del dott.giuseppe massimo scaramuzzino;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;localita' passovecchio | 88900 crotone - italy;crotone - italy;88900;italy;paints and varnishes | coatings, putties and sealing products | drying agents for paints and varnishes;the company colorificio calabro scaramuzzino s.a.s. del dott.giuseppe massimo scaramuzzino, is a manufacturer/ producer, founded in 1992, which operates in the paints and varnishes industry. it also operates in the coatings, putties and sealing products, and drying agents for paints and varnishes industries. it is based in crotone, italy.;;;registered office;False;1992.0;;;colorificio-calabro-scaramuzzino-sas-del-dottgiuseppe-massimo-scaramuzzino_seac000558892-001
i.m.e.c.;glass_construction_materials;coatings_putties_and_sealing_products;;;34 cascina rubina | 10046 poirino - italy;poirino - italy;10046;italy;coatings, putties and sealing products | home automation | hydroelectric factories;the company i.m.e.c., founded in 1996, which operates in the coatings, putties and sealing products industry. it also operates in the home automation, and hydroelectric factories industries. it is based in poirino, italy.;11.0;50.0;registered office;False;1996.0;;;imec_seac003269430-001
viropa di lordi vito;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;6 via del sole | 84020 san gregorio magno - italy;san gregorio magno - italy;84020;italy;coatings, putties and sealing products | rehabilitation – works | underground work - contractors;the company viropa di lordi vito, is a manufacturer/ producer, which operates in the coatings, putties and sealing products industry. it also operates in the rehabilitation – works, and underground work - contractors industries. it is based in san gregorio magno, italy.;;;registered office;False;;;;viropa-di-lordi-vito_seac006053313-001
seep bo s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;;1/2a via galliera | 40010 bentivoglio - italy;bentivoglio - italy;40010;italy;coatings, putties and sealing products | silicones;the company seep bo s.r.l., founded in 2007, which operates in the coatings, putties and sealing products industry. it also operates in the silicones industries. it is based in bentivoglio, italy.;11.0;50.0;registered office;False;2007.0;;;seep-bo-srl_seac004635281-001
bemybit s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;wholesaler;47 via g.matteotti | 81030 cesa - italy;cesa - italy;81030;italy;ceilings | coatings, putties and sealing products | ceilings, suspended;the company bemybit s.r.l., is a wholesaler, founded in 2002, which operates in the ceilings industry. it also operates in the coatings, putties and sealing products, and ceilings, suspended industries. it is based in cesa, italy.;;;registered office;False;2002.0;;;bemybit-srl_seac000808916-001
intofer s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;subcontractor;25 via s. ulderico | 37064 povegliano veronese - italy;povegliano veronese - italy;37064;italy;bricks | plaster and plaster products | coatings, putties and sealing products;the company intofer s.r.l., is a subcontractor, founded in 2005, which operates in the bricks industry. it also operates in the plaster and plaster products, and coatings, putties and sealing products industries. it is based in povegliano veronese, italy.;11.0;50.0;;False;2005.0;;;intofer-srl_seac002242653-001
risanamur s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;localita' contrada terzerie | 84053 cicerale - italy;cicerale - italy;84053;italy;coatings, putties and sealing products | putty | stuccoes for metal;the company risanamur s.r.l., is a manufacturer/ producer, which operates in the coatings, putties and sealing products industry. it also operates in the putty, and stuccoes for metal industries. it is based in cicerale, italy.;11.0;50.0;registered office;False;;;;risanamur-srl_seac002731877-001
locatelli intonaci s.r.l.;glass_construction_materials;coatings_putties_and_sealing_products;;manufacturer/ producer;colleoni | 24020 ranica - italy;ranica - italy;24020;italy;coatings, putties and sealing products | wall coverings | plaster;the company locatelli intonaci s.r.l., is a manufacturer/ producer, founded in 1978, which operates in the coatings, putties and sealing products industry. it also operates in the wall coverings, and plaster industries. it is based in ranica, italy.;;;registered office;False;1978.0;;;locatelli-intonaci-srl_seac000189684-001
