company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
la matassina s.r.l.;glass_construction_materials;concrete_products_and_conglomerates;;manufacturer/ producer;via bacchiglione, 28 | 36033 isola vicentina - italy;isola vicentina - italy;36033.0;italy;concrete products and conglomerates | steel fibres | polypropylene fibres;the company la matassina s.r.l., is a manufacturer/ producer, founded in 1980, which operates in the concrete products and conglomerates industry. it also operates in the steel fibres, and polypropylene fibres industries. it is based in isola vicentina, italy.;11.0;50.0;registered office – parent company;False;1980.0;http://www.lamatassina.it;;la-matassina-srl_00000004694886-493283001
manufatti in cemento s.r.l.;glass_construction_materials;concrete_products_and_conglomerates;;manufacturer/ producer;7 via beato alberto | 24023 clusone - italy;clusone - italy;24023.0;italy;sun protection, interior and exterior | stairs and handrails | concrete products and conglomerates;the company manufatti in cemento s.r.l., is a manufacturer/ producer, founded in 1993, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and concrete products and conglomerates industries. it is based in clusone, italy.;;;registered office;False;1993.0;http://www.spadamanufatti.it;;manufatti-in-cemento-srl_seac000680106-001
prefabbricati elba s.r.l.;glass_construction_materials;concrete_products_and_conglomerates;;manufacturer/ producer;19 via casale | 15040 occimiano - italy;occimiano - italy;15040.0;italy;sun protection, interior and exterior | stairs and handrails | concrete products and conglomerates;the company prefabbricati elba s.r.l., is a manufacturer/ producer, founded in 1984, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and concrete products and conglomerates industries. it is based in occimiano, italy.;;;registered office;False;1984.0;https://www.prefabbricatielba.it/;;prefabbricati-elba-srl_seac000595603-001
fornace eugenio casetta s.r.l.;glass_construction_materials;concrete_products_and_conglomerates;;manufacturer/ producer;77 corso canale | 12051 alba - italy;alba - italy;12051.0;italy;bricks | concrete products and conglomerates | plaster and plaster products;the company fornace eugenio casetta s.r.l., is a manufacturer/ producer, founded in 2006, which operates in the bricks industry. it also operates in the concrete products and conglomerates, and plaster and plaster products industries. it is based in alba, italy.;;;registered office;False;2006.0;http://www.paginebianche.it/fornaceeugeniocasetta-alba;;fornace-eugenio-casetta-srl_seac000841976-001
lorenzi di lorenzi marino & valerio s.n.c.;glass_construction_materials;concrete_products_and_conglomerates;;manufacturer/ producer;papa giovanni xxiii | 25072 bagolino - italy;bagolino - italy;25072.0;italy;sun protection, interior and exterior | stairs and handrails | concrete products and conglomerates;the company lorenzi di lorenzi marino & valerio s.n.c., is a manufacturer/ producer, founded in 1997, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and concrete products and conglomerates industries. it is based in bagolino, italy.;;;registered office;False;1997.0;http://www.manufattilorenzi.it;;lorenzi-di-lorenzi-marino-valerio-snc_seac000570955-001
c.m.c. s.r.l.;glass_construction_materials;concrete_products_and_conglomerates;;manufacturer/ producer;3 via gorizia | 24040 madone - italy;madone - italy;24040.0;italy;sun protection, interior and exterior | stairs and handrails | concrete products and conglomerates;the company c.m.c. s.r.l., is a manufacturer/ producer, founded in 1980, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and concrete products and conglomerates industries. it is based in madone, italy.;11.0;50.0;registered office;False;1980.0;http://www.cmcmanufatticemento.com;;cmc-srl_seac000336698-001
vinci pavimenti s.r.l.;glass_construction_materials;concrete_products_and_conglomerates;;;1 via siena | 96012 avola - italy;avola - italy;96012.0;italy;sun protection, interior and exterior | stairs and handrails | concrete products and conglomerates;the company vinci pavimenti s.r.l., which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and concrete products and conglomerates industries. it is based in avola, italy.;;;;False;;http://www.paginegialle.it/pavimentivinciavola1905;;vinci-pavimenti-srl_seac005568958-001
cementer s.r.l.;glass_construction_materials;concrete_products_and_conglomerates;;;12 via somma brusciano | 80049 somma vesuviana - italy;somma vesuviana - italy;80049.0;italy;sun protection, interior and exterior | stairs and handrails | concrete products and conglomerates;the company cementer s.r.l., which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and concrete products and conglomerates industries. it is based in somma vesuviana, italy.;11.0;50.0;;False;;http://www.paginegialle.it/cementersrl;;cementer-srl_seac006368708-001
later sistem s.r.l.;glass_construction_materials;concrete_products_and_conglomerates;;manufacturer/ producer;via della nautica | 09122 cagliari - italy;cagliari - italy;9122.0;italy;concrete products and conglomerates | roofing materials | roofing contractors;the company later sistem s.r.l., is a manufacturer/ producer, founded in 1976, which operates in the concrete products and conglomerates industry. it also operates in the roofing materials, and roofing contractors industries. it is based in cagliari, italy.;;;;False;1976.0;http://www.laterizisrl.it;;later-sistem-srl_seac000109822-001
vibralcementi s.r.l.;glass_construction_materials;concrete_products_and_conglomerates;;wholesaler;211 via aurelia nord | 58100 grosseto - italy;grosseto - italy;58100.0;italy;sun protection, interior and exterior | stairs and handrails | concrete products and conglomerates;the company vibralcementi s.r.l., is a wholesaler, founded in 1959, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and concrete products and conglomerates industries. it is based in grosseto, italy.;11.0;50.0;registered office;False;1959.0;http://www.vibralcementi.com;;vibralcementi-srl_seac001204744-001
