company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
cartaffini srl;glass_construction_materials;crockery;;manufacturer/ producer;strada del santuario, 120 | 12045 fossano - italy;fossano - italy;12045.0;italy;crockery | plates | melamine tableware | cups | melamine tableware for the catering sector | bsowl | melamine accessories for the table | glasses;"cartaffini" is a top class brand with a vast selection of articles for sailing, camping, catering, the home, children and the community. "cartaffini service" tableware, made in italy since 1955 using the best powder melamine on the market and with an exclusive process, mirrors the tradition of italian design and craftsmanship with first rate quality.;;;registered office;True;;http://www.cartaffini.net;;cartaffini-srl_seac005268153-001
gold plast spa;glass_construction_materials;crockery;;manufacturer/ producer;via cesare battisti 3 | 21045 gazzada schianno - italy;gazzada schianno - italy;21045.0;italy;plastic - disposable tableware and articles | crockery | tableware | glasses | supplies for the food and canning industry;manufacture of quality plastic crockery items for food: tableware, cutlery, glasses, trays, dishes for snacks and aperitifs, articles for banquets and receptions, bakeries, ice creams, restaurants, caterers, and the catering industry in general. typical italian creativity, european-wide production capability, a multi-channel distribution network. dense distribution network throughout italy and overseas, wholesale and retail.;;;registered office – parent company;False;;http://www.goldplast.it;;gold-plast-spa_seac000578096-001
salvinelli (s.r.l.);glass_construction_materials;crockery;;manufacturer/ producer;via repubblica 28 | 25065 lumezzane - italy;lumezzane - italy;25065.0;italy;houseware, metal | knives | crockery | kitchenware;the company salvinelli (s.r.l.), is a manufacturer/ producer, founded in 1964, which operates in the houseware, metal industry. it also operates in the knives, crockery, and kitchenware industries. it is based in lumezzane, italy.;11.0;50.0;registered office – parent company;False;1964.0;;;salvinelli-srl_ita113506-00101
deroma s.p.a.;glass_construction_materials;crockery;;manufacturer/ producer;17 via pasubio | 36034 malo - italy;malo - italy;36034.0;italy;crockery | terra-cotta crockery | high-quality terracotta vases;the company deroma s.p.a., is a manufacturer/ producer, founded in 2002, which operates in the crockery industry. it also operates in the terra-cotta crockery, and high-quality terracotta vases industries. it is based in malo, italy.;;;;False;2002.0;http://www.deroma.it;;deroma-spa_seac001106249-001
derby legno ceramica;glass_construction_materials;crockery;;manufacturer/ producer;38 frazione champagne | 11018 villeneuve - italy;villeneuve - italy;11018.0;italy;crockery | decorative porcelain | ornamental ceramics;the company derby legno ceramica, is a manufacturer/ producer, founded in 1999, which operates in the crockery industry. it also operates in the decorative porcelain, and ornamental ceramics industries. it is based in villeneuve, italy.;11.0;50.0;registered office;False;1999.0;http://www.ceramicaderby.com;;derby-legno-ceramica_seac001489345-001
la ceramica v.b.c.;glass_construction_materials;crockery;;manufacturer/ producer;45 via molini | 36055 nove - italy;nove - italy;36055.0;italy;crockery | decorative porcelain | ornamental ceramics;the company la ceramica v.b.c., is a manufacturer/ producer, founded in 1979, which operates in the crockery industry. it also operates in the decorative porcelain, and ornamental ceramics industries. it is based in nove, italy.;11.0;50.0;registered office;False;1979.0;http://www.laceramicavbc.com;;la-ceramica-vbc_seac001492308-001
cotto mediterraneo s.r.l.;glass_construction_materials;crockery;;manufacturer/ producer;cimitero | zona industriale | 84013 cava de' tirreni - italy;cava de' tirreni - italy;84013.0;italy;crockery | decorative porcelain | ornamental ceramics;the company cotto mediterraneo s.r.l., is a manufacturer/ producer, founded in 1983, which operates in the crockery industry. it also operates in the decorative porcelain, and ornamental ceramics industries. it is based in cava de' tirreni, italy.;;;registered office;False;1983.0;http://www.cottomediterraneo.com;;cotto-mediterraneo-srl_seac000539392-001
cestenoli s.r.l.;glass_construction_materials;crockery;;retailer;45 via case nuove taiuti | 50037 scarperia e san piero - italy;scarperia e san piero - italy;50037.0;italy;souvenirs and advertising items | crockery | gardening and horticulture - equipment and supplies;the company cestenoli s.r.l., is a retailer, founded in 1977, which operates in the souvenirs and advertising items industry. it also operates in the crockery, and gardening and horticulture - equipment and supplies industries. it is based in scarperia e san piero, italy.;11.0;50.0;registered office;False;1977.0;http://www.terrecottecestenoli.com;;cestenoli-srl_seac000363546-001
nesti guido ceramiche;glass_construction_materials;crockery;;manufacturer/ producer;2/4 via ii ponti | 56010 vicopisano - italy;vicopisano - italy;56010.0;italy;crockery | decorative porcelain | ornamental ceramics;the company nesti guido ceramiche, is a manufacturer/ producer, founded in 1975, which operates in the crockery industry. it also operates in the decorative porcelain, and ornamental ceramics industries. it is based in vicopisano, italy.;;;registered office;False;1975.0;http://www.paginegialle.it/nestiguidoceramiche;;nesti-guido-ceramiche_seac000064827-001
fliesen 2000 s.r.l.;glass_construction_materials;crockery;;wholesaler;16 via zuegg luis | 39012 merano - italy;merano - italy;39012.0;italy;tiles | bathrooms - furniture and fittings | crockery;the company fliesen 2000 s.r.l., is a wholesaler, founded in 1978, which operates in the tiles industry. it also operates in the bathrooms - furniture and fittings, and crockery industries. it is based in merano, italy.;;;registered office;False;1978.0;https://www.fliesen2000.it/;;fliesen-2000-srl_seac000130239-001
quattro erre s.r.l.;glass_construction_materials;crockery;;manufacturer/ producer;6/b via schiapparelli giovanni | 24126 bergamo - italy;bergamo - italy;24126.0;italy;crockery | houseware, metal | hotels, bars, cafés and restaurants - machinery and equipment;the company quattro erre s.r.l., is a manufacturer/ producer, founded in 1973, which operates in the crockery industry. it also operates in the houseware, metal, and hotels, bars, cafés and restaurants - machinery and equipment industries. it is based in bergamo, italy.;11.0;50.0;registered office;False;1973.0;http://www.paginegialle.it/quattroerresrl;;quattro-erre-srl_seac000097736-001
edilgarden di iacoponi luciano & c. s.a.s.;glass_construction_materials;crockery;;;2/e via aurelia | 57022 castagneto carducci - italy;castagneto carducci - italy;57022.0;italy;sun protection, interior and exterior | stairs and handrails | crockery;the company edilgarden di iacoponi luciano & c. s.a.s., founded in 1984, which operates in the sun protection, interior and exterior industry. it also operates in the stairs and handrails, and crockery industries. it is based in castagneto carducci, italy.;;;registered office;False;1984.0;http://www.edilgarden.it/;;edilgarden-di-iacoponi-luciano-c-sas_seac000190144-001
vetreria etrusca s.r.l.;glass_construction_materials;crockery;;manufacturer/ producer;70 via maremmana | 50056 montelupo fiorentino - italy;montelupo fiorentino - italy;50056.0;italy;glass hollowware | crockery | vials and flasks, glass;the company vetreria etrusca s.r.l., is a manufacturer/ producer, founded in 1950, which operates in the glass hollowware industry. it also operates in the crockery, and vials and flasks, glass industries. it is based in montelupo fiorentino, italy.;;;registered office;False;1950.0;http://www.vetreriaetrusca.it;;vetreria-etrusca-srl_seac000108217-001
