company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
cristalma sas;glass_construction_materials;crystal_glassware;;manufacturer/ producer;via s. d'acquisto, 8 | 20900 monza - italy;monza - italy;20900;italy;crystal glassware | glass items for beverages and liquids | article for restaurants | articles in blown glass;the company cristalma sas, is a manufacturer/ producer, which operates in the crystal glassware industry. it also operates in the glass items for beverages and liquids, article for restaurants, and articles in blown glass industries. it is based in monza, italy.;;;registered office – parent company;True;;http://www.cristalma.it/en-gb/home;;cristalma-sas_seac000193071-001
bormioli luigi s.p.a.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;viale europa 72/a | 43122 parma - italy;parma - italy;43122;italy;crystal glassware | crystal glass | perfume bottle designer | bottles | borosilicate glass;beautiful award winning designs, elegance and strength are some of the features that make luigi bormioli crystal glasses so special. the collection has been developed to provide a superior, resonant, blown glass in a quality and purity rivaling that of lead crystal. bormioli luigi has built a solid history on its reliability and trustworthiness, which has grown over the years. it engineers actually more than 100 new projects every year, giving each one of them its utmost attention, because we are truly aware that for every customer there is only one existing project, their project.;501.0;inf;registered office – parent company;False;1946.0;http://www.bormioliluigi.com/;;bormioli-luigi-spa_00000004611088-423670001
aeffe creazioni;glass_construction_materials;crystal_glassware;;service provider;corso racconigi, 205/a | 10141 torino - italy;torino - italy;10141;italy;crystal glassware | minerals | jewellery with semi-precious stones | bracelets | necklaces;the company aeffe creazioni, is a service provider, which operates in the crystal glassware industry. it also operates in the minerals, jewellery with semi-precious stones, bracelets, and necklaces industries. it is based in torino, italy.;;;registered office – subsidiary;False;;http://www.aeffecreazioni.com;;aeffe-creazioni_seac001004390-001
verve di landi virginia;glass_construction_materials;crystal_glassware;;;116 via roma | 83042 atripalda - italy;atripalda - italy;83042;italy;crystal glassware | tableware | crystal glass;the company verve di landi virginia, founded in 1992, which operates in the crystal glassware industry. it also operates in the tableware, and crystal glass industries. it is based in atripalda, italy.;;;registered office;False;1992.0;http://www.verveonline.it;;verve-di-landi-virginia_seac000552467-001
compagnia italiana del cristallo s.p.a.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;zona industriale pian dell'olmino | 53034 colle di val d'elsa - italy;colle di val d'elsa - italy;53034;italy;crystal glassware | crystal glass | crystal lamps;the company compagnia italiana del cristallo s.p.a., is a manufacturer/ producer, founded in 1979, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in colle di val d'elsa, italy.;11.0;50.0;registered office;False;1979.0;http://www.arnolfodicambio.com;;compagnia-italiana-del-cristallo-spa_seac000073723-001
cristallo di colle val d'elsa;glass_construction_materials;crystal_glassware;;;8 via dei fossi | 53034 colle di val d'elsa - italy;colle di val d'elsa - italy;53034;italy;crystal glassware | crystal glass | crystal lamps;the company cristallo di colle val d'elsa, founded in 1988, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in colle di val d'elsa, italy.;;;;False;1988.0;http://www.comune.collevaldelsa.it;;cristallo-di-colle-val-delsa_seac001511039-001
grethal s.r.l.;glass_construction_materials;crystal_glassware;;distributor;27 piazza falcone | 47814 bellaria igea marina - italy;bellaria igea marina - italy;47814;italy;hotels, bars, cafés and restaurants - machinery and equipment | houseware, metal | crystal glassware;the company grethal s.r.l., is a distributor, founded in 2003, which operates in the hotels, bars, cafés and restaurants - machinery and equipment industry. it also operates in the houseware, metal, and crystal glassware industries. it is based in bellaria igea marina, italy.;;;registered office;False;2003.0;https://www.forniturealberghieregrethal.com/;;grethal-srl_seac000866074-001
cristallerie balestri s.r.l.;glass_construction_materials;crystal_glassware;;wholesaler;9 via nardi | 52022 cavriglia - italy;cavriglia - italy;52022;italy;crystal glassware | crystal glass | crystal lamps;the company cristallerie balestri s.r.l., is a wholesaler, founded in 1997, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in cavriglia, italy.;;;registered office;False;1997.0;http://www.c-ristbalestri.it;;cristallerie-balestri-srl_seac002000839-001
swarovski internazionale d'italia s.p.a.;glass_construction_materials;crystal_glassware;;wholesaler;3 via puccini giacomo | 20121 milano - italy;milano - italy;20121;italy;crystal glassware | crystal glass | crystal lamps;the company swarovski internazionale d'italia s.p.a., is a wholesaler, founded in 1968, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in milano, italy.;;;registered office;False;1968.0;http://www.swarovski.com;;swarovski-internazionale-ditalia-spa_seac000194975-001
cidiemme s.r.l.;glass_construction_materials;crystal_glassware;;wholesaler;42/g via cabassi sandro | 41123 modena - italy;modena - italy;41123;italy;crystal glassware | clothing accessories | clothing industry supplies;the company cidiemme s.r.l., is a wholesaler, founded in 1988, which operates in the crystal glassware industry. it also operates in the clothing accessories, and clothing industry supplies industries. it is based in modena, italy.;;;registered office;False;1988.0;http://www.cidiemmecarri.it;;cidiemme-srl_seac000541196-001
nuova vetreria s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;6 via spinelli | 31027 spresiano - italy;spresiano - italy;31027;italy;glass | home furniture | crystal glassware;the company nuova vetreria s.r.l., is a manufacturer/ producer, founded in 1985, which operates in the glass industry. it also operates in the home furniture, and crystal glassware industries. it is based in spresiano, italy.;;;registered office;False;1985.0;;;nuova-vetreria-srl_seac000605491-001
collevilca s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;24 localita' s. marziale | 53034 colle di val d'elsa - italy;colle di val d'elsa - italy;53034;italy;crystal glassware | crystal glass | crystal lamps;the company collevilca s.r.l., is a manufacturer/ producer, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in colle di val d'elsa, italy.;11.0;50.0;registered office;False;;;;collevilca-srl_seac006764013-001
vetri-serramenti-cornici d. morabito;glass_construction_materials;crystal_glassware;;manufacturer/ producer;24 via valprato | 10155 torino - italy;torino - italy;10155;italy;plate glass and mirrors | windows | crystal glassware;the company vetri-serramenti-cornici d. morabito, is a manufacturer/ producer, founded in 1999, which operates in the plate glass and mirrors industry. it also operates in the windows, and crystal glassware industries. it is based in torino, italy.;;;registered office;False;1999.0;;;vetriserramenticornici-d-morabito_seac001058489-001
cose belle di libralon l. & c. ( s.n.c. );glass_construction_materials;crystal_glassware;;;75 via s. giorgio | 35010 santa giustina in colle - italy;santa giustina in colle - italy;35010;italy;crystal glassware | pewter ornaments | crystal glass;the company cose belle di libralon l. & c. ( s.n.c. ), founded in 1992, which operates in the crystal glassware industry. it also operates in the pewter ornaments, and crystal glass industries. it is based in santa giustina in colle, italy.;;;registered office;False;1992.0;;;cose-belle-di-libralon-l-c-snc-_seac000356411-001
braganti antonio s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;7 via delle carra | 50144 firenze - italy;firenze - italy;50144;italy;gold and silver articles | crystal glassware | souvenirs and advertising items;the company braganti antonio s.r.l., is a manufacturer/ producer, which operates in the gold and silver articles industry. it also operates in the crystal glassware, and souvenirs and advertising items industries. it is based in firenze, italy.;;;registered office;False;;;;braganti-antonio-srl_seac000489621-001
cristalleria europa s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;perelli-levane | 52021 bucine (ar) - italy;bucine (ar) - italy;52021;italy;crystal glassware;the company cristalleria europa s.r.l., is a manufacturer/ producer, which operates in the crystal glassware industry. it is based in bucine (ar), italy.;1.0;10.0;;False;;http://www.cristalleriaeuropa.it;;cristalleria-europa-srl_ita016779-00101
borla bohemia s.r.l.;glass_construction_materials;crystal_glassware;;service provider;4 viale cirene | 20135 milano - italy;milano - italy;20135;italy;crystal glassware | crystal glass | crystal lamps;the company borla bohemia s.r.l., is a service provider, founded in 1973, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in milano, italy.;;;;False;1973.0;;;borla-bohemia-srl_seac000802592-001
ragosta vetri di de marinis maria rosaria;glass_construction_materials;crystal_glassware;;;126 via aielli | 80047 san giuseppe vesuviano - italy;san giuseppe vesuviano - italy;80047;italy;crystal glassware | crystal glass | crystal lamps;the company ragosta vetri di de marinis maria rosaria, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in san giuseppe vesuviano, italy.;11.0;50.0;registered office;False;;;;ragosta-vetri-di-de-marinis-maria-rosaria_seac005643340-001
cristalleria toscana s.r.l.;glass_construction_materials;crystal_glassware;;service provider;411 corso s. giovanni a teduccio | 80146 napoli - italy;napoli - italy;80146;italy;crystal glassware | crystal glass | crystal lamps;the company cristalleria toscana s.r.l., is a service provider, founded in 1977, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in napoli, italy.;11.0;50.0;registered office;False;1977.0;;;cristalleria-toscana-srl_seac001879824-001
michielotto s.p.a.;glass_construction_materials;crystal_glassware;;distributor;1 strada statale cisa | 46047 porto mantovano - italy;porto mantovano - italy;46047;italy;crockery | houseware, metal | crystal glassware;the company michielotto s.p.a., is a distributor, founded in 1961, which operates in the crockery industry. it also operates in the houseware, metal, and crystal glassware industries. it is based in porto mantovano, italy.;11.0;50.0;registered office;False;1961.0;;;michielotto-spa_seac000034903-001
bivetro s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;6 via vittona | 10072 mappano - italy;mappano - italy;10072;italy;glass | crystal glassware | plate glass and mirrors;the company bivetro s.r.l., is a manufacturer/ producer, founded in 2003, which operates in the glass industry. it also operates in the crystal glassware, and plate glass and mirrors industries. it is based in mappano, italy.;51.0;100.0;;False;2003.0;;;bivetro-srl_seac001072777-001
shining star s.n.c. di fornaca luigi e c.;glass_construction_materials;crystal_glassware;;retailer;s. francesco d'assisi | 10122 torino - italy;torino - italy;10122;italy;crystal glassware | crystal glass | crystal lamps;the company shining star s.n.c. di fornaca luigi e c., is a retailer, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in torino, italy.;;;registered office;False;;;;shining-star-snc-di-fornaca-luigi-e-c_seac001033179-001
cristalleria f.lli fumo s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;zona industriale | 81025 marcianise - italy;marcianise - italy;81025;italy;crystal glassware | crystal glass | crystal lamps;the company cristalleria f.lli fumo s.r.l., is a manufacturer/ producer, founded in 1992, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in marcianise, italy.;;;registered office;False;1992.0;;;cristalleria-flli-fumo-srl_seac003240974-001
la nuova vetreria artigiana s.n.c.;glass_construction_materials;crystal_glassware;;;49 via tre monumenti | 05100 terni - italy;terni - italy;5100;italy;plate glass and mirrors | glass | crystal glassware;the company la nuova vetreria artigiana s.n.c., founded in 1987, which operates in the plate glass and mirrors industry. it also operates in the glass, and crystal glassware industries. it is based in terni, italy.;;;registered office;False;1987.0;https://www.nuovavetreriartigiana.com/;;la-nuova-vetreria-artigiana-snc_seac000125761-001
duccio di segna s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;42 zona industriale pian dell'olmino | 53034 colle di val d'elsa - italy;colle di val d'elsa - italy;53034;italy;crystal glassware | glassware, decorative | crystal glass;the company duccio di segna s.r.l., is a manufacturer/ producer, founded in 1984, which operates in the crystal glassware industry. it also operates in the glassware, decorative, and crystal glass industries. it is based in colle di val d'elsa, italy.;;;registered office;False;1984.0;;;duccio-di-segna-srl_seac000091843-001
cristalleria gi.& gi sas di esposito g.&.c.;glass_construction_materials;crystal_glassware;;;25 vallone dei gerolomini | 80136 napoli - italy;napoli - italy;80136;italy;crystal glassware | crystal glass | crystal lamps;the company cristalleria gi.& gi sas di esposito g.&.c., founded in 1993, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in napoli, italy.;;;registered office;False;1993.0;;;cristalleria-gi-gi-sas-di-esposito-gc_seac003245194-001
eurovetrocap s.p.a.;glass_construction_materials;crystal_glassware;;wholesaler;59 via pagano mario | 20090 trezzano sul naviglio - italy;trezzano sul naviglio - italy;20090;italy;crystal glassware | crystal glass | crystal lamps;the company eurovetrocap s.p.a., is a wholesaler, founded in 1991, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in trezzano sul naviglio, italy.;;;registered office;False;1991.0;http://www.eurovetrocap.com;;eurovetrocap-spa_seac003370976-001
morris glass s.a.s. di bottarel maurizio & c.;glass_construction_materials;crystal_glassware;;;s. marco | 30124 venezia - italy;venezia - italy;30124;italy;crystal glassware | crystal glass | crystal lamps;the company morris glass s.a.s. di bottarel maurizio & c., which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in venezia, italy.;;;registered office;False;;;;morris-glass-sas-di-bottarel-maurizio-c_seac005357673-001
zafferano s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;26 viale dell' industria | 31055 quinto di treviso - italy;quinto di treviso - italy;31055;italy;crystal glassware | crystal glass | crystal lamps;the company zafferano s.r.l., is a manufacturer/ producer, founded in 2001, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in quinto di treviso, italy.;11.0;50.0;registered office;False;2001.0;http://www.zafferanoitalia.com;;zafferano-srl_seac002812048-001
cre - art s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;317 via orme | 50025 montespertoli - italy;montespertoli - italy;50025;italy;crystal glassware | finishing work | glassware, decorative;the company cre - art s.r.l., is a manufacturer/ producer, founded in 1984, which operates in the crystal glassware industry. it also operates in the finishing work, and glassware, decorative industries. it is based in montespertoli, italy.;11.0;50.0;;False;1984.0;http://www.creart.it;;cre-art-srl_seac000879342-001
bonapace claudio & c.;glass_construction_materials;crystal_glassware;;wholesaler;95 via dell' ora del garda | 38100 trento - italy;trento - italy;38100;italy;souvenirs and advertising items | crystal glassware | dried flowers;the company bonapace claudio & c., is a wholesaler, founded in 1973, which operates in the souvenirs and advertising items industry. it also operates in the crystal glassware, and dried flowers industries. it is based in trento, italy.;;;;False;1973.0;;;bonapace-claudio-c_seac000029955-001
d & g selezione s.r.l.;glass_construction_materials;crystal_glassware;;wholesaler;strada dei laghi | 53035 monteriggioni - italy;monteriggioni - italy;53035;italy;souvenirs and advertising items | beverage industry - machinery and equipment | crystal glassware;the company d & g selezione s.r.l., is a wholesaler, founded in 2004, which operates in the souvenirs and advertising items industry. it also operates in the beverage industry - machinery and equipment, and crystal glassware industries. it is based in monteriggioni, italy.;11.0;50.0;;False;2004.0;;;d-g-selezione-srl_seac000295701-001
fara s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;6 via tevere | 50025 montespertoli - italy;montespertoli - italy;50025;italy;hotels, bars, cafés and restaurants - machinery and equipment | houseware, metal | crystal glassware;the company fara s.r.l., is a manufacturer/ producer, founded in 1981, which operates in the hotels, bars, cafés and restaurants - machinery and equipment industry. it also operates in the houseware, metal, and crystal glassware industries. it is based in montespertoli, italy.;;;registered office;False;1981.0;http://www.faravetrerie.it;;fara-srl_seac000846766-001
caraiba s.r.l.;glass_construction_materials;crystal_glassware;;;11/a via toscana | 40069 zola predosa - italy;zola predosa - italy;40069;italy;crystal glassware | crystal glass | crystal lamps;the company caraiba s.r.l., founded in 1993, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in zola predosa, italy.;11.0;50.0;registered office;False;1993.0;;;caraiba-srl_seac002548521-001
capozzoli alfredo;glass_construction_materials;crystal_glassware;;wholesaler;puglie | 80143 napoli - italy;napoli - italy;80143;italy;crystal glassware | crystal glass | crystal lamps;the company capozzoli alfredo, is a wholesaler, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in napoli, italy.;;;;False;;;;capozzoli-alfredo_seac002922353-001
totaro pasquale;glass_construction_materials;crystal_glassware;;manufacturer/ producer;2 via euclide | 80016 marano di napoli - italy;marano di napoli - italy;80016;italy;crystal glassware | crystal glass | crystal lamps;the company totaro pasquale, is a manufacturer/ producer, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in marano di napoli, italy.;;;registered office;False;;;;totaro-pasquale_seac006406519-001
deco tech s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;160 via viii strada di poggilupi | 52028 terranuova bracciolini - italy;terranuova bracciolini - italy;52028;italy;crystal glassware | crystal glass | crystal lamps;the company deco tech s.r.l., is a manufacturer/ producer, founded in 2008, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in terranuova bracciolini, italy.;11.0;50.0;registered office;False;2008.0;;;deco-tech-srl_seac005409990-001
marw cristallerie;glass_construction_materials;crystal_glassware;;manufacturer/ producer;26 giugno | 50050 cerreto guidi - italy;cerreto guidi - italy;50050;italy;crystal glassware | crystal glass | crystal lamps;the company marw cristallerie, is a manufacturer/ producer, founded in 1994, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in cerreto guidi, italy.;;;registered office;False;1994.0;;;marw-cristallerie_seac003054273-001
i.v.v.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;116 via chiantigiana | 52025 montevarchi - italy;montevarchi - italy;52025;italy;crystal glassware | glassware, decorative | plate glass and mirrors;the company i.v.v., is a manufacturer/ producer, founded in 1952, which operates in the crystal glassware industry. it also operates in the glassware, decorative, and plate glass and mirrors industries. it is based in montevarchi, italy.;;;registered office;False;1952.0;http://www.ivvnet.it/#azienda;;ivv_seac000019123-001
arpa s.n.c.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;26 via 26 giugno | 50050 cerreto guidi - italy;cerreto guidi - italy;50050;italy;crystal glassware | crystal glass | crystal lamps;the company arpa s.n.c., is a manufacturer/ producer, founded in 1990, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in cerreto guidi, italy.;11.0;50.0;registered office;False;1990.0;;;arpa-snc_seac003003500-001
frivar s.r.l.;glass_construction_materials;crystal_glassware;;service provider;68 via tolstoi leone | 20146 milano - italy;milano - italy;20146;italy;crystal glassware | houseware, metal | hotels, bars, cafés and restaurants - machinery and equipment;the company frivar s.r.l., is a service provider, founded in 1965, which operates in the crystal glassware industry. it also operates in the houseware, metal, and hotels, bars, cafés and restaurants - machinery and equipment industries. it is based in milano, italy.;;;registered office;False;1965.0;http://www.frivar.it;;frivar-srl_seac000180431-001
tecno hotel mare s.r.l.;glass_construction_materials;crystal_glassware;;wholesaler;3223 strada statale adriatica | 47042 cesenatico - italy;cesenatico - italy;47042;italy;hotels, bars, cafés and restaurants - machinery and equipment | houseware, metal | crystal glassware;the company tecno hotel mare s.r.l., is a wholesaler, founded in 1982, which operates in the hotels, bars, cafés and restaurants - machinery and equipment industry. it also operates in the houseware, metal, and crystal glassware industries. it is based in cesenatico, italy.;;;registered office;False;1982.0;http://www.tecnohotelmare.com;;tecno-hotel-mare-srl_seac000398672-001
la vetraria giampa' di giampa' angelo;glass_construction_materials;crystal_glassware;;manufacturer/ producer;traversa ii i maggio | 88046 lamezia terme - italy;lamezia terme - italy;88046;italy;plate glass and mirrors | glass | crystal glassware;the company la vetraria giampa' di giampa' angelo, is a manufacturer/ producer, founded in 1995, which operates in the plate glass and mirrors industry. it also operates in the glass, and crystal glassware industries. it is based in lamezia terme, italy.;;;registered office;False;1995.0;;;la-vetraria-giampa-di-giampa-angelo_seac000596442-001
cristallerie livellara s.r.l.;glass_construction_materials;crystal_glassware;;;59 via bovisasca | 20157 milano - italy;milano - italy;20157;italy;crystal glassware | houseware, metal | hotels, bars, cafés and restaurants - machinery and equipment;the company cristallerie livellara s.r.l., founded in 1947, which operates in the crystal glassware industry. it also operates in the houseware, metal, and hotels, bars, cafés and restaurants - machinery and equipment industries. it is based in milano, italy.;;;registered office;False;1947.0;http://www.livellara.com;;cristallerie-livellara-srl_seac000219417-001
f. hotel s.n.c. di mucci danilo e vattuone nadina & c.;glass_construction_materials;crystal_glassware;;;45 via latiro giuseppe | 16039 sestri levante - italy;sestri levante - italy;16039;italy;hotels, bars, cafés and restaurants - machinery and equipment | houseware, metal | crystal glassware;the company f. hotel s.n.c. di mucci danilo e vattuone nadina & c., founded in 1995, which operates in the hotels, bars, cafés and restaurants - machinery and equipment industry. it also operates in the houseware, metal, and crystal glassware industries. it is based in sestri levante, italy.;11.0;50.0;registered office;False;1995.0;http://www.forniturehotel.com;;f-hotel-snc-di-mucci-danilo-e-vattuone-nadina-c_seac000270529-001
taddei athos & guerrino;glass_construction_materials;crystal_glassware;;;136/a viale tripoli | 47921 rimini - italy;rimini - italy;47921;italy;hotels, bars, cafés and restaurants - machinery and equipment | houseware, metal | crystal glassware;the company taddei athos & guerrino, founded in 1986, which operates in the hotels, bars, cafés and restaurants - machinery and equipment industry. it also operates in the houseware, metal, and crystal glassware industries. it is based in rimini, italy.;;;;False;1986.0;http://www.paginegialle.it/taddeiarteregalo;;taddei-athos-guerrino_seac000511903-001
mario cioni & c. s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;28/30 via delle ginestre | 50050 capraia e limite - italy;capraia e limite - italy;50050;italy;crystal glassware | crystal glass | crystal lamps;the company mario cioni & c. s.r.l., is a manufacturer/ producer, founded in 1985, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in capraia e limite, italy.;11.0;50.0;registered office;False;1985.0;http://www.mariocioni.com;;mario-cioni-c-srl_seac000904234-001
rastal italia s.r.l.;glass_construction_materials;crystal_glassware;;wholesaler;35 via calvi angelo | 29015 castel san giovanni - italy;castel san giovanni - italy;29015;italy;crystal glassware | crystal glass | crystal lamps;the company rastal italia s.r.l., is a wholesaler, founded in 1997, which operates in the crystal glassware industry. it also operates in the crystal glass, and crystal lamps industries. it is based in castel san giovanni, italy.;;;registered office;False;1997.0;http://www.rastal.it/;;rastal-italia-srl_seac001780162-001
vetreria vistosi s.r.l.;glass_construction_materials;crystal_glassware;;manufacturer/ producer;9 via galilei galileo | 31021 mogliano veneto - italy;mogliano veneto - italy;31021;italy;glassware, decorative | crystal lamps | glass painting;the company vetreria vistosi s.r.l., is a manufacturer/ producer, founded in 1991, which operates in the glassware, decorative industry. it also operates in the crystal lamps, and glass painting industries. it is based in mogliano veneto, italy.;11.0;50.0;registered office;False;1991.0;http://www.vistosi.it;;vetreria-vistosi-srl_seac000743300-001
galliano ferro;glass_construction_materials;crystal_glassware;;manufacturer/ producer;colleoni antonio | 30141 venezia - italy;venezia - italy;30141;italy;glassware, decorative | crystal lamps | glass painting;the company galliano ferro, is a manufacturer/ producer, founded in 1952, which operates in the glassware, decorative industry. it also operates in the crystal lamps, and glass painting industries. it is based in venezia, italy.;;;registered office;False;1952.0;http://www.gallianoferro.it;;galliano-ferro_seac000863035-001
multiforme lighting;glass_construction_materials;crystal_glassware;;manufacturer/ producer;via montello ii tronco, 19 | 35010 trebaseleghe (pd) - italy;trebaseleghe (pd) - italy;35010;italy;lighting, domestic and accessories | crystal lamps | glassware, decorative | lighting | blown glass chandelier;the company multiforme lighting, is a manufacturer/ producer, which operates in the lighting, domestic and accessories industry. it also operates in the crystal lamps, glassware, decorative, lighting, and blown glass chandelier industries. it is based in trebaseleghe (pd), italy.;;;;False;;http://www.multiforme.eu;;multiforme-lighting_ita315874-00101
turina design srl;glass_construction_materials;crystal_glassware;;;via san giusto, 2 | 37121 verona (vr) - italy;verona (vr) - italy;37121;italy;crystal lamps | glass, blown | glassware, decorative;the company turina design srl, which operates in the crystal lamps industry. it also operates in the glass, blown, and glassware, decorative industries. it is based in verona (vr), italy.;;;;False;;http://www.turinadesign.com;;turina-design-srl_ita316232-00101
effe vetreria artistica;glass_construction_materials;crystal_glassware;;manufacturer/ producer;54 fondamenta navagero andrea | 30141 venezia - italy;venezia - italy;30141;italy;glassware, decorative | crystal lamps | glass painting;the company effe vetreria artistica, is a manufacturer/ producer, founded in 1982, which operates in the glassware, decorative industry. it also operates in the crystal lamps, and glass painting industries. it is based in venezia, italy.;;;registered office;False;1982.0;http://www.paginegialle.it/effevetreriaartistica;;effe-vetreria-artistica_seac000474934-001
