company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
sfera s.r.l.;glass_construction_materials;plate_glass_and_mirrors;;manufacturer/ producer;via monastier 30 | 30020 meolo - italy;meolo - italy;30020.0;italy;glass | plate glass and mirrors | glass processing | mirrors | custom-made mirrors;the company sfera s.r.l., is a manufacturer/ producer, which operates in the glass industry. it also operates in the plate glass and mirrors, glass processing, mirrors, and custom-made mirrors industries. it is based in meolo, italy.;11.0;50.0;registered office;True;;http://www.sfera-vetricurvi.it;;sfera-srl_seac000787237-001
vetreria forlivese;glass_construction_materials;plate_glass_and_mirrors;;manufacturer/ producer;via la greca francesco, 48 | 47121 forli' - italy;forli' - italy;47121.0;italy;double glazing | plate glass and mirrors | glassworks | glass-worker | sandblasting;vetreria forlivese produces bathroom mirrors, artistic mirrors, mosaics in forlì and uses first choice products and equipment. vetreria forlivese is located in the municipality of forlì in via la grecia. with great professionalism, it has always focused on producing bathroom mirrors, artistic mirrors and mosaics as well as other items using first quality products and equipment. its portfolio also includes mosaic furnishings.;;;registered office;False;;;;vetreria-forlivese_seac000762031-001
nardovetro srl;glass_construction_materials;plate_glass_and_mirrors;;manufacturer/ producer;via artigiani 27 | 30010 camponogara - italy;camponogara - italy;30010.0;italy;plate glass and mirrors | interior design | glass furniture;nardovetro srl is a company specialised in the processing of glass.our experience enables us to create high-quality innovative solutions for a range of design products ideal for contemporary living.;11.0;50.0;;False;1960.0;http://www.nardovetro.it;;nardovetro-srl_00000003984021-251641001
vetraria bresciana bontempi di bontempi giovanni & figli s.n.c.;glass_construction_materials;plate_glass_and_mirrors;;manufacturer/ producer;via villa glori, 12/a | 25126 brescia - italy;brescia - italy;25126.0;italy;plate glass and mirrors | custom-made windows | glassworks | shower stall glass | glass display cabinets for shops;the company vetraria bresciana bontempi di bontempi giovanni & figli s.n.c., is a manufacturer/ producer, founded in 1908, which operates in the plate glass and mirrors industry. it also operates in the custom-made windows, glassworks, shower stall glass, and glass display cabinets for shops industries. it is based in brescia, italy.;;;registered office – parent company;False;1908.0;http://www.vetreriabontempi.it;;vetraria-bresciana-bontempi-di-bontempi-giovanni-figli-snc_seac000112051-001
styleglass srl;glass_construction_materials;plate_glass_and_mirrors;;manufacturer/ producer;via di collandino, 160 | 53014 monteroni d'arbia - italy;monteroni d'arbia - italy;53014.0;italy;plate glass and mirrors;the company styleglass srl, is a manufacturer/ producer, which operates in the plate glass and mirrors industry. it is based in monteroni d'arbia, italy.;1.0;10.0;;False;;http://www.styleglassitalia.com;;styleglass-srl_00000005329803-627031001
sardavetri 1959 s.r.l.;glass_construction_materials;plate_glass_and_mirrors;;manufacturer/ producer;via emilio segrè, 3 - z.ind.le elmas | 09030 elmas - italy;elmas - italy;9030.0;italy;plate glass and mirrors | glass, insulating | double glazing | artistic glass working;the company sardavetri 1959 s.r.l., is a manufacturer/ producer, founded in 1959, which operates in the plate glass and mirrors industry. it also operates in the glass, insulating, double glazing, and artistic glass working industries. it is based in elmas, italy.;;;registered office – parent company;False;1959.0;http://www.sardavetri.it;;sardavetri-1959-srl_seac000405108-001
vetreria papetti snc;glass_construction_materials;plate_glass_and_mirrors;;manufacturer/ producer;via zara, 30 | 20096 pioltello - italy;pioltello - italy;20096.0;italy;plate glass and mirrors | double glazing | shower stalls | flat safety glass | mirrors;the company vetreria papetti snc, is a manufacturer/ producer, which operates in the plate glass and mirrors industry. it also operates in the double glazing, shower stalls, flat safety glass, and mirrors industries. it is based in pioltello, italy.;;;;False;;http://www.vetreriapapetti.com;;vetreria-papetti-snc_seac001081511-001
agrusa srl;glass_construction_materials;plate_glass_and_mirrors;;manufacturer/ producer;via monte bonifato 78/a | 91011 alcamo - italy;alcamo - italy;91011.0;italy;plate glass and mirrors | toughened glass | solar control windows;the company agrusa srl, is a manufacturer/ producer, founded in 1969, which operates in the plate glass and mirrors industry. it also operates in the toughened glass, and solar control windows industries. it is based in alcamo, italy.;11.0;50.0;registered office;False;1969.0;http://www.agrusavetro.it;;agrusa-srl_00000004617842-427618001
vetreria linea vetro s.n.c.;glass_construction_materials;plate_glass_and_mirrors;;;;;;italy;;;;;;False;;;;vetreria-linea-vetro-snc_00000004604596-417645001
vetreria medicinese snc di maccaferri e dal pozzo;glass_construction_materials;plate_glass_and_mirrors;;manufacturer/ producer;32, v. del canale | 40059 medicina - italy;medicina - italy;40059.0;italy;plate glass and mirrors | tempered glass | flat plate glass | double glazing | glass collage;the company vetreria medicinese snc di maccaferri e dal pozzo, is a manufacturer/ producer, which operates in the plate glass and mirrors industry. it also operates in the tempered glass, flat plate glass, double glazing, and glass collage industries. it is based in medicina, italy.;;;;False;;http://www.vetreriamedicinese.com/;;vetreria-medicinese-snc-di-maccaferri-e-dal-pozzo_seac006079847-001
vetrolamp snc;glass_construction_materials;plate_glass_and_mirrors;;manufacturer/ producer;via bellini 9 | 20095 cusano milanino - italy;cusano milanino - italy;20095.0;italy;plate glass and mirrors | furnaces for forming glass;the company vetrolamp snc, is a manufacturer/ producer, which operates in the plate glass and mirrors industry. it also operates in the furnaces for forming glass industries. it is based in cusano milanino, italy.;1.0;10.0;;False;;https://www.vetrolamp.net/;;vetrolamp-snc_00000005448007-787725001
vetreria di borgonovo s.p.a.;glass_construction_materials;plate_glass_and_mirrors;;;via pianello 75 | 29011 borgonovo val tidone - italy;borgonovo val tidone - italy;29011.0;italy;plate glass and mirrors | glass items | building;the company vetreria di borgonovo s.p.a., founded in 1951, which operates in the plate glass and mirrors industry. it also operates in the glass items, and building industries. it is based in borgonovo val tidone, italy.;;;registered office;False;1951.0;http://www.borgonovo.it;;vetreria-di-borgonovo-spa_seac000022654-001
vetreria barison di dell agnolo luca ditta;glass_construction_materials;plate_glass_and_mirrors;;;5 via monte nero | 10093 collegno - italy;collegno - italy;10093.0;italy;plate glass and mirrors | windows | glass tables;the company vetreria barison di dell agnolo luca ditta, founded in 2007, which operates in the plate glass and mirrors industry. it also operates in the windows, and glass tables industries. it is based in collegno, italy.;1.0;10.0;registered office;False;2007.0;http://www.paginegialle.it/vetreriabarison;;vetreria-barison-di-dell-agnolo-luca-ditta_seac004965318-001
vetreria sgarlata;glass_construction_materials;plate_glass_and_mirrors;;;7 localita' carpio | 21030 cugliate fabiasco - italy;cugliate fabiasco - italy;21030.0;italy;plate glass and mirrors | flat glass | double glazing;the company vetreria sgarlata, founded in 1999, which operates in the plate glass and mirrors industry. it also operates in the flat glass, and double glazing industries. it is based in cugliate fabiasco, italy.;1.0;10.0;registered office;False;1999.0;http://www.paginebianche.it/vetreriasgarlata-cugliatefabiasco;;vetreria-sgarlata_seac000747723-001
giuwal glass;glass_construction_materials;plate_glass_and_mirrors;;;11 via della industria | 25050 pian camuno - italy;pian camuno - italy;25050.0;italy;plate glass and mirrors | glass for the transport industry | glass;the company giuwal glass, which operates in the plate glass and mirrors industry. it also operates in the glass for the transport industry, and glass industries. it is based in pian camuno, italy.;11.0;50.0;registered office;False;;http://www.paginebianche.it/giuwalglass-gianico;;giuwal-glass_seac009277256-001
mister vetro s.r.l.;glass_construction_materials;plate_glass_and_mirrors;;service provider;423 via pontina | 00128 roma - italy;roma - italy;128.0;italy;plate glass and mirrors | vehicles - services | vehicle chassis;the company mister vetro s.r.l., is a service provider, founded in 2007, which operates in the plate glass and mirrors industry. it also operates in the vehicles - services, and vehicle chassis industries. it is based in roma, italy.;;;registered office;False;2007.0;http://www.paginebianche.it/mistervetro-roma;;mister-vetro-srl_seac005069054-001
