company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
i.c.s. firpo s.p.a.;paper_cardboard;cardboard_manufacture;;manufacturer/ producer;corso novara, 210 | 27029 vigevano - italy;vigevano - italy;27029;italy;photographic and reprographic paper | cardboard manufacture | corrugated board packaging | cardboard boxes;the company i.c.s. firpo s.p.a., is a manufacturer/ producer, which operates in the photographic and reprographic paper industry. it also operates in the cardboard manufacture, corrugated board packaging, and cardboard boxes industries. it is based in vigevano, italy.;;;registered office – parent company;True;;http://www.icsfirpo.it;;ics-firpo-spa_seac000205429-002
i.c.s. firpo s.p.a.;paper_cardboard;cardboard_manufacture;;manufacturer/ producer;corso novara, 210 | 27029 vigevano - italy;vigevano - italy;27029;italy;photographic and reprographic paper | cardboard manufacture | corrugated board packaging | cardboard boxes;the company i.c.s. firpo s.p.a., is a manufacturer/ producer, which operates in the photographic and reprographic paper industry. it also operates in the cardboard manufacture, corrugated board packaging, and cardboard boxes industries. it is based in vigevano, italy.;;;registered office – parent company;False;;http://www.icsfirpo.it;;ics-firpo-spa_seac000205429-001
scatolificio giani s.r.l.;paper_cardboard;cardboard_manufacture;;manufacturer/ producer;25/a via delle colmate | 50054 fucecchio - italy;fucecchio - italy;50054;italy;paper - raw materials | paper manufacture | cardboard manufacture;the company scatolificio giani s.r.l., is a manufacturer/ producer, founded in 1975, which operates in the paper - raw materials industry. it also operates in the paper manufacture, and cardboard manufacture industries. it is based in fucecchio, italy.;;;registered office;False;1975.0;http://www.paginebianche.it/scatolificiogiani-fucecchio;;scatolificio-giani-srl_seac000242515-001
pack service;paper_cardboard;cardboard_manufacture;;manufacturer/ producer;1 strada statale 20 | 12035 racconigi - italy;racconigi - italy;12035;italy;paper - raw materials | paper manufacture | cardboard manufacture;the company pack service, is a manufacturer/ producer, founded in 1986, which operates in the paper - raw materials industry. it also operates in the paper manufacture, and cardboard manufacture industries. it is based in racconigi, italy.;;;registered office;False;1986.0;http://www.packservicescatolificio.it;;pack-service_seac000636161-001
f.lli magro s.r.l.;paper_cardboard;cardboard_manufacture;;manufacturer/ producer;28 via toniolo | 30030 vigonovo - italy;vigonovo - italy;30030;italy;paper - raw materials | paper manufacture | cardboard manufacture;the company f.lli magro s.r.l., is a manufacturer/ producer, founded in 1990, which operates in the paper - raw materials industry. it also operates in the paper manufacture, and cardboard manufacture industries. it is based in vigonovo, italy.;11.0;50.0;registered office;False;1990.0;http://www.magro.it;;flli-magro-srl_seac000839946-001
all bags company;paper_cardboard;cardboard_manufacture;;manufacturer/ producer;strada provinciale s.arpino-frattamaggiore | 81030 sant'arpino - italy;sant'arpino - italy;81030;italy;paper - raw materials | paper manufacture | cardboard manufacture;the company all bags company, is a manufacturer/ producer, which operates in the paper - raw materials industry. it also operates in the paper manufacture, and cardboard manufacture industries. it is based in sant'arpino, italy.;;;registered office;False;;http://www.allbags.it;;all-bags-company_seac003010742-001
moden carta s.r.l.;paper_cardboard;cardboard_manufacture;;wholesaler;s. giovanni bosco | 41122 modena - italy;modena - italy;41122;italy;paper - raw materials | paper manufacture | cardboard manufacture;the company moden carta s.r.l., is a wholesaler, founded in 1986, which operates in the paper - raw materials industry. it also operates in the paper manufacture, and cardboard manufacture industries. it is based in modena, italy.;;;registered office;False;1986.0;http://www.modencarta.com;;moden-carta-srl_1392910263675120-001
scatolificio artigiano s.r.l.;paper_cardboard;cardboard_manufacture;;manufacturer/ producer;23 via divisione acqui | 61122 pesaro - italy;pesaro - italy;61122;italy;paper - raw materials | paper manufacture | cardboard manufacture;the company scatolificio artigiano s.r.l., is a manufacturer/ producer, founded in 1979, which operates in the paper - raw materials industry. it also operates in the paper manufacture, and cardboard manufacture industries. it is based in pesaro, italy.;;;registered office;False;1979.0;http://www.scatolificioartigiano.com;;scatolificio-artigiano-srl_seac000282091-001
tecnopolis snc;paper_cardboard;cardboard_manufacture;;;via naviglio 2 | 24040 isso - italy;isso - italy;24040;italy;cardboard manufacture | roll cardboard | coated paper-board | electrical insulators;the company tecnopolis snc, founded in 1, which operates in the cardboard manufacture industry. it also operates in the roll cardboard, coated paper-board, and electrical insulators industries. it is based in isso, italy.;;;;False;1.0;http://www.tecnopolisas.com;;tecnopolis-snc_ita318572-00101
cartiera dell'adda s.p.a.;paper_cardboard;cardboard_manufacture;;manufacturer/ producer;cavour camillo benso | 23801 calolziocorte - italy;calolziocorte - italy;23801;italy;paper - raw materials | paper manufacture | cardboard manufacture;the company cartiera dell'adda s.p.a., is a manufacturer/ producer, founded in 2003, which operates in the paper - raw materials industry. it also operates in the paper manufacture, and cardboard manufacture industries. it is based in calolziocorte, italy.;;;registered office;False;2003.0;http://www.cartieradelladda.com;;cartiera-delladda-spa_seac000056898-001
