company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
borlandelli e volpi;paper_cardboard;wall_coverings;;manufacturer/ producer;via aldo moro 8 | 20020 magnago - italy;magnago - italy;20020;italy;wall coverings | restoration and renovation - contractors | wall-coverings applied | manufacture of wall coverings | hydro painting | sil-plast plastic coatings | ceramic wall-coverings for residential use indoors | rental of elevating tail-lifts | timber wall-coverings for residential use indoors | application of wall coverings;established in 1962, borlandelli & volpi for over forty years has been producing wall coverings that are devised to last in time and to slow down the building's ageing process. always seeking out the best solutions, the borlandelli & volpi company offers firms and private customers a wide range of coverings, wall plastics, hydro paints, silicate coatings, indoors and outdoors petrified concrete coatings, adhesives and skim coats made with high-quality binding agents, natural marble, carefully selected quartz and paints with unalterable pigments. these materials are particularly suitable for both new and old walls. the company's technicians and experts are available for practical advice and application of the products. new technologies allow to prepare the special coatings employed by public institutions for the conservation of architectural monuments.;;;registered office – parent company;True;;http://www.borlandellievolpi.it, http://www.borlandellievolpi.it/attivita.php, http://www.borlandellievolpi.it/realizzazioni.php;;borlandelli-e-volpi_seac000042588-002
telligraf;paper_cardboard;wall_coverings;;manufacturer/ producer;via alessandro volta 6 | 01033 civita castellana - italy;civita castellana - italy;01033;italy;wall coverings | offset printing | typographical printing | type fonts | silk-screen printing | typography | digital printing | label | lithographs | lithographic printing;~digital system with solvent ink plotter that is suitable for indoor and outdoor printing on flexible materials, such as: compact and backlit pvc for posters; adhesive pvc; canvases; synthetic and natural fibres; films; paper; wallpaper. practically for a very vast range of materials in rolls.~;;;registered office – parent company - subsidiary;True;1979.0;https://telligraf.com/digitale/;;telligraf_seac002015145-001
previato eridanio pavimenti e rivestimenti;paper_cardboard;wall_coverings;;service provider;tangenziale est 42 | 45100 rovigo - italy;rovigo - italy;45100;italy;tiles | flooring | decorating | outdoor flooring | self-locking floors | wall coverings | ceramic floor tiles | glazed sandstone floors | terracotta floors | bathroom furnishings;the company previato eridiano in rovigo is dedicated to the sale of ceramic floor and wall tiles. the company previato eridiano is dedicated to the sale of ceramics for floors and walls. our carefully selected range of products can satisfy even the most demanding customers. at our store, you can find ceramics for walls, terracotta tiles and floor tiles, and ceramic floor and wall tiles. we are based in rovigo - we look forward to seeing you!;;;registered office;True;;;;previato-eridanio-pavimenti-e-rivestimenti_seac000352333-001
allservice4you;paper_cardboard;wall_coverings;;service provider;viale montebello, 35 | zug - italy;zug - italy;zug - italy;italy;sauna - equipment | plumbing, domestic | ceramics - tiling | flooring | jacuzzi | wall coverings | fantini | taps and fittings | ariostea | saunas;in the course of the years we have learned that an excellent service means expert and friendly professionals and this explains our strict recruitment process. we believe that our team is the best in our sector and we entirely trust each one of our employees. all service 4 you gmbh finishes every project in time and customer satisfaction are the pillars supporting our activity.;1.0;10.0;registered office;True;;https://www.allservice4you.ch/;;allservice4you_seac011836694-001
cortesi & c. s.r.l. - materiali per l'edilizia;paper_cardboard;wall_coverings;;retailer;via stroppata 76 | 48011 alfonsine - italy;alfonsine - italy;48011;italy;bulk materials for construction | building materials | construction material | building materials and products | wall coverings;the company cortesi & c. s.r.l. - materiali per l'edilizia, is a retailer, which operates in the bulk materials for construction industry. it also operates in the building materials, construction material, building materials and products, and wall coverings industries. it is based in alfonsine, italy.;;;registered office – parent company;True;;http://www.paginegialle.it/cortesiec;;cortesi-c-srl-materiali-per-ledilizia_seac000190711-002
francesco agazzi;paper_cardboard;wall_coverings;;retailer;località piane di carniglia, 6 | 43041 bedonia - italy;bedonia - italy;43041;italy;marble and natural stones | flooring | wall coverings | working of stone | windowsills;the company francesco agazzi, is a retailer, which operates in the marble and natural stones industry. it also operates in the flooring, wall coverings, working of stone, and windowsills industries. it is based in bedonia, italy.;;;registered office;True;;http://www.agazzifrancesco.it/;;francesco-agazzi_seac000603664-001
rizzuti srl;paper_cardboard;wall_coverings;;retailer;località san liborio | 88837 petilia policastro - italy;petilia policastro - italy;88837;italy;construction materials | building materials | wall coverings | granite for construction work;the company rizzuti srl, is a retailer, which operates in the construction materials industry. it also operates in the building materials, wall coverings, and granite for construction work industries. it is based in petilia policastro, italy.;;;registered office;True;;https://www.rizzutisrl.it/;;rizzuti-srl_seac006718808-001
duriplastic;paper_cardboard;wall_coverings;;manufacturer/ producer;sp salice-sandonaci km1, snc | 73015 salice salentino - italy;salice salentino - italy;73015;italy;coatings, plastic | paints and varnishes | paints for building | wall coverings | outdoor paints;duriplastic started as a company producing plastic wall coverings. in time it has diversified and increased the quality of its production as well as widened its portfolio with water-based paints, quartz paints, varnishes and synthetic paints, complete cycles for preparing the substrates to be painted, water-based non-toxic varnishes and paints, fine decorating finishings and complete siloxane and mineral water-based painting cycles. it has now increased and developed indoor and outdoor decorating finishings.;;;registered office – parent company;False;1968.0;;;duriplastic_seac000046170-001
res fratelli soldi;paper_cardboard;wall_coverings;;;via pitagora, 14 | 57027 san vincenzo - italy;san vincenzo - italy;57027;italy;plumbing, domestic | bulk materials for construction | bathroom fixtures | wall coverings | building materials and products;res f.lli soldi is a major business based in san vincenzo that has been at the service of customers since 1964, establishing itself as a leading retailer of construction materials in livorno for building or renovating homes. the company sells building material, plumbing material, bathroom fixtures, taps, flooring, tiling, bathroom furnishings, bio-stone, parquet, laminates, stoves, fireplaces and garden furniture.;;;registered office – parent company;False;;http://www.resoldi.it;;res-fratelli-soldi_seac000018893-001
ssj wallpaper;paper_cardboard;wall_coverings;;manufacturer/ producer;via pasteur 16 | 42100 reggio emilia - italy;reggio emilia - italy;42100;italy;wall coverings | wallpaper | wall coverings manufactuer;ssj wallpaper is a wall coverings manufactuer with factories and warehouses in europe and asia. we produce luxury italian designed wallpaper for residential and commercial developments. worldwide clients appreciate our wide range of designs and high quality.;501.0;inf;;False;;http://www.ssjwallpaper.com;;ssj-wallpaper_00000004504848-316900001
