products_and_services,products_id
industrial lifting,49affd7c-7f90-4977-8f10-ae84fe6b3dcc
customised lifting solutions,14961ecc-341b-48b0-bc70-a3db16e0972b
vacuum lifting solution,1d111749-f816-419e-b45f-06bbe291f9be
concrete lifting solutions,c2986ffd-6fa6-4da0-94f2-b2da1c1d07e7
sheet metal handling,5720becf-9c80-485a-b0e4-97203117455b
steel plates lifting,f0027d5b-443e-4d4f-b5a0-36a11c97f692
vacuum lifters,ec5273ec-070b-44c8-97f9-a59eae625f01
vacuum handling,613ca8fd-5064-4198-b5dd-41693ba8ef8c
plants and equipment for pasteurising beer,e6088199-e9f1-4e14-8b2c-cd526dc6da6f
plants and equipment for the treatment of malt for breweries,670b1fe3-ea8f-4758-adaa-eb7064e003e2
heating plants,18836a1d-0d72-4de0-8273-9f4d8b3ea942
diesel-powered electric generating sets,445783b8-2a59-4ac0-aaeb-9e0619a0f54b
systems and equipment for producing casein and lactose,af9bba4d-5b99-42b9-b5e6-a96d1e9ef367
mtu spare parts,97079f71-5583-4ad3-a353-cfb5de07a220
"rubber - pipes, tubes and hoses",6c0899bb-5b4b-42d6-90e9-4c048d58a358
pump hoses,9fb8b9da-5268-401a-99ed-bb75de0eddd9
bunker hoses,a8d27f71-ea3c-4a23-b4a6-94ec085f20a7
storage of fuel oil,8b8f60fd-d871-4a36-a6be-817ddefbaeaf
bulk liquid storage,589cea3b-3665-4aab-a74f-543216886752
port operator,c749b376-bb33-46d4-9fd3-8893bb6438a9
pipeline,8633fbf3-d421-435d-994a-35f52b98d2ca
fluid level gauges,36d6a420-b991-40e5-a17c-87625e817c50
pipe couplings,32849b78-70db-491e-bb2c-0d7515ac5cd4
pipe coupling,70bcb8d0-24ec-4a7a-a02a-11165835c734
pipe repair clamps,c0905453-b69e-42cb-a2ae-a76855cced4c
repair clamp,23f8614f-cad9-4591-9526-98906bc5a8a1
repair couplings,f8ef4d1b-e922-44fe-a86a-c21ed03f0a15
repair coupling,412a9974-702a-4d0f-bac6-4375526794eb
band repair clamp,c092ae9b-c1d9-4db3-bd6f-c1c55ea2efbb
stainless steel repair clamps,4da4de85-4c22-4fe0-a2bc-763db2f66fc1
grip couplings,97737a35-16ed-494b-b550-1c1928a6584b
cooking oil collection,ad68952d-5cf2-44f4-84c2-c01020393661
maatschap europoort terminal a tank farm company,279c4e65-fae6-4961-a372-4a5e028cb59f
tank farm in rotterdam oil terminal,9710ad25-2511-4bbf-97c1-50f74ddca178
oil storage company in port of rotterdam,ea6e0c3b-8f88-428d-a25d-33ce7df8e9f5
bulk liquid storage terminal in netherlands,aa2608c1-58d1-46d0-8043-74ddedf5efce
moisture scavengers,e2dbe6e0-e827-45e4-9cf0-0e86a2bb0d52
additief ti,cc39425f-5e5c-4461-9dba-35767936e898
accelerator masterbatches,dd3a8a81-184c-43b6-a551-1d83356b433b
bonding agents,77992db1-2fff-4450-9d09-9285490d7745
pu elastomers,17d1a0fb-d4c4-484d-8418-55e226f459bb
cut fibers,d58e5b04-6d91-470f-81c2-e1cef02b581c
phosphonates,db6466d9-743b-46f4-ba69-160d3ab84a35
garment bags,24f65328-4dc6-4999-9693-b649726373ff
high fashion garment design,7720447f-d040-4b90-be9e-4988840d1d85
shoes - import-export,80d9e514-6ebf-48f8-beca-58d4a9604fb8
bags - import-export,0b808279-45a7-4f52-abfb-2eb9dae51ccc
sneakers,22c4463b-22bc-4037-94e4-c8c270a0e977
kimonos,ec5bcf6f-c1bc-432e-89cd-ffa24886f552
dressing gowns,3ac055b4-79c8-48de-928e-e0a505acb4aa
bathrobe,a59cc6a0-45c6-45b4-90b3-d268592d1b9d
pareos,ed9cb6a0-8ecc-48aa-93ca-c053b1320ce1
terry cloth towels,d8f3360b-f983-4622-a268-988509e96fd4
funda filtration,3f73dca8-fb67-4674-8cf8-ec7e029376f6
koerting ejectors,c4463349-9edf-4c96-bf4e-9cbe3b9fae65
cepa high speed centrifuges,69db8b47-7aab-4e6e-b246-c42f24aea99e
gulbinat hygienic bowlswitches,f3828852-9b56-4ff8-9a71-ecca25b902e9
biobased value added products,d8c5a5a0-99f7-41cf-8276-6397904b65eb
biomass and agricultural waste conversions,d788d471-0159-4a1f-9d6d-e85d1c704951
biocoal biofertilizer biochemicals,9b5668d8-c7c7-4a6c-bf5d-799cbb830ca9
controllers for industrial automation,6cfebc3f-8730-4898-b496-f5fbc19ebf0d
original sample inspection,08c3d79e-bbd3-49e4-a40d-55237863f6b8
petrophysical service,f04bf5ec-d158-48b8-bc84-056ea3ed8ae3
reservoir monitoring and surveillance,82127d43-b214-4f73-b317-e335979c7b64
magnetic drilling machines,d75f615e-127a-4426-90f7-5cb372099cc2
hole cutters,5070f890-f8b8-4ef8-a8d5-b9bae6d4b1f4
high-voltage generators,789a2899-a6e5-4cfa-b036-b00f41adb06e
static electricity,e5be7bde-8173-4637-996c-738f0f8f1fa0
anti static devices,ea1bd5ba-abb5-48be-8f7d-abd6dae919df
anti static bar,9d75ea53-b9a1-4f86-a93d-187db112f4e4
anti static eliminator,5e98f6f9-db0e-4e72-9834-042012c333bf
electrostatic equipment,ee19cfed-b977-46f7-b224-250dddeb957c
dc to ac inverter,dc729de9-149c-4216-8893-7447d60fe158
domestic refrigeration equipment,60592163-1539-44f1-8d1a-eff5d8dc7f32
power analysers,81d54e97-c91e-4ad1-aadc-c01609c933ca
calibration of measuring instruments,e5566a74-0e27-4be8-859f-69e4f735aafd
ac power,8c90f8de-e995-4ceb-842e-7d9d27af87e0
ac/dc converters,ca66f208-65ca-4902-87fb-6206e9cf7f69
infrared heaters,3932fb9c-615f-49f3-a363-005960be8ea8
venture capital,5bb0bb28-d059-4ce3-a519-dd7afd5ee173
advice on restructuring,a0735518-3573-4e69-b00d-69861e37e3c5
industrial system and equipment advice and design,07275cf0-bc77-479e-9b61-f160ab97b166
energy economisers for solar power systems,09d0b68f-357b-4ca0-864e-02d7dfe96c2f
blockchain,367d1eba-fdee-4a4d-95f1-1bfb4c326f6b
cryptography,95699977-f0f5-424f-9379-089d71ed534f
distributed ledger,9bb5d967-adc0-4e84-a280-f77cacc622e2
organisation and management of special sales,547de3bb-49d9-43e5-8aa6-1e7aa4180e47
diesel fuel en590 ulsd,f2d154ff-9e02-48ee-9a4d-21b544c71190
diesel d6 virgin fuel oil,eee922a6-7725-4e8b-b2f4-f39996e7f4de
diesel gas oil d2,6d8ab4b0-9ddc-4ae6-9b93-071947eaddee
automotive gas oil,6a63a050-67dd-4d99-8b28-64e74d63f4bb
chemical products for petroleum refining,3baf4908-b814-4eb6-8103-922ba61f11af
geographic publications,3ebcf421-24ce-4af8-b12d-69dc77a59bcf
bottled gas storage rack cupboards,7f86be2a-bcbd-46b3-a08e-8504264135cd
exhaust filter,69b6ac95-96f6-412e-9937-e9813d50e491
fire smoke extraction systems,9a14ab00-f237-4682-844f-27750831985b
refilling and testing gas cylinders,5990411f-9700-4cb9-b43c-62ae56254403
catalysts for petroleum refining,dad108bf-ab74-477a-8939-700e4e79bca3
petroleum storage tank,1ad70b2c-4046-4316-9a02-9a352ae9145d
refrigerated tanks for goods storage,125857f0-39e9-4e1f-a42d-b22fa18c7773
fragnaces,79e6f733-12e7-4d4a-a098-757e8adb57c9
human resource optimisation,cf11bb6c-0831-4014-a3c9-e09c2968499f
offshore works,eabec1fd-98dd-4eb3-a709-cd67321a3514
data entry,e88ada13-01a0-4563-850c-2deacd525f5b
