products_and_services,products_id
persian blue salt,50abde66-58b7-4fb3-a007-1077fa41a010
organic saffron bio,0ea739bc-c3fb-4476-b8d6-96ba5085aa00
rossoro,2b898f73-e699-4b52-926d-476b51dacd42
peas,a7849fec-bf97-48b0-b89b-cb910a8d6dc8
cauliflowers,e09840c2-df4a-4920-b91b-e23177b5f5b3
b2b services,616bd4f5-2977-4e43-a81b-accfd0e0db5f
fuel,2a782696-0317-43ad-8f2d-0560e17acd8d
property sale and purchase,126e3677-bb68-481d-96e0-ae0fd8a68db3
financial brokerage,d9fca333-22ba-401e-a2bf-59792cf7a58f
tomato paste,e815f6fd-7684-4f67-8cd3-7ca65edc43c6
edible snail breeding,ddde11d9-7d17-4cfa-9443-3468fed91d50
tractor accessories,c6d42fc4-d626-426b-8621-d7fbb46a9e66
disc plough,814ca07e-e88c-409b-abda-4269cb081c97
silkworms,4cfbc8e4-3ae6-4909-9827-0e8bdc908be9
silk spun yarns and threads,1664eb35-7816-4476-83f4-f00905dfdaed
commerciante,4d813cfb-e2ac-4458-a8c4-6ed785df7d5e
walnut kernel,fac7c136-c169-41f0-9e91-d9dfb3ed9151
electricity - import-export,315e4a5d-3410-4880-bb75-bfaf01e024ad
spreading cheeses,57e65b42-f4b7-4173-8b27-213e100d70b9
tomato processing machines,46b2f19e-f238-4b99-be02-d0fbe46d1e4c
presses for squeezing food oils,3d71033f-2a3e-4b61-8328-766716abad67
mozzarellas,4641a592-8a26-450c-ad46-d1ea99565552
wholesale sparkling wines,99f95e84-04f2-4ce0-8b64-e0c2f20f4d3f
christmas gift packages,6ced5115-29ba-4477-87e9-93699dce44c9
organic coffee,9bfb6a5e-a6c8-4557-8e41-d79b1ac9a96b
calabrian cuisine,f8592b25-a1ed-41dd-818e-b77b17a09589
pepper,4b3fd13e-3d2b-4ea0-9f64-fbc7f41bbc7d
"hqe, high quality environmental approach",798a0e11-3682-4bd6-a31d-ce6f39160f66
"foods, specialties",d889e5ec-12d4-4486-9a00-01ef3890fe30
pos - stores and supermarkets,99bd651c-6a64-4655-9903-9992d97ab724
food and beverages industry business associations,84bbf222-b778-43d8-a2a8-713c3e0eb38c
"food, wine, beverage and confectionary industries",7f669dd1-5b97-42d8-ae89-d88d35c1fc5a
employee reliability check-ups,bfd41a01-82c2-4802-a49c-caae8e94d922
import-export assistance,a2bf0869-a679-4cf6-bd91-417eac73144a
food sector distribution,21c66e9d-13df-429b-b425-1fc3d1141a6a
sell food,8bed43ed-1ec9-4046-9c11-fd02d56f338c
