,products_and_services,products_id,language (ISO-code),typo_corrected
0,sheet metal handling,5720becf-9c80-485a-b0e4-97203117455b,da,sheet metal handling
1,steel plates lifting,f0027d5b-443e-4d4f-b5a0-36a11c97f692,nl,steel plates lifting
2,vacuum lifters,ec5273ec-070b-44c8-97f9-a59eae625f01,sv,vacuum lifters
3,vacuum handling,613ca8fd-5064-4198-b5dd-41693ba8ef8c,sv,vacuum handling
4,mtu spare parts,97079f71-5583-4ad3-a353-cfb5de07a220,fr,mtu spare parts
5,bunker hoses,a8d27f71-ea3c-4a23-b4a6-94ec085f20a7,da,bunker hoses
6,bulk liquid storage,589cea3b-3665-4aab-a74f-543216886752,fr,bulk liquid storage
7,port operator,c749b376-bb33-46d4-9fd3-8893bb6438a9,it,port operator
8,pipeline,8633fbf3-d421-435d-994a-35f52b98d2ca,fi,pipeline
9,fluid level gauges,36d6a420-b991-40e5-a17c-87625e817c50,da,fluid level gauges
10,pipe couplings,32849b78-70db-491e-bb2c-0d7515ac5cd4,fr,pipe couplings
11,pipe coupling,70bcb8d0-24ec-4a7a-a02a-11165835c734,fr,pipe coupling
12,pipe repair clamps,c0905453-b69e-42cb-a2ae-a76855cced4c,ca,pipe repair clamps
13,repair clamp,23f8614f-cad9-4591-9526-98906bc5a8a1,ca,repair clamp
14,maatschap europoort terminal a tank farm company,279c4e65-fae6-4961-a372-4a5e028cb59f,nl,maatschap europoort terminal a tank farm company
15,tank farm in rotterdam oil terminal,9710ad25-2511-4bbf-97c1-50f74ddca178,sv,tank farm in rotterdam oil terminal
16,moisture scavengers,e2dbe6e0-e827-45e4-9cf0-0e86a2bb0d52,fr,moisture scavengers
17,additief ti,cc39425f-5e5c-4461-9dba-35767936e898,cy,additief ti
18,bonding agents,77992db1-2fff-4450-9d09-9285490d7745,nl,bonding agents
19,pu elastomers,17d1a0fb-d4c4-484d-8418-55e226f459bb,es,pu elastomers
20,cut fibers,d58e5b04-6d91-470f-81c2-e1cef02b581c,ro,cut fibers
21,garment bags,24f65328-4dc6-4999-9693-b649726373ff,id,garment bags
22,sneakers,22c4463b-22bc-4037-94e4-c8c270a0e977,no,sneakers
